time,cpu-usr,cpu-sys,cpu-idl,cpu-wai,cpu-stl,dsk-read,dsk-writ,pag-in,pag-out,lavg-1m,lavg-5m,lavg-15m,mem-used,mem-free,mem-buff,mem-cach,net-recv,net-send,proc-run,proc-blk,proc-new,io-read,io-writ,swap-used,swap-free,sys-int,sys-csw,fs-files,fs-inodes,vm-majpf,vm-minpf,vm-alloc,vm-free
07/03-00:34:39,9,3,88,0,0,83k,1230k,0,0,0.43,1.04,1.09,4736M,790M,391M,9975M,0,0,1.0,0,5.0,3.95,71.0,0,976M,2487,8221,15904,288k,0,3292,4816,4821
07/03-00:34:40,3,2,95,0,0,0,0,0,0,0.40,1.02,1.08,4737M,789M,391M,9975M,311B,298B,0,0,6.0,0,0,0,976M,1226,4748,15904,288k,0,5756,3997,16k
07/03-00:34:41,3,3,94,0,0,0,7352k,0,0,0.40,1.02,1.08,4732M,794M,391M,9974M,13k,11k,0,0,9.0,0,542,0,976M,1739,4474,15904,288k,0,1431,3252,3479
07/03-00:34:42,4,2,94,0,0,0,0,0,0,0.40,1.02,1.08,4712M,819M,391M,9977M,258B,404B,1.0,0,0,0,0,0,976M,1307,3786,15968,286k,0,641,3581,11k
07/03-00:34:43,6,1,93,0,0,0,1472k,0,0,0.40,1.02,1.08,4715M,816M,391M,9978M,66B,0,0,0,0,0,24.0,0,976M,1251,3771,16032,287k,0,862,2012,929
07/03-00:34:44,4,2,94,0,0,0,0,0,0,0.40,1.02,1.08,4720M,810M,391M,9978M,152B,192B,0,0,8.0,0,0,0,976M,1384,4133,16032,287k,0,5663,6982,7509
07/03-00:34:45,4,1,95,0,0,0,760k,0,0,0.36,1.01,1.08,4721M,809M,391M,9978M,463B,1848B,0,0,1.0,0,68.0,0,976M,1176,3522,16032,287k,0,648,1013,958
07/03-00:34:46,2,2,96,0,0,0,264k,0,0,0.36,1.01,1.08,4722M,809M,391M,9977M,8123B,1275B,0,0,8.0,0,30.0,0,976M,1213,3636,15968,286k,0,1429,1803,1992
07/03-00:34:47,3,2,95,0,0,0,17M,0,0,0.36,1.01,1.08,4719M,812M,391M,9978M,344k,8261B,0,0,1.0,0,1772,0,976M,2553,9519,15968,286k,0,512,3666,3261
07/03-00:34:48,3,1,96,0,0,0,0,0,0,0.36,1.01,1.08,4727M,803M,391M,9987M,152B,192B,1.0,0,1.0,0,0,0,976M,1115,2804,15968,286k,0,1040,3869,992
07/03-00:34:49,3,2,95,0,0,0,0,0,0,0.36,1.01,1.08,4729M,802M,391M,9985M,66B,86B,1.0,0,8.0,0,0,0,976M,1222,3702,15968,286k,0,1506,1619,2308
07/03-00:34:50,7,3,90,0,0,0,0,0,0,0.42,1.01,1.08,4620M,909M,391M,9988M,249B,400B,1.0,0,27,0,0,0,976M,2732,18k,17280,288k,0,16k,34k,61k
07/03-00:34:51,6,3,91,0,0,0,2944k,0,0,0.42,1.01,1.08,4754M,769M,391M,9993M,0,0,0,0,15,0,112,0,976M,2338,26k,15936,288k,0,40k,46k,7240
07/03-00:34:52,4,2,94,0,0,0,3896k,0,0,0.42,1.01,1.08,4758M,766M,391M,9993M,0,358B,1.0,0,11,0,76.0,0,976M,1473,6667,15872,288k,0,2245,2936,2129
07/03-00:34:53,4,1,95,0,0,0,680k,0,0,0.42,1.01,1.08,4751M,773M,391M,9983M,0,0,0,0,0,0,36.0,0,976M,1240,2883,15872,287k,0,217,626,3112
07/03-00:34:54,3,2,95,0,0,0,0,0,0,0.42,1.01,1.08,4752M,772M,391M,9983M,866B,1086B,0,0,8.0,0,0,0,976M,1474,4334,15872,287k,0,1735,1881,2340
07/03-00:34:55,2,1,97,0,0,0,0,0,0,0.38,0.99,1.07,4752M,773M,391M,9983M,212B,255B,0,0,1.0,0,0,0,976M,1019,2431,15872,287k,0,156,300,394
07/03-00:34:56,16,16,68,0,0,0,0,0,0,0.38,0.99,1.07,4756M,769M,391M,9983M,7653B,2008B,17,0,17,0,0,0,976M,28k,196k,16096,288k,0,2848,24k,23k
07/03-00:34:57,22,19,59,0,0,0,2312k,0,0,0.38,0.99,1.07,4749M,774M,391M,9985M,343k,7633B,2.0,0,0,0,34.0,0,976M,35k,231k,16128,288k,0,2040,28k,29k
07/03-00:34:58,19,21,60,0,0,0,584k,0,0,0.38,0.99,1.07,4752M,773M,391M,9983M,0,0,12,0,0,0,18.0,0,976M,34k,225k,16128,288k,0,406,24k,25k
