"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --time --cpu --disk --page --int --load --mem --net --proc --io --swap --sys --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --output dstat/data/csv/dool/all.csv 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","total cpu usage",,,,,"dsk/total",,"paging",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"io/total",,"swap",,"system",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,
"time","usr","sys","idl","wai","stl","read","writ","in","out","138","139","140","1m","5m","15m","used","free","cach","avai","recv","send","run","blk","new","read","writ","used","free","int","csw","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH"
Mar-22 21:22:04,4.237,1.463,94.244,0.056,0,146083.485,771269.495,0.480,15.099,0.000,43.694,0.024,52.090,13.820,6.230,3669196800,1675898880,10541461504,12435668992,0,0,130,0,11.259,5.299,35.351,1835008,1021571072,1356.278,4982.253,0,16960,350104,0,0,6,56,12,10,58,0,1073,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0.303,3854.317,4296.867,4343.197,11.296,0,0,0.004,0,287890,3141,124235,22176,
Mar-22 21:22:05,49.935,49.806,0.258,0,0,0,0,0,0,0,18,0,52.090,13.820,6.230,3688693760,1653633024,10544148480,12416512000,0,0,109,0,2138,0,0,1835008,1021571072,22472,100348,0,17312,350153,0,0,6,56,12,10,58,0,1073,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,457329,354181,337374,0,0,0,0,0,274044,3141,123383,22176,
Mar-22 21:22:06,49.562,50.313,0.125,0,0,0,0,0,0,0,19,0,52.090,13.820,6.230,3731992576,1610039296,10544508928,12373024768,0,358,95,0,2234,0,0,1835008,1021571072,25282,108152,0,17440,350066,0,0,6,56,12,10,58,0,1073,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,545563,427647,423287,0,0,0,0,0,264765,3141,124623,22176,
Mar-22 21:22:07,47.434,52.065,0.501,0,0,0,1515520,0,0,0,18,0,52.090,13.820,6.230,3713855488,1627480064,10545188864,12390834176,0,0,113,0,2515,0,16,1835008,1021571072,24005,109765,0,17216,350051,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,8,1,17,6,56,868,54,814,0,629262,483604,488523,0,0,0,0,0,269857,3141,124377,22176,
Mar-22 21:22:08,52.684,47.066,0.250,0,0,0,0,0,0,0,76,0,52.090,13.820,6.230,3709603840,1630175232,10546696192,12395110400,1645,3638,94,0,2483,0,0,1835008,1021571072,25115,111893,0,17312,350404,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,491928,370587,371775,0,0,0,0,0,271021,3141,123821,22176,
Mar-22 21:22:09,50,49.373,0.627,0,0,73728,10551296,0,0,0,32,0,56.410,15.350,6.770,3537375232,1801146368,10547986432,12567060480,15972,2662,71,0,2857,18,164,1835008,1021571072,25537,105457,0,15552,350021,0,0,6,56,12,10,58,0,1073,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,545215,394468,436057,0,0,0,0,0,291729,3141,144424,22176,
Mar-22 21:22:10,47.875,52.125,0,0,0,0,0,0,0,0,18,0,56.410,15.350,6.770,3604574208,1740726272,10541223936,12503556096,0,0,61,0,1786,0,0,1835008,1021571072,81094,248259,0,21536,348855,0,0,6,56,12,10,58,0,1073,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,393477,319896,298359,0,0,0,0,0,293245,3141,125581,22176,
Mar-22 21:22:11,60.325,39.549,0.125,0,0,0,0,0,0,0,21,0,56.410,15.350,6.770,3682557952,1662603264,10541363200,12424085504,70,358,43,0,796,0,0,1835008,1021571072,93779,298985,0,21920,348723,0,0,6,56,12,10,58,0,1073,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,214327,218892,206941,0,0,0,0,0,273050,3141,129335,22176,
Mar-22 21:22:12,73.618,25.879,0.503,0,0,0,2629632,0,0,0,18,0,56.410,15.350,6.770,3590352896,1754357760,10541813760,12516167680,0,0,22,0,778,0,16,1835008,1021571072,80552,230710,0,16480,348460,0,0,6,56,12,10,58,0,1073,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,181866,183438,215750,0,0,0,0,0,280706,3141,150747,22176,
Mar-22 21:22:13,72.031,24.777,3.193,0,0,0,0,0,0,0,16,0,56.410,15.350,6.770,3567562752,1777876992,10541084672,12538961920,0,0,15,0,552,0,0,1835008,1021571072,38885,190923,0,15648,348316,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,174597,178805,171199,0,0,0,0,0,289286,3141,139858,22176,
Mar-22 21:22:14,47.520,15.013,37.206,0.261,0,49152,17801216,0,0,0,61,0,52.130,15.150,6.750,3430699008,1913286656,10542538752,12675895296,0,0,2,0,466,12,376,1835008,1021571072,18047,274564,0,13792,348189,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,112582,113015,151152,0,0,0,0,0,307451,3141,156332,22176,
Mar-22 21:22:15,16.076,2.152,81.772,0,0,0,0,0,0,0,15,0,52.130,15.150,6.750,3325906944,2018222080,10542395392,12780007424,0,0,0,0,3,0,0,1835008,1021571072,3691,31712,0,13120,348163,0,0,6,56,12,10,58,0,1077,19,22,0,0,7,12,0,8,1,20,6,56,868,54,814,0,1313,2688,58554,0,0,0,0,0,307537,3141,181865,22176,
Mar-22 21:22:16,6.391,0.627,92.857,0.125,0,0,0,0,0,0,18,0,52.130,15.150,6.750,3326308352,2017992704,10542223360,12779864064,0,1278,0,0,0,0,0,1835008,1021571072,1441,2357,0,13120,348166,0,0,6,56,12,10,58,0,1076,19,22,0,0,7,12,0,8,1,20,6,56,868,54,814,0,78,240,211,0,0,0,0,0,307537,3141,181809,22176,
Mar-22 21:22:17,6.784,1.633,91.583,0,0,0,0,0,0,0,16,0,52.130,15.150,6.750,3326541824,2017759232,10542223360,12779630592,0,920,0,0,8,0,0,1835008,1021571072,1650,3563,0,13120,348175,0,0,6,56,12,10,58,0,1076,19,22,0,0,7,12,0,8,1,20,6,56,868,54,814,0,1374,1560,1506,0,0,0,0,0,307537,3141,181752,22176,
Mar-22 21:22:18,7.692,1.513,90.668,0.126,0,0,2179072,0,0,0,15,0,52.130,15.150,6.750,3326042112,2018082816,10542399488,12778696704,0,920,0,0,1,0,32,1835008,1021571072,1617,2727,0,13120,348190,0,0,6,56,12,10,58,0,1075,19,22,0,0,7,12,0,8,1,20,6,56,868,54,814,0,1573,1534,1800,0,0,0,0,0,307801,3141,181567,22176,
Mar-22 21:22:19,7.673,2.013,90.189,0.126,0,57344,6848512,0,0,0,24,0,48.200,14.950,6.720,3328856064,2015272960,10542395392,12775911424,1249,4112,0,0,8,14,40,1835008,1021571072,1729,4420,0,13120,348191,0,0,6,56,12,10,58,0,1075,19,22,0,0,7,12,0,9,1,20,6,56,868,54,814,0,1338,2361,2394,0,0,0,0,0,307801,3141,180881,22176,
