"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/all_with_default_time.csv --bytes --cpu --disk --page --int --load --mem --net --proc --io --swap --sys --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones 1 600",,,,"Date:","23 Mar 2023 13:32:03 -03"
"total cpu usage",,,,,"dsk/total",,"paging",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"io/total",,"swap",,"system",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,
"usr","sys","idl","wai","stl","read","writ","in","out","138","139","140","1m","5m","15m","used","free","cach","avai","recv","send","run","blk","new","read","writ","used","free","int","csw","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH"
4.236,1.556,94.111,0.097,0,121051.271,1052474.636,2.343,718.159,0.000,42.918,0.018,0.880,0.950,1.220,5295407104,2830241792,7849222144,11126423552,0,0,21,0,13.856,5.487,48.087,108527616,914878464,1443.406,6001.641,0,13888,180585,0,0,5,84,12,13,83,0,1211,25,36,0,0,7,23,0,7,2,28,14,56,979,55,924,0.235,4931.593,5438.561,5509.301,37.571,0,0,0.010,0,159314,3141,527986,22688
14.428,5.100,80.473,0,0,0,0,0,0,0,174,0,0.880,0.950,1.220,5302579200,2820878336,7851413504,11117518848,262799,19429,2,0,0,0,0,108527616,914878464,3951,13454,0,14240,180914,0,0,5,84,12,13,83,0,1212,25,36,0,0,7,23,0,7,2,28,15,56,979,55,924,0,2558,7081,2614,0,0,0,0,0,159314,3141,523862,22688
15.148,2.094,82.512,0.246,0,0,1073152,0,0,0,119,0,0.970,0.970,1.220,5309194240,2803351552,7862325248,11105206272,6477,7939,1,0,0,0,28,108527616,914878464,2959,8564,0,14336,180949,0,0,5,84,12,13,83,0,1209,25,33,0,0,7,23,0,7,2,25,15,56,979,55,924,0,2678,4160,2206,0,0,0,0,0,159314,3141,521770,22688
10.013,3.254,86.733,0,0,0,0,0,0,0,128,0,0.970,0.970,1.220,5310455808,2802262016,7862153216,11104210944,6893,8507,2,0,7,0,0,108527616,914878464,2850,7901,0,14336,181099,0,0,5,84,12,13,83,0,1209,25,33,0,0,7,23,0,7,2,25,15,56,979,55,924,0,1589,2164,2272,0,0,0,0,0,159314,3141,521504,22688
11.248,3.214,85.414,0.124,0,0,0,0,0,0,142,0,0.970,0.970,1.220,5312606208,2801356800,7860908032,11105239040,6184,8004,2,0,1,0,0,108527616,914878464,2884,7343,0,14112,180802,0,0,5,84,12,13,83,0,1209,25,33,0,0,7,23,0,7,2,25,15,56,979,55,924,0,136,787,921,0,0,0,0,0,159314,3141,521283,22688
10.559,4.845,84.596,0,0,0,9175040,0,0,0,121,0,0.970,0.970,1.220,5315051520,2797604864,7862214656,11101487104,6314,7764,2,0,8,0,552,108527616,914878464,3029,9247,0,14080,180813,0,0,5,84,12,13,83,0,1209,25,33,0,0,7,23,0,7,2,25,15,56,979,55,924,0,1446,3507,3136,0,0,0,0,0,159314,3141,520367,22688
11.304,2.981,85.714,0,0,0,0,0,0,0,120,0,0.970,0.970,1.220,5303242752,2812952576,7858675712,11113148416,6294,7840,1,0,0,0,0,108527616,914878464,2761,7455,0,14080,180783,0,0,5,84,12,13,83,0,1209,25,33,0,0,7,23,0,7,2,25,15,56,979,55,924,0,152,822,5422,0,0,0,0,0,159314,3141,523990,22688
11.692,2.985,85.199,0.124,0,0,507904,0,0,0,126,0,1.050,0.990,1.220,5304360960,2811768832,7858741248,11111981056,6580,8234,2,0,0,0,32,108527616,914878464,2933,7741,0,14080,180786,0,0,5,84,12,13,83,0,1209,25,33,0,0,7,23,0,6,2,25,15,56,979,55,924,0,340,1072,1437,0,0,0,0,0,159314,3141,523825,22688
11.946,4.433,83.498,0.123,0,16384,0,0,0,0,180,0,1.050,0.990,1.220,5293719552,2826293248,7854858240,11116531712,362343,20741,4,0,26,4,0,108527616,914878464,3160,13590,0,14080,179681,0,0,5,84,12,13,83,0,1210,25,33,0,0,7,23,0,6,2,25,16,56,979,55,924,0,5727,8064,10491,0,0,0,0,0,159314,3141,527371,22688
