"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/cpu.csv --bytes --time --cpu 1 600",,,,"Date:","23 Mar 2023 13:32:03 -03"
"system","total cpu usage",,,,
"time","usr","sys","idl","wai","stl"
Mar-23 13:32:03,4.236,1.556,94.111,0.097,0
Mar-23 13:32:04,11.386,3.960,84.653,0,0
Mar-23 13:32:05,15.118,2.107,82.528,0.248,0
Mar-23 13:32:06,9.387,3.129,87.484,0,0
Mar-23 13:32:07,12.084,3.206,84.587,0.123,0
Mar-23 13:32:08,10.448,4.975,84.577,0,0
Mar-23 13:32:09,11.290,2.978,85.732,0,0
Mar-23 13:32:10,12.035,2.978,84.864,0.124,0
Mar-23 13:32:11,11.591,5.179,83.107,0.123,0
Mar-23 13:32:12,13.043,2.484,84.348,0.124,0
Mar-23 13:32:13,12.080,4.857,83.064,0,0
Mar-23 13:32:14,12.207,3.083,84.587,0.123,0
Mar-23 13:32:15,10.649,8.182,81.039,0.130,0
Mar-23 13:32:16,10.714,13.138,76.148,0,0
Mar-23 13:32:17,11.602,6.053,82.219,0.126,0
Mar-23 13:32:18,11.097,4.489,84.414,0,0
Mar-23 13:32:19,16.855,2.767,80.252,0.126,0
Mar-23 13:32:20,13.983,5.368,80.524,0.125,0
Mar-23 13:32:21,23.552,5.542,70.781,0.126,0
Mar-23 13:32:22,12.140,2.753,85.106,0,0
Mar-23 13:32:23,12.020,3.346,84.511,0.124,0
Mar-23 13:32:24,12.702,2.989,84.184,0.125,0
Mar-23 13:32:25,11.801,3.106,85.093,0,0
Mar-23 13:32:26,13.308,2.363,84.204,0.124,0
Mar-23 13:32:27,11.837,3.453,84.710,0,0
Mar-23 13:32:28,11.414,3.846,84.491,0.248,0
Mar-23 13:32:29,11.955,3.736,84.309,0,0
Mar-23 13:32:30,13.988,3.926,81.963,0.123,0
Mar-23 13:32:31,13.879,4.089,81.908,0.124,0
Mar-23 13:32:32,13.366,4.253,82.260,0.122,0
Mar-23 13:32:33,14.321,2.491,83.064,0.125,0
Mar-23 13:32:34,11.015,3.465,85.396,0.124,0
Mar-23 13:32:35,11.304,3.230,85.342,0.124,0
Mar-23 13:32:36,12.287,5.109,82.482,0.122,0
Mar-23 13:32:37,11.852,4.691,83.457,0,0
Mar-23 13:32:38,12.530,5.353,81.995,0.122,0
Mar-23 13:32:39,15.479,5.037,79.361,0.123,0
Mar-23 13:32:40,13.551,2.258,84.065,0.125,0
Mar-23 13:32:41,11.358,4.074,84.568,0,0
Mar-23 13:32:42,12.189,3.483,84.204,0.124,0
Mar-23 13:32:43,11.290,3.722,84.864,0.124,0
Mar-23 13:32:44,11.180,3.851,84.845,0.124,0
Mar-23 13:32:45,12.084,3.576,84.217,0.123,0
Mar-23 13:32:46,11.083,4.110,84.807,0,0
Mar-23 13:32:47,14.232,2.747,82.772,0.250,0
Mar-23 13:32:48,10.237,3.870,85.768,0.125,0
Mar-23 13:32:49,11.721,3.865,84.289,0.125,0
Mar-23 13:32:50,11.831,3.985,84.184,0,0
Mar-23 13:32:51,12.159,3.226,84.491,0.124,0
Mar-23 13:32:52,11.567,3.731,84.577,0.124,0
Mar-23 13:32:53,10.414,3.262,86.198,0.125,0
Mar-23 13:32:54,13.965,2.743,83.167,0.125,0
Mar-23 13:32:55,11.070,3.358,85.448,0.124,0
Mar-23 13:32:56,14.920,3.946,81.134,0,0
Mar-23 13:32:57,12.298,3.602,83.975,0.124,0
Mar-23 13:32:58,11.970,4.863,83.042,0.125,0
Mar-23 13:32:59,11.166,3.598,85.112,0.124,0
Mar-23 13:33:00,11.180,4.099,84.720,0,0
Mar-23 13:33:01,13.092,4.613,82.170,0.125,0
Mar-23 13:33:02,11.056,3.727,85.217,0,0
Mar-23 13:33:03,13.043,3.975,82.857,0.124,0
Mar-23 13:33:04,11.372,3.832,84.672,0.124,0
Mar-23 13:33:05,10.186,3.230,86.584,0,0
Mar-23 13:33:06,11.208,2.491,86.177,0.125,0
Mar-23 13:33:07,9.963,4.608,85.430,0,0
Mar-23 13:33:08,13.927,3.011,82.936,0.125,0
Mar-23 13:33:09,10.905,2.974,85.998,0.124,0
Mar-23 13:33:10,11.443,2.985,85.448,0.124,0
Mar-23 13:33:11,13.158,3.258,83.584,0,0
Mar-23 13:33:12,12.963,4.074,82.840,0.123,0
Mar-23 13:33:13,11.276,4.461,84.139,0.124,0
Mar-23 13:33:14,11.125,4.875,83.875,0.125,0
Mar-23 13:33:15,14.969,3.313,81.718,0,0
Mar-23 13:33:16,11.663,3.102,85.112,0.124,0
Mar-23 13:33:17,12.099,3.951,83.951,0,0
Mar-23 13:33:18,11.524,3.470,84.882,0.124,0
Mar-23 13:33:19,11.057,3.440,85.381,0.123,0
Mar-23 13:33:20,11.471,3.491,84.913,0.125,0
Mar-23 13:33:21,11.208,2.989,85.679,0.125,0
Mar-23 13:33:22,14.091,2.967,82.942,0,0
Mar-23 13:33:23,12.515,3.681,83.681,0.123,0
Mar-23 13:33:24,11.344,3.206,85.327,0.123,0
Mar-23 13:33:25,11.152,3.965,84.882,0,0
Mar-23 13:33:26,11.330,3.448,85.099,0.123,0
Mar-23 13:33:27,11.333,5.106,83.562,0,0
Mar-23 13:33:28,12.252,3.094,84.530,0.124,0
Mar-23 13:33:29,13.892,2.503,83.479,0.125,0
Mar-23 13:33:30,22.305,4.833,72.243,0.620,0
Mar-23 13:33:31,18.926,4.348,76.726,0,0
Mar-23 13:33:32,26.173,5.926,67.778,0.123,0
Mar-23 13:33:33,20.177,4.161,75.536,0.126,0
Mar-23 13:33:34,13.194,3.576,83.107,0.123,0
Mar-23 13:33:35,13.861,4.827,80.446,0.866,0
Mar-23 13:33:36,17.168,3.008,79.825,0,0
Mar-23 13:33:37,9.193,3.478,87.205,0.124,0
Mar-23 13:33:38,9.023,4.079,86.650,0.247,0
Mar-23 13:33:39,10.546,3.846,85.360,0.248,0
Mar-23 13:33:40,10.481,3.699,85.203,0.617,0
Mar-23 13:33:41,10.184,3.190,86.503,0.123,0
Mar-23 13:33:42,11.247,3.301,85.086,0.367,0
Mar-23 13:33:43,13.168,1.988,84.845,0,0
Mar-23 13:33:44,9.701,3.358,86.816,0.124,0
Mar-23 13:33:45,9.630,3.704,86.543,0.123,0
Mar-23 13:33:46,9.305,3.474,87.221,0,0
Mar-23 13:33:47,9.518,3.585,86.774,0.124,0
Mar-23 13:33:48,8.696,2.857,88.323,0.124,0
Mar-23 13:33:49,9.765,3.832,86.403,0,0
Mar-23 13:33:50,13.366,2.104,84.282,0.248,0
Mar-23 13:33:51,9.214,3.808,86.855,0.123,0
Mar-23 13:33:52,8.685,4.094,87.221,0,0
Mar-23 13:33:53,7.865,3.371,88.639,0.125,0
Mar-23 13:33:54,10.468,3.571,85.837,0.123,0
Mar-23 13:33:55,9.864,3.946,85.697,0.493,0
Mar-23 13:33:56,9.753,3.333,86.790,0.123,0
Mar-23 13:33:57,11.765,2.253,85.857,0.125,0
Mar-23 13:33:58,9.418,3.346,87.237,0,0
Mar-23 13:33:59,9.340,2.740,87.796,0.125,0
Mar-23 13:34:00,10.559,2.981,86.211,0.248,0
Mar-23 13:34:01,9.518,4.326,85.785,0.371,0
Mar-23 13:34:02,9.963,2.829,87.208,0,0
Mar-23 13:34:03,9.348,4.305,86.224,0.123,0
Mar-23 13:34:04,12.718,1.621,85.661,0,0
Mar-23 13:34:05,9.317,2.981,87.453,0.248,0
Mar-23 13:34:06,9.594,3.075,87.208,0.123,0
Mar-23 13:34:07,9.864,3.083,87.053,0,0
Mar-23 13:34:08,9.753,3.210,86.790,0.247,0
Mar-23 13:34:09,10.197,3.440,86.364,0,0
Mar-23 13:34:10,9.429,2.978,87.469,0.124,0
Mar-23 13:34:11,13.141,2.879,83.605,0.375,0
Mar-23 13:34:12,9.840,2.829,87.331,0,0
Mar-23 13:34:13,10.513,4.401,84.963,0.122,0
Mar-23 13:34:14,9.113,4.433,86.330,0.123,0
Mar-23 13:34:15,10.851,2.589,86.436,0.123,0
Mar-23 13:34:16,9.804,3.799,86.397,0,0
Mar-23 13:34:17,15.686,3.309,80.882,0.123,0
Mar-23 13:34:18,12.219,2.494,85.162,0.125,0
Mar-23 13:34:19,10.332,3.198,86.470,0,0
