"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/cpu_fs_io_vm.csv --cpu --fs --io --vm 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"total cpu usage",,,,,"filesystem",,"io/total",,"virtual memory",,,
"usr","sys","idl","wai","stl","files","inodes","read","writ","majpf","minpf","alloc","free"
4.259,1.563,94.080,0.097,0,13984,182327,5.467,48.227,0.235,4925.437,5437.602,5507.929
13.165,3.671,83.165,0,0,14528,182889,0,0,0,11216,16093,11177
9.102,2.743,88.030,0.125,0,14560,182889,0,0,0,218,888,862
9.560,3.019,87.296,0.126,0,14528,182878,0,34,0,907,1554,2003
8.586,3.283,88.005,0.126,0,14336,182579,0,86,0,220,1706,2729
10.311,4.099,85.590,0,0,14144,182382,0,0,0,1650,2125,2660
9.789,4.089,85.998,0.124,0,14080,181274,0,0,0,1524,2320,9210
13.507,2.107,84.387,0,0,14080,181297,0,0,0,683,1729,7501
8.739,3.496,87.640,0.125,0,14080,181258,0,40,0,1002,1868,3543
9.068,3.149,87.783,0,0,14080,181311,0,0,0,1766,3297,3783
8.020,4.135,87.719,0.125,0,14080,181283,0,1090,0,1565,4571,4968
9.642,3.214,87.021,0.124,0,14080,181283,0,0,0,1614,2164,2524
8.575,2.774,88.651,0,0,14048,181283,0,0,0,256,822,3814
9.149,3.558,87.166,0.127,0,14048,181283,0,22,0,1341,2968,2323
12.020,2.850,85.006,0.124,0,14080,181307,0,0,0,3234,4433,4552
8.625,3.625,87.625,0.125,0,14112,181310,0,226,0,1787,2772,2793
9.022,4.574,86.404,0,0,14016,182381,0,0,0,43204,66113,26800
10.186,2.981,86.708,0.124,0,14048,182380,0,0,0,522,920,1491
9.536,3.011,87.453,0,0,14048,182353,0,48,0,755,1699,2201
9.262,3.379,87.234,0.125,0,14016,182352,0,0,0,244,725,1247
8.010,4.631,87.234,0.125,0,14048,182351,0,64,1,1930,3178,3294
11.860,2.871,85.268,0,0,14080,182376,0,0,0,2586,3691,3407
8.787,3.465,87.624,0.124,0,14080,182381,0,0,0,224,1048,762
9.285,3.764,86.700,0.251,0,14048,182381,0,82,0,284,959,1089
9.738,3.995,86.142,0.125,0,14080,182391,0,28,0,6377,8112,4886
10.644,4.455,84.777,0.124,0,14016,182393,0,214,0,2164,3894,3766
9.750,4.125,86.125,0,0,14048,182365,0,0,0,2436,3095,8123
10.585,3.362,85.928,0.125,0,14016,182364,0,36,0,1276,2381,2725
12.516,2.628,84.856,0,0,14048,182387,0,0,0,1709,3221,2367
8.614,3.121,88.140,0.125,0,14016,182395,0,0,0,379,1190,825
9.387,4.005,86.608,0,0,14048,182400,0,468,0,1518,2647,2280
8.647,3.759,87.469,0.125,0,14048,182402,0,0,0,3025,4693,4047
9.238,3.870,86.767,0.125,0,14048,182376,0,38,0,479,960,1545
9.091,2.904,88.005,0,0,14048,182376,0,0,0,343,841,737
9.625,3,87.250,0.125,0,14048,182377,0,0,0,239,989,716
11.543,2.133,86.198,0.125,0,14080,182399,0,64,0,1177,3157,12932
10.692,3.396,85.912,0,0,14080,182403,0,0,0,2928,4451,4285
9.057,2.767,88.050,0.126,0,14048,182403,0,44,0,519,1104,1324
7.885,3.630,88.360,0.125,0,14048,182403,0,0,0,371,841,1031
9.308,3.270,87.421,0,0,14048,182384,0,0,0,5731,7318,2734
8.706,3.856,87.313,0.124,0,14048,182386,0,82,0,220,1731,1680
8.931,3.522,87.547,0,0,14016,182390,0,0,0,3701,4346,4252
11.486,2.372,86.017,0.125,0,14016,182412,0,32,0,4579,6316,15314
8.886,3.379,87.484,0.250,0,14048,181306,0,80,0,903,1784,6005
9.601,3.491,86.908,0,0,14048,181305,0,0,0,515,845,943
9.500,3.750,86.625,0.125,0,14048,181306,0,48,0,1056,2220,1947
8.521,4.511,86.842,0.125,0,14016,181288,0,38,0,8801,10854,8525
9.458,2.900,87.516,0.126,0,14048,181288,0,0,0,264,782,1541
10.311,3.478,86.211,0,0,14048,181288,0,0,0,721,1190,1022
11.735,2.247,85.893,0.125,0,14080,181314,0,0,0,620,2025,14662
9.799,2.261,87.688,0.251,0,14112,181319,0,8,0,225,1288,1068
8.614,4.869,86.517,0,0,14048,181315,0,1570,0,2835,5266,6247
14.125,3.125,82.625,0.125,0,14048,181316,0,16,0,2035,2795,3116
9,3.375,87.500,0.125,0,14048,181290,0,0,0,469,1254,1608
10.513,4.881,84.606,0,0,14048,182409,0,0,0,42673,65093,27089
11.481,3.210,85.185,0.123,0,14080,182361,0,0,0,742,1741,2849
11.194,4.353,84.328,0.124,0,14080,182372,0,260,0,4022,6689,6612
9.738,2.871,87.266,0.125,0,14080,182380,2,0,1,775,1404,1908
9.512,3.630,86.733,0.125,0,14080,182380,0,0,0,725,1224,725
8.593,3.238,88.169,0,0,14080,182378,0,0,0,636,1105,1434
8.696,3.975,87.205,0.124,0,14048,182350,0,0,0,237,720,1284
10.461,4.981,84.309,0.249,0,14048,182360,0,122,0,8627,11191,10969
9.649,3.008,87.343,0,0,14048,182360,0,0,0,243,746,741
11.083,2.393,86.398,0.126,0,14080,182383,0,0,0,2072,2823,6960
9.285,2.384,88.206,0.125,0,14112,182388,0,0,0,1044,2111,1306
9.714,3.238,86.924,0.125,0,14080,182388,0,26,0,812,1357,1035
9.848,3.283,86.742,0.126,0,14112,182388,0,478,0,4534,7314,7058
9.091,2.652,88.131,0.126,0,14080,182359,0,0,0,871,1378,2359
10.250,4.125,85.625,0,0,14048,182361,0,0,0,1279,2373,1989
9.217,3.535,87.121,0.126,0,14048,182372,2,0,1,6551,8089,6827
10.038,2.760,87.077,0.125,0,14080,182394,0,14,0,1552,2474,11286
10.100,4.239,85.536,0.125,0,14048,182400,0,190,0,2247,3793,3786
8.728,3.242,87.905,0.125,0,14048,182395,0,0,0,905,1983,7133
9.950,3.731,86.318,0,0,14016,182399,0,0,0,942,2005,4705
9.023,3.258,87.594,0.125,0,14016,182369,0,0,0,271,1258,2182
8.312,3.401,88.287,0,0,14016,182369,0,0,0,267,738,696
9.762,3.630,86.358,0.250,0,14016,182378,0,100,0,7864,10303,6954
10.971,2.018,87.011,0,0,14016,182401,0,0,0,2283,3116,2414
10.063,2.264,87.547,0.126,0,14048,182406,0,0,0,281,1370,692
9.194,2.897,87.909,0,0,14048,182406,0,0,0,260,824,17769
10.100,2.868,86.783,0.249,0,14048,182407,0,0,0,207,720,724
8.886,4.130,86.358,0.626,0,14080,182407,0,126,0,1903,3413,3617
8.071,3.657,88.272,0,0,14048,181269,0,0,0,1531,2194,10222
9.422,2.764,87.688,0.126,0,14080,181268,0,0,0,649,1102,1099
11.779,4.010,84.211,0,0,14080,181303,0,90,0,7502,9933,10101
9.524,2.506,87.845,0.125,0,14048,181308,0,0,0,484,1423,701
8.657,4.768,86.449,0.125,0,14048,181306,0,1916,0,2047,4252,4102
8.438,3.904,87.657,0,0,14080,181306,0,0,0,1533,2101,3004
9.250,2.500,88.125,0.125,0,14080,181305,0,0,0,374,854,803
9.577,3.731,86.567,0.124,0,14112,181280,0,30,0,355,1087,1511
9,3.625,87.250,0.125,0,14112,181280,0,0,0,405,916,894
13.174,5.270,81.430,0.125,0,15104,182366,0,338,0,41590,64703,33724
10.930,2.764,86.307,0,0,14016,182376,0,0,0,4664,7181,2942
10.186,3.106,86.584,0.124,0,14016,182377,0,0,0,795,968,1138
8.853,3.865,87.157,0.125,0,13984,182376,0,40,0,352,1076,1212
8.407,3.639,87.829,0.125,0,13984,182348,0,0,0,255,757,1366
9.625,3.625,86.625,0.125,0,14048,182348,0,48,0,1965,2714,2143
9.294,4.089,86.493,0.124,0,14048,182347,0,60,0,1499,2733,3180
11.443,3.109,85.448,0,0,14080,182370,0,0,0,1784,2373,11990
11.014,2.879,85.982,0.125,0,14080,182431,0,0,0,6179,8540,4993
