"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/cpu_io_load_udp_tcp_disk_mem_int_vm.csv --cpu --io --load --udp --tcp --disk --mem --int --vm 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"total cpu usage",,,,,"io/total",,"load avg",,,"udp",,"tcp sockets",,,,,"dsk/total",,"memory usage",,,,"interrupts",,,"virtual memory",,,
"usr","sys","idl","wai","stl","read","writ","1m","5m","15m","lis","act","lis","act","syn","tim","clo","read","writ","used","free","cach","avai","138","139","140","majpf","minpf","alloc","free"
4.263,1.469,94.211,0.057,0,5.339,35.602,1.200,2.950,4,17,6,7,11,0,6,2,145421.484,772264.378,3144069120,2210217984,10532171776,12848783360,0.000,43.578,0.023,0.301,3884.667,4321.767,4372.401
8.385,3.880,87.610,0.125,0,0,0,1.180,2.920,3.980,17,6,7,11,0,6,2,0,0,3152678912,2201841664,10531938304,12840439808,0,20,0,0,6608,6950,3026
3.526,2.519,93.955,0,0,0,0,1.180,2.920,3.980,17,6,7,11,0,6,2,0,0,3154100224,2200080384,10532278272,12838686720,0,17,0,0,601,4188,4030
3.657,1.765,94.451,0.126,0,101,2,1.180,2.920,3.980,17,6,7,11,0,6,2,349184,8192,3154792448,2190057472,10541608960,12828491776,0,17,0,0,550,3322,1041
4.156,2.141,93.325,0.378,0,281,6,1.180,2.920,3.980,17,6,7,13,0,6,1,1021952,24576,3155546112,2189295616,10541617152,12827738112,0,31,0,0,792,1065,603
7.865,3.496,88.514,0.125,0,0,0,1.180,2.920,3.980,17,6,7,13,0,6,1,0,0,3352449024,1987522560,10546487296,12631941120,0,65,0,0,53763,76818,25245
5.409,1.887,92.579,0.126,0,0,44,1.170,2.890,3.970,17,6,7,13,0,6,1,0,2572288,3350691840,1987784704,10547982336,12632399872,0,21,0,0,1351,3104,2723
4.408,0.882,94.710,0,0,0,0,1.170,2.890,3.970,20,6,7,13,0,6,1,0,0,3352420352,1985003520,10549035008,12629630976,0,24,0,0,133,1019,777
3.246,1.124,95.506,0.125,0,0,0,1.170,2.890,3.970,20,6,7,13,0,6,1,0,0,3354718208,1984012288,10547728384,12628643840,0,89,0,0,132,314,586
2.136,0.754,97.111,0,0,0,0,1.170,2.890,3.970,20,6,7,13,0,6,1,0,0,3354705920,1983766528,10547986432,12628398080,0,47,0,0,337,150,157
2.136,1.131,96.482,0.251,0,0,0,1.170,2.890,3.970,20,6,7,13,0,6,1,0,0,3356798976,1982992384,10546667520,12627636224,0,16,0,0,1838,1594,1928
2.503,1.126,95.995,0.375,0,0,0,1.160,2.860,3.950,20,6,7,13,0,6,1,0,0,3358023680,1980698624,10547736576,12625342464,0,36,0,0,1199,1654,1076
2.138,0.755,96.855,0.252,0,0,24,1.160,2.860,3.950,17,6,7,13,0,6,1,0,139264,3360038912,1978130432,10548289536,12622782464,0,14,0,0,479,839,838
3.509,1.378,94.987,0.125,0,0,0,1.160,2.860,3.950,17,6,7,13,0,6,1,0,0,3360669696,1977884672,10547904512,12621864960,0,19,0,0,789,665,970
1.637,1.008,97.103,0.252,0,0,1714,1.160,2.860,3.950,17,6,7,13,0,6,1,0,17063936,3361701888,1976573952,10548183040,12620570624,0,14,0,0,60,2409,2288
1.508,1.256,97.111,0.126,0,0,0,1.160,2.860,3.950,17,6,7,13,0,6,1,0,0,3362807808,1976332288,10547318784,12620328960,0,14,0,0,1377,1420,1683
2.516,0.881,96.478,0.126,0,0,0,1.140,2.830,3.930,17,6,7,13,0,6,1,0,0,3363528704,1975078912,10547851264,12619075584,0,19,0,0,156,445,285
2.519,1.134,96.222,0.126,0,0,44,1.140,2.830,3.930,17,6,7,15,0,6,0,0,1785856,3364208640,1973858304,10548391936,12617879552,0,68,0,0,1620,2077,1941
2.378,0.751,96.746,0.125,0,0,0,1.140,2.830,3.930,17,6,7,15,0,6,0,0,0,3364724736,1973858304,10547875840,12617887744,0,15,0,0,62,144,265
3.396,1.509,95.094,0,0,0,0,1.140,2.830,3.930,17,6,7,15,0,6,0,0,0,3364941824,1973858304,10547658752,12617887744,0,28,0,0,108,205,228
3.639,1.380,94.856,0.125,0,0,0,1.140,2.830,3.930,17,6,7,15,0,6,0,0,0,3365642240,1973342208,10547474432,12617506816,0,22,0,0,1622,1788,1694
2.264,1.006,96.730,0,0,0,0,1.130,2.800,3.920,17,6,7,15,0,6,0,0,0,3365097472,1973342208,10548019200,12617560064,0,18,0,0,343,435,297
2.635,1.882,95.107,0.376,0,0,0,1.130,2.800,3.920,17,6,7,15,0,6,0,0,0,3365105664,1973342208,10548011008,12617560064,0,16,0,0,1822,1868,1834
2.010,0.754,96.734,0.503,0,0,36,1.130,2.800,3.920,17,6,7,15,0,6,0,0,204800,3365593088,1972580352,10548285440,12616798208,0,46,0,0,76,307,191
2.635,1.004,96.361,0,0,0,0,1.130,2.800,3.920,17,6,7,15,0,6,0,0,0,3366129664,1972580352,10547748864,12616527872,0,14,0,0,154,141,328
2.264,1.258,96.352,0.126,0,0,0,1.130,2.800,3.920,17,6,7,15,0,6,0,0,0,3367432192,1972322304,10546704384,12616286208,0,14,0,0,1652,1463,1683
2.264,0.755,96.981,0,0,0,0,1.120,2.770,3.900,17,6,7,15,0,6,0,0,0,3366064128,1972322304,10548072448,12617244672,0,19,0,0,63,567,551
2.396,1.261,96.217,0.126,0,0,28,1.120,2.770,3.900,17,6,7,15,0,6,0,0,548864,3367616512,1971302400,10547539968,12616278016,0,16,0,0,1399,1820,1958
2.757,0.752,96.241,0.251,0,0,42,1.120,2.770,3.900,17,6,7,15,0,6,0,0,352256,3367505920,1971302400,10547650560,12617924608,0,15,0,0,265,371,222
2.267,1.008,96.599,0.126,0,0,532,1.120,2.770,3.900,17,6,7,15,0,5,0,0,3735552,3367731200,1970552832,10548174848,12617195520,0,34,0,0,334,738,600
5.535,1.761,92.704,0,0,0,0,1.120,2.770,3.900,17,6,7,15,0,6,0,0,0,3366662144,1972142080,10547654656,12618792960,0,28,0,0,1845,2260,4012
2.886,0.753,96.236,0.125,0,0,0,1.030,2.720,3.880,17,6,7,15,0,6,0,0,0,3366629376,1972166656,10547662848,12618821632,0,26,0,0,79,157,214
2.904,1.010,96.086,0,0,0,0,1.030,2.720,3.880,17,6,7,15,1,6,0,0,0,3366068224,1972191232,10548199424,12618858496,0,19,0,0,1395,1570,1421
3.870,1.623,94.382,0.125,0,0,0,1.030,2.720,3.880,17,6,7,15,1,5,0,0,0,3344150528,1993916416,10548391936,12624052224,0,15,0,0,1086,1742,5446
3.788,1.515,94.444,0.253,0,0,40,1.030,2.720,3.880,17,6,7,15,1,5,0,0,401408,3344674816,1993916416,10547867648,12624084992,0,16,0,0,561,1423,1535
4.135,2.130,93.609,0.125,0,0,0,1.030,2.720,3.880,17,6,7,15,1,5,0,0,0,3346194432,1999097856,10541187072,12623269888,0,56,0,0,1439,2555,4557
3.741,2.120,94.140,0,0,0,0,1.030,2.690,3.860,17,6,7,15,1,5,0,0,0,3345883136,1998864384,10541731840,12623044608,0,37,0,0,137,1253,1120
3.985,2.491,93.400,0.125,0,0,0,1.030,2.690,3.860,17,6,7,15,1,5,0,0,0,3345793024,1998946304,10541740032,12623126528,0,18,0,0,1626,2421,2258
3.851,2.112,94.037,0,0,0,0,1.030,2.690,3.860,17,6,7,15,1,5,0,0,0,3346333696,1998946304,10541199360,12623126528,0,20,0,0,59,944,1192
2.868,1.995,94.514,0.623,0,0,36,1.030,2.690,3.860,17,6,7,15,1,4,0,0,1351680,3345747968,1998987264,10541744128,12623175680,0,15,0,0,67,1349,1233
4.135,2.506,93.358,0,0,0,390,1.030,2.690,3.860,17,6,7,15,1,4,0,0,3260416,3345883136,1999867904,10540728320,12625141760,0,16,0,0,1559,2804,3430
4.250,1.750,93.875,0.125,0,0,0,1.110,2.680,3.850,17,6,7,15,1,5,0,0,0,3345444864,1998974976,10542059520,12624257024,0,76,0,0,326,1444,1049
3.750,2.125,94.125,0,0,0,0,1.110,2.680,3.850,17,6,7,15,1,5,0,0,0,3346173952,1998512128,10541793280,12623794176,0,21,0,0,1326,2222,2339
4.489,2.120,93.267,0.125,0,0,0,1.110,2.680,3.850,17,6,7,15,1,5,0,0,0,3346530304,1998036992,10541912064,12624883712,0,16,0,0,77,1120,986
2.886,2.008,94.856,0.251,0,0,0,1.110,2.680,3.850,17,6,7,15,1,5,0,0,0,3346980864,1997328384,10542170112,12624195584,0,15,0,0,123,945,938
3.750,1.750,94,0.500,0,0,20,1.110,2.680,3.850,17,6,7,15,1,5,0,0,344064,3348529152,1996304384,10541645824,12623171584,0,15,0,0,1665,2610,2624
3.367,1.496,95.012,0.125,0,0,0,1.100,2.650,3.840,17,6,7,15,1,5,0,0,0,3348955136,1995354112,10542170112,12621078528,0,18,0,0,40,1061,1355
3.234,2.985,93.657,0.124,0,0,0,1.100,2.650,3.840,17,6,7,15,1,5,0,0,0,3349032960,1995218944,10542227456,12620967936,0,50,0,0,2046,2910,2638
4.224,1.615,94.161,0,0,0,0,1.100,2.650,3.840,17,6,7,15,1,5,0,0,0,3350061056,1994190848,10542227456,12619984896,0,17,0,0,79,894,950
2.632,1.504,95.739,0.125,0,0,0,1.100,2.650,3.840,17,6,7,15,1,5,0,0,0,3350773760,1993469952,10542235648,12619264000,0,15,0,0,304,1067,1039
4.015,2.258,92.848,0.878,0,0,250,1.100,2.650,3.840,17,6,7,15,1,5,0,0,1482752,3358273536,1987289088,10540916736,12607193088,0,18,0,0,5604,23332,20937
3.759,2.882,93.108,0.251,0,0,46,1.010,2.610,3.820,17,6,7,15,1,5,0,0,2547712,3547750400,1790881792,10547847168,12417814528,0,15,0,0,47247,53736,4814
4.364,2.494,93.142,0,0,0,0,1.010,2.610,3.820,17,6,7,15,0,6,0,0,0,3547934720,1790201856,10548342784,12417204224,0,32,0,0,1425,2525,2401
