"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/disk.csv --time --disk 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","dsk/total",
"time","read","writ"
Mar-22 21:22:03,146084.403,771274.343
Mar-22 21:22:04,0,0
Mar-22 21:22:05,0,0
Mar-22 21:22:06,0,0
Mar-22 21:22:07,0,1515520
Mar-22 21:22:08,73728,10551296
Mar-22 21:22:09,0,0
Mar-22 21:22:10,0,0
Mar-22 21:22:11,0,0
Mar-22 21:22:12,0,2629632
Mar-22 21:22:13,0,0
Mar-22 21:22:14,49152,17801216
Mar-22 21:22:15,0,0
Mar-22 21:22:16,0,0
Mar-22 21:22:17,0,2179072
Mar-22 21:22:18,0,0
Mar-22 21:22:19,57344,6848512
Mar-22 21:22:20,0,0
Mar-22 21:22:21,0,0
Mar-22 21:22:22,0,0
Mar-22 21:22:23,0,516096
Mar-22 21:22:24,0,6045696
Mar-22 21:22:25,0,0
Mar-22 21:22:26,0,0
Mar-22 21:22:27,0,0
Mar-22 21:22:28,0,0
Mar-22 21:22:29,49152,15065088
Mar-22 21:22:30,0,0
Mar-22 21:22:31,0,0
Mar-22 21:22:32,0,0
Mar-22 21:22:33,0,0
Mar-22 21:22:34,73728,4988928
Mar-22 21:22:35,0,638976
Mar-22 21:22:36,0,0
Mar-22 21:22:37,0,0
Mar-22 21:22:38,0,0
Mar-22 21:22:39,40960,14606336
Mar-22 21:22:40,0,557056
Mar-22 21:22:41,0,0
Mar-22 21:22:42,0,0
Mar-22 21:22:43,0,0
Mar-22 21:22:44,0,17235968
Mar-22 21:22:45,0,548864
Mar-22 21:22:46,0,0
Mar-22 21:22:47,0,0
Mar-22 21:22:48,0,0
Mar-22 21:22:49,0,442368
Mar-22 21:22:50,0,0
Mar-22 21:22:51,0,344064
Mar-22 21:22:52,0,0
Mar-22 21:22:53,0,0
Mar-22 21:22:54,0,0
Mar-22 21:22:55,0,229376
Mar-22 21:22:56,0,1785856
Mar-22 21:22:57,0,0
Mar-22 21:22:58,0,0
Mar-22 21:22:59,0,0
Mar-22 21:23:00,0,12468224
Mar-22 21:23:01,0,1163264
Mar-22 21:23:02,0,1048576
Mar-22 21:23:03,0,0
Mar-22 21:23:04,0,0
Mar-22 21:23:05,0,3383296
Mar-22 21:23:06,0,0
Mar-22 21:23:07,0,524288
Mar-22 21:23:08,0,0
Mar-22 21:23:09,0,0
Mar-22 21:23:10,0,98304
Mar-22 21:23:11,0,2473984
Mar-22 21:23:12,0,0
Mar-22 21:23:13,0,0
Mar-22 21:23:14,0,0
Mar-22 21:23:15,0,1040384
Mar-22 21:23:16,0,1548288
Mar-22 21:23:17,0,0
Mar-22 21:23:18,0,0
Mar-22 21:23:19,0,0
Mar-22 21:23:20,0,18522112
Mar-22 21:23:21,0,0
Mar-22 21:23:22,0,0
Mar-22 21:23:23,0,1769472
Mar-22 21:23:24,0,0
Mar-22 21:23:25,0,0
Mar-22 21:23:26,0,0
Mar-22 21:23:27,0,0
Mar-22 21:23:28,0,204800
Mar-22 21:23:29,0,0
Mar-22 21:23:30,0,0
Mar-22 21:23:31,0,0
Mar-22 21:23:32,0,0
Mar-22 21:23:33,0,0
Mar-22 21:23:34,0,147456
Mar-22 21:23:35,0,0
Mar-22 21:23:36,0,0
Mar-22 21:23:37,0,0
Mar-22 21:23:38,0,0
Mar-22 21:23:39,0,0
Mar-22 21:23:40,0,1499136
Mar-22 21:23:41,0,4997120
Mar-22 21:23:42,0,0
Mar-22 21:23:43,0,0
Mar-22 21:23:44,0,0
Mar-22 21:23:45,0,0
Mar-22 21:23:46,0,352256
Mar-22 21:23:47,0,0
Mar-22 21:23:48,0,0
Mar-22 21:23:49,0,0
Mar-22 21:23:50,0,0
Mar-22 21:23:51,0,417792
Mar-22 21:23:52,0,0
Mar-22 21:23:53,0,0
Mar-22 21:23:54,0,0
Mar-22 21:23:55,0,0
Mar-22 21:23:56,0,2646016
Mar-22 21:23:57,32768,15876096
Mar-22 21:23:58,0,0
Mar-22 21:23:59,0,0
Mar-22 21:24:00,0,0
Mar-22 21:24:01,0,1523712
Mar-22 21:24:02,0,0
Mar-22 21:24:03,0,0
Mar-22 21:24:04,0,0
Mar-22 21:24:05,0,0
Mar-22 21:24:06,0,0
Mar-22 21:24:07,0,286720
Mar-22 21:24:08,0,0
Mar-22 21:24:09,0,0
Mar-22 21:24:10,0,0
Mar-22 21:24:11,0,0
Mar-22 21:24:12,0,0
Mar-22 21:24:13,0,253952
Mar-22 21:24:14,0,0
Mar-22 21:24:15,0,0
Mar-22 21:24:16,0,0
Mar-22 21:24:17,0,4571136
Mar-22 21:24:18,0,630784
Mar-22 21:24:19,0,0
Mar-22 21:24:20,0,0
Mar-22 21:24:21,0,0
Mar-22 21:24:22,0,0
Mar-22 21:24:23,0,0
Mar-22 21:24:24,0,114688
Mar-22 21:24:25,0,0
Mar-22 21:24:26,0,0
Mar-22 21:24:27,0,0
Mar-22 21:24:28,0,0
Mar-22 21:24:29,0,0
Mar-22 21:24:30,0,1318912
Mar-22 21:24:31,0,0
Mar-22 21:24:32,0,0
Mar-22 21:24:33,0,3522560
Mar-22 21:24:34,0,0
Mar-22 21:24:35,0,647168
Mar-22 21:24:36,0,0
Mar-22 21:24:37,0,0
Mar-22 21:24:38,0,0
Mar-22 21:24:39,0,0
Mar-22 21:24:40,0,253952
Mar-22 21:24:41,0,0
Mar-22 21:24:42,0,0
Mar-22 21:24:43,0,0
Mar-22 21:24:44,24576,13336576
Mar-22 21:24:45,0,0
Mar-22 21:24:46,0,2367488
Mar-22 21:24:47,0,0
Mar-22 21:24:48,0,0
Mar-22 21:24:49,0,0
Mar-22 21:24:50,0,0
Mar-22 21:24:51,0,491520
Mar-22 21:24:52,0,0
Mar-22 21:24:53,0,0
Mar-22 21:24:54,0,0
Mar-22 21:24:55,0,0
Mar-22 21:24:56,0,0
Mar-22 21:24:57,0,221184
Mar-22 21:24:58,0,0
Mar-22 21:24:59,0,4407296
Mar-22 21:25:00,0,0
Mar-22 21:25:01,0,0
Mar-22 21:25:02,0,376832
Mar-22 21:25:03,0,0
Mar-22 21:25:04,0,0
Mar-22 21:25:05,0,0
Mar-22 21:25:06,0,0
Mar-22 21:25:07,0,360448
Mar-22 21:25:08,0,0
Mar-22 21:25:09,0,0
Mar-22 21:25:10,0,0
Mar-22 21:25:11,0,1490944
Mar-22 21:25:12,0,3923968
Mar-22 21:25:13,0,0
Mar-22 21:25:14,0,0
Mar-22 21:25:15,0,0
Mar-22 21:25:16,0,466944
Mar-22 21:25:17,0,0
Mar-22 21:25:18,0,0
Mar-22 21:25:19,0,0
Mar-22 21:25:20,0,0
Mar-22 21:25:21,0,0
Mar-22 21:25:22,0,2555904
Mar-22 21:25:23,0,0
Mar-22 21:25:24,0,376832
