"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/disk_tcp_unix_vm-adv_fs_vm_cpu_load_sys_proc_lock_mem.csv --disk --tcp --unix --vm-adv --fs --vm --cpu --load --sys --proc --lock --mem 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"dsk/total",,"tcp sockets",,,,,"unix sockets",,,,"advanced virtual memory",,,,,"filesystem",,"virtual memory",,,,"total cpu usage",,,,,"load avg",,,"system",,"procs",,,"file locks",,,,"memory usage",,,
"read","writ","lis","act","syn","tim","clo","dgm","str","lis","act","steal","scanK","scanD","pgoru","astll","files","inodes","majpf","minpf","alloc","free","usr","sys","idl","wai","stl","1m","5m","15m","int","csw","run","blk","new","pos","lck","rea","wri","used","free","cach","avai"
120636.663,1055496.646,7,22,0,7,3,56,975,55,920,37.423,0,0,0.009,0,14176,182502,0.235,4925.462,5437.634,5507.966,4.259,1.563,94.080,0.097,0,1.320,1.250,1.260,1449.137,6016.426,6,0,13.822,83,12,13,82,5276581888,2750320640,7947988992,11137503232
0,0,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14528,182889,0,7230,11046,5323,10.250,3,86.750,0,0,1.320,1.250,1.260,2827,8753,2,0,8,83,12,13,82,5296517120,2726490112,7951884288,11118579712
0,0,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14528,182889,0,212,887,870,9.453,2.985,87.438,0.124,0,1.320,1.250,1.260,2596,6073,1,0,0,83,12,13,82,5297180672,2725560320,7952150528,11117699072
0,745472,7,21,1,7,3,56,975,55,920,0,0,0,0,0,14528,182878,0,905,1546,1995,9.343,3.030,87.500,0.126,0,1.210,1.230,1.250,2602,6668,4,0,0,83,12,13,82,5297242112,2725511168,7952138240,11114455040
0,8003584,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14336,182579,0,239,1720,2755,9.159,3.262,87.453,0.125,0,1.210,1.230,1.250,2577,5934,0,0,0,83,12,13,82,5301587968,2725085184,7948218368,11111567360
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14144,182383,0,1653,2160,2673,10.383,4.203,85.414,0,0,1.210,1.230,1.250,2798,7033,0,0,8,83,12,13,82,5301993472,2725576704,7947321344,11112058880
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14080,181274,0,1492,2245,9157,9.625,4,86.250,0.125,0,1.210,1.230,1.250,2577,6918,2,0,8,83,12,13,82,5275815936,2756501504,7942569984,11156668416
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,181302,0,685,2041,7501,12.907,1.880,85.213,0,0,1.210,1.230,1.250,2544,7070,4,0,0,83,12,13,82,5252919296,2777264128,7944704000,11164651520
0,1859584,7,22,0,7,3,56,977,55,922,0,0,0,0,0,14080,181268,0,1119,1708,3563,9.114,3.496,87.266,0.125,0,1.110,1.210,1.250,2564,6088,2,0,1,83,12,13,82,5246050304,2785591296,7943245824,11166257152
0,5488640,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14080,181311,0,1666,5463,5181,8.908,4.015,86.951,0.125,0,1.110,1.210,1.250,3599,10336,1,0,0,83,12,13,82,5239701504,2790604800,7944581120,11177111552
0,12607488,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14080,181283,0,1589,2310,3598,7.865,3.371,88.764,0,0,1.110,1.210,1.250,2595,7022,2,0,8,83,12,13,82,5242392576,2789588992,7942889472,11173789696
0,0,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14080,181283,0,1575,2135,2497,10.025,3.094,86.757,0.124,0,1.110,1.210,1.250,2613,6997,2,0,8,83,12,13,82,5241856000,2790191104,7942823936,11174391808
0,1892352,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14048,181282,0,256,1039,4031,8.354,3.165,88.354,0.127,0,1.110,1.210,1.250,2506,5775,2,0,0,83,12,13,82,5232037888,2800545792,7942287360,11172950016
0,0,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14048,181284,0,1344,2868,2098,8.976,3.540,87.484,0,0,1.020,1.190,1.240,2600,6031,2,0,0,83,12,13,82,5237022720,2794958848,7942889472,11167375360
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14080,181307,0,3346,4423,4746,12.344,2.494,85.037,0.125,0,1.020,1.190,1.240,2717,7752,3,0,0,83,12,13,82,5229285376,2801537024,7944048640,11169431552
0,1024000,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14112,181311,0,1679,2921,2607,8.447,3.975,87.453,0.124,0,1.020,1.190,1.240,2816,7409,2,0,8,83,12,13,82,5230178304,2799099904,7945592832,11168247808
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14016,182381,0,43226,65876,26792,9.470,4.545,85.985,0,0,1.020,1.190,1.240,3656,36702,0,0,8,83,12,13,82,5362257920,2661748736,7950864384,11031867392
0,2613248,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,182380,0,495,1238,1821,10.138,3.004,86.733,0.125,0,1.020,1.190,1.240,2640,5707,2,0,0,83,12,13,82,5364772864,2660040704,7950057472,11030200320
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,182353,0,787,1383,1886,9.826,2.985,87.189,0,0,0.940,1.170,1.230,2568,5981,0,0,0,83,12,13,82,5366030336,2660646912,7948197888,11027251200
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14016,182352,0,215,697,1237,8.597,3.287,87.990,0.126,0,0.940,1.170,1.230,2576,5664,4,0,0,83,12,13,82,5366489088,2660245504,7948140544,11025416192
0,8003584,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,182351,1,1931,3177,3294,7.990,4.744,87.141,0.125,0,0.940,1.170,1.230,2743,7498,2,0,9,83,12,13,82,5370527744,2656727040,7947620352,11021910016
0,0,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14080,182381,0,2585,4004,3408,11.602,2.270,86.129,0,0,0.940,1.170,1.230,2781,8244,1,0,8,83,12,13,82,5370617856,2653552640,7950704640,11031273472
0,606208,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14048,182381,0,222,799,822,9.102,4.182,86.593,0.123,0,0.940,1.170,1.230,2603,5954,1,0,0,83,12,13,82,5370986496,2653179904,7950708736,11030867968
0,385024,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14048,182381,0,347,962,1037,9.637,3.504,86.608,0.250,0,0.870,1.150,1.230,2747,6769,4,0,0,83,12,13,82,5371314176,2653401088,7950159872,11031171072
0,671744,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14080,182391,0,6315,8041,4874,9.601,3.865,86.409,0.125,0,0.870,1.150,1.230,2638,6333,1,0,0,83,12,13,82,5382008832,2642579456,7950286848,11020976128
0,8699904,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14016,182393,0,2204,3949,3787,10.701,4.797,84.379,0.123,0,0.870,1.150,1.230,2990,8249,2,0,9,83,12,13,82,5382537216,2641461248,7950876672,11019907072
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,182365,0,2402,3047,8105,9.698,4.030,86.272,0,0,0.870,1.150,1.230,2687,7012,2,0,8,83,12,13,82,5362139136,2664198144,7948537856,11022733312
0,860160,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14016,182364,0,1270,2369,2716,10.100,3.117,86.658,0.125,0,0.870,1.150,1.230,2792,6165,3,0,0,83,12,13,82,5363400704,2663694336,7947780096,11022090240
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,182387,0,1715,3234,2377,12.704,2.516,84.780,0,0,1.040,1.180,1.240,2752,7428,3,0,0,83,12,13,82,5361487872,2664239104,7949148160,11067236352
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14016,182393,0,377,1190,825,8.831,3.483,87.562,0.124,0,1.040,1.180,1.240,2510,5757,2,0,0,83,12,13,82,5362434048,2661474304,7950966784,11065606144
0,4407296,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,182393,0,1682,2814,2647,9.215,3.861,86.924,0,0,1.040,1.180,1.240,2866,7780,3,0,8,83,12,13,82,5365125120,2658783232,7950966784,11062939648
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,182376,0,2880,4596,4302,9.034,3.764,87.077,0.125,0,1.040,1.180,1.240,2661,7367,2,0,8,83,12,13,82,5372694528,2653835264,7948345344,11100844032
0,753664,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14048,182376,0,460,882,918,8.897,4.010,86.967,0.125,0,1.040,1.180,1.240,2557,5771,4,0,1,83,12,13,82,5372874752,2653528064,7948480512,11100540928
0,0,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14048,182376,0,344,839,731,9.159,2.760,88.080,0,0,0.950,1.160,1.230,2487,5784,1,0,0,83,12,13,82,5372948480,2652925952,7949008896,11099860992
0,0,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14048,182377,0,236,996,728,9.296,2.764,87.814,0.126,0,0.950,1.160,1.230,2438,5638,2,0,0,83,12,13,82,5373411328,2651729920,7949742080,11098660864
