"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/fs.csv --bytes --time --fs 1 600",,,,"Date:","23 Mar 2023 13:32:03 -03"
"system","filesystem",
"time","files","inodes"
Mar-23 13:32:03,13920,180624
Mar-23 13:32:04,14272,180915
Mar-23 13:32:05,14336,180949
Mar-23 13:32:06,14336,181092
Mar-23 13:32:07,14112,180802
Mar-23 13:32:08,14080,180813
Mar-23 13:32:09,14080,180783
Mar-23 13:32:10,14080,180786
Mar-23 13:32:11,14080,179686
Mar-23 13:32:12,14080,179704
Mar-23 13:32:13,14080,179724
Mar-23 13:32:14,14112,179723
Mar-23 13:32:15,14176,179743
Mar-23 13:32:16,14240,179725
Mar-23 13:32:17,14208,179730
Mar-23 13:32:18,14208,179728
Mar-23 13:32:19,14208,179764
Mar-23 13:32:20,15680,180824
Mar-23 13:32:21,14208,180864
Mar-23 13:32:22,14208,180862
Mar-23 13:32:23,14240,180872
Mar-23 13:32:24,14208,180870
Mar-23 13:32:25,14208,180869
Mar-23 13:32:26,14240,180895
Mar-23 13:32:27,14208,180893
Mar-23 13:32:28,14208,180903
Mar-23 13:32:29,14240,180898
Mar-23 13:32:30,14240,180865
Mar-23 13:32:31,14240,180913
Mar-23 13:32:32,14240,180912
Mar-23 13:32:33,14240,180942
Mar-23 13:32:34,14208,180940
Mar-23 13:32:35,14240,180949
Mar-23 13:32:36,14208,180951
Mar-23 13:32:37,14208,180942
Mar-23 13:32:38,14208,180982
Mar-23 13:32:39,14240,180983
Mar-23 13:32:40,14208,181009
Mar-23 13:32:41,14208,181008
Mar-23 13:32:42,14240,181010
Mar-23 13:32:43,14208,180991
Mar-23 13:32:44,14208,180990
Mar-23 13:32:45,14208,180992
Mar-23 13:32:46,14240,181039
Mar-23 13:32:47,14208,180998
Mar-23 13:32:48,14176,179888
Mar-23 13:32:49,14144,179887
Mar-23 13:32:50,14144,179856
Mar-23 13:32:51,14144,179867
Mar-23 13:32:52,14144,179862
Mar-23 13:32:53,14176,179908
Mar-23 13:32:54,14208,179848
Mar-23 13:32:55,14208,179848
Mar-23 13:32:56,14208,179849
Mar-23 13:32:57,14208,179850
Mar-23 13:32:58,14176,180893
Mar-23 13:32:59,14208,180890
Mar-23 13:33:00,14176,180891
Mar-23 13:33:01,14176,180957
Mar-23 13:33:02,14176,180954
Mar-23 13:33:03,14144,180955
Mar-23 13:33:04,14144,180954
Mar-23 13:33:05,14144,180926
Mar-23 13:33:06,14144,180936
Mar-23 13:33:07,14144,180936
Mar-23 13:33:08,14144,180974
Mar-23 13:33:09,14144,180977
Mar-23 13:33:10,14144,180974
Mar-23 13:33:11,14144,180977
Mar-23 13:33:12,14144,180951
Mar-23 13:33:13,14144,180960
Mar-23 13:33:14,14144,180959
Mar-23 13:33:15,14144,180987
Mar-23 13:33:16,14144,180996
Mar-23 13:33:17,14144,180996
Mar-23 13:33:18,14176,180967
Mar-23 13:33:19,14176,180968
Mar-23 13:33:20,14176,180968
Mar-23 13:33:21,14176,180978
Mar-23 13:33:22,14112,181004
Mar-23 13:33:23,14112,181012
Mar-23 13:33:24,14080,181012
Mar-23 13:33:25,14080,181012
Mar-23 13:33:26,14080,180985
Mar-23 13:33:27,14176,179881
Mar-23 13:33:28,14176,179891
Mar-23 13:33:29,14144,179917
Mar-23 13:33:30,14112,179994
Mar-23 13:33:31,14112,179979
Mar-23 13:33:32,14240,179956
Mar-23 13:33:33,14240,179964
Mar-23 13:33:34,14304,179986
Mar-23 13:33:35,14240,179941
Mar-23 13:33:36,14208,181038
Mar-23 13:33:37,14208,181010
Mar-23 13:33:38,14240,181048
Mar-23 13:33:39,14240,181018
Mar-23 13:33:40,14240,181017
Mar-23 13:33:41,14144,180929
Mar-23 13:33:42,14208,180931
Mar-23 13:33:43,14144,180969
Mar-23 13:33:44,14144,180970
Mar-23 13:33:45,14144,180969
Mar-23 13:33:46,14144,180987
Mar-23 13:33:47,14240,180988
Mar-23 13:33:48,14208,180983
Mar-23 13:33:49,14176,180984
Mar-23 13:33:50,14112,181012
Mar-23 13:33:51,14112,181023
Mar-23 13:33:52,14112,181026
Mar-23 13:33:53,14176,181040
Mar-23 13:33:54,14176,181048
Mar-23 13:33:55,14208,181044
Mar-23 13:33:56,14208,181038
Mar-23 13:33:57,14144,181067
Mar-23 13:33:58,14176,181081
Mar-23 13:33:59,14176,181075
Mar-23 13:34:00,14176,181050
Mar-23 13:34:01,14112,181097
Mar-23 13:34:02,14112,181098
Mar-23 13:34:03,14048,179985
Mar-23 13:34:04,14112,180013
Mar-23 13:34:05,14112,180011
Mar-23 13:34:06,14144,180020
Mar-23 13:34:07,14144,179992
Mar-23 13:34:08,14112,180038
Mar-23 13:34:09,14112,179951
Mar-23 13:34:10,14112,179951
Mar-23 13:34:11,14144,179979
Mar-23 13:34:12,14080,179980
Mar-23 13:34:13,14112,179981
Mar-23 13:34:14,14144,181048
Mar-23 13:34:15,14112,181020
Mar-23 13:34:16,14144,181065
Mar-23 13:34:17,14144,181065
Mar-23 13:34:18,14144,181093
Mar-23 13:34:19,14144,181094
Mar-23 13:34:20,14176,181093
Mar-23 13:34:21,14144,181075
Mar-23 13:34:22,14144,181075
Mar-23 13:34:23,14112,181121
Mar-23 13:34:24,14112,181120
Mar-23 13:34:25,14144,181147
Mar-23 13:34:26,14176,181148
Mar-23 13:34:27,14176,181146
Mar-23 13:34:28,14144,181105
Mar-23 13:34:29,14144,181114
Mar-23 13:34:30,14112,181112
Mar-23 13:34:31,14112,181158
Mar-23 13:34:32,14112,181187
Mar-23 13:34:33,14112,181187
Mar-23 13:34:34,14112,181187
Mar-23 13:34:35,14112,181186
Mar-23 13:34:36,14080,181167
Mar-23 13:34:37,14080,181167
Mar-23 13:34:38,14080,181212
Mar-23 13:34:39,14144,181240
Mar-23 13:34:40,14176,181242
Mar-23 13:34:41,14144,181241
Mar-23 13:34:42,14112,180103
Mar-23 13:34:43,14112,180103
Mar-23 13:34:44,14080,180113
Mar-23 13:34:45,14080,180027
Mar-23 13:34:46,14112,180102
Mar-23 13:34:47,14112,180102
Mar-23 13:34:48,14144,180101
Mar-23 13:34:49,14112,180073
Mar-23 13:34:50,14144,180073
Mar-23 13:34:51,14144,181143
Mar-23 13:34:52,14144,181141
Mar-23 13:34:53,14080,181217
Mar-23 13:34:54,14080,181217
Mar-23 13:34:55,14080,181216
Mar-23 13:34:56,14112,181215
Mar-23 13:34:57,14080,181187
Mar-23 13:34:58,14080,181187
Mar-23 13:34:59,14144,181202
Mar-23 13:35:00,14144,181226
Mar-23 13:35:01,14080,181275
Mar-23 13:35:02,14048,181274
Mar-23 13:35:03,14048,181271
Mar-23 13:35:04,14048,181244
Mar-23 13:35:05,14112,181243
Mar-23 13:35:06,14048,181253
Mar-23 13:35:07,14112,181282
Mar-23 13:35:08,14112,181328
Mar-23 13:35:09,14112,181327
Mar-23 13:35:10,14048,181330
Mar-23 13:35:11,14016,181302
Mar-23 13:35:12,14048,181302
Mar-23 13:35:13,14016,181302
Mar-23 13:35:14,14080,181341
Mar-23 13:35:15,14080,181342
Mar-23 13:35:16,14080,181386
Mar-23 13:35:17,14144,181359
Mar-23 13:35:18,14080,181363
Mar-23 13:35:19,14048,181364
Mar-23 13:35:20,14080,180249
Mar-23 13:35:21,14080,180288
Mar-23 13:35:22,14048,180287
Mar-23 13:35:23,14080,180253
Mar-23 13:35:24,14080,180250
Mar-23 13:35:25,14080,180222
Mar-23 13:35:26,14112,180220
Mar-23 13:35:27,14112,180220
Mar-23 13:35:28,14176,180528
Mar-23 13:35:29,14080,181593
Mar-23 13:35:30,14080,181585
Mar-23 13:35:31,14112,181631
Mar-23 13:35:32,14048,181605
Mar-23 13:35:33,14048,181604
Mar-23 13:35:34,14112,181603
Mar-23 13:35:35,14080,181633
Mar-23 13:35:36,14080,181643
Mar-23 13:35:37,14112,181642
Mar-23 13:35:38,14144,181683
Mar-23 13:35:39,14112,181659
Mar-23 13:35:40,14080,181659
Mar-23 13:35:41,14048,181658
Mar-23 13:35:42,14016,181683
Mar-23 13:35:43,14016,181686
Mar-23 13:35:44,14080,181696
Mar-23 13:35:45,14080,181668
Mar-23 13:35:46,14080,181714
Mar-23 13:35:47,14048,181714
Mar-23 13:35:48,14080,181714
Mar-23 13:35:49,14112,181821
Mar-23 13:35:50,14112,181823
Mar-23 13:35:51,14080,181807
Mar-23 13:35:52,14080,181788
Mar-23 13:35:53,14112,181830
Mar-23 13:35:54,14176,181825
Mar-23 13:35:55,14208,181826
Mar-23 13:35:56,14176,182000
Mar-23 13:35:57,14208,182004
Mar-23 13:35:58,14208,180893
Mar-23 13:35:59,14240,180907
Mar-23 13:36:00,14240,180881
