"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/int_disk_tcp_mem_proc.csv --int --disk --tcp --mem --proc 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"interrupts",,,"dsk/total",,"tcp sockets",,,,,"memory usage",,,,"procs",,
"138","139","140","read","writ","lis","act","syn","tim","clo","used","free","cach","avai","run","blk","new"
0.000,43.279,0.018,120636.687,1055496.853,7,22,0,7,3,5275652096,2751782912,7947456512,11138965504,19,0,13.822
0,123,0,0,0,7,22,0,6,3,5295845376,2726993920,7952052224,11118956544,1,0,8
0,126,0,0,0,7,22,0,6,3,5296680960,2726060032,7952150528,11118186496,2,0,0
0,121,0,0,745472,7,21,1,6,4,5297242112,2725511168,7952138240,11114455040,1,0,0
0,146,0,0,8003584,7,22,0,7,3,5301587968,2725085184,7948218368,11111567360,2,0,0
0,121,0,0,0,7,22,0,7,3,5302259712,2725310464,7947321344,11111792640,3,0,8
0,155,0,0,0,7,22,0,7,3,5275598848,2756976640,7942311936,11157143552,8,0,8
0,118,0,0,0,7,22,0,7,3,5253984256,2777264128,7943639040,11163320320,1,0,0
0,125,0,0,1859584,7,22,0,7,3,5245906944,2785591296,7943389184,11166048256,1,0,1
0,123,0,0,0,7,22,0,7,3,5236523008,2793783296,7944581120,11180290048,2,0,0
0,120,0,0,18096128,7,22,0,7,3,5241659392,2790113280,7943098368,11174522880,1,0,8
0,120,0,0,0,7,22,0,6,3,5241856000,2790191104,7942823936,11174391808,6,0,8
0,158,0,0,1892352,7,22,0,6,3,5232107520,2800476160,7942287360,11172880384,4,0,0
0,132,0,0,0,7,22,0,6,3,5237280768,2794958848,7942631424,11167375360,3,0,0
0,142,0,0,0,7,22,0,7,3,5229555712,2801537024,7943778304,11169697792,1,0,0
0,127,0,0,1024000,7,22,0,7,3,5229944832,2799333376,7945592832,11168481280,2,0,8
0,118,0,0,0,7,22,0,7,3,5361557504,2662469632,7950843904,11032588288,2,0,8
0,120,0,0,2613248,7,22,0,7,3,5364039680,2660773888,7950057472,11030933504,3,0,0
0,158,0,0,0,7,22,0,7,3,5365985280,2660466688,7948423168,11027177472,2,0,0
0,116,0,0,0,7,22,0,7,3,5366493184,2660245504,7948136448,11025416192,1,0,0
0,133,0,0,8003584,7,22,0,7,3,5370527744,2656727040,7947620352,11021910016,2,0,9
0,118,0,0,0,7,22,0,6,3,5370441728,2655088640,7949344768,11031420928,1,0,8
0,122,0,0,606208,7,22,0,6,3,5371002880,2653179904,7950692352,11030863872,2,0,0
0,152,0,0,385024,7,22,0,6,3,5371355136,2653360128,7950159872,11031130112,1,0,0
0,139,0,0,671744,7,22,0,6,3,5381390336,2643197952,7950286848,11021590528,2,0,0
0,143,0,0,8699904,7,22,0,7,3,5382049792,2641952768,7950872576,11020382208,4,0,9
0,128,0,0,0,7,22,0,7,3,5361672192,2664452096,7948750848,11023200256,4,0,8
0,134,0,0,860160,7,22,0,7,3,5363400704,2663694336,7947780096,11022090240,0,0,0
0,135,0,0,0,7,22,0,7,3,5361463296,2664497152,7948914688,11067494400,1,0,0
0,122,0,0,0,7,22,0,7,3,5362434048,2661474304,7950966784,11065606144,1,0,0
0,158,0,0,4407296,7,22,0,7,3,5364867072,2659041280,7950966784,11063197696,3,0,8
0,122,0,0,0,7,22,0,7,3,5371490304,2652450816,7950934016,11078144000,3,0,8
0,127,0,0,753664,7,22,0,6,3,5372633088,2653773824,7948476416,11100786688,5,0,1
0,117,0,0,0,7,22,0,6,3,5373206528,2652925952,7948750848,11099860992,1,0,0
0,120,0,0,0,7,22,0,6,3,5372907520,2652233728,7949742080,11099164672,0,0,0
0,120,0,0,8110080,7,22,0,6,3,5331931136,2692378624,7950573568,11158818816,2,0,7
0,197,0,0,0,7,22,0,7,3,5332504576,2691530752,7950848000,11159433216,1,0,9
