"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/int_zones_page.csv --int --zones --page 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"interrupts",,,"zones memory",,,,"paging",
"138","139","140","d32F","d32H","normF","normH","in","out"
0.000,43.279,0.018,159503,3141,506189,22688,2.442,715.315
0,122,0,159503,3141,502986,22688,0,0
0,125,0,159503,3141,502711,22688,0,0
0,121,0,159503,3141,502696,22688,0,0
0,146,0,159503,3141,502662,22688,0,0
0,122,0,159503,3141,502528,22688,0,0
0,155,0,159503,3141,510259,22688,0,0
0,117,0,159503,3141,515272,22688,0,0
0,127,0,159503,3141,517245,22688,0,0
0,122,0,159503,3141,519245,22688,0,0
0,120,0,159503,3141,518349,22688,0,0
0,120,0,159503,3141,518368,22688,0,0
0,157,0,159503,3141,521118,22688,0,0
0,133,0,159503,3141,519532,22688,0,0
0,142,0,159503,3141,521138,22688,0,0
0,127,0,159503,3141,520852,22688,0,0
0,118,0,159503,3141,487127,22688,0,0
0,120,0,159503,3141,486835,22688,0,0
0,159,0,159503,3141,486697,22688,0,0
0,116,0,159503,3141,486643,22688,0,0
0,129,0,159503,3141,485844,22688,0,0
0,121,0,159503,3141,485384,22688,0,0
0,120,0,159503,3141,484911,22688,0,0
0,153,0,159503,3141,484952,22688,0,0
0,139,0,159503,3141,482481,22688,0,0
0,143,0,159503,3141,482293,22688,0,0
0,129,0,159503,3141,487600,22688,0,0
0,134,0,159503,3141,487482,22688,0,0
0,135,0,159503,3141,487710,22688,0,0
0,120,0,159503,3141,486943,22688,0,0
0,159,0,159503,3141,486349,22688,0,0
0,123,0,159503,3141,484740,22688,0,0
0,126,0,159748,3141,484911,22688,0,0
0,116,0,159767,3141,484592,22688,0,0
0,122,0,159767,3141,484423,22688,0,0
0,120,0,159767,3141,494350,22688,0,0
0,197,0,159767,3141,493961,22688,0,0
0,124,0,159767,3141,493849,22688,0,0
0,130,0,159767,3141,493670,22688,0,0
0,120,0,159767,3141,489410,22688,0,0
0,121,0,159767,3141,488705,22688,0,0
0,145,0,159767,3141,488480,22688,0,0
0,163,0,159767,3141,500459,22688,0,0
0,123,0,159767,3141,503508,22688,0,0
0,131,0,159767,3141,503217,22688,0,0
0,128,0,159767,3141,502866,22688,0,0
0,126,0,159767,3141,499370,22688,0,0
0,145,0,159767,3141,499345,22688,0,0
0,157,0,159767,3141,499260,22688,0,0
0,123,0,159767,3141,513210,22688,0,0
0,140,0,159767,3141,513125,22688,0,0
0,120,0,159767,3141,513057,22688,0,0
0,121,0,159767,3141,512804,22688,0,0
0,122,0,159767,3141,512725,22688,0,0
0,167,0,159767,3141,479157,22688,0,0
0,150,0,159767,3141,478684,22688,0,0
0,113,0,159767,3141,479719,22688,0,0
0,132,0,159767,3141,479264,22688,0,0
0,142,0,159767,3141,479036,22688,0,0
0,121,0,159767,3141,478861,22688,0,0
0,149,0,159767,3141,478945,22688,0,0
0,120,0,159767,3141,479576,22688,0,0
0,124,0,159767,3141,479318,22688,0,0
0,119,0,159767,3141,484427,22688,0,0
0,123,0,159767,3141,483381,22688,0,0
0,130,0,159767,3141,482954,22688,0,0
0,167,0,159767,3141,480842,22688,0,0
0,122,0,159767,3141,481012,22688,0,0
0,155,0,159767,3141,481624,22688,0,0
0,128,0,159767,3141,480841,22688,0,0
0,128,0,159767,3141,489275,22688,0,0
0,121,0,159767,3141,488829,22688,0,0
0,153,0,159767,3141,493552,22688,0,0
0,155,0,159767,3141,496744,22688,0,0
0,129,0,159767,3141,497409,22688,0,0
0,130,0,159767,3141,497178,22688,0,0
0,119,0,159767,3141,493400,22688,0,0
0,120,0,159767,3141,493324,22688,0,0
0,169,0,159767,3141,493212,22688,0,0
0,140,0,159767,3141,508867,22688,0,0
0,123,0,159767,3141,508889,22688,0,0
0,121,0,159767,3141,507876,22688,0,0
0,121,0,159767,3141,515849,22688,0,0
0,117,0,159767,3141,515803,22688,0,0
0,192,0,159767,3141,518698,22688,0,0
0,123,0,159767,3141,518290,22688,0,0
0,121,0,159767,3141,517141,22688,0,0
0,122,0,159767,3141,517190,22688,0,0
0,121,0,159767,3141,516902,22688,0,0
0,120,0,159767,3141,516880,22688,0,0
0,170,0,159767,3141,516793,22688,0,0
0,123,0,159767,3141,493775,22688,0,0
0,128,0,159767,3141,488063,22688,0,0
0,115,0,159767,3141,487772,22688,0,0
0,122,0,159767,3141,487541,22688,0,0
0,127,0,159767,3141,487240,22688,0,0
0,168,0,159767,3141,486764,22688,0,0
0,120,0,159767,3141,486346,22688,0,0
0,128,0,159767,3141,496566,22688,0,0
0,119,0,159767,3141,494080,22688,0,0
0,124,0,159767,3141,493905,22688,0,0
0,148,0,159767,3141,493559,22688,0,0
0,156,0,159767,3141,497082,22688,0,0
0,122,0,159767,3141,497295,22688,0,0
0,121,0,159767,3141,497102,22688,0,0
0,126,0,159767,3141,498660,22688,0,0
0,124,0,159767,3141,494959,22688,0,0
0,118,0,159767,3141,494564,22688,0,0
0,172,0,159767,3141,494273,22688,0,0
0,120,0,159767,3141,495106,22688,0,0
0,123,0,159767,3141,494952,22688,0,0
0,130,0,159767,3141,494477,22688,0,0
