"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/io_net_zones_time_lock_vm-adv_udp_raw_sys_page_proc.csv --io --net --zones --time --lock --vm-adv --udp --raw --sys --page --proc 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"io/total",,"net/total",,"zones memory",,,,"system","file locks",,,,"advanced virtual memory",,,,,"udp",,"raw","system",,"paging",,"procs",,
"read","writ","recv","send","d32F","d32H","normF","normH","time","pos","lck","rea","wri","steal","scanK","scanD","pgoru","astll","lis","act","raw","int","csw","in","out","run","blk","new"
5.467,48.227,0,0,159503,3141,507033,22688,Mar-23 13:42:08,83,12,13,82,37.423,0,0,0.009,0,25,14,0,1449.136,6016.413,2.442,715.314,17,0,13.822
0,0,6628,8572,159503,3141,502986,22688,Mar-23 13:42:09,83,12,13,82,0,0,0,0,0,25,14,0,2928,10536,0,0,0,0,8
0,0,6580,8092,159503,3141,502711,22688,Mar-23 13:42:10,83,12,13,82,0,0,0,0,0,25,14,0,2597,6069,0,0,2,0,0
0,34,6724,9379,159503,3141,502696,22688,Mar-23 13:42:11,83,12,13,82,0,0,0,0,0,25,14,0,2598,6670,0,0,2,0,0
0,86,22959,11663,159503,3141,502662,22688,Mar-23 13:42:12,83,12,13,82,0,0,0,0,0,25,14,0,2575,5944,0,0,2,0,0
0,0,6463,8270,159503,3141,502528,22688,Mar-23 13:42:13,83,12,13,82,0,0,0,0,0,25,14,0,2799,7067,0,0,4,0,8
0,0,6448,8308,159503,3141,510259,22688,Mar-23 13:42:14,83,12,13,82,0,0,0,0,0,25,14,0,2613,6949,0,0,3,0,8
0,0,6294,7703,159503,3141,515272,22688,Mar-23 13:42:15,83,12,13,82,0,0,0,0,0,25,14,0,2540,6963,0,0,2,0,0
0,40,6616,8126,159503,3141,517245,22688,Mar-23 13:42:16,83,12,13,82,0,0,0,0,0,25,14,0,2565,6163,0,0,2,0,1
0,0,6294,7958,159503,3141,519245,22688,Mar-23 13:42:17,83,12,13,82,0,0,0,0,0,25,14,0,2649,6256,0,0,1,0,0
0,1090,6314,7783,159503,3141,518349,22688,Mar-23 13:42:18,83,12,13,82,0,0,0,0,0,25,14,0,3564,11160,0,0,2,0,8
0,0,6184,7788,159503,3141,518368,22688,Mar-23 13:42:19,83,12,13,82,0,0,0,0,0,25,14,0,2548,6866,0,0,0,0,8
0,8,6294,8198,159503,3141,521002,22688,Mar-23 13:42:20,83,12,13,82,0,0,0,0,0,25,14,0,2574,5910,0,0,1,0,0
0,14,9171,14848,159503,3141,519532,22688,Mar-23 13:42:21,83,12,13,82,0,0,0,0,0,25,14,0,2546,5935,0,0,0,0,0
0,0,21985,12358,159503,3141,521138,22688,Mar-23 13:42:22,83,12,13,82,0,0,0,0,0,25,13,0,2710,7714,0,0,1,0,0
0,226,8218,9393,159503,3141,520852,22688,Mar-23 13:42:23,83,12,13,82,0,0,0,0,0,25,13,0,2808,7459,0,0,2,0,8
0,0,6184,7764,159503,3141,487127,22688,Mar-23 13:42:24,83,12,13,82,0,0,0,0,0,25,13,0,3650,36659,0,0,1,0,8
0,0,6294,8527,159503,3141,486835,22688,Mar-23 13:42:25,83,12,13,82,0,0,0,0,0,25,13,0,2643,5742,0,0,2,0,0
0,48,6783,8126,159503,3141,486697,22688,Mar-23 13:42:26,83,12,13,82,0,0,0,0,0,25,13,0,2587,5956,0,0,2,0,0
0,0,6314,7646,159503,3141,486643,22688,Mar-23 13:42:27,83,12,13,82,0,0,0,0,0,25,13,0,2631,5756,0,0,3,0,0
0,64,6838,8800,159503,3141,485784,22688,Mar-23 13:42:28,83,12,13,82,0,0,0,0,0,25,13,0,2747,7531,0,0,4,0,9
0,0,6742,8256,159503,3141,485384,22688,Mar-23 13:42:29,83,12,13,82,0,0,0,0,0,25,13,0,2739,8106,0,0,1,0,8
0,0,6351,8126,159503,3141,484911,22688,Mar-23 13:42:30,83,12,13,82,0,0,0,0,0,25,13,0,2601,5993,0,0,2,1,0
0,82,35853,14198,159503,3141,484952,22688,Mar-23 13:42:31,83,12,13,82,0,0,0,0,0,25,13,0,2739,6782,0,0,4,0,0
0,28,8239,7868,159503,3141,482481,22688,Mar-23 13:42:32,83,12,13,82,0,0,0,0,0,25,13,0,2656,6346,0,0,2,0,0
0,214,21188,13259,159503,3141,482293,22688,Mar-23 13:42:33,83,12,13,82,0,0,0,0,0,25,13,0,2990,8270,0,0,6,0,9
0,0,9883,9486,159503,3141,487600,22688,Mar-23 13:42:34,83,12,13,82,0,0,0,0,0,25,13,0,2679,6969,0,0,0,0,8
0,36,11385,10725,159503,3141,487482,22688,Mar-23 13:42:35,83,12,13,82,0,0,0,0,0,25,13,0,2804,6209,0,0,0,0,0
0,0,8186,10401,159503,3141,487710,22688,Mar-23 13:42:36,83,12,13,82,0,0,0,0,0,25,13,0,2747,7314,0,0,1,0,0
0,0,6184,7646,159503,3141,486943,22688,Mar-23 13:42:37,83,12,13,82,0,0,0,0,0,25,13,0,2480,5829,0,0,2,0,0
0,468,6734,8523,159503,3141,486349,22688,Mar-23 13:42:38,83,12,13,82,0,0,0,0,0,25,13,0,2862,7722,0,0,0,0,8
0,0,6240,7720,159503,3141,484740,22688,Mar-23 13:42:39,83,12,13,82,0,0,0,0,0,25,13,0,2677,7401,0,0,1,0,8
0,38,6351,8309,159748,3141,484799,22688,Mar-23 13:42:40,83,12,13,82,0,0,0,0,0,25,13,0,2577,5845,0,0,1,0,1
0,0,6424,7840,159767,3141,484592,22688,Mar-23 13:42:41,83,12,13,82,0,0,0,0,0,25,13,0,2478,5726,0,0,1,0,0
0,0,6618,7752,159767,3141,484423,22688,Mar-23 13:42:42,83,12,13,82,0,0,0,0,0,25,13,0,2440,5625,0,0,1,0,0
0,64,6813,8128,159767,3141,494350,22688,Mar-23 13:42:43,83,12,13,82,0,0,0,0,0,25,13,0,2751,7593,0,0,3,0,4
0,0,23532,15018,159767,3141,493961,22688,Mar-23 13:42:44,83,12,13,82,0,0,0,0,0,25,13,0,2926,9102,0,0,1,0,12
0,44,7588,8140,159767,3141,493849,22688,Mar-23 13:42:45,83,12,13,82,0,0,0,0,0,25,13,0,2597,5796,0,0,2,0,0
0,0,7350,9052,159767,3141,493670,22688,Mar-23 13:42:46,83,12,13,82,0,0,0,0,0,25,13,0,2519,5838,0,0,3,0,0
0,0,6270,7646,159767,3141,489410,22688,Mar-23 13:42:47,83,12,13,82,0,0,0,0,0,25,13,0,2662,6254,0,0,5,0,0
0,82,6437,7951,159767,3141,488705,22688,Mar-23 13:42:48,83,12,13,82,0,0,0,0,0,25,13,0,2565,5975,0,0,2,0,0
0,0,14403,17547,159767,3141,488480,22688,Mar-23 13:42:49,83,12,13,82,0,0,0,0,0,25,14,0,2768,8547,0,0,1,0,17
0,32,8128,9184,159767,3141,500459,22688,Mar-23 13:42:50,83,12,13,82,0,0,0,0,0,25,14,0,2766,7063,0,0,1,0,0
0,80,6437,8320,159767,3141,503508,22688,Mar-23 13:42:51,83,12,13,82,0,0,0,0,0,25,14,0,2622,6345,0,0,2,0,0
0,0,8698,10139,159767,3141,503217,22688,Mar-23 13:42:52,83,12,13,82,0,0,0,0,0,25,14,0,2553,5813,0,0,0,0,1
0,48,7067,8265,159767,3141,502866,22688,Mar-23 13:42:53,83,12,13,82,0,0,0,0,0,25,14,0,2685,5891,0,0,0,0,0
0,38,6820,8356,159767,3141,499384,22688,Mar-23 13:42:54,83,12,13,82,0,0,0,0,0,25,14,0,2823,8613,0,0,3,0,16
0,0,23305,13320,159767,3141,499345,22688,Mar-23 13:42:55,83,12,13,82,0,0,0,0,0,25,14,0,2593,6667,0,0,3,0,0
0,0,6746,8126,159767,3141,499260,22688,Mar-23 13:42:56,83,12,13,82,0,0,0,0,0,25,14,0,2584,5848,0,0,2,0,0
0,0,6461,8169,159767,3141,513210,22688,Mar-23 13:42:57,83,12,13,82,0,0,0,0,0,25,14,0,2610,6647,0,0,1,0,0
0,108,15156,11894,159767,3141,512942,22688,Mar-23 13:42:58,83,12,13,82,0,0,0,0,0,25,14,0,2981,7709,0,0,8,0,0
0,1470,6290,7873,159767,3141,513063,22688,Mar-23 13:42:59,83,12,13,82,0,0,0,0,0,25,14,0,3543,10801,0,0,4,0,16
0,16,6294,7821,159767,3141,512804,22688,Mar-23 13:43:00,83,12,13,82,0,0,0,0,0,25,14,0,2932,6082,0,0,1,0,0
0,0,6466,7975,159767,3141,512725,22688,Mar-23 13:43:01,83,12,13,82,0,0,0,0,0,25,14,0,2490,5696,0,0,1,0,0
0,0,6714,8067,159767,3141,479157,22688,Mar-23 13:43:02,83,12,13,82,0,0,0,0,0,25,14,0,3619,37877,0,0,2,0,8
0,0,11314,95512,159767,3141,478684,22688,Mar-23 13:43:03,83,12,13,82,0,0,0,0,0,25,14,0,2575,5972,0,0,1,0,0
