"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/io_socket_sys.csv --io --socket --sys 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"io/total",,"sockets",,,,,"system",
"read","writ","tot","tcp","udp","raw","frg","int","csw"
5.339,35.602,1072,18,19,0,0,1363.788,4997.299
0,0,1072,18,19,0,0,1418,6282
0,0,1072,18,19,0,0,1188,3155
127,2,1074,17,22,0,0,1233,4358
255,6,1073,19,19,0,0,1416,6186
0,0,1073,19,19,0,0,2595,35546
0,44,1073,19,19,0,0,1299,3102
0,0,1076,19,22,0,0,950,2242
0,0,1076,19,22,0,0,890,1506
0,0,1076,19,22,0,0,707,1190
0,0,1076,19,22,0,0,954,2372
0,24,1076,19,22,0,0,851,2438
0,0,1073,19,19,0,0,691,1170
0,182,1073,19,19,0,0,777,1316
0,1532,1073,19,19,0,0,1678,5283
0,0,1073,19,19,0,0,935,2392
0,0,1073,19,19,0,0,802,2434
0,44,1074,20,19,0,0,862,2300
0,0,1074,20,19,0,0,703,1224
0,0,1074,20,19,0,0,939,2136
0,0,1074,20,19,0,0,933,2594
0,0,1074,20,19,0,0,841,1915
0,0,1074,20,19,0,0,887,1862
0,36,1074,20,19,0,0,751,1282
0,0,1074,20,19,0,0,712,1254
0,0,1074,20,19,0,0,972,2625
0,0,1074,20,19,0,0,740,1283
0,28,1074,20,19,0,0,922,2474
0,42,1074,20,19,0,0,748,1330
0,532,1074,20,19,0,0,888,1964
0,0,1074,20,19,0,0,1354,3656
0,0,1074,20,19,0,0,843,1386
0,0,1077,21,19,0,0,910,2564
0,0,1077,21,19,0,0,1570,3051
0,40,1077,21,19,0,0,1685,2888
0,0,1077,21,19,0,0,2103,5118
0,0,1079,21,19,0,0,1723,3131
0,0,1077,21,19,0,0,1977,4118
0,0,1077,21,19,0,0,1705,2904
0,36,1077,21,19,0,0,1610,2815
0,390,1077,21,19,0,0,2160,4899
0,0,1077,21,19,0,0,1967,3877
0,0,1077,21,19,0,0,1886,4169
0,0,1077,21,19,0,0,1742,2844
0,0,1077,21,19,0,0,1670,2871
0,20,1077,21,19,0,0,1957,4193
0,0,1077,21,19,0,0,1653,2923
0,0,1077,21,19,0,0,2011,4261
0,0,1077,21,19,0,0,1646,2781
0,0,1077,21,19,0,0,1578,2764
0,250,1077,21,19,0,0,2858,23445
0,46,1077,21,19,0,0,2410,16134
0,0,1074,20,19,0,0,1936,4826
0,0,1074,20,19,0,0,1032,3590
0,0,1074,20,19,0,0,698,1249
0,0,1074,20,19,0,0,986,2589
0,26,1074,20,19,0,0,654,1197
0,0,1074,20,19,0,0,923,2440
0,0,1074,20,19,0,0,848,1903
0,0,1074,20,19,0,0,832,1397
0,0,1074,20,19,0,0,989,2580
0,1512,1074,20,19,0,0,1885,5873
0,0,1074,20,19,0,0,907,2502
0,44,1074,20,19,0,0,1016,2173
0,36,1074,20,19,0,0,753,1336
0,14,1077,21,19,0,0,1082,2728
0,0,1074,20,19,0,0,978,1639
