"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/io_unix_aio_time_fs_vm-adv_tcp_zones_mem_raw_swap.csv --io --unix --aio --time --fs --vm-adv --tcp --zones --mem --raw --swap 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"io/total",,"unix sockets",,,,"async","system","filesystem",,"advanced virtual memory",,,,,"tcp sockets",,,,,"zones memory",,,,"memory usage",,,,"raw","swap",
"read","writ","dgm","str","lis","act","#aio","time","files","inodes","steal","scanK","scanD","pgoru","astll","lis","act","syn","tim","clo","d32F","d32H","normF","normH","used","free","cach","avai","raw","used","free"
5.467,48.227,56,975,55,920,0,Mar-23 13:42:08,14176,182502,37.423,0,0,0.009,0,7,22,0,7,3,159503,3141,508634,22688,5276581888,2750320640,7947988992,11137503232,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:09,14528,182889,0,0,0,0,0,7,22,0,6,3,159503,3141,502816,22688,5296250880,2726490112,7952150528,11118579712,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:10,14528,182889,0,0,0,0,0,7,22,0,6,3,159503,3141,502589,22688,5297180672,2725560320,7952150528,11117699072,0,108527616,914878464
0,34,56,975,55,920,0,Mar-23 13:42:11,14528,182878,0,0,0,0,0,7,22,0,7,3,159503,3141,502577,22688,5297242112,2725511168,7952138240,11114455040,0,108527616,914878464
0,86,56,975,55,920,0,Mar-23 13:42:12,14336,182579,0,0,0,0,0,7,22,0,7,3,159503,3141,502473,22688,5301587968,2725085184,7948218368,11111567360,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:13,14144,182383,0,0,0,0,0,7,22,0,7,3,159503,3141,502593,22688,5301993472,2725576704,7947321344,11112058880,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:14,14080,181274,0,0,0,0,0,7,22,0,7,3,159503,3141,510143,22688,5275815936,2756501504,7942569984,11156668416,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:15,14048,181302,0,0,0,0,0,7,22,0,7,3,159503,3141,515212,22688,5252919296,2777264128,7944704000,11164651520,0,108527616,914878464
0,40,56,977,55,922,0,Mar-23 13:42:16,14080,181268,0,0,0,0,0,7,22,0,7,3,159503,3141,517245,22688,5245816832,2785591296,7943479296,11166248960,0,108527616,914878464
0,517,56,975,55,920,0,Mar-23 13:42:17,14080,181311,0,0,0,0,0,7,22,0,7,3,159503,3141,518469,22688,5239701504,2790604800,7944581120,11177111552,0,108527616,914878464
0,573,56,975,55,920,0,Mar-23 13:42:18,14080,181283,0,0,0,0,0,7,22,0,7,3,159503,3141,518221,22688,5242392576,2789588992,7942889472,11173789696,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:19,14080,181283,0,0,0,0,0,7,22,0,6,3,159503,3141,518368,22688,5241856000,2790191104,7942823936,11174391808,0,108527616,914878464
0,22,56,975,55,920,0,Mar-23 13:42:20,14048,181282,0,0,0,0,0,7,22,0,6,3,159503,3141,521008,22688,5231575040,2801004544,7942291456,11173412864,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:21,14048,181284,0,0,0,0,0,7,22,0,6,3,159503,3141,519532,22688,5237280768,2794958848,7942631424,11167375360,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:22,14080,181307,0,0,0,0,0,7,22,0,7,3,159503,3141,521138,22688,5229285376,2801537024,7944048640,11169431552,0,108527616,914878464
0,226,56,975,55,920,0,Mar-23 13:42:23,14112,181311,0,0,0,0,0,7,22,0,7,3,159503,3141,520543,22688,5230178304,2799099904,7945592832,11168247808,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:24,14016,182381,0,0,0,0,0,7,22,0,7,3,159503,3141,487010,22688,5362262016,2661748736,7950860288,11031867392,0,108527616,914878464
0,48,56,975,55,920,0,Mar-23 13:42:25,14048,182380,0,0,0,0,0,7,22,0,7,3,159503,3141,486593,22688,5364772864,2660040704,7950057472,11030200320,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:26,14048,182353,0,0,0,0,0,7,22,0,7,3,159503,3141,486741,22688,5366030336,2660646912,7948197888,11027251200,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:27,14016,182352,0,0,0,0,0,7,22,0,7,3,159503,3141,486643,22688,5366489088,2660245504,7948140544,11025416192,0,108527616,914878464
