"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/ipc.csv --time --ipc 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","sysv ipc",,
"time","msg","sem","shm"
Mar-22 21:22:03,0,0,6
Mar-22 21:22:04,0,0,6
Mar-22 21:22:05,0,0,6
Mar-22 21:22:06,0,0,6
Mar-22 21:22:07,0,0,6
Mar-22 21:22:08,0,0,6
Mar-22 21:22:09,0,0,6
Mar-22 21:22:10,0,0,6
Mar-22 21:22:11,0,0,6
Mar-22 21:22:12,0,0,6
Mar-22 21:22:13,0,0,6
Mar-22 21:22:14,0,0,6
Mar-22 21:22:15,0,0,6
Mar-22 21:22:16,0,0,6
Mar-22 21:22:17,0,0,6
Mar-22 21:22:18,0,0,6
Mar-22 21:22:19,0,0,6
Mar-22 21:22:20,0,0,6
Mar-22 21:22:21,0,0,6
Mar-22 21:22:22,0,0,6
Mar-22 21:22:23,0,0,6
Mar-22 21:22:24,0,0,6
Mar-22 21:22:25,0,0,6
Mar-22 21:22:26,0,0,6
Mar-22 21:22:27,0,0,6
Mar-22 21:22:28,0,0,6
Mar-22 21:22:29,0,0,6
Mar-22 21:22:30,0,0,6
Mar-22 21:22:31,0,0,6
Mar-22 21:22:32,0,0,6
Mar-22 21:22:33,0,0,6
Mar-22 21:22:34,0,0,6
Mar-22 21:22:35,0,0,6
Mar-22 21:22:36,0,0,6
Mar-22 21:22:37,0,0,6
Mar-22 21:22:38,0,0,6
Mar-22 21:22:39,0,0,6
Mar-22 21:22:40,0,0,6
Mar-22 21:22:41,0,0,6
Mar-22 21:22:42,0,0,6
Mar-22 21:22:43,0,0,6
Mar-22 21:22:44,0,0,6
Mar-22 21:22:45,0,0,6
Mar-22 21:22:46,0,0,6
Mar-22 21:22:47,0,0,6
Mar-22 21:22:48,0,0,6
Mar-22 21:22:49,0,0,6
Mar-22 21:22:50,0,0,6
Mar-22 21:22:51,0,0,6
Mar-22 21:22:52,0,0,6
Mar-22 21:22:53,0,0,6
Mar-22 21:22:54,0,0,6
Mar-22 21:22:55,0,0,6
Mar-22 21:22:56,0,0,6
Mar-22 21:22:57,0,0,6
Mar-22 21:22:58,0,0,6
Mar-22 21:22:59,0,0,6
Mar-22 21:23:00,0,0,6
Mar-22 21:23:01,0,0,6
Mar-22 21:23:02,0,0,6
Mar-22 21:23:03,0,0,6
Mar-22 21:23:04,0,0,6
Mar-22 21:23:05,0,0,6
Mar-22 21:23:06,0,0,6
Mar-22 21:23:07,0,0,6
Mar-22 21:23:08,0,0,6
Mar-22 21:23:09,0,0,6
Mar-22 21:23:10,0,0,6
Mar-22 21:23:11,0,0,6
Mar-22 21:23:12,0,0,6
Mar-22 21:23:13,0,0,6
Mar-22 21:23:14,0,0,6
Mar-22 21:23:15,0,0,6
Mar-22 21:23:16,0,0,6
Mar-22 21:23:17,0,0,6
Mar-22 21:23:18,0,0,6
Mar-22 21:23:19,0,0,6
Mar-22 21:23:20,0,0,6
Mar-22 21:23:21,0,0,6
Mar-22 21:23:22,0,0,6
Mar-22 21:23:23,0,0,6
Mar-22 21:23:24,0,0,6
Mar-22 21:23:25,0,0,6
Mar-22 21:23:26,0,0,6
Mar-22 21:23:27,0,0,6
Mar-22 21:23:28,0,0,6
Mar-22 21:23:29,0,0,6
Mar-22 21:23:30,0,0,6
Mar-22 21:23:31,0,0,6
Mar-22 21:23:32,0,0,6
Mar-22 21:23:33,0,0,6
Mar-22 21:23:34,0,0,6
Mar-22 21:23:35,0,0,6
Mar-22 21:23:36,0,0,6
Mar-22 21:23:37,0,0,6
Mar-22 21:23:38,0,0,6
Mar-22 21:23:39,0,0,6
Mar-22 21:23:40,0,0,6
Mar-22 21:23:41,0,0,6
Mar-22 21:23:42,0,0,6
Mar-22 21:23:43,0,0,6
Mar-22 21:23:44,0,0,6
Mar-22 21:23:45,0,0,6
Mar-22 21:23:46,0,0,6
Mar-22 21:23:47,0,0,6
Mar-22 21:23:48,0,0,6
Mar-22 21:23:49,0,0,6
Mar-22 21:23:50,0,0,6
Mar-22 21:23:51,0,0,6
Mar-22 21:23:52,0,0,6
Mar-22 21:23:53,0,0,6
Mar-22 21:23:54,0,0,6
Mar-22 21:23:55,0,0,6
Mar-22 21:23:56,0,0,6
Mar-22 21:23:57,0,0,6
Mar-22 21:23:58,0,0,6
Mar-22 21:23:59,0,0,6
Mar-22 21:24:00,0,0,6
Mar-22 21:24:01,0,0,6
Mar-22 21:24:02,0,0,6
Mar-22 21:24:03,0,0,6
Mar-22 21:24:04,0,0,6
Mar-22 21:24:05,0,0,6
Mar-22 21:24:06,0,0,6
Mar-22 21:24:07,0,0,6
Mar-22 21:24:08,0,0,6
Mar-22 21:24:09,0,0,6
Mar-22 21:24:10,0,0,6
Mar-22 21:24:11,0,0,6
Mar-22 21:24:12,0,0,6
Mar-22 21:24:13,0,0,6
Mar-22 21:24:14,0,0,6
Mar-22 21:24:15,0,0,6
Mar-22 21:24:16,0,0,6
Mar-22 21:24:17,0,0,6
Mar-22 21:24:18,0,0,6
Mar-22 21:24:19,0,0,6
Mar-22 21:24:20,0,0,6
Mar-22 21:24:21,0,0,6
Mar-22 21:24:22,0,0,6
Mar-22 21:24:23,0,0,6
Mar-22 21:24:24,0,0,6
Mar-22 21:24:25,0,0,6
Mar-22 21:24:26,0,0,6
Mar-22 21:24:27,0,0,6
