"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/ipc_int_lock_sys_vm_udp_socket_time_page_tcp.csv --ipc --int --lock --sys --vm --udp --socket --time --page --tcp 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"sysv ipc",,,"interrupts",,,"file locks",,,,"system",,"virtual memory",,,,"udp",,"sockets",,,,,"system","paging",,"tcp sockets",,,,
"msg","sem","shm","138","139","140","pos","lck","rea","wri","int","csw","majpf","minpf","alloc","free","lis","act","tot","tcp","udp","raw","frg","time","in","out","lis","act","syn","tim","clo"
0,0,5,0.000,43.279,0.018,83,12,13,82,1449.137,6016.425,0.235,4925.462,5437.634,5507.966,25,14,1204,26,33,0,0,Mar-23 13:42:08,2.442,715.314,7,22,0,7,3
0,0,5,0,123,0,83,12,13,82,2852,8845,0,7186,11018,5485,25,14,1204,26,33,0,0,Mar-23 13:42:09,0,0,7,22,0,6,3
0,0,5,0,124,0,83,12,13,82,2612,6069,0,203,876,742,25,14,1204,26,33,0,0,Mar-23 13:42:10,0,0,7,22,0,6,3
0,0,5,0,126,0,83,12,13,82,2537,6553,0,884,1516,1958,25,14,1204,26,33,0,0,Mar-23 13:42:11,0,0,7,22,0,7,3
0,0,5,0,143,0,83,12,13,82,2604,6002,0,239,1723,2758,25,14,1204,26,33,0,0,Mar-23 13:42:12,0,0,7,22,0,7,3
0,0,5,0,148,0,83,12,13,82,2802,7033,0,1653,2163,2676,25,14,1204,26,33,0,0,Mar-23 13:42:13,0,0,7,22,0,7,3
0,0,5,0,127,0,83,12,13,82,2589,6941,0,1521,2278,9189,25,14,1204,26,33,0,0,Mar-23 13:42:14,0,0,7,22,0,7,3
0,0,5,0,117,0,83,12,13,82,2620,7289,0,960,2153,7612,25,14,1204,26,33,0,0,Mar-23 13:42:15,0,0,7,22,0,7,3
0,0,5,0,128,0,83,12,13,82,2540,5984,0,845,1600,3458,25,14,1206,26,33,0,0,Mar-23 13:42:16,0,0,7,22,0,7,3
0,0,5,0,122,0,83,12,13,82,3523,10166,0,1637,5426,5521,25,14,1204,26,33,0,0,Mar-23 13:42:17,0,0,7,22,0,7,3
0,0,5,0,119,0,83,12,13,82,2639,7158,0,1618,2346,3256,25,14,1204,26,33,0,0,Mar-23 13:42:18,0,0,7,22,0,7,3
0,0,5,0,156,0,83,12,13,82,2642,7017,0,1575,2136,2499,25,14,1204,26,33,0,0,Mar-23 13:42:19,0,0,7,22,0,6,3
0,0,5,0,122,0,83,12,13,82,2519,5808,0,260,1049,4036,25,14,1204,26,33,0,0,Mar-23 13:42:20,0,0,7,22,0,6,3
0,0,5,0,132,0,83,12,13,82,2564,5971,0,1340,2860,2092,25,14,1204,26,33,0,0,Mar-23 13:42:21,0,0,7,22,0,6,3
0,0,5,0,143,0,83,12,13,82,2677,7672,0,3317,4386,4711,25,13,1203,26,33,0,0,Mar-23 13:42:22,0,0,7,22,0,7,3
0,0,5,0,126,0,83,12,13,82,2792,7302,0,1678,2905,2591,25,13,1203,26,33,0,0,Mar-23 13:42:23,0,0,7,22,0,7,3
0,0,5,0,118,0,83,12,13,82,3711,36818,0,43228,65893,26837,25,13,1203,26,33,0,0,Mar-23 13:42:24,0,0,7,22,0,7,3
0,0,5,0,156,0,83,12,13,82,2714,5886,0,525,1278,1832,25,13,1203,26,33,0,0,Mar-23 13:42:25,0,0,7,22,0,7,3
0,0,5,0,123,0,83,12,13,82,2532,5876,0,758,1349,1874,25,13,1203,26,33,0,0,Mar-23 13:42:26,0,0,7,22,0,7,3
0,0,5,0,116,0,83,12,13,82,2546,5633,0,245,727,1246,25,13,1203,26,33,0,0,Mar-23 13:42:27,0,0,7,22,0,7,3
0,0,5,0,134,0,83,12,13,82,2727,7449,1,1932,3173,3288,25,13,1203,26,33,0,0,Mar-23 13:42:28,0,0,7,22,0,7,3
0,0,5,0,116,0,83,12,13,82,2820,8381,0,2584,4011,3418,25,13,1203,26,33,0,0,Mar-23 13:42:29,0,0,7,22,0,6,3
0,0,5,0,125,0,83,12,13,82,2533,5752,0,193,756,778,25,13,1203,26,33,0,0,Mar-23 13:42:30,0,0,7,22,0,6,3
0,0,5,0,166,0,83,12,13,82,2729,6740,0,343,953,1028,25,13,1203,26,33,0,0,Mar-23 13:42:31,0,0,7,22,0,6,3
0,0,5,0,122,0,83,12,13,82,2713,6530,0,6348,8093,4925,25,13,1203,26,33,0,0,Mar-23 13:42:32,0,0,7,22,0,6,3
0,0,5,0,143,0,83,12,13,82,2941,8113,0,2176,3909,3779,25,13,1203,26,33,0,0,Mar-23 13:42:33,0,0,7,22,0,7,3
0,0,5,0,129,0,83,12,13,82,2672,6966,0,2404,3046,8073,25,13,1203,26,33,0,0,Mar-23 13:42:34,0,0,7,22,0,7,3
0,0,5,0,133,0,83,12,13,82,2896,6430,0,1302,2423,2769,25,13,1203,26,33,0,0,Mar-23 13:42:35,0,0,7,22,0,7,3
0,0,5,0,135,0,83,12,13,82,2660,7215,0,1685,3185,2330,25,13,1203,26,33,0,0,Mar-23 13:42:36,0,0,7,22,0,7,3
0,0,5,0,152,0,83,12,13,82,2498,5711,0,371,1181,816,25,13,1203,26,33,0,0,Mar-23 13:42:37,0,0,7,22,0,7,3
0,0,5,0,129,0,83,12,13,82,2853,7743,0,1663,2791,2638,25,13,1203,26,33,0,0,Mar-23 13:42:38,0,0,7,22,0,7,3
0,0,5,0,121,0,83,12,13,82,2719,7541,0,2910,4641,4352,25,13,1203,26,33,0,0,Mar-23 13:42:39,0,0,7,22,0,6,3
0,0,5,0,126,0,83,12,13,82,2512,5628,0,447,859,874,25,13,1203,26,33,0,0,Mar-23 13:42:40,0,0,7,22,0,6,3
0,0,5,0,117,0,83,12,13,82,2548,5925,0,377,884,779,25,13,1203,26,33,0,0,Mar-23 13:42:41,0,0,7,22,0,6,3
0,0,5,0,121,0,83,12,13,82,2410,5584,0,238,995,723,25,13,1203,26,33,0,0,Mar-23 13:42:42,0,0,7,22,0,6,3
0,0,5,0,164,0,83,12,13,82,2907,8556,0,2471,4544,14297,25,13,1203,26,33,0,0,Mar-23 13:42:43,0,0,7,22,0,6,3
0,0,5,0,154,0,83,12,13,82,2784,8189,0,1636,3062,2915,25,13,1203,26,33,0,0,Mar-23 13:42:44,0,0,7,22,0,7,3
0,0,5,0,123,0,83,12,13,82,2592,5819,0,518,1120,1344,25,13,1203,26,33,0,0,Mar-23 13:42:45,0,0,7,22,0,7,3
0,0,5,0,132,0,83,12,13,82,2514,5746,0,368,828,1369,25,13,1203,26,33,0,0,Mar-23 13:42:46,0,0,7,22,0,7,3
0,0,5,0,119,0,83,12,13,82,2625,6191,0,5701,7276,2336,25,13,1203,26,33,0,0,Mar-23 13:42:47,0,0,7,22,0,7,3
0,0,5,0,120,0,83,12,13,82,2705,7202,0,1535,3136,3098,25,13,1203,26,33,0,0,Mar-23 13:42:48,0,0,7,22,0,7,3
0,0,5,0,192,0,83,12,13,82,2691,7417,0,5347,6439,3378,25,14,1206,26,33,0,0,Mar-23 13:42:49,0,0,7,22,0,7,3
0,0,5,0,119,0,83,12,13,82,2759,7210,0,1650,2862,14819,25,14,1204,26,33,0,0,Mar-23 13:42:50,0,0,7,22,0,7,3
0,0,5,0,122,0,83,12,13,82,2601,6192,0,905,1785,6003,25,14,1204,26,33,0,0,Mar-23 13:42:51,0,0,7,22,0,7,3
0,0,5,0,129,0,83,12,13,82,2653,6026,0,520,854,946,25,14,1204,26,33,0,0,Mar-23 13:42:52,0,0,7,22,0,6,3
0,0,5,0,129,0,83,12,13,82,2614,6282,0,1659,2665,4820,25,14,1204,26,33,0,0,Mar-23 13:42:53,0,0,7,22,0,6,3
0,0,5,0,126,0,83,12,13,82,2782,7989,0,8186,10389,5644,25,14,1204,26,33,0,0,Mar-23 13:42:54,0,0,7,22,0,6,3
0,0,5,0,177,0,83,12,13,82,2646,6686,0,234,742,1433,25,14,1204,26,33,0,0,Mar-23 13:42:55,0,0,7,22,0,7,3
0,0,5,0,123,0,83,12,13,82,2573,5904,0,752,1253,1134,25,14,1204,26,33,0,0,Mar-23 13:42:56,0,0,7,22,0,7,3
0,0,5,0,123,0,83,12,13,82,2560,6617,0,592,1965,14613,25,14,1204,26,33,0,0,Mar-23 13:42:57,0,0,7,21,0,7,4
0,0,5,0,141,0,83,12,13,82,3749,10129,0,221,2839,2843,25,14,1204,26,33,0,0,Mar-23 13:42:58,0,0,7,21,0,8,4
0,0,5,0,120,0,83,12,13,82,2859,8455,0,3031,4059,4691,25,14,1204,26,33,0,0,Mar-23 13:42:59,0,0,7,21,0,8,4
0,0,5,0,123,0,83,12,13,82,2883,6006,0,1881,2500,3539,25,14,1204,26,33,0,0,Mar-23 13:43:00,0,0,7,21,0,8,4
0,0,5,0,162,0,83,12,13,82,2497,5637,0,439,1217,989,25,14,1204,26,33,0,0,Mar-23 13:43:01,0,0,7,21,0,8,4
0,0,5,0,126,0,83,12,13,82,3599,37882,0,42695,65119,27107,25,14,1204,26,33,0,0,Mar-23 13:43:02,0,0,7,21,0,7,4
0,0,5,0,150,0,83,12,13,82,2599,6037,0,742,1737,2852,25,14,1204,26,33,0,0,Mar-23 13:43:03,0,0,7,21,0,7,4
0,0,5,0,113,0,83,12,13,82,2956,9635,1,4435,6812,7241,25,14,1204,26,33,0,0,Mar-23 13:43:04,0,0,7,21,0,7,4
0,0,5,0,132,0,83,12,13,82,2554,6791,0,340,1250,1234,25,14,1204,26,33,0,0,Mar-23 13:43:05,0,0,7,21,0,8,4
0,0,5,0,141,0,83,12,13,82,2536,5918,0,752,1262,772,25,14,1204,26,33,0,0,Mar-23 13:43:06,0,0,7,21,0,8,4
0,0,5,0,152,0,83,12,13,82,2538,5686,0,636,1111,1437,25,14,1204,26,33,0,0,Mar-23 13:43:07,0,0,7,21,0,8,4
0,0,5,0,119,0,83,12,13,82,2516,5689,0,200,665,1198,25,14,1204,26,33,0,0,Mar-23 13:43:08,0,0,7,21,0,8,4
0,0,5,0,119,0,83,12,13,82,2894,8785,0,8660,11246,11067,25,14,1204,26,33,0,0,Mar-23 13:43:09,0,0,7,21,0,8,4
0,0,5,0,126,0,83,12,13,82,2494,5691,0,244,741,720,25,14,1204,26,33,0,0,Mar-23 13:43:10,0,0,7,21,0,8,4
0,0,5,0,118,0,83,12,13,82,2692,6845,0,2803,3803,7119,25,14,1204,26,33,0,0,Mar-23 13:43:11,0,0,7,21,0,8,4
0,0,5,0,123,0,83,12,13,82,2334,5933,0,278,1077,1099,25,14,1204,26,33,0,0,Mar-23 13:43:12,0,0,7,21,0,7,4
0,0,5,0,171,0,83,12,13,82,2731,6505,0,1247,2327,2109,25,14,1204,26,33,0,0,Mar-23 13:43:13,0,0,7,21,0,7,4
