"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/ipc_udp_tcp_vm-adv_raw.csv --ipc --udp --tcp --vm-adv --raw 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"sysv ipc",,,"udp",,"tcp sockets",,,,,"advanced virtual memory",,,,,"raw"
"msg","sem","shm","lis","act","lis","act","syn","tim","clo","steal","scanK","scanD","pgoru","astll","raw"
0,0,5,25,14,7,22,0,7,3,37.423,0,0,0.009,0,0
0,0,5,25,14,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,14,7,21,1,6,4,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,13,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,6,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,22,0,7,3,0,0,0,0,0,0
0,0,5,25,14,7,21,0,7,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,7,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,7,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,7,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,7,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,7,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,7,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,7,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,14,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,13,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,13,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,13,7,21,0,8,4,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,3,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,3,0,0,0,0,0,0
0,0,5,25,13,7,23,0,7,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,7,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,7,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,7,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,7,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,7,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,7,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,7,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,23,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,9,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,8,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,9,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,9,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,9,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,9,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,9,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,10,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,9,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,9,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,9,2,0,0,0,0,0,0
0,0,5,25,13,7,22,0,9,2,0,0,0,0,0,0
0,0,5,25,13,7,24,0,8,1,0,0,0,0,0,0
