"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/load.csv --bytes --time --load 1 600",,,,"Date:","23 Mar 2023 13:32:03 -03"
"system","load avg",,
"time","1m","5m","15m"
Mar-23 13:32:03,0.880,0.950,1.220
Mar-23 13:32:04,0.880,0.950,1.220
Mar-23 13:32:05,0.970,0.970,1.220
Mar-23 13:32:06,0.970,0.970,1.220
Mar-23 13:32:07,0.970,0.970,1.220
Mar-23 13:32:08,0.970,0.970,1.220
Mar-23 13:32:09,0.970,0.970,1.220
Mar-23 13:32:10,1.050,0.990,1.220
Mar-23 13:32:11,1.050,0.990,1.220
Mar-23 13:32:12,1.050,0.990,1.220
Mar-23 13:32:13,1.050,0.990,1.220
Mar-23 13:32:14,1.050,0.990,1.220
Mar-23 13:32:15,1.130,1.010,1.230
Mar-23 13:32:16,1.130,1.010,1.230
Mar-23 13:32:17,1.130,1.010,1.230
Mar-23 13:32:18,1.130,1.010,1.230
Mar-23 13:32:19,1.130,1.010,1.230
Mar-23 13:32:20,1.120,1.010,1.230
Mar-23 13:32:21,1.120,1.010,1.230
Mar-23 13:32:22,1.120,1.010,1.230
Mar-23 13:32:23,1.120,1.010,1.230
Mar-23 13:32:24,1.120,1.010,1.230
Mar-23 13:32:25,1.110,1.010,1.230
Mar-23 13:32:26,1.110,1.010,1.230
Mar-23 13:32:27,1.110,1.010,1.230
Mar-23 13:32:28,1.110,1.010,1.230
Mar-23 13:32:29,1.110,1.010,1.230
Mar-23 13:32:30,1.100,1,1.220
Mar-23 13:32:31,1.100,1,1.220
Mar-23 13:32:32,1.100,1,1.220
Mar-23 13:32:33,1.100,1,1.220
Mar-23 13:32:34,1.100,1,1.220
Mar-23 13:32:35,1.010,0.990,1.220
Mar-23 13:32:36,1.010,0.990,1.220
Mar-23 13:32:37,1.010,0.990,1.220
Mar-23 13:32:38,1.010,0.990,1.220
Mar-23 13:32:39,1.010,0.990,1.220
Mar-23 13:32:40,1.010,0.990,1.220
Mar-23 13:32:41,1.010,0.990,1.220
Mar-23 13:32:42,1.010,0.990,1.220
Mar-23 13:32:43,1.010,0.990,1.220
Mar-23 13:32:44,1.010,0.990,1.220
Mar-23 13:32:45,0.930,0.970,1.210
Mar-23 13:32:46,0.930,0.970,1.210
Mar-23 13:32:47,0.930,0.970,1.210
Mar-23 13:32:48,0.930,0.970,1.210
Mar-23 13:32:49,0.930,0.970,1.210
Mar-23 13:32:50,0.850,0.950,1.200
Mar-23 13:32:51,0.850,0.950,1.200
Mar-23 13:32:52,0.850,0.950,1.200
Mar-23 13:32:53,0.850,0.950,1.200
Mar-23 13:32:54,0.850,0.950,1.200
Mar-23 13:32:55,1.270,1.040,1.230
Mar-23 13:32:56,1.270,1.040,1.230
Mar-23 13:32:57,1.270,1.040,1.230
Mar-23 13:32:58,1.270,1.040,1.230
Mar-23 13:32:59,1.270,1.040,1.230
Mar-23 13:33:00,1.160,1.020,1.220
Mar-23 13:33:01,1.160,1.020,1.220
Mar-23 13:33:02,1.160,1.020,1.220
Mar-23 13:33:03,1.160,1.020,1.220
Mar-23 13:33:04,1.160,1.020,1.220
Mar-23 13:33:05,1.150,1.020,1.220
Mar-23 13:33:06,1.150,1.020,1.220
Mar-23 13:33:07,1.150,1.020,1.220
Mar-23 13:33:08,1.150,1.020,1.220
Mar-23 13:33:09,1.150,1.020,1.220
Mar-23 13:33:10,1.140,1.020,1.220
Mar-23 13:33:11,1.140,1.020,1.220
Mar-23 13:33:12,1.140,1.020,1.220
Mar-23 13:33:13,1.140,1.020,1.220
Mar-23 13:33:14,1.140,1.020,1.220
Mar-23 13:33:15,1.210,1.040,1.220
Mar-23 13:33:16,1.210,1.040,1.220
Mar-23 13:33:17,1.210,1.040,1.220
Mar-23 13:33:18,1.210,1.040,1.220
Mar-23 13:33:19,1.210,1.040,1.220
Mar-23 13:33:20,1.190,1.040,1.220
Mar-23 13:33:21,1.190,1.040,1.220
Mar-23 13:33:22,1.190,1.040,1.220
Mar-23 13:33:23,1.190,1.040,1.220
Mar-23 13:33:24,1.190,1.040,1.220
Mar-23 13:33:25,1.420,1.090,1.240
Mar-23 13:33:26,1.420,1.090,1.240
Mar-23 13:33:27,1.420,1.090,1.240
Mar-23 13:33:28,1.420,1.090,1.240
Mar-23 13:33:29,1.420,1.090,1.240
Mar-23 13:33:30,1.700,1.150,1.260
Mar-23 13:33:31,1.700,1.150,1.260
Mar-23 13:33:32,1.700,1.150,1.260
Mar-23 13:33:33,1.700,1.150,1.260
Mar-23 13:33:34,1.700,1.150,1.260
Mar-23 13:33:35,1.570,1.130,1.250
Mar-23 13:33:36,1.570,1.130,1.250
Mar-23 13:33:37,1.570,1.130,1.250
Mar-23 13:33:38,1.570,1.130,1.250
Mar-23 13:33:39,1.570,1.130,1.250
Mar-23 13:33:40,1.440,1.110,1.240
Mar-23 13:33:41,1.440,1.110,1.240
Mar-23 13:33:42,1.440,1.110,1.240
Mar-23 13:33:43,1.440,1.110,1.240
Mar-23 13:33:44,1.440,1.110,1.240
Mar-23 13:33:45,1.650,1.160,1.260
Mar-23 13:33:46,1.650,1.160,1.260
Mar-23 13:33:47,1.650,1.160,1.260
Mar-23 13:33:48,1.650,1.160,1.260
Mar-23 13:33:49,1.650,1.160,1.260
Mar-23 13:33:50,1.670,1.170,1.260
Mar-23 13:33:51,1.670,1.170,1.260
Mar-23 13:33:52,1.670,1.170,1.260
Mar-23 13:33:53,1.670,1.170,1.260
Mar-23 13:33:54,1.670,1.170,1.260
Mar-23 13:33:55,1.620,1.170,1.260
Mar-23 13:33:56,1.620,1.170,1.260
Mar-23 13:33:57,1.620,1.170,1.260
Mar-23 13:33:58,1.620,1.170,1.260
Mar-23 13:33:59,1.620,1.170,1.260
Mar-23 13:34:00,1.810,1.220,1.280
Mar-23 13:34:01,1.810,1.220,1.280
Mar-23 13:34:02,1.810,1.220,1.280
Mar-23 13:34:03,1.810,1.220,1.280
Mar-23 13:34:04,1.810,1.220,1.280
Mar-23 13:34:05,1.670,1.200,1.270
Mar-23 13:34:06,1.670,1.200,1.270
Mar-23 13:34:07,1.670,1.200,1.270
Mar-23 13:34:08,1.670,1.200,1.270
Mar-23 13:34:09,1.670,1.200,1.270
Mar-23 13:34:10,1.610,1.200,1.270
Mar-23 13:34:11,1.610,1.200,1.270
Mar-23 13:34:12,1.610,1.200,1.270
Mar-23 13:34:13,1.610,1.200,1.270
Mar-23 13:34:14,1.610,1.200,1.270
Mar-23 13:34:15,1.720,1.230,1.280
Mar-23 13:34:16,1.720,1.230,1.280
Mar-23 13:34:17,1.720,1.230,1.280
Mar-23 13:34:18,1.720,1.230,1.280
Mar-23 13:34:19,1.720,1.230,1.280
Mar-23 13:34:20,1.660,1.220,1.280
Mar-23 13:34:21,1.660,1.220,1.280
Mar-23 13:34:22,1.660,1.220,1.280
Mar-23 13:34:23,1.660,1.220,1.280
Mar-23 13:34:24,1.660,1.220,1.280
Mar-23 13:34:25,1.610,1.220,1.270
Mar-23 13:34:26,1.610,1.220,1.270
Mar-23 13:34:27,1.610,1.220,1.270
Mar-23 13:34:28,1.610,1.220,1.270
Mar-23 13:34:29,1.610,1.220,1.270
Mar-23 13:34:30,1.480,1.200,1.270
Mar-23 13:34:31,1.480,1.200,1.270
Mar-23 13:34:32,1.480,1.200,1.270
Mar-23 13:34:33,1.480,1.200,1.270
Mar-23 13:34:34,1.480,1.200,1.270
Mar-23 13:34:35,1.360,1.180,1.260
Mar-23 13:34:36,1.360,1.180,1.260
Mar-23 13:34:37,1.360,1.180,1.260
Mar-23 13:34:38,1.360,1.180,1.260
Mar-23 13:34:39,1.360,1.180,1.260
Mar-23 13:34:40,1.330,1.170,1.260
Mar-23 13:34:41,1.330,1.170,1.260
Mar-23 13:34:42,1.330,1.170,1.260
Mar-23 13:34:43,1.330,1.170,1.260
Mar-23 13:34:44,1.330,1.170,1.260
Mar-23 13:34:45,1.310,1.170,1.260
Mar-23 13:34:46,1.310,1.170,1.260
