"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/lock_mem_vm-adv.csv --lock --mem --vm-adv 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"file locks",,,,"memory usage",,,,"advanced virtual memory",,,,
"pos","lck","rea","wri","used","free","cach","avai","steal","scanK","scanD","pgoru","astll"
56,12,10,58,3148496896,2205790208,10532171776,12844355584,11.224,0,0,0.004,0
56,12,10,58,3153154048,2200834048,10532470784,12839432192,0,0,0,0,0
56,12,10,58,3154071552,2190790656,10541596672,12829396992,0,0,0,0,0
56,13,11,58,3154792448,2190057472,10541608960,12828491776,0,0,0,0,0
56,12,10,58,3156070400,2189037568,10541350912,12827480064,0,0,0,0,0
56,12,10,58,3352539136,1987006464,10546913280,12631539712,0,0,0,0,0
56,12,10,58,3351191552,1987284992,10547982336,12631900160,0,0,0,0,0
56,12,10,58,3353993216,1985003520,10547462144,12629630976,0,0,0,0,0
56,12,10,58,3354718208,1984012288,10547728384,12628643840,0,0,0,0,0
56,12,10,58,3354963968,1983508480,10547986432,12628140032,0,0,0,0,0
56,12,10,58,3357032448,1981960192,10547466240,12626604032,0,0,0,0,0
56,12,10,58,3358027776,1980698624,10547732480,12625342464,0,0,0,0,0
56,12,10,58,3360288768,1978130432,10548039680,12622782464,0,0,0,0,0
56,12,10,58,3359920128,1978880000,10547658752,12622860288,0,0,0,0,0
56,12,10,58,3361701888,1976573952,10548183040,12620570624,0,0,0,0,0
56,12,10,58,3363536896,1975054336,10547867648,12619051008,0,0,0,0,0
56,12,10,58,3363528704,1975078912,10547851264,12619075584,0,0,0,0,0
56,12,10,58,3364208640,1973858304,10548391936,12617879552,0,0,0,0,0
56,12,10,58,3364982784,1973858304,10547617792,12617887744,0,0,0,0,0
56,12,10,58,3364941824,1973858304,10547658752,12617887744,0,0,0,0,0
56,12,10,58,3364593664,1973342208,10548523008,12617506816,0,0,0,0,0
56,12,10,58,3365097472,1973342208,10548019200,12617560064,0,0,0,0,0
56,12,10,58,3365355520,1973342208,10547761152,12617560064,0,0,0,0,0
56,12,10,58,3365593088,1972580352,10548285440,12616798208,0,0,0,0,0
56,12,10,58,3366117376,1972580352,10547761152,12616527872,0,0,0,0,0
56,12,10,58,3366633472,1972322304,10547503104,12616286208,0,0,0,0,0
56,12,10,58,3366064128,1972322304,10548072448,12617244672,0,0,0,0,0
56,12,10,58,3367616512,1971302400,10547539968,12616278016,0,0,0,0,0
56,12,10,58,3367505920,1971302400,10547650560,12617924608,0,0,0,0,0
56,12,10,58,3367976960,1970307072,10548174848,12616949760,0,0,0,0,0
56,12,10,58,3366662144,1972142080,10547654656,12618792960,0,0,0,0,0
56,12,10,58,3366350848,1971920896,10548187136,12618575872,0,0,0,0,0
56,12,10,58,3366559744,1971699712,10548199424,12618366976,0,0,0,0,0
56,12,10,58,3345481728,1993916416,10547060736,12624052224,0,0,0,0,0
56,12,10,58,3344408576,1993916416,10548133888,12624084992,0,0,0,0,0
56,12,10,58,3345395712,1999097856,10541985792,12623269888,0,0,0,0,0
56,12,10,58,3345596416,1999151104,10541731840,12623331328,0,0,0,0,0
56,12,10,58,3345793024,1998946304,10541740032,12623126528,0,0,0,0,0
56,12,10,58,3346333696,1998946304,10541199360,12623126528,0,0,0,0,0
56,12,10,58,3345993728,1998741504,10541744128,12622929920,0,0,0,0,0
56,12,10,58,3345068032,1999351808,10542059520,12624625664,0,0,0,0,0
56,12,10,58,3345444864,1998974976,10542059520,12624257024,0,0,0,0,0
56,12,10,58,3346419712,1998266368,10541793280,12623548416,0,0,0,0,0
56,12,10,58,3346735104,1997574144,10542170112,12624420864,0,0,0,0,0
56,12,10,58,3346980864,1997328384,10542170112,12624195584,0,0,0,0,0
56,12,10,58,3348774912,1996058624,10541645824,12622925824,0,0,0,0,0
56,12,10,58,3348942848,1995354112,10542182400,12621078528,0,0,0,0,0
56,12,10,58,3349315584,1994936320,10542227456,12620730368,0,0,0,0,0
56,12,10,58,3350831104,1993945088,10541703168,12619739136,0,0,0,0,0
56,12,10,58,3350773760,1993469952,10542235648,12619264000,0,0,0,0,0
56,12,10,58,3418890240,1925873664,10541715456,12545777664,0,0,0,0,0
56,12,10,58,3547750400,1790881792,10547847168,12417814528,0,0,0,0,0
56,12,10,58,3547672576,1790464000,10548342784,12417466368,0,0,0,0,0
56,12,10,58,3549671424,1788731392,10548076544,12415733760,0,0,0,0,0
56,12,10,58,3549011968,1789054976,10548412416,12416851968,0,0,0,0,0
56,12,10,58,3550552064,1788551168,10547376128,12416385024,0,0,0,0,0
56,12,10,58,3549503488,1788551168,10548424704,12416389120,0,0,0,0,0
56,12,10,58,3550752768,1787543552,10548183040,12415381504,0,0,0,0,0
56,12,10,58,3567800320,1770336256,10548342784,12399788032,0,0,0,0,0
56,12,10,58,3568812032,1768787968,10548879360,12398284800,0,0,0,0,0
56,12,10,58,3569319936,1768534016,10548625408,12398071808,0,0,0,0,0
56,12,10,58,3572940800,1765122048,10548416512,12394446848,0,0,0,0,0
56,12,10,58,3572023296,1765507072,10548948992,12394840064,0,0,0,0,0
56,12,10,58,3572994048,1765060608,10548424704,12394405888,0,0,0,0,0
56,12,10,58,3573456896,1764569088,10548453376,12393951232,0,0,0,0,0
56,12,10,58,3573080064,1764814848,10548584448,12393041920,0,0,0,0,0
56,12,10,58,3572465664,1765953536,10548060160,12393447424,0,0,0,0,0
56,12,10,58,3571691520,1766420480,10548367360,12393914368,0,0,0,0,0
56,12,10,58,3571740672,1765928960,10548809728,12392603648,0,0,0,0,0
56,12,10,58,3572510720,1765683200,10548285440,12392357888,0,0,0,0,0
56,12,10,58,3572436992,1765232640,10548809728,12391964672,0,0,0,0,0
56,12,10,58,3572056064,1765601280,10548822016,12392349696,0,0,0,0,0
56,12,10,58,3572133888,1766113280,10548232192,12392869888,0,0,0,0,0
56,12,10,58,3571707904,1765883904,10548887552,12394311680,0,0,0,0,0
56,12,10,58,3572064256,1765527552,10548887552,12393955328,0,0,0,0,0
56,12,10,58,3573354496,1765515264,10547609600,12394446848,0,0,0,0,0
56,12,10,58,3573800960,1763737600,10548940800,12392693760,0,0,0,0,0
56,12,10,58,3574743040,1762545664,10549190656,12391501824,0,0,0,0,0
56,12,10,58,3575447552,1762615296,10548416512,12391571456,0,0,0,0,0
56,12,10,58,3576401920,1767665664,10542411776,12408049664,0,0,0,0,0
56,12,10,58,3571486720,1774153728,10540838912,12407627776,0,0,0,0,0
56,12,10,58,3571421184,1773072384,10541985792,12406411264,0,0,0,0,0
56,12,10,58,3570655232,1773019136,10542804992,12405313536,0,0,0,0,0
56,12,10,58,3571531776,1772658688,10542288896,12404981760,0,0,0,0,0
56,12,10,58,3572215808,1772224512,10542039040,12404555776,0,0,0,0,0
56,12,10,58,3571683328,1772224512,10542571520,12404563968,0,0,0,0,0
56,12,10,58,3572166656,1771995136,10542317568,12404334592,0,0,0,0,0
56,12,10,58,3571322880,1772847104,10542309376,12405149696,0,0,0,0,0
56,12,10,58,3561918464,1781886976,10542673920,12482080768,0,0,0,0,0
56,12,10,58,3563028480,1781174272,10542276608,12481409024,0,0,0,0,0
56,12,10,58,3563143168,1781059584,10542276608,12481282048,0,0,0,0,0
56,12,10,58,3562807296,1780871168,10542800896,12481093632,0,0,0,0,0
56,12,10,58,3561930752,1782280192,10542268416,12482510848,0,0,0,0,0
56,12,10,58,3562426368,1782046720,10542006272,12481994752,0,0,0,0,0
56,12,10,58,3561893888,1782046720,10542538752,12482064384,0,0,0,0,0
56,12,10,58,3561709568,1782497280,10542272512,12482514944,0,0,0,0,0
56,12,10,58,3675492352,1662537728,10548449280,12509237248,0,0,0,0,0
56,12,10,58,3677495296,1660563456,10548420608,12506787840,0,0,0,0,0
56,12,10,58,3678289920,1660284928,10547904512,12506509312,0,0,0,0,0
56,12,10,58,3678257152,1660309504,10547912704,12506525696,0,0,0,0,0
56,12,10,58,3679244288,1659305984,10547929088,12505530368,0,0,0,0,0
56,12,10,58,3679223808,1659330560,10547924992,12505567232,0,0,0,0,0
56,12,10,58,3678650368,1659621376,10548207616,12505858048,0,0,0,0,0
56,12,10,58,3533709312,1804226560,10548543488,12636639232,0,0,0,0,0
56,12,10,58,3534696448,1803751424,10548031488,12636176384,0,0,0,0,0
56,12,10,58,3536490496,1802498048,10547490816,12634886144,0,0,0,0,0
56,12,10,58,3535900672,1802014720,10548563968,12634419200,0,0,0,0,0
56,12,10,58,3537850368,1801109504,10547519488,12633571328,0,0,0,0,0
56,12,10,58,3536642048,1801121792,10548715520,12633714688,0,0,0,0,0
56,12,10,58,3537412096,1800658944,10548408320,12633251840,0,0,0,0,0
56,12,10,58,3537059840,1800671232,10548748288,12633686016,0,0,0,0,0
56,12,10,58,3538452480,1799467008,10548559872,12635234304,0,0,0,0,0
56,12,10,58,3538919424,1798713344,10548846592,12634480640,0,0,0,0,0
56,12,10,58,3539386368,1798238208,10548854784,12634013696,0,0,0,0,0
56,12,10,58,3538567168,1799811072,10548101120,12635586560,0,0,0,0,0
56,12,10,58,3539021824,1798832128,10548625408,12634607616,0,0,0,0,0
56,12,10,58,3540307968,1797287936,10548883456,12633100288,0,0,0,0,0
56,12,10,58,3537301504,1800777728,10548400128,12636622848,0,0,0,0,0
56,12,10,58,3537977344,1799467008,10549035008,12632829952,0,0,0,0,0
56,12,10,58,3538419712,1799282688,10548776960,12631957504,0,0,0,0,0
56,12,10,58,3538448384,1799311360,10548719616,12631994368,0,0,0,0,0
56,12,10,58,3539210240,1798021120,10549248000,12630724608,0,0,0,0,0
56,12,10,58,3539460096,1798021120,10548998144,12630745088,0,0,0,0,0
56,12,10,58,3536306176,1808244736,10541932544,12632301568,0,0,0,0,0
56,12,10,58,3535335424,1808637952,10542510080,12632506368,0,0,0,0,0
56,12,10,58,3535122432,1808838656,10542522368,12632727552,0,0,0,0,0
56,12,10,58,3535802368,1808601088,10542080000,12632694784,0,0,0,0,0
56,12,10,58,3535503360,1808916480,10542063616,12632772608,0,0,0,0,0
56,12,10,58,3536809984,1807208448,10542465024,12631076864,0,0,0,0,0
56,12,10,58,3535486976,1809297408,10541699072,12633165824,0,0,0,0,0
56,12,10,58,3534942208,1809051648,10542489600,12632936448,0,0,0,0,0
56,12,10,58,3535093760,1809113088,10542276608,12634013696,0,0,0,0,0
56,12,10,58,3535654912,1808605184,10542223360,12633493504,0,0,0,0,0
56,12,10,58,3535937536,1808154624,10542391296,12633042944,0,0,0,0,0
56,12,10,58,3534053376,1809780736,10542649344,12634669056,0,0,0,0,0
56,12,10,58,3534643200,1809715200,10542125056,12634603520,0,0,0,0,0
56,12,10,58,3534319616,1809502208,10542661632,12634402816,0,0,0,0,0
56,12,10,58,3535298560,1808797696,10542387200,12633698304,0,0,0,0,0
56,12,10,58,3535314944,1808822272,10542346240,12634521600,0,0,0,0,0
56,12,10,58,3533176832,1810423808,10542882816,12636164096,0,0,0,0,0
56,12,10,58,3547799552,1795756032,10542927872,12622389248,0,0,0,0,0
56,12,10,58,3471663104,1865945088,10548858880,12599930880,0,0,0,0,0
56,12,10,58,3471650816,1865183232,10549633024,12612952064,0,0,0,0,0
56,12,10,58,3473952768,1863401472,10549112832,12611526656,0,0,0,0,0
56,12,10,58,3475243008,1861361664,10549862400,12609495040,0,0,0,0,0
56,12,10,58,3475337216,1861402624,10549727232,12608860160,0,0,0,0,0
56,12,10,58,3475804160,1861455872,10549207040,12608921600,0,0,0,0,0
56,12,10,58,3475214336,1861500928,10549751808,12608978944,0,0,0,0,0
56,12,10,58,3458838528,1877778432,10549850112,12803932160,0,0,0,0,0
56,12,10,58,3460927488,1876180992,10549358592,12802375680,0,0,0,0,0
56,12,10,58,3460890624,1875939328,10549637120,12802134016,0,0,0,0,0
56,12,10,58,3460849664,1875722240,10549895168,12802052096,0,0,0,0,0
56,12,10,58,3460808704,1876004864,10549653504,12801998848,0,0,0,0,0
56,12,10,58,3461804032,1874984960,10549678080,12800978944,0,0,0,0,0
56,12,10,58,3461165056,1875103744,10550198272,12801097728,0,0,0,0,0
56,12,10,58,3461685248,1875091456,10549690368,12801114112,0,0,0,0,0
56,12,10,58,3276288000,2060128256,10550050816,12798013440,0,0,0,0,0
56,12,10,58,3276754944,2059653120,10550059008,12797546496,0,0,0,0,0
56,12,10,58,3277754368,2059165696,10549547008,12797112320,0,0,0,0,0
56,12,10,58,3277418496,2059177984,10549870592,12796751872,0,0,0,0,0
56,12,10,58,3277668352,2058674176,10550124544,12796301312,0,0,0,0,0
56,12,10,58,3276496896,2059837440,10550132736,12797472768,0,0,0,0,0
56,12,10,58,3277021184,2059874304,10549571584,12797222912,0,0,0,0,0
56,12,10,58,3278098432,2058190848,10550177792,12796276736,0,0,0,0,0
