"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/mem.csv --bytes --time --mem 1 600",,,,"Date:","23 Mar 2023 13:32:03 -03"
"system","memory usage",,,
"time","used","free","cach","avai"
Mar-23 13:32:03,5295407104,2830241792,7849222144,11126423552
Mar-23 13:32:04,5302579200,2820878336,7851413504,11117518848
Mar-23 13:32:05,5309194240,2803351552,7862325248,11105206272
Mar-23 13:32:06,5310455808,2802262016,7862153216,11104210944
Mar-23 13:32:07,5312606208,2801356800,7860908032,11105239040
Mar-23 13:32:08,5315051520,2797604864,7862214656,11101487104
Mar-23 13:32:09,5303242752,2812952576,7858675712,11113148416
Mar-23 13:32:10,5304360960,2811768832,7858741248,11111981056
Mar-23 13:32:11,5293719552,2826293248,7854858240,11116531712
Mar-23 13:32:12,5294534656,2823950336,7856386048,11119501312
Mar-23 13:32:13,5297360896,2816684032,7860826112,11112071168
Mar-23 13:32:14,5289914368,2828525568,7856431104,11123781632
Mar-23 13:32:15,5293166592,2827485184,7854219264,11120525312
Mar-23 13:32:16,5308850176,2812547072,7853473792,11104325632
Mar-23 13:32:17,5287538688,2832879616,7854452736,11128569856
Mar-23 13:32:18,5295415296,2825560064,7853895680,11121262592
Mar-23 13:32:19,5295693824,2818404352,7860772864,11121266688
Mar-23 13:32:20,5312049152,2802024448,7860797440,11105456128
Mar-23 13:32:21,5319716864,2775449600,7879704576,11083796480
Mar-23 13:32:22,5323354112,2773000192,7878516736,11081355264
Mar-23 13:32:23,5321928704,2776477696,7876464640,11069288448
Mar-23 13:32:24,5323894784,2775121920,7875854336,11067891712
Mar-23 13:32:25,5325987840,2775883776,7872999424,11067363328
Mar-23 13:32:26,5323571200,2775998464,7875301376,11072913408
Mar-23 13:32:27,5324845056,2776875008,7873150976,11073798144
Mar-23 13:32:28,5323767808,2777849856,7873253376,11079979008
Mar-23 13:32:29,5325664256,2777554944,7871651840,11078356992
Mar-23 13:32:30,5324439552,2781065216,7869366272,11079626752
Mar-23 13:32:31,5316337664,2787655680,7870877696,11119022080
Mar-23 13:32:32,5315915776,2788335616,7870619648,11119710208
Mar-23 13:32:33,5314908160,2785628160,7874334720,11118780416
Mar-23 13:32:34,5314371584,2787483648,7873015808,11120648192
Mar-23 13:32:35,5270986752,2831179776,7872704512,11115601920
Mar-23 13:32:36,5271269376,2830540800,7873060864,11115233280
Mar-23 13:32:37,5268078592,2811121664,7895670784,11093585920
Mar-23 13:32:38,5283934208,2794987520,7895949312,11078537216
Mar-23 13:32:39,5285093376,2793377792,7896399872,11078373376
Mar-23 13:32:40,5280829440,2795544576,7898497024,11080355840
Mar-23 13:32:41,5284761600,2791346176,7898763264,11076435968
Mar-23 13:32:42,5288251392,2787819520,7898800128,11072991232
Mar-23 13:32:43,5291560960,2786615296,7896694784,11069792256
Mar-23 13:32:44,5295591424,2782584832,7896694784,11065655296
Mar-23 13:32:45,5296930816,2781179904,7896760320,11064250368
Mar-23 13:32:46,5306114048,2770776064,7897980928,11053633536
Mar-23 13:32:47,5285785600,2797768704,7891316736,11083493376
Mar-23 13:32:48,5290450944,2798432256,7885987840,11094065152
Mar-23 13:32:49,5291343872,2797539328,7885987840,11093172224
Mar-23 13:32:50,5295112192,2796146688,7883612160,11089518592
Mar-23 13:32:51,5294313472,2796011520,7884546048,11089498112
Mar-23 13:32:52,5295144960,2793541632,7886184448,11087036416
Mar-23 13:32:53,5313298432,2774302720,7887269888,11068903424
Mar-23 13:32:54,5322645504,2765418496,7886692352,11088535552
Mar-23 13:32:55,5324070912,2764226560,7886458880,11086893056
Mar-23 13:32:56,5322842112,2765455360,7886458880,11088121856
Mar-23 13:32:57,5322629120,2761732096,7890395136,11084402688
Mar-23 13:32:58,5424721920,2654109696,7895928832,10993704960
Mar-23 13:32:59,5422080000,2663075840,7889604608,11002728448
Mar-23 13:33:00,5427740672,2671124480,7875895296,11010781184
Mar-23 13:33:01,5415940096,2680012800,7878799360,10991116288
Mar-23 13:33:02,5416710144,2679205888,7878836224,10990313472
Mar-23 13:33:03,5418319872,2676961280,7879471104,10988089344
Mar-23 13:33:04,5420310528,2675499008,7878938624,10986631168
Mar-23 13:33:05,5418696704,2679496704,7876554752,11077738496
Mar-23 13:33:06,5419675648,2678546432,7876526080,11076759552
Mar-23 13:33:07,5419999232,2678218752,7876530176,11076435968
Mar-23 13:33:08,5415424000,2680455168,7878868992,11075076096
Mar-23 13:33:09,5416050688,2679791616,7878905856,11072909312
Mar-23 13:33:10,5416128512,2679476224,7879143424,11072598016
Mar-23 13:33:11,5416747008,2678702080,7879299072,11072147456
Mar-23 13:33:12,5415579648,2678968320,7880200192,11070033920
Mar-23 13:33:13,5415456768,2676715520,7882575872,11067895808
Mar-23 13:33:14,5414178816,2681630720,7878938624,11073159168
Mar-23 13:33:15,5287772160,2806501376,7880474624,11102072832
Mar-23 13:33:16,5287735296,2807144448,7879868416,11102883840
Mar-23 13:33:17,5287768064,2807361536,7879618560,11101114368
Mar-23 13:33:18,5288603648,2808635392,7877509120,11100282880
Mar-23 13:33:19,5288480768,2809049088,7877214208,11100573696
Mar-23 13:33:20,5288558592,2807410688,7878774784,11098939392
Mar-23 13:33:21,5290360832,2805587968,7878795264,11097489408
Mar-23 13:33:22,5293035520,2801373184,7880335360,11094331392
Mar-23 13:33:23,5294481408,2808516608,7871746048,11102666752
Mar-23 13:33:24,5296144384,2806853632,7871746048,11104759808
Mar-23 13:33:25,5292597248,2810400768,7871746048,11109371904
Mar-23 13:33:26,5293326336,2812370944,7869046784,11109134336
Mar-23 13:33:27,5289963520,2819948544,7864832000,11118481408
Mar-23 13:33:28,5290459136,2820059136,7864225792,11118604288
Mar-23 13:33:29,5289013248,2818453504,7867277312,11120283648
Mar-23 13:33:30,5313814528,2747703296,7913222144,11049541632
Mar-23 13:33:31,5310402560,2760278016,7904059392,11062480896
Mar-23 13:33:32,5321744384,2728083456,7924912128,11019964416
Mar-23 13:33:33,5325860864,2721554432,7927324672,11013472256
Mar-23 13:33:34,5332393984,2706083840,7936262144,10998030336
Mar-23 13:33:35,5316927488,2719219712,7938592768,11011178496
Mar-23 13:33:36,5418561536,2610745344,7945433088,10909048832
Mar-23 13:33:37,5424222208,2617843712,7932674048,10916167680
Mar-23 13:33:38,5443149824,2597797888,7933792256,10897195008
Mar-23 13:33:39,5447839744,2601140224,7925755904,10898468864
Mar-23 13:33:40,5450997760,2598248448,7925489664,10893615104
Mar-23 13:33:41,5445406720,2641715200,7887613952,10935148544
Mar-23 13:33:42,5448208384,2638790656,7887736832,10932224000
Mar-23 13:33:43,5425266688,2659381248,7890087936,10964426752
Mar-23 13:33:44,5429891072,2654134272,7890710528,10953359360
Mar-23 13:33:45,5431361536,2652991488,7890382848,10952220672
Mar-23 13:33:46,5438373888,2647195648,7889166336,10945380352
Mar-23 13:33:47,5422231552,2663337984,7889166336,10961522688
Mar-23 13:33:48,5423595520,2661904384,7889235968,10960105472
Mar-23 13:33:49,5425020928,2660470784,7889244160,10958688256
Mar-23 13:33:50,5408481280,2674794496,7891460096,10969899008
Mar-23 13:33:51,5412782080,2669744128,7892209664,11094593536
Mar-23 13:33:52,5413507072,2669285376,7891943424,11094134784
Mar-23 13:33:53,5429829632,2651353088,7893553152,11107094528
Mar-23 13:33:54,5378039808,2692284416,7904411648,11097165824
Mar-23 13:33:55,5385469952,2688598016,7900667904,11093479424
Mar-23 13:33:56,5386776576,2687557632,7900401664,11092447232
