"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/mem_socket_vm_tcp_net_load_raw_fs_io_swap.csv --mem --socket --vm --tcp --net --load --raw --fs --io --swap 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"memory usage",,,,"sockets",,,,,"virtual memory",,,,"tcp sockets",,,,,"net/total",,"load avg",,,"raw","filesystem",,"io/total",,"swap",
"used","free","cach","avai","tot","tcp","udp","raw","frg","majpf","minpf","alloc","free","lis","act","syn","tim","clo","recv","send","1m","5m","15m","raw","files","inodes","read","writ","used","free"
5286039552,2741854208,7946997760,11128877056,1204,26,33,0,0,0.235,4925.353,5437.514,5507.806,7,22,0,7,3,0,0,1.320,1.250,1.260,0,13952,182308,5.467,48.227,108527616,914878464
5294190592,2728775680,7951925248,11120730112,1204,26,33,0,0,0,24311,29568,29914,7,22,0,6,3,6743,8435,1.320,1.250,1.260,0,14496,182858,0,0,108527616,914878464
5297205248,2726060032,7951626240,11118186496,1204,26,33,0,0,0,253,1043,1106,7,22,0,6,3,6351,7905,1.320,1.250,1.260,0,14560,182888,0,0,108527616,914878464
5296754688,2725998592,7952138240,11114942464,1204,26,33,0,0,0,910,1654,1976,7,20,1,6,4,6750,8875,1.210,1.230,1.250,0,14528,182877,0,34,108527616,914878464
5302902784,2722234368,7949754368,11110252544,1204,26,33,0,0,0,221,1757,2209,7,22,0,7,3,23047,12354,1.210,1.230,1.250,0,14336,182579,0,86,108527616,914878464
5302259712,2725310464,7947321344,11111792640,1204,26,33,0,0,0,1650,2118,3224,7,22,0,7,3,6463,8128,1.210,1.230,1.250,0,14144,182382,0,0,108527616,914878464
5275340800,2757234688,7942311936,11157401600,1204,26,33,0,0,0,1522,2316,9187,7,22,0,7,3,6448,8450,1.210,1.230,1.250,0,14080,181274,0,0,108527616,914878464
5253738496,2777509888,7943639040,11163566080,1204,26,33,0,0,0,681,1729,7525,7,22,0,7,3,6294,7840,1.210,1.230,1.250,0,14080,181297,0,0,108527616,914878464
5245702144,2785796096,7943389184,11164389376,1204,26,33,0,0,0,993,1861,3533,7,22,0,7,3,6616,8126,1.110,1.210,1.250,0,14080,181255,0,40,108527616,914878464
