"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/mem_udp_socket_unix_swap_time_zones_lock_io_sys_vm_ipc.csv --mem --udp --socket --unix --swap --time --zones --lock --io --sys --vm --ipc 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"memory usage",,,,"udp",,"sockets",,,,,"unix sockets",,,,"swap",,"system","zones memory",,,,"file locks",,,,"io/total",,"system",,"virtual memory",,,,"sysv ipc",,
"used","free","cach","avai","lis","act","tot","tcp","udp","raw","frg","dgm","str","lis","act","used","free","time","d32F","d32H","normF","normH","pos","lck","rea","wri","read","writ","int","csw","majpf","minpf","alloc","free","msg","sem","shm"
5290803200,2737090560,7946997760,11124113408,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:08,159503,3141,505664,22688,83,12,13,82,5.467,48.227,1449.136,6016.413,0.235,4925.444,5437.609,5507.945,0,0,5
5295779840,2727186432,7951925248,11119149056,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:09,159503,3141,502986,22688,83,12,13,82,0,0,2955,10756,0,10384,15202,8952,0,0,5
5296939008,2726060032,7951892480,11118186496,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:10,159503,3141,502711,22688,83,12,13,82,0,0,2609,6074,0,212,887,867,0,0,5
5296754688,2725998592,7952138240,11114942464,25,14,1205,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:11,159503,3141,502696,22688,83,12,13,82,0,34,2589,6690,0,908,1552,2000,0,0,5
5300813824,2725859328,7948218368,11112341504,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:12,159503,3141,502662,22688,83,12,13,82,0,86,2548,5840,0,219,1693,2717,0,0,5
5302259712,2725310464,7947321344,11111792640,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:13,159503,3141,502528,22688,83,12,13,82,0,0,2825,7139,0,1651,2154,2689,0,0,5
5275598848,2756976640,7942311936,11157143552,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:14,159503,3141,510259,22688,83,12,13,82,0,0,2612,6969,0,1523,2306,9197,0,0,5
5253738496,2777509888,7943639040,11163566080,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:15,159503,3141,515272,22688,83,12,13,82,0,0,2490,6739,0,683,1695,7464,0,0,5
5245906944,2785591296,7943389184,11164184576,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:16,159503,3141,517245,22688,83,12,13,82,0,40,2557,6121,0,1001,1865,3543,0,0,5
