"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/mem_vm-adv_zones_disk_vm_cpu_udp_unix.csv --mem --vm-adv --zones --disk --vm --cpu --udp --unix 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"memory usage",,,,"advanced virtual memory",,,,,"zones memory",,,,"dsk/total",,"virtual memory",,,,"total cpu usage",,,,,"udp",,"unix sockets",,,
"used","free","cach","avai","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH","read","writ","majpf","minpf","alloc","free","usr","sys","idl","wai","stl","lis","act","dgm","str","lis","act"
3149012992,2205274112,10532171776,12843839488,11.224,0,0,0.004,0,305914,3141,229155,22176,145421.376,772263.805,0.301,3884.710,4321.811,4372.407,4.263,1.469,94.211,0.057,0,17,6,56,868,54,814
3153154048,2200834048,10532470784,12839432192,0,0,0,0,0,305914,3141,228071,22176,0,0,0,2528,2931,2551,4.375,3.375,92.125,0.125,0,17,6,56,870,54,816
3154071552,2190790656,10541596672,12829396992,0,0,0,0,0,305914,3141,225619,22176,0,0,0,520,6384,3966,3.409,2.020,94.571,0,0,17,6,56,868,54,814
3154792448,2190057472,10541608960,12828491776,0,0,0,0,0,305914,3141,225440,22176,687104,16384,0,530,876,1031,3.648,2.264,93.836,0.252,0,17,6,56,868,54,814
3156070400,2189037568,10541350912,12827480064,0,0,0,0,0,305914,3141,225191,22176,684032,16384,0,1938,2202,2271,4.666,2.018,93.064,0.252,0,17,6,56,868,54,814
3352539136,1987006464,10546913280,12631539712,0,0,0,0,0,305914,3141,175867,22176,0,0,0,52513,75724,23399,7.855,3.367,88.653,0.125,0,17,6,56,868,54,814
3351191552,1987284992,10547982336,12631900160,0,0,0,0,0,305914,3141,175935,22176,0,2572288,0,1360,3014,2762,5.038,1.637,93.199,0.126,0,17,6,56,868,54,814
3353993216,1985003520,10547462144,12629630976,0,0,0,0,0,305914,3141,175378,22176,0,0,0,121,888,1031,4.271,1.005,94.724,0,0,20,6,56,868,54,814
3354718208,1984012288,10547728384,12628643840,0,0,0,0,0,305914,3141,175136,22176,0,0,0,133,313,200,2.767,0.881,96.226,0.126,0,20,6,56,868,54,814
3354963968,1983508480,10547986432,12628140032,0,0,0,0,0,305914,3141,175013,22176,0,0,0,335,149,154,2.130,0.752,97.118,0,0,20,6,56,868,54,814
3357032448,1981960192,10547466240,12626604032,0,0,0,0,0,305914,3141,174635,22176,0,0,0,1840,1865,1951,2.509,1.255,95.985,0.251,0,20,6,56,868,54,814
3358027776,1980698624,10547732480,12625342464,0,0,0,0,0,305914,3141,174327,22176,0,139264,0,1347,1598,1488,2.372,1.248,95.755,0.624,0,20,6,56,868,54,814
3360288768,1978130432,10548039680,12622782464,0,0,0,0,0,305914,3141,173700,22176,0,0,0,327,618,404,2.886,1.129,95.985,0,0,17,6,56,868,54,814
3360907264,1977892864,10547658752,12621873152,0,0,0,0,0,305914,3141,173586,22176,0,17063936,0,791,2798,3101,2.771,1.259,95.592,0.378,0,17,6,56,868,54,814
3361701888,1976573952,10548183040,12620570624,0,0,0,0,0,305914,3141,173320,22176,0,0,0,63,278,156,1.508,0.754,97.739,0,0,17,6,56,868,54,814
3363536896,1975054336,10547867648,12619051008,0,0,0,0,0,305914,3141,172949,22176,0,0,0,1376,1687,1692,2.264,1.509,96.101,0.126,0,17,6,56,868,54,814
3363528704,1975078912,10547851264,12619075584,0,0,0,0,0,305914,3141,172955,22176,0,0,0,1430,1464,1556,1.894,0.631,97.348,0.126,0,17,6,56,868,54,814
3364208640,1973858304,10548391936,12617879552,0,0,0,0,0,305914,3141,172657,22176,0,1785856,0,345,791,662,2.513,1.005,96.357,0.126,0,17,6,56,868,54,814
3364982784,1973858304,10547617792,12617887744,0,0,0,0,0,305914,3141,172657,22176,0,0,0,63,139,261,2.875,1,96,0.125,0,17,6,56,868,54,814
3364941824,1973858304,10547658752,12617887744,0,0,0,0,0,305914,3141,172657,22176,0,0,0,115,233,249,4.020,1.633,94.347,0,0,17,6,56,868,54,814
