"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/net.csv --time --net 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","net/total",
"time","recv","send"
Mar-22 21:22:03,0,0
Mar-22 21:22:04,0,0
Mar-22 21:22:05,0,358
Mar-22 21:22:06,0,0
Mar-22 21:22:07,734,2153
Mar-22 21:22:08,16883,4147
Mar-22 21:22:09,0,0
Mar-22 21:22:10,70,358
Mar-22 21:22:11,0,0
Mar-22 21:22:12,0,0
Mar-22 21:22:13,0,0
Mar-22 21:22:14,0,0
Mar-22 21:22:15,0,1278
Mar-22 21:22:16,0,920
Mar-22 21:22:17,0,920
Mar-22 21:22:18,1249,4112
Mar-22 21:22:19,16012,2748
Mar-22 21:22:20,424,0
Mar-22 21:22:21,0,358
Mar-22 21:22:22,167,187
Mar-22 21:22:23,380,1081
Mar-22 21:22:24,7771,9678
Mar-22 21:22:25,0,0
Mar-22 21:22:26,167,545
Mar-22 21:22:27,396,446
Mar-22 21:22:28,0,0
Mar-22 21:22:29,1305,3266
Mar-22 21:22:30,17687,7312
Mar-22 21:22:31,29998,2074
Mar-22 21:22:32,498,252
Mar-22 21:22:33,6537,106
Mar-22 21:22:34,3837,0
Mar-22 21:22:35,2624,0
Mar-22 21:22:36,42,0
Mar-22 21:22:37,0,358
Mar-22 21:22:38,124,106
Mar-22 21:22:39,0,0
Mar-22 21:22:40,2005,3742
Mar-22 21:22:41,15972,2874
Mar-22 21:22:42,380,732
Mar-22 21:22:43,0,206
Mar-22 21:22:44,0,0
Mar-22 21:22:45,650,484
Mar-22 21:22:46,0,0
Mar-22 21:22:47,396,1010
Mar-22 21:22:48,0,0
Mar-22 21:22:49,0,0
Mar-22 21:22:50,0,0
Mar-22 21:22:51,1619,4490
Mar-22 21:22:52,15860,1744
Mar-22 21:22:53,0,358
Mar-22 21:22:54,167,187
Mar-22 21:22:55,0,206
Mar-22 21:22:56,0,0
Mar-22 21:22:57,78,106
Mar-22 21:22:58,0,358
Mar-22 21:22:59,174,0
Mar-22 21:23:00,524,0
Mar-22 21:23:01,0,0
Mar-22 21:23:02,15984,5496
Mar-22 21:23:03,1404,631
Mar-22 21:23:04,0,358
Mar-22 21:23:05,0,0
Mar-22 21:23:06,0,0
Mar-22 21:23:07,396,446
Mar-22 21:23:08,0,0
Mar-22 21:23:09,0,358
Mar-22 21:23:10,494,0
Mar-22 21:23:11,0,187
Mar-22 21:23:12,167,0
Mar-22 21:23:13,16779,6034
Mar-22 21:23:14,990,837
Mar-22 21:23:15,0,346
Mar-22 21:23:16,0,0
Mar-22 21:23:17,0,173
Mar-22 21:23:18,86,106
Mar-22 21:23:19,0,173
Mar-22 21:23:20,0,0
Mar-22 21:23:21,0,0
Mar-22 21:23:22,167,187
Mar-22 21:23:23,78,106
Mar-22 21:23:24,16345,5814
Mar-22 21:23:25,1288,557
Mar-22 21:23:26,0,0
Mar-22 21:23:27,396,446
Mar-22 21:23:28,0,0
Mar-22 21:23:29,416,252
Mar-22 21:23:30,0,0
Mar-22 21:23:31,1771,4638
Mar-22 21:23:32,27897,1888
Mar-22 21:23:33,3335,120
Mar-22 21:23:34,0,0
Mar-22 21:23:35,17685,5940
Mar-22 21:23:36,0,0
Mar-22 21:23:37,0,0
Mar-22 21:23:38,0,0
Mar-22 21:23:39,0,0
Mar-22 21:23:40,0,358
Mar-22 21:23:41,0,0
Mar-22 21:23:42,167,187
Mar-22 21:23:43,167,187
Mar-22 21:23:44,0,0
Mar-22 21:23:45,298,1508
Mar-22 21:23:46,16963,4790
Mar-22 21:23:47,625,657
Mar-22 21:23:48,0,0
Mar-22 21:23:49,0,0
Mar-22 21:23:50,0,358
Mar-22 21:23:51,0,0
Mar-22 21:23:52,0,0
Mar-22 21:23:53,0,0
Mar-22 21:23:54,0,0
Mar-22 21:23:55,167,187
Mar-22 21:23:56,80,1314
Mar-22 21:23:57,16554,4846
Mar-22 21:23:58,876,126
Mar-22 21:23:59,0,0
Mar-22 21:24:00,598,0
Mar-22 21:24:01,524,358
Mar-22 21:24:02,167,187
Mar-22 21:24:03,86,106
Mar-22 21:24:04,0,0
Mar-22 21:24:05,0,0
Mar-22 21:24:06,0,358
Mar-22 21:24:07,396,446
Mar-22 21:24:08,17341,5920
Mar-22 21:24:09,0,86
Mar-22 21:24:10,70,0
Mar-22 21:24:11,0,358
Mar-22 21:24:12,0,0
Mar-22 21:24:13,0,0
Mar-22 21:24:14,0,0
Mar-22 21:24:15,0,920
Mar-22 21:24:16,0,920
