"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/net_mem_sys_fs_time_vm-adv_socket_aio.csv --net --mem --sys --fs --time --vm-adv --socket --aio 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"net/total",,"memory usage",,,,"system",,"filesystem",,"system","advanced virtual memory",,,,,"sockets",,,,,"async"
"recv","send","used","free","cach","avai","int","csw","files","inodes","time","steal","scanK","scanD","pgoru","astll","tot","tcp","udp","raw","frg","#aio"
0,0,5241704448,2786988032,7946199040,11174010880,1449.132,6016.396,13792,182175,Mar-23 13:42:08,37.423,0,0,0.009,0,1204,26,33,0,0,0
6628,8709,5294190592,2728775680,7951925248,11120730112,3233,12892,14496,182858,Mar-23 13:42:09,0,0,0,0,0,1204,26,33,0,0,0
6351,7768,5297205248,2726060032,7951626240,11118186496,2615,6113,14560,182888,Mar-23 13:42:10,0,0,0,0,0,1204,26,33,0,0,0
6413,7970,5296754688,2725998592,7952138240,11114942464,2627,6071,14528,182877,Mar-23 13:42:11,0,0,0,0,0,1204,26,33,0,0,0
23499,13396,5299580928,2724757504,7950553088,11113574400,2551,6492,14336,182607,Mar-23 13:42:12,0,0,0,0,0,1204,26,33,0,0,0
6463,8128,5301800960,2725769216,7947321344,11112251392,2774,7154,14144,182382,Mar-23 13:42:13,0,0,0,0,0,1204,26,33,0,0,0
6448,8450,5275607040,2757234688,7942045696,11157401600,2634,7039,14080,181273,Mar-23 13:42:14,0,0,0,0,0,1204,26,33,0,0,0
6294,7840,5253414912,2777833472,7943639040,11163889664,2534,6702,14080,181297,Mar-23 13:42:15,0,0,0,0,0,1204,26,33,0,0,0
6616,8126,5245702144,2785796096,7943389184,11164389376,2578,6299,14080,181255,Mar-23 13:42:16,0,0,0,0,0,1204,26,33,0,0,0
6294,7703,5236523008,2793783296,7944581120,11180290048,2651,6385,14080,181311,Mar-23 13:42:17,0,0,0,0,0,1204,26,33,0,0,0
6314,7764,5240922112,2788720640,7945228288,11175260160,3537,11092,14080,181311,Mar-23 13:42:18,0,0,0,0,0,1204,26,33,0,0,0
