"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/page_swap_vm_time_udp_disk_aio_socket_mem_tcp_load_zones.csv --page --swap --vm --time --udp --disk --aio --socket --mem --tcp --load --zones 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"paging",,"swap",,"virtual memory",,,,"system","udp",,"dsk/total",,"async","sockets",,,,,"memory usage",,,,"tcp sockets",,,,,"load avg",,,"zones memory",,,
"in","out","used","free","majpf","minpf","alloc","free","time","lis","act","read","writ","#aio","tot","tcp","udp","raw","frg","used","free","cach","avai","lis","act","syn","tim","clo","1m","5m","15m","d32F","d32H","normF","normH"
0.477,15.003,1835008,1021571072,0.301,3884.710,4321.811,4372.407,Mar-22 21:32:08,17,6,145421.376,772263.805,0,1072,18,19,0,0,3149012992,2205274112,10532171776,12843839488,7,11,0,6,2,1.200,2.950,4,305914,3141,229155,22176
0,0,1835008,1021571072,0,2570,2972,2551,Mar-22 21:32:09,17,6,0,0,0,1074,18,19,0,0,3153154048,2200834048,10532470784,12839432192,7,11,0,6,2,1.180,2.920,3.980,305914,3141,228071,22176
0,0,1835008,1021571072,0,524,6390,3968,Mar-22 21:32:10,17,6,0,0,0,1072,18,19,0,0,3154071552,2190790656,10541596672,12829396992,7,11,0,6,2,1.180,2.920,3.980,305914,3141,225619,22176
0,0,1835008,1021571072,0,530,875,1030,Mar-22 21:32:11,17,6,687104,16384,0,1073,19,19,0,0,3154792448,2190057472,10541608960,12828491776,7,12,1,6,1,1.180,2.920,3.980,305914,3141,225440,22176
0,0,1835008,1021571072,0,1877,2149,2231,Mar-22 21:32:12,17,6,684032,16384,0,1073,19,19,0,0,3156070400,2189037568,10541350912,12827480064,7,13,0,6,1,1.180,2.920,3.980,305914,3141,225191,22176
0,0,1835008,1021571072,0,52574,75770,23432,Mar-22 21:32:13,17,6,0,0,0,1073,19,19,0,0,3352539136,1987006464,10546913280,12631539712,7,13,0,6,1,1.180,2.920,3.980,305914,3141,175615,22176
0,0,1835008,1021571072,0,1360,3005,2754,Mar-22 21:32:14,17,6,0,2572288,0,1073,19,19,0,0,3351191552,1987284992,10547982336,12631900160,7,13,0,6,1,1.170,2.890,3.970,305914,3141,175935,22176
0,0,1835008,1021571072,0,121,905,1047,Mar-22 21:32:15,20,6,0,0,0,1076,19,22,0,0,3353993216,1985003520,10547462144,12629630976,7,13,0,6,1,1.170,2.890,3.970,305914,3141,175378,22176
0,0,1835008,1021571072,0,133,314,200,Mar-22 21:32:16,20,6,0,0,0,1076,19,22,0,0,3354718208,1984012288,10547728384,12628643840,7,13,0,6,1,1.170,2.890,3.970,305914,3141,175136,22176
0,0,1835008,1021571072,0,335,148,154,Mar-22 21:32:17,20,6,0,0,0,1076,19,22,0,0,3354963968,1983508480,10547986432,12628140032,7,13,0,6,1,1.170,2.890,3.970,305914,3141,175013,22176
0,0,1835008,1021571072,0,1840,1865,1951,Mar-22 21:32:18,20,6,0,0,0,1076,19,22,0,0,3357032448,1981960192,10547466240,12626604032,7,13,0,6,1,1.170,2.890,3.970,305914,3141,174635,22176
0,0,1835008,1021571072,0,1347,1596,1486,Mar-22 21:32:19,20,6,0,139264,0,1076,19,22,0,0,3358027776,1980698624,10547732480,12625342464,7,13,0,6,1,1.160,2.860,3.950,305914,3141,174267,22176
0,0,1835008,1021571072,0,327,619,405,Mar-22 21:32:20,17,6,0,0,0,1073,19,19,0,0,3360288768,1978130432,10548039680,12622815232,7,13,0,6,1,1.160,2.860,3.950,305914,3141,173700,22176
0,0,1835008,1021571072,0,791,2798,3064,Mar-22 21:32:21,17,6,0,17063936,0,1073,19,19,0,0,3361136640,1977663488,10547658752,12621643776,7,13,0,6,1,1.160,2.860,3.950,305914,3141,173523,22176
0,0,1835008,1021571072,0,63,279,194,Mar-22 21:32:22,17,6,0,0,0,1073,19,19,0,0,3361701888,1976573952,10548183040,12620570624,7,13,0,6,1,1.160,2.860,3.950,305914,3141,173320,22176
0,0,1835008,1021571072,0,1376,1686,1690,Mar-22 21:32:23,17,6,0,0,0,1073,19,19,0,0,3363536896,1975054336,10547867648,12619051008,7,13,0,6,1,1.160,2.860,3.950,305914,3141,172949,22176
0,0,1835008,1021571072,0,1430,1464,1556,Mar-22 21:32:24,17,6,0,0,0,1073,19,19,0,0,3363528704,1975078912,10547851264,12619075584,7,13,0,6,1,1.140,2.830,3.930,305914,3141,172955,22176
0,0,1835008,1021571072,0,345,792,664,Mar-22 21:32:25,17,6,0,1785856,0,1074,20,19,0,0,3364208640,1973858304,10548391936,12617879552,7,15,0,6,0,1.140,2.830,3.930,305914,3141,172657,22176
0,0,1835008,1021571072,0,63,139,261,Mar-22 21:32:26,17,6,0,0,0,1074,20,19,0,0,3364982784,1973858304,10547617792,12617887744,7,15,0,6,0,1.140,2.830,3.930,305914,3141,172657,22176
0,0,1835008,1021571072,0,115,224,240,Mar-22 21:32:27,17,6,0,0,0,1074,20,19,0,0,3364941824,1973858304,10547658752,12617887744,7,15,0,6,0,1.140,2.830,3.930,305914,3141,172657,22176
0,0,1835008,1021571072,0,1615,2045,1697,Mar-22 21:32:28,17,6,0,0,0,1074,20,19,0,0,3364593664,1973342208,10548523008,12617506816,7,15,0,6,0,1.140,2.830,3.930,305914,3141,172531,22176
0,0,1835008,1021571072,0,940,663,582,Mar-22 21:32:29,17,6,0,0,0,1074,20,19,0,0,3365097472,1973342208,10548019200,12617560064,7,15,0,6,0,1.130,2.800,3.920,305914,3141,172531,22176
0,0,1835008,1021571072,0,1224,1371,1541,Mar-22 21:32:30,17,6,0,0,0,1074,20,19,0,0,3365355520,1973342208,10547761152,12617560064,7,15,0,6,0,1.130,2.800,3.920,305914,3141,172531,22176
0,0,1835008,1021571072,0,80,311,193,Mar-22 21:32:31,17,6,0,204800,0,1074,20,19,0,0,3365593088,1972580352,10548285440,12616798208,7,15,0,6,0,1.130,2.800,3.920,305914,3141,172345,22176
0,0,1835008,1021571072,0,150,144,331,Mar-22 21:32:32,17,6,0,0,0,1074,20,19,0,0,3366117376,1972580352,10547761152,12616527872,7,15,0,6,0,1.130,2.800,3.920,305914,3141,172345,22176
0,0,1835008,1021571072,0,1656,1729,1693,Mar-22 21:32:33,17,6,0,0,0,1074,20,19,0,0,3366883328,1972322304,10547253248,12616286208,7,15,0,6,0,1.130,2.800,3.920,305914,3141,172282,22176
0,0,1835008,1021571072,0,58,286,529,Mar-22 21:32:34,17,6,0,0,0,1074,20,19,0,0,3366064128,1972322304,10548072448,12617244672,7,15,0,6,0,1.120,2.770,3.900,305914,3141,172282,22176
0,0,1835008,1021571072,0,1404,1843,1979,Mar-22 21:32:35,17,6,0,548864,0,1074,20,19,0,0,3367616512,1971302400,10547539968,12616278016,7,15,0,6,0,1.120,2.770,3.900,305914,3141,172033,22176
0,0,1835008,1021571072,0,260,354,207,Mar-22 21:32:36,17,6,0,352256,0,1074,20,19,0,0,3367505920,1971302400,10547650560,12617924608,7,15,0,6,0,1.120,2.770,3.900,305914,3141,172033,22176
0,0,1835008,1021571072,0,723,1140,612,Mar-22 21:32:37,17,6,0,3735552,0,1074,20,19,0,0,3367976960,1970307072,10548174848,12616949760,7,15,0,5,0,1.120,2.770,3.900,305914,3141,171790,22176
0,0,1835008,1021571072,0,1457,1861,4009,Mar-22 21:32:38,17,6,0,0,0,1074,20,19,0,0,3366637568,1972166656,10547654656,12618817536,7,15,0,6,0,1.120,2.770,3.900,305914,3141,172244,22176
0,0,1835008,1021571072,0,84,298,218,Mar-22 21:32:39,17,6,0,0,0,1074,20,19,0,0,3366350848,1971920896,10548187136,12618575872,7,15,0,6,0,1.030,2.720,3.880,305914,3141,172184,22176
0,0,1835008,1021571072,0,1390,1425,1407,Mar-22 21:32:40,17,6,0,0,0,1077,21,19,0,0,3366068224,1972191232,10548199424,12618858496,7,15,1,6,0,1.030,2.720,3.880,305914,3141,172250,22176
0,0,1835008,1021571072,0,1091,1810,5896,Mar-22 21:32:41,17,6,0,0,0,1077,21,19,0,0,3345481728,1993916416,10547060736,12624052224,7,15,1,5,0,1.030,2.720,3.880,305914,3141,177554,22176
0,0,1835008,1021571072,0,558,1550,1151,Mar-22 21:32:42,17,6,0,401408,0,1077,21,19,0,0,3344408576,1993916416,10548133888,12624084992,7,15,1,5,0,1.030,2.720,3.880,305914,3141,177554,22176
0,0,1835008,1021571072,0,1445,2701,4569,Mar-22 21:32:43,17,6,0,0,0,1077,21,19,0,0,3345395712,1999097856,10541985792,12623278080,7,15,1,5,0,1.030,2.720,3.880,307234,3141,177499,22176
0,0,1835008,1021571072,0,122,970,1098,Mar-22 21:32:44,17,6,0,0,0,1077,21,19,0,0,3345596416,1999151104,10541731840,12623331328,7,15,1,5,0,1.030,2.690,3.860,307234,3141,177512,22176
0,0,1835008,1021571072,0,1632,2413,2246,Mar-22 21:32:45,17,6,0,0,0,1077,21,19,0,0,3345793024,1998946304,10541740032,12623126528,7,15,1,5,0,1.030,2.690,3.860,307234,3141,177462,22176
0,0,1835008,1021571072,0,50,940,1196,Mar-22 21:32:46,17,6,0,0,0,1077,21,19,0,0,3345534976,1998946304,10541998080,12623126528,7,15,1,5,0,1.030,2.690,3.860,307234,3141,177462,22176
0,0,1835008,1021571072,0,70,1354,1235,Mar-22 21:32:47,17,6,0,1351680,0,1077,21,19,0,0,3345993728,1998741504,10541744128,12622929920,7,15,1,4,0,1.030,2.690,3.860,307234,3141,177412,22176
0,0,1835008,1021571072,0,1559,3215,3456,Mar-22 21:32:48,17,6,0,3260416,0,1077,21,19,0,0,3345084416,1999093760,10542301184,12624367616,7,15,1,4,0,1.030,2.690,3.860,307234,3141,177498,22176
0,0,1835008,1021571072,0,331,1040,1026,Mar-22 21:32:49,17,6,0,0,0,1077,21,19,0,0,3345444864,1998974976,10542059520,12624257024,7,15,1,5,0,1.110,2.680,3.850,307234,3141,177469,22176
0,0,1835008,1021571072,0,1319,2219,2341,Mar-22 21:32:50,17,6,0,0,0,1077,21,19,0,0,3346419712,1998266368,10541793280,12623548416,7,15,1,5,0,1.110,2.680,3.850,307234,3141,177296,22176
0,0,1835008,1021571072,0,83,1132,995,Mar-22 21:32:51,17,6,0,0,0,1077,21,19,0,0,3346735104,1997574144,10542170112,12624420864,7,15,1,5,0,1.110,2.680,3.850,307234,3141,177127,22176
0,0,1835008,1021571072,0,108,918,881,Mar-22 21:32:52,17,6,0,0,0,1077,21,19,0,0,3346980864,1997328384,10542170112,12624195584,7,15,1,5,0,1.110,2.680,3.850,307234,3141,177067,22176
0,0,1835008,1021571072,0,1636,2584,2626,Mar-22 21:32:53,17,6,0,344064,0,1077,21,19,0,0,3348774912,1996058624,10541645824,12622934016,7,15,1,5,0,1.110,2.680,3.850,307234,3141,176757,22176
0,0,1835008,1021571072,0,508,1215,1515,Mar-22 21:32:54,17,6,0,0,0,1077,21,19,0,0,3348942848,1995354112,10542182400,12621078528,7,15,1,5,0,1.100,2.650,3.840,307234,3141,176585,22176
0,0,1835008,1021571072,0,1579,2757,2479,Mar-22 21:32:55,17,6,0,0,0,1077,21,19,0,0,3349315584,1994936320,10542227456,12620730368,7,15,1,5,0,1.100,2.650,3.840,307234,3141,176483,22176
0,0,1835008,1021571072,0,74,897,1086,Mar-22 21:32:56,17,6,0,0,0,1077,21,19,0,0,3350831104,1993945088,10541703168,12619739136,7,15,1,5,0,1.100,2.650,3.840,307234,3141,176241,22176
0,0,1835008,1021571072,0,309,1062,902,Mar-22 21:32:57,17,6,0,0,0,1077,21,19,0,0,3350773760,1993469952,10542235648,12619264000,7,15,1,5,0,1.100,2.650,3.840,307234,3141,176125,22176
0,0,1835008,1021571072,0,21667,42185,23467,Mar-22 21:32:58,17,6,0,1482752,0,1077,21,19,0,0,3418890240,1925873664,10541715456,12545777664,7,15,1,5,0,1.100,2.650,3.840,307234,3141,159622,22176
0,0,1835008,1021571072,0,31195,34884,2309,Mar-22 21:32:59,17,6,0,2547712,0,1077,21,19,0,0,3547750400,1790881792,10547847168,12417814528,7,15,1,5,0,1.010,2.610,3.820,307234,3141,126665,22176
0,0,1835008,1021571072,0,1413,2469,2321,Mar-22 21:33:00,17,6,0,0,0,1074,20,19,0,0,3547672576,1790464000,10548342784,12417466368,7,15,0,6,0,1.010,2.610,3.820,307234,3141,126563,22176
0,0,1835008,1021571072,0,1856,1395,1482,Mar-22 21:33:01,17,6,0,0,0,1074,20,19,0,0,3549671424,1788731392,10548076544,12415733760,7,15,0,6,0,1.010,2.610,3.820,307234,3141,126140,22176
0,0,1835008,1021571072,0,451,664,386,Mar-22 21:33:02,17,6,0,0,0,1074,20,19,0,0,3549011968,1789054976,10548412416,12416868352,7,15,0,6,0,1.010,2.610,3.820,307234,3141,126219,22176
0,0,1835008,1021571072,0,1428,1487,1672,Mar-22 21:33:03,17,6,0,0,0,1074,20,19,0,0,3550552064,1788551168,10547376128,12416385024,7,15,0,6,0,1.010,2.610,3.820,307234,3141,126096,22176
0,0,1835008,1021571072,0,383,784,639,Mar-22 21:33:04,17,6,0,925696,0,1074,20,19,0,0,3549503488,1788551168,10548424704,12416389120,7,15,0,6,0,0.930,2.560,3.800,307234,3141,126096,22176
0,0,1835008,1021571072,0,1558,1643,1637,Mar-22 21:33:05,17,6,0,0,0,1074,20,19,0,0,3550752768,1787543552,10548183040,12415381504,7,15,0,6,0,0.930,2.560,3.800,307234,3141,125850,22176
0,0,1835008,1021571072,0,4704,5677,1037,Mar-22 21:33:06,17,6,0,0,0,1074,20,19,0,0,3567792128,1770336256,10548350976,12399788032,7,15,0,6,0,0.930,2.560,3.800,304399,3141,124358,22176
0,0,1835008,1021571072,0,496,648,536,Mar-22 21:33:07,17,6,0,0,0,1074,20,19,0,0,3568812032,1768787968,10548879360,12398284800,7,15,0,6,0,0.930,2.560,3.800,304399,3141,124106,22176
0,0,1835008,1021571072,0,1366,1382,1498,Mar-22 21:33:08,17,6,0,0,0,1074,20,19,0,0,3569319936,1768534016,10548625408,12398071808,7,15,0,6,0,0.930,2.560,3.800,304399,3141,124044,22176
0,0,1835008,1021571072,0,442,2621,2708,Mar-22 21:33:09,17,6,0,17096704,0,1074,20,19,0,0,3572674560,1765122048,10548682752,12394446848,7,15,0,6,0,0.850,2.520,3.780,304399,3141,123211,22176
0,0,1835008,1021571072,0,1305,1649,1650,Mar-22 21:33:10,17,6,0,0,0,1074,20,19,0,0,3572498432,1765031936,10548948992,12394364928,7,15,0,6,0,0.850,2.520,3.780,304399,3141,123189,22176
0,0,1835008,1021571072,0,28,380,562,Mar-22 21:33:11,17,6,0,1736704,0,1074,20,19,0,0,3572994048,1765060608,10548424704,12394405888,7,15,0,7,0,0.850,2.520,3.780,304399,3141,123196,22176
0,0,1835008,1021571072,0,102,541,381,Mar-22 21:33:12,17,6,0,147456,0,1074,20,19,0,0,3573456896,1764569088,10548453376,12393951232,7,15,0,7,0,0.850,2.520,3.780,304399,3141,123076,22176
0,0,1835008,1021571072,0,1859,1790,1865,Mar-22 21:33:13,17,6,0,49152,0,1077,21,19,0,0,3573080064,1764814848,10548584448,12393054208,7,15,1,7,0,0.850,2.520,3.780,304399,3141,123136,22176
0,0,1835008,1021571072,0,10,279,763,Mar-22 21:33:14,17,6,0,0,0,1074,20,19,0,0,3572195328,1766223872,10548060160,12393717760,7,15,0,8,0,0.790,2.480,3.760,304399,3141,123480,22176
0,0,1835008,1021571072,0,1301,1791,1680,Mar-22 21:33:15,17,6,0,0,0,1074,20,19,0,0,3571691520,1766420480,10548367360,12393914368,7,15,0,8,0,0.790,2.480,3.760,304399,3141,123528,22176
0,0,1835008,1021571072,0,1269,1458,728,Mar-22 21:33:16,17,6,0,0,0,1074,20,19,0,0,3571740672,1765928960,10548809728,12392603648,7,15,0,7,0,0.790,2.480,3.760,304399,3141,123408,22176
0,0,1835008,1021571072,0,10,87,208,Mar-22 21:33:17,17,6,0,0,0,1074,20,19,0,0,3572486144,1765707776,10548285440,12392382464,7,15,0,7,0,0.790,2.480,3.760,304399,3141,123354,22176
0,0,1835008,1021571072,0,1597,1596,1433,Mar-22 21:33:18,17,6,0,458752,0,1073,19,19,0,0,3572436992,1765232640,10548809728,12391964672,7,13,0,7,1,0.790,2.480,3.760,304399,3141,123238,22176
0,0,1835008,1021571072,0,487,280,556,Mar-22 21:33:19,17,6,0,49152,0,1073,19,19,0,0,3572056064,1765601280,10548822016,12392349696,7,13,0,7,1,0.720,2.440,3.740,304399,3141,123328,22176
0,0,1835008,1021571072,0,1354,1628,1756,Mar-22 21:33:20,17,6,0,0,0,1073,19,19,0,0,3572133888,1766113280,10548232192,12392869888,7,13,0,7,1,0.720,2.440,3.740,304399,3141,123453,22176
0,0,1835008,1021571072,0,194,455,119,Mar-22 21:33:21,17,6,0,0,0,1073,19,19,0,0,3571707904,1765883904,10548887552,12394311680,7,13,0,7,1,0.720,2.440,3.740,304399,3141,123397,22176
0,0,1835008,1021571072,0,279,89,94,Mar-22 21:33:22,17,6,0,0,0,1073,19,19,0,0,3572064256,1765527552,10548887552,12393955328,7,13,0,7,1,0.720,2.440,3.740,304399,3141,123310,22176
0,0,1835008,1021571072,0,1498,1617,2149,Mar-22 21:33:23,17,6,0,229376,0,1073,19,19,0,0,3573354496,1765515264,10547609600,12394446848,7,13,0,8,1,0.720,2.440,3.740,304399,3141,123307,22176
0,0,1835008,1021571072,0,102,522,109,Mar-22 21:33:24,17,6,0,0,0,1073,19,19,0,0,3573800960,1763737600,10548940800,12392693760,7,13,0,8,1,0.660,2.400,3.720,304399,3141,122873,22176
0,0,1835008,1021571072,0,1275,1631,1624,Mar-22 21:33:25,17,6,0,0,0,1073,19,19,0,0,3574743040,1762545664,10549190656,12391501824,7,13,0,8,1,0.660,2.400,3.720,304399,3141,122582,22176
0,0,1835008,1021571072,0,280,88,207,Mar-22 21:33:26,17,6,0,0,0,1073,19,19,0,0,3575447552,1762615296,10548416512,12391571456,7,13,0,8,1,0.660,2.400,3.720,304399,3141,122599,22176
0,0,1835008,1021571072,0,49,278,2030,Mar-22 21:33:27,17,6,0,0,0,1073,19,19,0,0,3576401920,1767665664,10542411776,12408049664,7,13,0,8,1,0.660,2.400,3.720,305632,3141,122599,22176
0,0,1835008,1021571072,0,1747,1944,3683,Mar-22 21:33:28,17,6,0,1327104,0,1073,19,19,0,0,3571752960,1773887488,10540838912,12407361536,7,13,0,7,1,0.660,2.400,3.720,306906,3141,122844,22176
0,0,1835008,1021571072,0,321,704,109,Mar-22 21:33:29,17,6,0,0,0,1073,19,19,0,0,3571421184,1773072384,10541985792,12406411264,7,13,0,7,1,0.610,2.360,3.700,306763,3141,122788,22176
0,0,1835008,1021571072,0,1810,2726,3067,Mar-22 21:33:30,17,6,0,5193728,0,1072,18,19,0,0,3570655232,1773019136,10542804992,12405313536,7,11,0,7,2,0.610,2.360,3.700,307027,3141,122511,22176
