"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/page_tcp_vm-adv_udp_mem_socket_raw_int.csv --page --tcp --vm-adv --udp --mem --socket --raw --int 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"paging",,"tcp sockets",,,,,"advanced virtual memory",,,,,"udp",,"memory usage",,,,"sockets",,,,,"raw","interrupts",,
"in","out","lis","act","syn","tim","clo","steal","scanK","scanD","pgoru","astll","lis","act","used","free","cach","avai","tot","tcp","udp","raw","frg","raw","138","139","140"
2.442,715.314,7,22,0,7,3,37.423,0,0,0.009,0,25,14,5276139520,2751295488,7947456512,11138478080,1204,26,33,0,0,0,0.000,43.279,0.018
0,0,7,22,0,6,3,0,0,0,0,0,25,14,5295845376,2726993920,7952052224,11118956544,1204,26,33,0,0,0,0,123,0
0,0,7,22,0,6,3,0,0,0,0,0,25,14,5296680960,2726060032,7952150528,11118198784,1204,26,33,0,0,0,0,125,0
0,0,7,21,1,6,4,0,0,0,0,0,25,14,5297242112,2725511168,7952138240,11114455040,1205,27,33,0,0,0,0,122,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5301587968,2725085184,7948218368,11111567360,1204,26,33,0,0,0,0,146,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5302259712,2725310464,7947321344,11111792640,1204,26,33,0,0,0,0,120,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5275598848,2756976640,7942311936,11157143552,1204,26,33,0,0,0,0,156,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5253984256,2777264128,7943639040,11163320320,1204,26,33,0,0,0,0,117,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5245906944,2785591296,7943389184,11166048256,1206,26,33,0,0,0,0,127,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5236523008,2793783296,7944581120,11180290048,1204,26,33,0,0,0,0,122,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5241659392,2790113280,7943098368,11174522880,1204,26,33,0,0,0,0,119,0
0,0,7,22,0,6,3,0,0,0,0,0,25,14,5241856000,2790191104,7942823936,11174391808,1204,26,33,0,0,0,0,121,0
0,0,7,22,0,6,3,0,0,0,0,0,25,14,5231837184,2800746496,7942287360,11173150720,1204,26,33,0,0,0,0,158,0
0,0,7,22,0,6,3,0,0,0,0,0,25,14,5237280768,2794958848,7942631424,11167375360,1204,26,33,0,0,0,0,132,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5229555712,2801537024,7943778304,11169697792,1203,26,33,0,0,0,0,142,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5229944832,2799333376,7945592832,11168481280,1203,26,33,0,0,0,0,127,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5361557504,2662469632,7950843904,11032588288,1203,26,33,0,0,0,0,119,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5364039680,2660773888,7950057472,11030933504,1203,26,33,0,0,0,0,121,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5366030336,2660646912,7948197888,11027251200,1203,26,33,0,0,0,0,156,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5366493184,2660245504,7948136448,11025416192,1203,26,33,0,0,0,0,116,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5370527744,2656727040,7947620352,11021910016,1203,26,33,0,0,0,0,132,0
0,0,7,22,0,6,3,0,0,0,0,0,25,13,5370654720,2653810688,7950409728,11031207936,1203,26,33,0,0,0,0,119,0
0,0,7,22,0,6,3,0,0,0,0,0,25,13,5370990592,2653179904,7950704640,11030867968,1203,26,33,0,0,0,0,121,0
0,0,7,22,0,6,3,0,0,0,0,0,25,13,5371355136,2653360128,7950159872,11031130112,1203,26,33,0,0,0,0,153,0
0,0,7,22,0,6,3,0,0,0,0,0,25,13,5381390336,2643197952,7950286848,11021594624,1203,26,33,0,0,0,0,139,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5382295552,2641707008,7950872576,11020136448,1203,26,33,0,0,0,0,145,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5362139136,2664198144,7948537856,11022733312,1203,26,33,0,0,0,0,127,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5363400704,2663694336,7947780096,11022090240,1203,26,33,0,0,0,0,133,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5361463296,2664497152,7948914688,11067494400,1203,26,33,0,0,0,0,135,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5362434048,2661474304,7950966784,11065606144,1203,26,33,0,0,0,0,122,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5365125120,2658783232,7950966784,11062939648,1203,26,33,0,0,0,0,158,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5371490304,2652450816,7950934016,11078144000,1203,26,33,0,0,0,0,122,0
0,0,7,22,0,6,3,0,0,0,0,0,25,13,5372633088,2653773824,7948476416,11100786688,1203,26,33,0,0,0,0,126,0
0,0,7,22,0,6,3,0,0,0,0,0,25,13,5373206528,2652925952,7948750848,11099860992,1203,26,33,0,0,0,0,117,0
0,0,7,22,0,6,3,0,0,0,0,0,25,13,5372907520,2652233728,7949742080,11099164672,1203,26,33,0,0,0,0,120,0
0,0,7,22,0,6,3,0,0,0,0,0,25,13,5332189184,2692120576,7950573568,11158560768,1203,26,33,0,0,0,0,120,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5332504576,2691530752,7950848000,11159433216,1203,26,33,0,0,0,0,199,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5332992000,2690842624,7951048704,11158749184,1203,26,33,0,0,0,0,123,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5334519808,2690109440,7950254080,11156951040,1203,26,33,0,0,0,0,131,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5353861120,2672414720,7948607488,11137437696,1203,26,33,0,0,0,0,118,0
0,0,7,22,0,7,3,0,0,0,0,0,25,13,5356912640,2669260800,7948709888,11134390272,1203,26,33,0,0,0,0,121,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5356658688,2668851200,7949373440,11133730816,1204,26,33,0,0,0,0,153,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5306519552,2717917184,7950446592,11129425920,1204,26,33,0,0,0,0,158,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5298606080,2730405888,7945875456,11133145088,1204,26,33,0,0,0,0,121,0
0,0,7,22,0,6,3,0,0,0,0,0,25,14,5299818496,2729213952,7945854976,11131703296,1204,26,33,0,0,0,0,131,0
0,0,7,22,0,6,3,0,0,0,0,0,25,14,5300989952,2727776256,7946121216,11130265600,1204,26,33,0,0,0,0,129,0
0,0,7,22,0,6,3,0,0,0,0,0,25,14,5317603328,2713010176,7944273920,11112210432,1204,26,33,0,0,0,0,126,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5317783552,2713354240,7943749632,11116306432,1204,26,33,0,0,0,0,144,0
0,0,7,22,0,7,3,0,0,0,0,0,25,14,5318111232,2713006080,7943770112,11115905024,1204,26,33,0,0,0,0,156,0
0,0,7,21,0,7,4,0,0,0,0,0,25,14,5258735616,2770145280,7946006528,11133239296,1204,26,33,0,0,0,0,123,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5258215424,2768834560,7947837440,11133489152,1204,26,33,0,0,0,0,141,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5259845632,2768814080,7946211328,11133509632,1204,26,33,0,0,0,0,120,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5260042240,2768482304,7946346496,11130191872,1204,26,33,0,0,0,0,121,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5261451264,2768158720,7945261056,11127529472,1204,26,33,0,0,0,0,121,0
0,0,7,21,0,7,4,0,0,0,0,0,25,14,5392666624,2630418432,7951785984,10988343296,1204,26,33,0,0,0,0,168,0
0,0,7,21,0,7,4,0,0,0,0,0,25,14,5397012480,2628726784,7949131776,11010543616,1204,26,33,0,0,0,0,151,0
0,0,7,21,0,7,4,0,0,0,0,0,25,14,5391765504,2632966144,7950139392,11021398016,1204,26,33,0,0,0,0,112,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5391659008,2631102464,7952109568,11020632064,1204,26,33,0,0,0,0,132,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5392592896,2630168576,7952109568,11019698176,1204,26,33,0,0,0,0,142,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5393899520,2629451776,7951519744,11018678272,1204,26,33,0,0,0,0,122,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5395906560,2629795840,7949168640,11016671232,1204,26,33,0,0,0,0,148,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5392908288,2632134656,7949828096,11019485184,1204,26,33,0,0,0,0,120,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5393596416,2631323648,7949950976,11018866688,1204,26,33,0,0,0,0,126,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5375352832,2648895488,7950622720,11060137984,1204,26,33,0,0,0,0,118,0
0,0,7,21,0,7,4,0,0,0,0,0,25,14,5374947328,2647965696,7951958016,11059130368,1204,26,33,0,0,0,0,122,0
0,0,7,21,0,7,4,0,0,0,0,0,25,14,5376172032,2646216704,7952482304,11057381376,1204,26,33,0,0,0,0,134,0
0,0,7,21,0,7,4,0,0,0,0,0,25,14,5385113600,2637565952,7952191488,11048747008,1204,26,33,0,0,0,0,162,0
0,0,7,21,0,7,4,0,0,0,0,0,25,14,5387051008,2638262272,7949553664,11047100416,1204,26,33,0,0,0,0,123,0
