"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/page_unix_tcp_proc_vm_io_time_disk_aio_vm-adv.csv --page --unix --tcp --proc --vm --io --time --disk --aio --vm-adv 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"paging",,"unix sockets",,,,"tcp sockets",,,,,"procs",,,"virtual memory",,,,"io/total",,"system","dsk/total",,"async","advanced virtual memory",,,,
"in","out","dgm","str","lis","act","lis","act","syn","tim","clo","run","blk","new","majpf","minpf","alloc","free","read","writ","time","read","writ","#aio","steal","scanK","scanD","pgoru","astll"
0.477,15.003,56,868,54,814,7,11,0,6,2,3,0,11.390,0.301,3884.711,4321.812,4372.408,5.339,35.602,Mar-22 21:32:08,145421.376,772263.805,0,11.224,0,0,0.004,0
0,0,56,870,54,816,7,11,0,6,2,4,0,8,0,2592,2986,2543,0,0,Mar-22 21:32:09,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,6,2,3,0,0,0,479,6345,4088,0,0,Mar-22 21:32:10,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,12,1,6,1,5,0,2,0,491,845,917,194,4,Mar-22 21:32:11,687104,16384,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,3,0,8,0,2073,2306,2266,188,4,Mar-22 21:32:12,684032,16384,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,5,0,0,0,52380,75897,23421,0,0,Mar-22 21:32:13,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,4,0,8,0,1357,2766,2773,0,44,Mar-22 21:32:14,0,2572288,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,4,0,0,0,122,853,996,0,0,Mar-22 21:32:15,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,3,0,0,0,136,315,201,0,0,Mar-22 21:32:16,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,6,0,4,0,779,475,387,0,0,Mar-22 21:32:17,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,4,0,5,0,1392,1539,1723,0,0,Mar-22 21:32:18,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,3,0,8,0,1348,1595,1480,0,24,Mar-22 21:32:19,0,139264,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,3,0,0,0,325,614,404,0,0,Mar-22 21:32:20,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,4,0,0,0,791,2805,3107,0,1714,Mar-22 21:32:21,0,17063936,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,3,0,0,0,64,272,150,0,0,Mar-22 21:32:22,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,1,0,8,0,1375,1686,1692,0,0,Mar-22 21:32:23,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,2,0,8,0,1431,1474,1562,0,0,Mar-22 21:32:24,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,1,0,345,785,659,0,44,Mar-22 21:32:25,0,1785856,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,0,0,63,137,259,0,0,Mar-22 21:32:26,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,0,0,114,229,247,0,0,Mar-22 21:32:27,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,8,0,1615,2038,1689,0,0,Mar-22 21:32:28,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,4,0,4,0,951,760,668,0,0,Mar-22 21:32:29,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,5,0,5,0,1213,1277,1456,0,0,Mar-22 21:32:30,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,4,0,0,0,80,310,195,0,36,Mar-22 21:32:31,0,204800,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,4,0,0,0,152,153,335,0,0,Mar-22 21:32:32,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,8,0,1654,1718,1686,0,0,Mar-22 21:32:33,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,0,0,58,286,529,0,0,Mar-22 21:32:34,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,8,0,1405,1847,1980,0,28,Mar-22 21:32:35,0,548864,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,0,0,259,350,206,0,42,Mar-22 21:32:36,0,352256,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,5,0,11,0,0,0,669,1079,606,0,532,Mar-22 21:32:37,0,3735552,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,4,0,8,0,1511,1925,4017,0,0,Mar-22 21:32:38,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,0,0,85,296,216,0,0,Mar-22 21:32:39,0,0,0,0,0,0,0,0
