"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/page_vm-adv_unix_lock_ipc_swap_net_tcp_sys_raw_aio_zones.csv --page --vm-adv --unix --lock --ipc --swap --net --tcp --sys --raw --aio --zones 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"paging",,"advanced virtual memory",,,,,"unix sockets",,,,"file locks",,,,"sysv ipc",,,"swap",,"net/total",,"tcp sockets",,,,,"system",,"raw","async","zones memory",,,
"in","out","steal","scanK","scanD","pgoru","astll","dgm","str","lis","act","pos","lck","rea","wri","msg","sem","shm","used","free","recv","send","lis","act","syn","tim","clo","int","csw","raw","#aio","d32F","d32H","normF","normH"
0.477,15.003,11.224,0,0,0.004,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,6,2,1363.789,4997.300,0,0,305914,3141,229155,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,515,187,7,11,0,6,2,1404,6293,0,0,305914,3141,228071,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,350,0,7,11,0,6,2,1137,2789,0,0,305914,3141,225619,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,152,102,7,11,0,6,2,1220,4401,0,0,305914,3141,225440,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,12437,4610,7,13,0,6,1,1396,5852,0,0,305914,3141,225191,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,4691,2129,7,13,0,6,1,2641,36058,0,0,305914,3141,175867,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,396,804,7,13,0,6,1,1281,3079,0,0,305914,3141,175995,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,1249,4112,7,13,0,6,1,944,2195,0,0,305914,3141,175378,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,24232,660810,7,13,0,6,1,900,1564,0,0,305914,3141,175136,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,2980,7798,7,13,0,6,1,710,1186,0,0,305914,3141,175013,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,920,7,13,0,6,1,955,2376,0,0,305914,3141,174635,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,86,464,7,13,0,6,1,854,2442,0,0,305914,3141,174327,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,13,0,6,1,723,1232,0,0,305914,3141,173700,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,424,0,7,13,0,6,1,721,1237,0,0,305914,3141,173514,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,13,0,6,1,1701,5289,0,0,305914,3141,173320,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,13,0,6,1,971,2457,0,0,305914,3141,172949,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,327,1724,7,13,0,6,1,771,2378,0,0,305914,3141,172955,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,8151,10759,7,15,0,6,0,858,2301,0,0,305914,3141,172657,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,0,6,0,723,1262,0,0,305914,3141,172657,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,15817,5016,7,15,0,6,0,950,2169,0,0,305914,3141,172657,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,1404,884,7,15,0,6,0,900,2520,0,0,305914,3141,172531,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,167,187,7,15,0,6,0,863,1949,0,0,305914,3141,172531,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,358,7,15,0,6,0,866,1823,0,0,305914,3141,172531,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,86,106,7,15,0,6,0,757,1310,0,0,305914,3141,172345,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,0,6,0,716,1238,0,0,305914,3141,172345,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,0,6,0,963,2616,0,0,305914,3141,172282,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,396,446,7,15,0,6,0,743,1289,0,0,305914,3141,172282,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,358,7,15,0,6,0,914,2470,0,0,305914,3141,172033,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,0,6,0,763,1349,0,0,305914,3141,172033,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,0,5,0,881,1953,0,0,305914,3141,171790,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,4487,4490,7,15,0,6,0,1353,3629,0,0,305914,3141,172238,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,12856,1450,7,15,0,6,0,844,1413,0,0,305914,3141,172184,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,756,908,7,15,1,6,0,993,2743,0,0,305914,3141,172130,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,0,206,7,15,1,5,0,1489,2861,0,0,305914,3141,177554,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,1,5,0,1671,2874,0,0,305914,3141,177554,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,1619,4696,7,15,1,5,0,2131,5168,0,0,307234,3141,177499,22176
0,0,0,0,0,0,0,56,872,54,818,56,12,10,58,0,0,6,1835008,1021571072,30142,2951,7,15,1,5,0,1711,3109,0,0,307234,3141,177512,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,56,74,7,15,1,5,0,1975,4114,0,0,307234,3141,177462,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,424,358,7,15,1,5,0,1692,2883,0,0,307234,3141,177462,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,1,4,0,1627,2833,0,0,307234,3141,177472,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,0,206,7,15,1,4,0,2158,4911,0,0,307234,3141,177561,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,15984,5496,7,15,1,5,0,1949,3850,0,0,307234,3141,177469,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,1404,631,7,15,1,5,0,1887,4174,0,0,307234,3141,177356,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,0,358,7,15,1,5,0,1748,2849,0,0,307234,3141,177127,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,1,5,0,1661,2854,0,0,307234,3141,177067,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,1,5,0,1958,4202,0,0,307234,3141,176757,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,396,446,7,15,1,5,0,1669,2932,0,0,307234,3141,176585,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,1,5,0,2012,4264,0,0,307234,3141,176483,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,0,564,7,15,1,5,0,1633,2762,0,0,307234,3141,176241,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,1,5,0,1588,2772,0,0,307234,3141,176125,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,167,187,7,15,1,5,0,2806,17412,0,0,307234,3141,159622,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,1,5,0,2457,22161,0,0,307234,3141,126665,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,15857,5309,7,15,0,6,0,1936,4840,0,0,307234,3141,126563,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,1446,631,7,15,0,6,0,1032,3592,0,0,307234,3141,126140,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,46,358,7,15,0,6,0,697,1245,0,0,307234,3141,126219,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,0,6,0,991,2592,0,0,307234,3141,126096,22176
