"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/proc.csv --time --proc 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","procs",,
"time","run","blk","new"
Mar-22 21:22:03,94,0,11.251
Mar-22 21:22:04,113,0,2272
Mar-22 21:22:05,102,0,2178
Mar-22 21:22:06,102,0,2404
Mar-22 21:22:07,78,0,2442
Mar-22 21:22:08,72,0,2756
Mar-22 21:22:09,67,0,2351
Mar-22 21:22:10,55,0,966
Mar-22 21:22:11,32,0,692
Mar-22 21:22:12,22,0,677
Mar-22 21:22:13,3,0,610
Mar-22 21:22:14,1,0,3
Mar-22 21:22:15,0,0,0
Mar-22 21:22:16,0,0,8
Mar-22 21:22:17,0,0,1
Mar-22 21:22:18,0,0,8
Mar-22 21:22:19,0,0,0
Mar-22 21:22:20,1,0,0
Mar-22 21:22:21,1,0,8
Mar-22 21:22:22,1,0,0
Mar-22 21:22:23,0,0,8
Mar-22 21:22:24,1,0,1
Mar-22 21:22:25,0,0,0
Mar-22 21:22:26,1,0,8
Mar-22 21:22:27,1,0,0
Mar-22 21:22:28,1,0,8
Mar-22 21:22:29,1,0,0
Mar-22 21:22:30,0,0,1
Mar-22 21:22:31,0,0,8
Mar-22 21:22:32,0,0,0
Mar-22 21:22:33,0,0,8
Mar-22 21:22:34,0,0,1
Mar-22 21:22:35,0,0,0
Mar-22 21:22:36,1,0,8
Mar-22 21:22:37,1,0,0
Mar-22 21:22:38,1,0,8
Mar-22 21:22:39,0,0,0
Mar-22 21:22:40,0,0,0
Mar-22 21:22:41,0,0,8
Mar-22 21:22:42,0,0,1
Mar-22 21:22:43,0,0,8
Mar-22 21:22:44,1,0,0
Mar-22 21:22:45,0,0,0
Mar-22 21:22:46,1,0,7
Mar-22 21:22:47,1,0,1
Mar-22 21:22:48,1,0,8
Mar-22 21:22:49,0,0,0
