"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/raw_aio_vm_disk_udp.csv --raw --aio --vm --disk --udp 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"raw","async","virtual memory",,,,"dsk/total",,"udp",
"raw","#aio","majpf","minpf","alloc","free","read","writ","lis","act"
0,0,0.301,3884.702,4321.804,4372.407,145421.407,772263.969,17,6
0,0,0,3269,3621,2474,0,0,17,6
0,0,0,581,6374,4030,0,0,17,6
0,0,0,531,916,981,349184,8192,17,6
0,0,0,1342,1666,1285,1021952,24576,17,6
0,0,0,53108,76238,24452,0,0,17,6
0,0,0,1361,2978,2726,0,2572288,17,6
0,0,0,120,1020,1164,0,0,20,6
0,0,0,135,309,194,0,0,20,6
0,0,0,335,154,162,0,0,20,6
0,0,0,1840,1862,1942,0,0,20,6
0,0,0,1348,1603,1495,0,139264,20,6
0,0,0,327,617,401,0,0,17,6
0,0,0,790,1042,988,0,155648,17,6
0,0,0,60,2035,2274,0,16908288,17,6
0,0,0,1377,1411,1674,0,0,17,6
0,0,0,1429,1737,1571,0,0,17,6
0,0,0,349,796,665,0,1785856,17,6
0,0,0,62,137,257,0,0,17,6
0,0,0,108,213,237,0,0,17,6
0,0,0,1623,2053,1701,0,0,17,6
0,0,0,779,501,526,0,0,17,6
0,0,0,1384,1535,1597,0,0,17,6
0,0,0,76,307,191,0,204800,17,6
0,0,0,155,148,331,0,0,17,6
0,0,0,1652,1728,1695,0,0,17,6
0,0,0,62,290,531,0,0,17,6
0,0,0,1400,1838,1975,0,548864,17,6
0,0,0,264,357,209,0,352256,17,6
0,0,0,335,745,606,0,3735552,17,6
0,0,0,1844,2254,4011,0,0,17,6
0,0,0,80,292,219,0,0,17,6
0,0,0,1395,1435,1411,0,0,17,6
0,0,0,1085,1787,5876,0,0,17,6
0,0,0,562,1557,1156,0,401408,17,6
0,0,0,1440,2684,4525,0,0,17,6
0,0,0,135,993,1149,0,0,17,6
0,0,0,1630,2409,2243,0,0,17,6
0,0,0,55,947,1199,0,0,17,6
0,0,0,67,1348,1201,0,1351680,17,6
0,0,0,1561,3212,3484,0,3260416,17,6
0,0,0,325,1041,1030,0,0,17,6
0,0,0,1326,2228,2345,0,0,17,6
0,0,0,79,1127,991,0,0,17,6
0,0,0,110,922,886,0,0,17,6
0,0,0,1634,2569,2613,0,344064,17,6
0,0,0,512,1232,1529,0,0,17,6
0,0,0,1574,2750,2474,0,0,17,6
0,0,0,78,903,1090,0,0,17,6
0,0,0,304,1054,898,0,0,17,6
0,0,0,21653,41402,22700,0,1482752,17,6
0,0,0,31211,35670,3076,0,2547712,17,6
