"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/raw_tcp_cpu_socket_aio.csv --raw --tcp --cpu --socket --aio 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"raw","tcp sockets",,,,,"total cpu usage",,,,,"sockets",,,,,"async"
"raw","lis","act","syn","tim","clo","usr","sys","idl","wai","stl","tot","tcp","udp","raw","frg","#aio"
0,7,22,0,7,3,4.259,1.563,94.080,0.097,0,1204,26,33,0,0,0
0,7,22,0,6,3,10.076,2.897,87.028,0,0,1206,26,33,0,0,0
0,7,22,0,6,3,9.553,3.102,87.221,0.124,0,1204,26,33,0,0,0
0,7,21,1,7,3,9.343,2.904,87.626,0.126,0,1204,26,33,0,0,0
0,7,22,0,7,3,9.194,3.275,87.406,0.126,0,1204,26,33,0,0,0
0,7,22,0,7,3,10.409,4.089,85.502,0,0,1204,26,33,0,0,0
0,7,22,0,7,3,9.601,3.990,86.284,0.125,0,1204,26,33,0,0,0
0,7,22,0,7,3,13.027,2.109,84.864,0,0,1204,26,33,0,0,0
0,7,22,0,7,3,9,3.500,87.375,0.125,0,1206,26,33,0,0,0
0,7,22,0,7,3,9.057,3.648,87.170,0.126,0,1204,26,33,0,0,0
0,7,22,0,7,3,7.865,3.620,88.514,0,0,1204,26,33,0,0,0
0,7,22,0,6,3,9.926,3.102,86.849,0.124,0,1206,26,33,0,0,0
0,7,22,0,6,3,8.449,3.279,88.146,0.126,0,1204,26,33,0,0,0
0,7,22,0,6,3,9.010,3.299,87.690,0,0,1204,26,33,0,0,0
0,7,22,0,7,3,12.159,2.730,84.988,0.124,0,1203,26,33,0,0,0
0,7,22,0,7,3,8.385,3.755,87.735,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,3,9.482,4.551,85.967,0,0,1203,26,33,0,0,0
0,7,22,0,7,3,10.323,3.234,86.318,0.124,0,1203,26,33,0,0,0
0,7,22,0,7,3,9.637,2.879,87.484,0,0,1203,26,33,0,0,0
0,7,22,0,7,3,8.805,3.270,87.799,0.126,0,1203,26,33,0,0,0
0,7,22,0,7,3,7.875,4.750,87.250,0.125,0,1203,26,33,0,0,0
0,7,22,0,6,3,11.669,2.384,85.947,0,0,1205,26,33,0,0,0
0,7,22,0,6,3,9.236,4.064,86.576,0.123,0,1203,26,33,0,0,0
0,7,22,0,6,3,9.296,3.518,86.935,0.251,0,1203,26,33,0,0,0
0,7,22,0,6,3,9.826,3.856,86.194,0.124,0,1203,26,33,0,0,0
0,7,22,0,7,3,10.507,4.821,84.549,0.124,0,1203,26,33,0,0,0
0,7,22,0,7,3,9.799,3.894,86.307,0,0,1203,26,33,0,0,0
0,7,22,0,7,3,10.212,3.238,86.426,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,3,12.641,2.628,84.731,0,0,1203,26,33,0,0,0
0,7,22,0,7,3,8.761,3.254,87.860,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,3,9.091,4.110,86.800,0,0,1203,26,33,0,0,0
0,7,22,0,7,3,9.273,3.634,86.967,0.125,0,1205,26,33,0,0,0
0,7,22,0,6,3,8.875,4.125,86.875,0.125,0,1203,26,33,0,0,0
0,7,22,0,6,3,9.068,2.645,88.287,0,0,1203,26,33,0,0,0
0,7,22,0,6,3,9.273,2.882,87.719,0.125,0,1203,26,33,0,0,0
0,7,22,0,6,3,12.186,2.136,85.553,0.126,0,1203,26,33,0,0,0
0,7,22,0,7,3,10.440,3.396,86.164,0,0,1203,26,33,0,0,0
0,7,22,0,7,3,8.805,2.767,88.302,0.126,0,1203,26,33,0,0,0
0,7,22,0,7,3,8.030,3.639,88.206,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,3,9.387,3.379,87.234,0,0,1203,26,33,0,0,0
0,7,22,0,7,3,8.966,3.861,87.049,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,3,8.816,3.652,87.531,0,0,1206,26,33,0,0,0
0,7,22,0,7,3,11.471,1.995,86.409,0.125,0,1204,26,33,0,0,0
0,7,22,0,7,3,8.978,3.741,87.032,0.249,0,1204,26,33,0,0,0
0,7,22,0,6,3,9.577,3.607,86.816,0,0,1204,26,33,0,0,0
0,7,22,0,6,3,9.194,3.275,87.406,0.126,0,1204,26,33,0,0,0
0,7,22,0,6,3,9,4.625,86.250,0.125,0,1204,26,33,0,0,0
0,7,22,0,7,3,9.560,3.019,87.296,0.126,0,1204,26,33,0,0,0
