"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/socket.csv --time --socket 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","sockets",,,,
"time","tot","tcp","udp","raw","frg"
Mar-22 21:22:03,1073,19,19,0,0
Mar-22 21:22:04,1073,19,19,0,0
Mar-22 21:22:05,1073,19,19,0,0
Mar-22 21:22:06,1072,19,19,0,0
Mar-22 21:22:07,1073,20,19,0,0
Mar-22 21:22:08,1072,19,19,0,0
Mar-22 21:22:09,1073,19,19,0,0
Mar-22 21:22:10,1073,19,19,0,0
Mar-22 21:22:11,1073,19,19,0,0
Mar-22 21:22:12,1072,19,19,0,0
Mar-22 21:22:13,1072,19,19,0,0
Mar-22 21:22:14,1073,19,19,0,0
Mar-22 21:22:15,1076,19,22,0,0
Mar-22 21:22:16,1076,19,22,0,0
Mar-22 21:22:17,1075,19,22,0,0
Mar-22 21:22:18,1076,20,22,0,0
Mar-22 21:22:19,1075,19,22,0,0
Mar-22 21:22:20,1072,19,19,0,0
Mar-22 21:22:21,1072,19,19,0,0
Mar-22 21:22:22,1072,19,19,0,0
Mar-22 21:22:23,1072,19,19,0,0
Mar-22 21:22:24,1073,20,19,0,0
Mar-22 21:22:25,1073,20,19,0,0
Mar-22 21:22:26,1073,20,19,0,0
Mar-22 21:22:27,1073,20,19,0,0
Mar-22 21:22:28,1073,20,19,0,0
Mar-22 21:22:29,1074,21,19,0,0
Mar-22 21:22:30,1073,20,19,0,0
Mar-22 21:22:31,1073,20,19,0,0
Mar-22 21:22:32,1072,19,19,0,0
Mar-22 21:22:33,1072,19,19,0,0
Mar-22 21:22:34,1072,19,19,0,0
Mar-22 21:22:35,1072,19,19,0,0
Mar-22 21:22:36,1072,19,19,0,0
Mar-22 21:22:37,1072,19,19,0,0
Mar-22 21:22:38,1072,19,19,0,0
Mar-22 21:22:39,1072,19,19,0,0
Mar-22 21:22:40,1075,20,19,0,0
Mar-22 21:22:41,1075,20,19,0,0
Mar-22 21:22:42,1075,20,19,0,0
Mar-22 21:22:43,1075,20,19,0,0
Mar-22 21:22:44,1075,20,19,0,0
Mar-22 21:22:45,1075,20,19,0,0
Mar-22 21:22:46,1075,20,19,0,0
Mar-22 21:22:47,1075,20,19,0,0
Mar-22 21:22:48,1075,20,19,0,0
Mar-22 21:22:49,1075,20,19,0,0
Mar-22 21:22:50,1075,20,19,0,0
Mar-22 21:22:51,1075,20,19,0,0
Mar-22 21:22:52,1075,20,19,0,0
Mar-22 21:22:53,1075,20,19,0,0
Mar-22 21:22:54,1075,20,19,0,0
Mar-22 21:22:55,1075,20,19,0,0
Mar-22 21:22:56,1075,20,19,0,0
Mar-22 21:22:57,1075,20,19,0,0
Mar-22 21:22:58,1075,20,19,0,0
Mar-22 21:22:59,1075,20,19,0,0
Mar-22 21:23:00,1072,19,19,0,0
Mar-22 21:23:01,1072,19,19,0,0
Mar-22 21:23:02,1072,19,19,0,0
Mar-22 21:23:03,1072,19,19,0,0
Mar-22 21:23:04,1072,19,19,0,0
Mar-22 21:23:05,1072,19,19,0,0
Mar-22 21:23:06,1072,19,19,0,0
Mar-22 21:23:07,1072,19,19,0,0
Mar-22 21:23:08,1072,19,19,0,0
Mar-22 21:23:09,1072,19,19,0,0
Mar-22 21:23:10,1072,19,19,0,0
Mar-22 21:23:11,1072,19,19,0,0
Mar-22 21:23:12,1072,19,19,0,0
Mar-22 21:23:13,1075,20,19,0,0
Mar-22 21:23:14,1075,20,19,0,0
Mar-22 21:23:15,1075,20,19,0,0
Mar-22 21:23:16,1075,20,19,0,0
Mar-22 21:23:17,1075,20,19,0,0
Mar-22 21:23:18,1075,20,19,0,0
Mar-22 21:23:19,1075,20,19,0,0
Mar-22 21:23:20,1075,20,19,0,0
Mar-22 21:23:21,1075,20,19,0,0
Mar-22 21:23:22,1075,20,19,0,0
Mar-22 21:23:23,1075,20,19,0,0
Mar-22 21:23:24,1075,20,19,0,0
Mar-22 21:23:25,1072,19,19,0,0
Mar-22 21:23:26,1072,19,19,0,0
Mar-22 21:23:27,1072,19,19,0,0
Mar-22 21:23:28,1072,19,19,0,0
Mar-22 21:23:29,1071,18,19,0,0
Mar-22 21:23:30,1071,18,19,0,0
Mar-22 21:23:31,1071,18,19,0,0
Mar-22 21:23:32,1071,18,19,0,0
Mar-22 21:23:33,1071,18,19,0,0
Mar-22 21:23:34,1071,18,19,0,0
Mar-22 21:23:35,1071,18,19,0,0
Mar-22 21:23:36,1071,18,19,0,0
Mar-22 21:23:37,1071,18,19,0,0
Mar-22 21:23:38,1071,18,19,0,0
Mar-22 21:23:39,1071,18,19,0,0
Mar-22 21:23:40,1071,18,19,0,0
Mar-22 21:23:41,1071,18,19,0,0
Mar-22 21:23:42,1071,18,19,0,0
Mar-22 21:23:43,1071,18,19,0,0
Mar-22 21:23:44,1071,18,19,0,0
Mar-22 21:23:45,1071,18,19,0,0
Mar-22 21:23:46,1071,18,19,0,0
Mar-22 21:23:47,1071,18,19,0,0
Mar-22 21:23:48,1071,18,19,0,0
Mar-22 21:23:49,1071,18,19,0,0
Mar-22 21:23:50,1071,18,19,0,0
Mar-22 21:23:51,1071,18,19,0,0
Mar-22 21:23:52,1071,18,19,0,0
Mar-22 21:23:53,1071,18,19,0,0
Mar-22 21:23:54,1071,18,19,0,0
Mar-22 21:23:55,1071,18,19,0,0
Mar-22 21:23:56,1071,18,19,0,0
Mar-22 21:23:57,1071,18,19,0,0
Mar-22 21:23:58,1071,18,19,0,0
Mar-22 21:23:59,1071,18,19,0,0
Mar-22 21:24:00,1071,18,19,0,0
Mar-22 21:24:01,1071,18,19,0,0
Mar-22 21:24:02,1071,18,19,0,0
Mar-22 21:24:03,1071,18,19,0,0
Mar-22 21:24:04,1071,18,19,0,0
Mar-22 21:24:05,1071,18,19,0,0
Mar-22 21:24:06,1071,18,19,0,0
Mar-22 21:24:07,1071,18,19,0,0
Mar-22 21:24:08,1071,18,19,0,0
Mar-22 21:24:09,1071,18,19,0,0
Mar-22 21:24:10,1071,18,19,0,0
Mar-22 21:24:11,1071,18,19,0,0
Mar-22 21:24:12,1071,18,19,0,0
Mar-22 21:24:13,1071,18,19,0,0
Mar-22 21:24:14,1071,18,19,0,0
Mar-22 21:24:15,1074,18,22,0,0
Mar-22 21:24:16,1074,18,22,0,0
Mar-22 21:24:17,1074,18,22,0,0
Mar-22 21:24:18,1074,18,22,0,0
Mar-22 21:24:19,1074,18,22,0,0
Mar-22 21:24:20,1071,18,19,0,0
Mar-22 21:24:21,1071,18,19,0,0
Mar-22 21:24:22,1071,18,19,0,0
Mar-22 21:24:23,1071,18,19,0,0
Mar-22 21:24:24,1071,18,19,0,0
Mar-22 21:24:25,1071,18,19,0,0
Mar-22 21:24:26,1071,18,19,0,0
Mar-22 21:24:27,1071,18,19,0,0
Mar-22 21:24:28,1071,18,19,0,0
Mar-22 21:24:29,1071,18,19,0,0
Mar-22 21:24:30,1071,18,19,0,0
Mar-22 21:24:31,1071,18,19,0,0
Mar-22 21:24:32,1071,18,19,0,0
Mar-22 21:24:33,1071,18,19,0,0
Mar-22 21:24:34,1071,18,19,0,0
Mar-22 21:24:35,1073,20,19,0,0
Mar-22 21:24:36,1072,19,19,0,0
Mar-22 21:24:37,1072,19,19,0,0
