"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/socket_lock_fs_swap_zones_io_vm-adv_time_ipc.csv --socket --lock --fs --swap --zones --io --vm-adv --time --ipc 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"sockets",,,,,"file locks",,,,"filesystem",,"swap",,"zones memory",,,,"io/total",,"advanced virtual memory",,,,,"system","sysv ipc",,
"tot","tcp","udp","raw","frg","pos","lck","rea","wri","files","inodes","used","free","d32F","d32H","normF","normH","read","writ","steal","scanK","scanD","pgoru","astll","time","msg","sem","shm"
1204,26,33,0,0,83,12,13,82,13984,182340,108527616,914878464,159503,3141,507943,22688,5.467,48.227,37.423,0,0,0.009,0,Mar-23 13:42:08,0,0,5
1204,26,33,0,0,83,12,13,82,14528,182889,108527616,914878464,159503,3141,502986,22688,0,0,0,0,0,0,0,Mar-23 13:42:09,0,0,5
1204,26,33,0,0,83,12,13,82,14560,182889,108527616,914878464,159503,3141,502711,22688,0,0,0,0,0,0,0,Mar-23 13:42:10,0,0,5
1205,27,33,0,0,83,12,13,82,14528,182878,108527616,914878464,159503,3141,502696,22688,0,34,0,0,0,0,0,Mar-23 13:42:11,0,0,5
1204,26,33,0,0,83,12,13,82,14336,182579,108527616,914878464,159503,3141,502662,22688,0,86,0,0,0,0,0,Mar-23 13:42:12,0,0,5
1204,26,33,0,0,83,12,13,82,14144,182382,108527616,914878464,159503,3141,502528,22688,0,0,0,0,0,0,0,Mar-23 13:42:13,0,0,5
1204,26,33,0,0,83,12,13,82,14080,181274,108527616,914878464,159503,3141,510259,22688,0,0,0,0,0,0,0,Mar-23 13:42:14,0,0,5
1204,26,33,0,0,83,12,13,82,14080,181297,108527616,914878464,159503,3141,515272,22688,0,0,0,0,0,0,0,Mar-23 13:42:15,0,0,5
1204,26,33,0,0,83,12,13,82,14080,181257,108527616,914878464,159503,3141,517245,22688,0,40,0,0,0,0,0,Mar-23 13:42:16,0,0,5
1204,26,33,0,0,83,12,13,82,14080,181311,108527616,914878464,159503,3141,519245,22688,0,0,0,0,0,0,0,Mar-23 13:42:17,0,0,5
1204,26,33,0,0,83,12,13,82,14080,181283,108527616,914878464,159503,3141,518349,22688,0,1090,0,0,0,0,0,Mar-23 13:42:18,0,0,5
1204,26,33,0,0,83,12,13,82,14080,181283,108527616,914878464,159503,3141,518368,22688,0,0,0,0,0,0,0,Mar-23 13:42:19,0,0,5
1204,26,33,0,0,83,12,13,82,14048,181282,108527616,914878464,159503,3141,521118,22688,0,0,0,0,0,0,0,Mar-23 13:42:20,0,0,5
1204,26,33,0,0,83,12,13,82,14048,181283,108527616,914878464,159503,3141,519532,22688,0,22,0,0,0,0,0,Mar-23 13:42:21,0,0,5
1203,26,33,0,0,83,12,13,82,14080,181307,108527616,914878464,159503,3141,521138,22688,0,0,0,0,0,0,0,Mar-23 13:42:22,0,0,5
1203,26,33,0,0,83,12,13,82,14112,181310,108527616,914878464,159503,3141,520852,22688,0,226,0,0,0,0,0,Mar-23 13:42:23,0,0,5
1203,26,33,0,0,83,12,13,82,14016,182381,108527616,914878464,159503,3141,487190,22688,0,0,0,0,0,0,0,Mar-23 13:42:24,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182380,108527616,914878464,159503,3141,486772,22688,0,48,0,0,0,0,0,Mar-23 13:42:25,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182353,108527616,914878464,159503,3141,486697,22688,0,0,0,0,0,0,0,Mar-23 13:42:26,0,0,5
1203,26,33,0,0,83,12,13,82,14016,182352,108527616,914878464,159503,3141,486643,22688,0,0,0,0,0,0,0,Mar-23 13:42:27,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182351,108527616,914878464,159503,3141,485784,22688,0,64,0,0,0,0,0,Mar-23 13:42:28,0,0,5
1203,26,33,0,0,83,12,13,82,14080,182376,108527616,914878464,159503,3141,485384,22688,0,0,0,0,0,0,0,Mar-23 13:42:29,0,0,5
1203,26,33,0,0,83,12,13,82,14080,182381,108527616,914878464,159503,3141,484911,22688,0,0,0,0,0,0,0,Mar-23 13:42:30,0,0,5
