"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/socket_raw_sys_fs_page_net_vm-adv_vm.csv --socket --raw --sys --fs --page --net --vm-adv --vm 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"sockets",,,,,"raw","system",,"filesystem",,"paging",,"net/total",,"advanced virtual memory",,,,,"virtual memory",,,
"tot","tcp","udp","raw","frg","raw","int","csw","files","inodes","in","out","recv","send","steal","scanK","scanD","pgoru","astll","majpf","minpf","alloc","free"
1072,18,19,0,0,0,1363.789,4997.301,12960,348175,0.477,15.003,0,0,11.224,0,0,0.004,0,0.301,3884.710,4321.811,4372.408
1072,18,19,0,0,0,1411,6286,13088,348259,0,0,515,187,0,0,0,0,0,0,2586,2986,2551
1072,18,19,0,0,0,1178,3263,13088,348591,0,0,350,0,0,0,0,0,0,0,522,6388,3966
1072,18,19,0,0,0,1284,4788,13088,348590,0,0,322,1072,0,0,0,0,0,0,533,878,1032
1073,19,19,0,0,0,1339,5477,13120,348591,0,0,12267,3640,0,0,0,0,0,0,1829,2068,1905
1073,19,19,0,0,0,2592,35524,13120,349801,0,0,4691,2129,0,0,0,0,0,0,52622,75843,23748
1073,19,19,0,0,0,1291,3093,13120,349788,0,0,396,804,0,0,0,0,0,0,1359,3005,2755
1076,19,22,0,0,0,956,2267,13120,349791,0,0,1249,4112,0,0,0,0,0,0,119,910,1054
1076,19,22,0,0,0,893,1509,13120,349792,0,0,24232,660810,0,0,0,0,0,0,134,306,192
1076,19,22,0,0,0,695,1168,13120,349792,0,0,2980,7798,0,0,0,0,0,0,335,154,162
1076,19,22,0,0,0,963,2394,13152,349785,0,0,0,920,0,0,0,0,0,0,1839,1863,1948
1076,19,22,0,0,0,848,2420,13184,349786,0,0,86,464,0,0,0,0,0,0,1349,1602,1490
1073,19,19,0,0,0,689,1174,13184,349793,0,0,0,0,0,0,0,0,0,0,328,620,406
1073,19,19,0,0,0,1251,3450,13184,349812,0,0,424,0,0,0,0,0,0,0,790,2079,2379
1073,19,19,0,0,0,1205,3146,13184,349812,0,0,0,0,0,0,0,0,0,0,63,997,878
1073,19,19,0,0,0,937,2389,13216,349812,0,0,0,0,0,0,0,0,0,0,1375,1685,1689
1073,19,19,0,0,0,813,2467,13216,349811,0,0,327,1724,0,0,0,0,0,0,1429,1463,1556
1074,20,19,0,0,0,842,2267,13216,349814,0,0,8151,10759,0,0,0,0,0,0,347,794,665
1074,20,19,0,0,0,715,1233,13216,349813,0,0,0,0,0,0,0,0,0,0,62,138,260
1074,20,19,0,0,0,944,2156,13216,349823,0,0,15817,5016,0,0,0,0,0,0,115,224,240
1074,20,19,0,0,0,920,2565,13216,349833,0,0,1404,884,0,0,0,0,0,0,1614,2041,1697
1074,20,19,0,0,0,847,1922,13216,349837,0,0,167,187,0,0,0,0,0,0,938,636,549
1074,20,19,0,0,0,889,1876,13216,349832,0,0,0,358,0,0,0,0,0,0,1226,1400,1572
1074,20,19,0,0,0,746,1271,13216,349833,0,0,86,106,0,0,0,0,0,0,81,313,196
1074,20,19,0,0,0,715,1249,13216,349772,0,0,0,0,0,0,0,0,0,0,150,143,328
1074,20,19,0,0,0,978,2647,13216,349772,0,0,0,0,0,0,0,0,0,0,1656,1730,1695
1074,20,19,0,0,0,729,1260,13216,349783,0,0,396,446,0,0,0,0,0,0,58,286,529
1074,20,19,0,0,0,929,2478,13216,349782,0,0,0,358,0,0,0,0,0,0,1405,1843,1978
1074,20,19,0,0,0,752,1350,13216,349792,0,0,0,0,0,0,0,0,0,0,260,355,209
1074,20,19,0,0,0,878,1944,13216,349793,0,0,0,0,0,0,0,0,0,0,339,749,608
1074,20,19,0,0,0,1362,3646,13216,349793,0,0,15899,5016,0,0,0,0,0,0,1840,2251,4012
1074,20,19,0,0,0,843,1421,13216,349794,0,0,1444,924,0,0,0,0,0,0,82,293,217
1077,21,19,0,0,0,903,2528,13248,349796,0,0,756,908,0,0,0,0,0,0,1391,1429,1407
1077,21,19,0,0,0,1585,3076,13216,349814,0,0,0,206,0,0,0,0,0,0,1094,1813,5896
1077,21,19,0,0,0,1673,2896,13216,349816,0,0,0,0,0,0,0,0,0,0,556,1544,1148
1077,21,19,0,0,0,2102,5103,13216,348717,0,0,1619,4696,0,0,0,0,0,0,1444,2702,4570
1079,21,19,0,0,0,1725,3130,13216,348719,0,0,30142,2951,0,0,0,0,0,0,122,969,1096
1077,21,19,0,0,0,1991,4153,13216,348716,0,0,56,74,0,0,0,0,0,0,1635,2419,2253
1077,21,19,0,0,0,1695,2868,13216,348715,0,0,424,358,0,0,0,0,0,0,47,932,1187
1077,21,19,0,0,0,1606,2813,13216,348715,0,0,0,0,0,0,0,0,0,0,71,1357,1239
1078,21,19,0,0,0,2160,4932,13216,348726,0,0,0,206,0,0,0,0,0,0,1558,3214,3456
1077,21,19,0,0,0,1966,3848,13216,348727,0,0,15984,5496,0,0,0,0,0,0,331,1041,1026
1077,21,19,0,0,0,1885,4170,13216,348725,0,0,1404,631,0,0,0,0,0,0,1319,2220,2342
1077,21,19,0,0,0,1742,2846,13216,348736,0,0,0,358,0,0,0,0,0,0,83,1130,993
1077,21,19,0,0,0,1669,2874,13216,348736,0,0,0,0,0,0,0,0,0,0,107,916,880
1077,21,19,0,0,0,1963,4181,13184,348735,0,0,0,0,0,0,0,0,0,0,1637,2577,2621
1077,21,19,0,0,0,1652,2935,13184,348736,0,0,396,446,0,0,0,0,0,0,508,1224,1521
1077,21,19,0,0,0,2016,4253,13184,348746,0,0,0,0,0,0,0,0,0,0,1578,2756,2479
1077,21,19,0,0,0,1646,2785,13184,348745,0,0,0,564,0,0,0,0,0,0,74,896,1085
1077,21,19,0,0,0,1582,2762,13184,348746,0,0,0,0,0,0,0,0,0,0,309,1059,900
1077,21,19,0,0,0,3107,26358,14720,349810,0,0,167,187,0,0,0,0,0,0,21665,41942,23226
1077,21,19,0,0,0,2158,13220,13152,349815,0,0,0,0,0,0,0,0,0,0,31198,35131,2552
1074,20,19,0,0,0,1928,4825,13184,349812,0,0,15857,5309,0,0,0,0,0,0,1412,2470,2323
1074,20,19,0,0,0,1035,3591,13216,349814,0,0,1446,631,0,0,0,0,0,0,1855,1396,1484
1074,20,19,0,0,0,690,1236,13216,349825,0,0,46,358,0,0,0,0,0,0,453,663,383
1074,20,19,0,0,0,991,2597,13216,349821,0,0,0,0,0,0,0,0,0,0,1359,1421,1675
1074,20,19,0,0,0,677,1202,13216,349822,0,0,86,106,0,0,0,0,0,0,453,850,626
1074,20,19,0,0,0,895,2421,13216,349822,0,0,0,0,0,0,0,0,0,0,1557,1646,1648
1074,20,19,0,0,0,852,1918,13216,349817,0,0,46,0,0,0,0,0,0,0,4704,5674,1037
