"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/socket_udp_zones_tcp_unix.csv --socket --udp --zones --tcp --unix 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"sockets",,,,,"udp",,"zones memory",,,,"tcp sockets",,,,,"unix sockets",,,
"tot","tcp","udp","raw","frg","lis","act","d32F","d32H","normF","normH","lis","act","syn","tim","clo","dgm","str","lis","act"
1072,18,19,0,0,17,6,305914,3141,229741,22176,7,11,0,6,2,56,868,54,814
1072,18,19,0,0,17,6,305914,3141,228071,22176,7,11,0,6,2,56,868,54,814
1072,18,19,0,0,17,6,305914,3141,225619,22176,7,11,0,6,2,56,868,54,814
1072,18,19,0,0,17,6,305914,3141,225440,22176,7,11,0,6,2,56,868,54,814
1073,19,19,0,0,17,6,305914,3141,225191,22176,7,13,0,6,1,56,868,54,814
1073,19,19,0,0,17,6,305914,3141,175867,22176,7,13,0,6,1,56,868,54,814
1073,19,19,0,0,17,6,305914,3141,176057,22176,7,13,0,6,1,56,868,54,814
1076,19,22,0,0,20,6,305914,3141,175378,22176,7,13,0,6,1,56,868,54,814
1076,19,22,0,0,20,6,305914,3141,175136,22176,7,13,0,6,1,56,868,54,814
1076,19,22,0,0,20,6,305914,3141,175076,22176,7,13,0,6,1,56,868,54,814
1076,19,22,0,0,20,6,305914,3141,174635,22176,7,13,0,6,1,56,868,54,814
1076,19,22,0,0,20,6,305914,3141,174327,22176,7,13,0,6,1,56,868,54,814
1073,19,19,0,0,17,6,305914,3141,173700,22176,7,13,0,6,1,56,868,54,814
1073,19,19,0,0,17,6,305914,3141,173640,22176,7,13,0,6,1,56,868,54,814
1073,19,19,0,0,17,6,305914,3141,173320,22176,7,13,0,6,1,56,868,54,814
1073,19,19,0,0,17,6,305914,3141,173261,22176,7,13,0,6,1,56,868,54,814
1073,19,19,0,0,17,6,305914,3141,172955,22176,7,13,0,6,1,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172657,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172657,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172657,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172531,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172531,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172531,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172345,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172345,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172282,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172282,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172033,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172033,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,171850,22176,7,15,0,5,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172238,22176,7,15,0,6,0,56,868,54,814
1074,20,19,0,0,17,6,305914,3141,172184,22176,7,15,0,6,0,56,868,54,814
1077,21,19,0,0,17,6,305914,3141,172250,22176,7,15,1,6,0,56,870,54,816
1077,21,19,0,0,17,6,305914,3141,177554,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,305914,3141,177554,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,177499,22176,7,15,1,5,0,56,870,54,816
1079,21,19,0,0,17,6,307234,3141,177442,22176,7,15,1,5,0,56,872,54,818
1077,21,19,0,0,17,6,307234,3141,177462,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,177462,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,177472,22176,7,15,1,4,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,177561,22176,7,15,1,4,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,177469,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,177356,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,177187,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,177067,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,176757,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,176585,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,176552,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,176301,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,176125,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,162772,22176,7,15,1,5,0,56,870,54,816
1077,21,19,0,0,17,6,307234,3141,126665,22176,7,15,1,5,0,56,870,54,816
1074,20,19,0,0,17,6,307234,3141,126563,22176,7,15,0,6,0,56,868,54,814
