"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/swap.csv --bytes --time --swap 1 600",,,,"Date:","23 Mar 2023 13:32:03 -03"
"system","swap",
"time","used","free"
Mar-23 13:32:03,108527616,914878464
Mar-23 13:32:04,108527616,914878464
Mar-23 13:32:05,108527616,914878464
Mar-23 13:32:06,108527616,914878464
Mar-23 13:32:07,108527616,914878464
Mar-23 13:32:08,108527616,914878464
Mar-23 13:32:09,108527616,914878464
Mar-23 13:32:10,108527616,914878464
Mar-23 13:32:11,108527616,914878464
Mar-23 13:32:12,108527616,914878464
Mar-23 13:32:13,108527616,914878464
Mar-23 13:32:14,108527616,914878464
Mar-23 13:32:15,108527616,914878464
Mar-23 13:32:16,108527616,914878464
Mar-23 13:32:17,108527616,914878464
Mar-23 13:32:18,108527616,914878464
Mar-23 13:32:19,108527616,914878464
Mar-23 13:32:20,108527616,914878464
Mar-23 13:32:21,108527616,914878464
Mar-23 13:32:22,108527616,914878464
Mar-23 13:32:23,108527616,914878464
Mar-23 13:32:24,108527616,914878464
Mar-23 13:32:25,108527616,914878464
Mar-23 13:32:26,108527616,914878464
Mar-23 13:32:27,108527616,914878464
Mar-23 13:32:28,108527616,914878464
Mar-23 13:32:29,108527616,914878464
Mar-23 13:32:30,108527616,914878464
Mar-23 13:32:31,108527616,914878464
Mar-23 13:32:32,108527616,914878464
Mar-23 13:32:33,108527616,914878464
Mar-23 13:32:34,108527616,914878464
Mar-23 13:32:35,108527616,914878464
Mar-23 13:32:36,108527616,914878464
Mar-23 13:32:37,108527616,914878464
Mar-23 13:32:38,108527616,914878464
Mar-23 13:32:39,108527616,914878464
Mar-23 13:32:40,108527616,914878464
Mar-23 13:32:41,108527616,914878464
Mar-23 13:32:42,108527616,914878464
Mar-23 13:32:43,108527616,914878464
Mar-23 13:32:44,108527616,914878464
Mar-23 13:32:45,108527616,914878464
Mar-23 13:32:46,108527616,914878464
Mar-23 13:32:47,108527616,914878464
Mar-23 13:32:48,108527616,914878464
Mar-23 13:32:49,108527616,914878464
Mar-23 13:32:50,108527616,914878464
Mar-23 13:32:51,108527616,914878464
Mar-23 13:32:52,108527616,914878464
Mar-23 13:32:53,108527616,914878464
Mar-23 13:32:54,108527616,914878464
Mar-23 13:32:55,108527616,914878464
Mar-23 13:32:56,108527616,914878464
Mar-23 13:32:57,108527616,914878464
Mar-23 13:32:58,108527616,914878464
Mar-23 13:32:59,108527616,914878464
Mar-23 13:33:00,108527616,914878464
Mar-23 13:33:01,108527616,914878464
Mar-23 13:33:02,108527616,914878464
Mar-23 13:33:03,108527616,914878464
Mar-23 13:33:04,108527616,914878464
Mar-23 13:33:05,108527616,914878464
Mar-23 13:33:06,108527616,914878464
Mar-23 13:33:07,108527616,914878464
Mar-23 13:33:08,108527616,914878464
Mar-23 13:33:09,108527616,914878464
Mar-23 13:33:10,108527616,914878464
Mar-23 13:33:11,108527616,914878464
Mar-23 13:33:12,108527616,914878464
Mar-23 13:33:13,108527616,914878464
Mar-23 13:33:14,108527616,914878464
Mar-23 13:33:15,108527616,914878464
Mar-23 13:33:16,108527616,914878464
Mar-23 13:33:17,108527616,914878464
Mar-23 13:33:18,108527616,914878464
Mar-23 13:33:19,108527616,914878464
Mar-23 13:33:20,108527616,914878464
Mar-23 13:33:21,108527616,914878464
Mar-23 13:33:22,108527616,914878464
Mar-23 13:33:23,108527616,914878464
Mar-23 13:33:24,108527616,914878464
Mar-23 13:33:25,108527616,914878464
Mar-23 13:33:26,108527616,914878464
Mar-23 13:33:27,108527616,914878464
Mar-23 13:33:28,108527616,914878464
Mar-23 13:33:29,108527616,914878464
Mar-23 13:33:30,108527616,914878464
Mar-23 13:33:31,108527616,914878464
Mar-23 13:33:32,108527616,914878464
Mar-23 13:33:33,108527616,914878464
Mar-23 13:33:34,108527616,914878464
Mar-23 13:33:35,108527616,914878464
Mar-23 13:33:36,108527616,914878464
Mar-23 13:33:37,108527616,914878464
Mar-23 13:33:38,108527616,914878464
Mar-23 13:33:39,108527616,914878464
Mar-23 13:33:40,108527616,914878464
Mar-23 13:33:41,108527616,914878464
Mar-23 13:33:42,108527616,914878464
Mar-23 13:33:43,108527616,914878464
Mar-23 13:33:44,108527616,914878464
Mar-23 13:33:45,108527616,914878464
Mar-23 13:33:46,108527616,914878464
Mar-23 13:33:47,108527616,914878464
Mar-23 13:33:48,108527616,914878464
Mar-23 13:33:49,108527616,914878464
Mar-23 13:33:50,108527616,914878464
Mar-23 13:33:51,108527616,914878464
Mar-23 13:33:52,108527616,914878464
Mar-23 13:33:53,108527616,914878464
Mar-23 13:33:54,108527616,914878464
Mar-23 13:33:55,108527616,914878464
Mar-23 13:33:56,108527616,914878464
Mar-23 13:33:57,108527616,914878464
Mar-23 13:33:58,108527616,914878464
Mar-23 13:33:59,108527616,914878464
Mar-23 13:34:00,108527616,914878464
Mar-23 13:34:01,108527616,914878464
Mar-23 13:34:02,108527616,914878464
Mar-23 13:34:03,108527616,914878464
Mar-23 13:34:04,108527616,914878464
Mar-23 13:34:05,108527616,914878464
Mar-23 13:34:06,108527616,914878464
Mar-23 13:34:07,108527616,914878464
Mar-23 13:34:08,108527616,914878464
Mar-23 13:34:09,108527616,914878464
Mar-23 13:34:10,108527616,914878464
Mar-23 13:34:11,108527616,914878464
Mar-23 13:34:12,108527616,914878464
Mar-23 13:34:13,108527616,914878464
Mar-23 13:34:14,108527616,914878464
Mar-23 13:34:15,108527616,914878464
Mar-23 13:34:16,108527616,914878464
Mar-23 13:34:17,108527616,914878464
Mar-23 13:34:18,108527616,914878464
Mar-23 13:34:19,108527616,914878464
Mar-23 13:34:20,108527616,914878464
Mar-23 13:34:21,108527616,914878464
Mar-23 13:34:22,108527616,914878464
Mar-23 13:34:23,108527616,914878464
Mar-23 13:34:24,108527616,914878464
Mar-23 13:34:25,108527616,914878464
Mar-23 13:34:26,108527616,914878464
