"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/swap_socket_time_udp_int_net_tcp_proc.csv --swap --socket --time --udp --int --net --tcp --proc 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"swap",,"sockets",,,,,"system","udp",,"interrupts",,,"net/total",,"tcp sockets",,,,,"procs",,
"used","free","tot","tcp","udp","raw","frg","time","lis","act","138","139","140","recv","send","lis","act","syn","tim","clo","run","blk","new"
1835008,1021571072,1072,18,19,0,0,Mar-22 21:32:08,17,6,0.000,43.578,0.023,0,0,7,11,0,6,2,10,0,11.390
1835008,1021571072,1072,18,19,0,0,Mar-22 21:32:09,17,6,0,19,0,515,187,7,11,0,6,2,6,0,8
1835008,1021571072,1072,18,19,0,0,Mar-22 21:32:10,17,6,0,17,0,350,0,7,11,0,6,2,2,0,0
1835008,1021571072,1072,18,19,0,0,Mar-22 21:32:11,17,6,0,20,0,322,1072,7,11,1,6,1,8,0,2
1835008,1021571072,1073,19,19,0,0,Mar-22 21:32:12,17,6,0,29,0,12267,3640,7,13,0,6,1,4,0,7
1835008,1021571072,1073,19,19,0,0,Mar-22 21:32:13,17,6,0,64,0,4691,2129,7,13,0,6,1,9,0,1
1835008,1021571072,1073,19,19,0,0,Mar-22 21:32:14,17,6,0,21,0,396,804,7,13,0,6,1,5,0,8
1835008,1021571072,1076,19,22,0,0,Mar-22 21:32:15,20,6,0,25,0,1249,4112,7,13,0,6,1,2,0,0
1835008,1021571072,1076,19,22,0,0,Mar-22 21:32:16,20,6,0,89,0,24232,660810,7,13,0,6,1,3,0,0
1835008,1021571072,1076,19,22,0,0,Mar-22 21:32:17,20,6,0,47,0,2980,7798,7,13,0,6,1,2,0,0
1835008,1021571072,1076,19,22,0,0,Mar-22 21:32:18,20,6,0,15,0,0,920,7,13,0,6,1,3,0,9
1835008,1021571072,1076,19,22,0,0,Mar-22 21:32:19,20,6,0,36,0,86,464,7,13,0,6,1,3,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:32:20,17,6,0,15,0,0,0,7,13,0,6,1,7,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:32:21,17,6,0,19,0,424,0,7,13,0,6,1,5,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:32:22,17,6,0,13,0,0,0,7,13,0,6,1,2,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:32:23,17,6,0,14,0,0,0,7,13,0,6,1,8,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:32:24,17,6,0,20,0,327,1724,7,13,0,6,1,2,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:25,17,6,0,68,0,8151,10759,7,15,0,6,0,1,0,1
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:26,17,6,0,14,0,0,0,7,15,0,6,0,5,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:27,17,6,0,28,0,15817,5016,7,15,0,6,0,6,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:28,17,6,0,23,0,1404,884,7,15,0,6,0,2,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:29,17,6,0,18,0,167,187,7,15,0,6,0,7,0,4
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:30,17,6,0,16,0,0,358,7,15,0,6,0,2,0,5
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:31,17,6,0,45,0,86,106,7,15,0,6,0,4,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:32,17,6,0,15,0,0,0,7,15,0,6,0,2,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:33,17,6,0,14,0,0,0,7,15,0,6,0,2,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:34,17,6,0,19,0,396,446,7,15,0,6,0,2,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:35,17,6,0,15,0,0,358,7,15,0,6,0,3,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:36,17,6,0,15,0,0,0,7,15,0,6,0,1,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:37,17,6,0,35,0,0,0,7,15,0,5,0,1,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:38,17,6,0,33,0,15899,5016,7,15,0,6,0,2,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:32:39,17,6,0,20,0,1444,924,7,15,0,6,0,2,0,0
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:40,17,6,0,19,0,756,908,7,15,1,6,0,1,0,8
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:41,17,6,0,17,0,0,206,7,15,1,5,0,8,0,0
