"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/sys.csv --time --sys 1 600",,,,"Date:","22 Mar 2023 21:22:04 -03"
"system","system",
"time","int","csw"
Mar-22 21:22:04,1356.294,4982.354
Mar-22 21:22:05,28086,118097
Mar-22 21:22:06,22156,98729
Mar-22 21:22:07,25531,116221
Mar-22 21:22:08,22318,105592
Mar-22 21:22:09,30973,117323
Mar-22 21:22:10,93920,272572
Mar-22 21:22:11,90944,298398
Mar-22 21:22:12,68857,201930
Mar-22 21:22:13,33623,171431
Mar-22 21:22:14,17770,297640
Mar-22 21:22:15,2717,2788
Mar-22 21:22:16,1435,2346
Mar-22 21:22:17,1668,3608
Mar-22 21:22:18,1756,3882
Mar-22 21:22:19,1598,3242
Mar-22 21:22:20,1533,2396
Mar-22 21:22:21,1522,2322
Mar-22 21:22:22,1685,3594
Mar-22 21:22:23,1492,2932
Mar-22 21:22:24,1714,3850
Mar-22 21:22:25,2302,8504
Mar-22 21:22:26,1963,29142
Mar-22 21:22:27,1740,3572
Mar-22 21:22:28,1566,2416
Mar-22 21:22:29,1737,3772
Mar-22 21:22:30,1567,3128
Mar-22 21:22:31,1768,3448
Mar-22 21:22:32,1751,3734
Mar-22 21:22:33,1546,2565
Mar-22 21:22:34,1773,3817
Mar-22 21:22:35,1557,2513
Mar-22 21:22:36,1468,2316
Mar-22 21:22:37,1675,3500
Mar-22 21:22:38,1475,2320
Mar-22 21:22:39,1837,3969
Mar-22 21:22:40,1538,2461
Mar-22 21:22:41,2359,4505
Mar-22 21:22:42,2789,5455
Mar-22 21:22:43,2505,4012
Mar-22 21:22:44,2665,5296
Mar-22 21:22:45,2593,4298
Mar-22 21:22:46,2635,4354
Mar-22 21:22:47,2756,5486
Mar-22 21:22:48,2605,4201
Mar-22 21:22:49,2759,5335
Mar-22 21:22:50,2564,4075
Mar-22 21:22:51,2712,4425
Mar-22 21:22:52,2894,6386
Mar-22 21:22:53,2621,4157
Mar-22 21:22:54,2642,5137
Mar-22 21:22:55,2636,4254
Mar-22 21:22:56,2476,3919
Mar-22 21:22:57,2735,5519
Mar-22 21:22:58,2650,4181
Mar-22 21:22:59,2677,5274
Mar-22 21:23:00,3810,8728
Mar-22 21:23:01,1532,2395
Mar-22 21:23:02,1950,6112
Mar-22 21:23:03,1665,3398
Mar-22 21:23:04,1652,3528
Mar-22 21:23:05,1611,2949
Mar-22 21:23:06,1465,2290
Mar-22 21:23:07,1806,3786
Mar-22 21:23:08,1586,2490
Mar-22 21:23:09,1546,3391
Mar-22 21:23:10,1568,2480
Mar-22 21:23:11,2601,36383
Mar-22 21:23:12,1635,3446
Mar-22 21:23:13,1625,3294
Mar-22 21:23:14,2537,5132
Mar-22 21:23:15,2588,4192
Mar-22 21:23:16,2570,4017
Mar-22 21:23:17,2776,5361
Mar-22 21:23:18,2464,4100
Mar-22 21:23:19,2701,5283
Mar-22 21:23:20,4183,9863
Mar-22 21:23:21,2626,4373
Mar-22 21:23:22,2769,5279
Mar-22 21:23:23,2754,4352
Mar-22 21:23:24,2853,6055
Mar-22 21:23:25,2654,4117
Mar-22 21:23:26,1860,2856
Mar-22 21:23:27,1823,3670
Mar-22 21:23:28,1538,2431
Mar-22 21:23:29,1668,3581
Mar-22 21:23:30,1523,2332
Mar-22 21:23:31,1625,2439
Mar-22 21:23:32,1789,4329
Mar-22 21:23:33,1603,2613
Mar-22 21:23:34,1768,3711
Mar-22 21:23:35,1634,3155
Mar-22 21:23:36,1711,2487
Mar-22 21:23:37,1552,2400
Mar-22 21:23:38,1619,3396
Mar-22 21:23:39,1691,3429
Mar-22 21:23:40,1559,2411
Mar-22 21:23:41,1730,3372
Mar-22 21:23:42,1478,2325
Mar-22 21:23:43,1687,3536
Mar-22 21:23:44,1790,3613
Mar-22 21:23:45,1407,2267
Mar-22 21:23:46,1692,3251
Mar-22 21:23:47,1654,2565
Mar-22 21:23:48,1645,3627
Mar-22 21:23:49,1711,3774
Mar-22 21:23:50,1537,2449
Mar-22 21:23:51,1541,2406
Mar-22 21:23:52,1614,2593
Mar-22 21:23:53,1622,3546
Mar-22 21:23:54,1637,3377
Mar-22 21:23:55,1574,2491
Mar-22 21:23:56,2926,36192
Mar-22 21:23:57,3265,9004
Mar-22 21:23:58,1842,4149
Mar-22 21:23:59,1394,2277
Mar-22 21:24:00,1679,3498
Mar-22 21:24:01,1485,2367
Mar-22 21:24:02,1761,4619
Mar-22 21:24:03,1550,3421
Mar-22 21:24:04,1526,2473
Mar-22 21:24:05,1715,3635
Mar-22 21:24:06,1473,2329
Mar-22 21:24:07,1658,2565
Mar-22 21:24:08,1864,4827
Mar-22 21:24:09,1443,2337
Mar-22 21:24:10,1627,3550
Mar-22 21:24:11,1513,2419
Mar-22 21:24:12,1507,2445
Mar-22 21:24:13,1707,3641
Mar-22 21:24:14,1545,2403
Mar-22 21:24:15,1747,3651
Mar-22 21:24:16,1572,2424
Mar-22 21:24:17,1528,2403
Mar-22 21:24:18,1935,4335
Mar-22 21:24:19,1720,3492
Mar-22 21:24:20,1783,3847
Mar-22 21:24:21,1447,2245
Mar-22 21:24:22,1485,2389
Mar-22 21:24:23,1609,3585
Mar-22 21:24:24,1448,2357
Mar-22 21:24:25,1662,3513
Mar-22 21:24:26,8568,2385
Mar-22 21:24:27,1602,2459
Mar-22 21:24:28,1662,3547
Mar-22 21:24:29,1398,2195
Mar-22 21:24:30,1825,4327
Mar-22 21:24:31,1601,2638
Mar-22 21:24:32,1504,2441
Mar-22 21:24:33,1803,4237
Mar-22 21:24:34,1588,3234
Mar-22 21:24:35,1755,4104
Mar-22 21:24:36,1772,3365
Mar-22 21:24:37,1580,2577
Mar-22 21:24:38,1603,3456
Mar-22 21:24:39,1431,2259
Mar-22 21:24:40,1738,3664
Mar-22 21:24:41,2720,36475
Mar-22 21:24:42,1504,2429
Mar-22 21:24:43,1838,3659
Mar-22 21:24:44,2990,7585
Mar-22 21:24:45,1747,3662
Mar-22 21:24:46,1503,2355
Mar-22 21:24:47,1476,2415
Mar-22 21:24:48,1710,3551
Mar-22 21:24:49,1580,2346
Mar-22 21:24:50,1741,3788
Mar-22 21:24:51,1543,2402
Mar-22 21:24:52,1879,3484
Mar-22 21:24:53,1716,3705
Mar-22 21:24:54,1539,2322
Mar-22 21:24:55,1662,3571
Mar-22 21:24:56,1688,3294
Mar-22 21:24:57,1609,2640
Mar-22 21:24:58,1677,3678
Mar-22 21:24:59,1481,2412
Mar-22 21:25:00,1947,4555
Mar-22 21:25:01,1540,2377
Mar-22 21:25:02,1909,5631
Mar-22 21:25:03,1945,4468
Mar-22 21:25:04,1523,2397
Mar-22 21:25:05,1692,3703
Mar-22 21:25:06,1566,2744
Mar-22 21:25:07,1655,2695
Mar-22 21:25:08,1603,3424
Mar-22 21:25:09,1714,2609
Mar-22 21:25:10,1778,3669
Mar-22 21:25:11,1540,2450
Mar-22 21:25:12,1731,3291
Mar-22 21:25:13,2337,4412
Mar-22 21:25:14,1750,3595
Mar-22 21:25:15,1657,3483
Mar-22 21:25:16,1538,2339
Mar-22 21:25:17,1511,2488
Mar-22 21:25:18,1570,2368
Mar-22 21:25:19,1723,3476
Mar-22 21:25:20,1703,3749
Mar-22 21:25:21,1456,2259
Mar-22 21:25:22,1781,3156
Mar-22 21:25:23,1413,2222
Mar-22 21:25:24,1842,4552
Mar-22 21:25:25,1686,3585
Mar-22 21:25:26,2571,36036
Mar-22 21:25:27,1563,2585
Mar-22 21:25:28,1523,2365
Mar-22 21:25:29,1726,3576
Mar-22 21:25:30,1646,3492
Mar-22 21:25:31,1589,2363
Mar-22 21:25:32,1525,2368
Mar-22 21:25:33,3219,8198
Mar-22 21:25:34,1823,4558
Mar-22 21:25:35,1869,4566
Mar-22 21:25:36,1707,2768
Mar-22 21:25:37,1581,2568
Mar-22 21:25:38,1477,2360
Mar-22 21:25:39,1601,3503
Mar-22 21:25:40,1394,2263
Mar-22 21:25:41,1643,3862
Mar-22 21:25:42,1515,2386
Mar-22 21:25:43,1569,2779
Mar-22 21:25:44,1684,3617
Mar-22 21:25:45,1485,2293
Mar-22 21:25:46,1874,4459
Mar-22 21:25:47,1525,2427
Mar-22 21:25:48,1495,2317
Mar-22 21:25:49,1679,3463
Mar-22 21:25:50,1534,2491
Mar-22 21:25:51,1784,3497
Mar-22 21:25:52,1560,2390
Mar-22 21:25:53,1505,2336
Mar-22 21:25:54,1884,4201
Mar-22 21:25:55,1454,2346
Mar-22 21:25:56,2759,8196
Mar-22 21:25:57,1622,3397
Mar-22 21:25:58,1554,2505
Mar-22 21:25:59,1730,4072
Mar-22 21:26:00,1546,2353
Mar-22 21:26:01,1730,3624
Mar-22 21:26:02,1924,4692
Mar-22 21:26:03,1554,2405
Mar-22 21:26:04,1666,3578
Mar-22 21:26:05,1762,3429
Mar-22 21:26:06,1791,3565
Mar-22 21:26:07,1619,2611
Mar-22 21:26:08,1714,3410
Mar-22 21:26:09,1738,3610
Mar-22 21:26:10,1455,2399
Mar-22 21:26:11,1797,4421
Mar-22 21:26:12,2518,35987
Mar-22 21:26:13,1576,2402
Mar-22 21:26:14,1661,3420
Mar-22 21:26:15,1510,2320
Mar-22 21:26:16,1769,3960
Mar-22 21:26:17,1428,2202
Mar-22 21:26:18,1472,2338
Mar-22 21:26:19,1958,4737
Mar-22 21:26:20,1666,2603
Mar-22 21:26:21,1686,3611
Mar-22 21:26:22,1574,2512
Mar-22 21:26:23,1513,2346
Mar-22 21:26:24,1659,3579
Mar-22 21:26:25,1433,2399
Mar-22 21:26:26,3730,10322
Mar-22 21:26:27,1569,2331
Mar-22 21:26:28,1523,2468
Mar-22 21:26:29,1746,3814
Mar-22 21:26:30,1623,3279
Mar-22 21:26:31,1720,3612
Mar-22 21:26:32,1393,2218
Mar-22 21:26:33,1472,2376
Mar-22 21:26:34,1774,3586
Mar-22 21:26:35,1656,2717
Mar-22 21:26:36,1957,4485
Mar-22 21:26:37,2817,2442
Mar-22 21:26:38,1559,2371
Mar-22 21:26:39,1646,3578
Mar-22 21:26:40,1613,2409
