"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/sys_ipc_disk_udp_socket.csv --sys --ipc --disk --udp --socket 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"system",,"sysv ipc",,,"dsk/total",,"udp",,"sockets",,,,
"int","csw","msg","sem","shm","read","writ","lis","act","tot","tcp","udp","raw","frg"
1449.135,6016.411,0,0,5,120636.703,1055496.991,25,14,1204,26,33,0,0
2972,10892,0,0,5,0,0,25,14,1204,26,33,0,0
2583,5961,0,0,5,0,0,25,14,1204,26,33,0,0
2604,6725,0,0,5,0,745472,25,14,1205,27,33,0,0
2572,5943,0,0,5,0,8003584,25,14,1204,26,33,0,0
2755,6934,0,0,5,0,0,25,14,1204,26,33,0,0
2626,7008,0,0,5,0,0,25,14,1204,26,33,0,0
2583,7077,0,0,5,0,0,25,14,1204,26,33,0,0
2551,6115,0,0,5,0,1859584,25,14,1206,26,33,0,0
2643,6232,0,0,5,0,0,25,14,1204,26,33,0,0
3541,11112,0,0,5,0,18096128,25,14,1204,26,33,0,0
2582,6971,0,0,5,0,0,25,14,1204,26,33,0,0
2531,5845,0,0,5,0,1884160,25,14,1204,26,33,0,0
2583,6001,0,0,5,0,8192,25,14,1204,26,33,0,0
2725,7738,0,0,5,0,0,25,13,1203,26,33,0,0
2793,7418,0,0,5,0,1024000,25,13,1203,26,33,0,0
3650,36664,0,0,5,0,0,25,13,1203,26,33,0,0
2629,5684,0,0,5,0,286720,25,13,1203,26,33,0,0
2590,5956,0,0,5,0,2326528,25,13,1203,26,33,0,0
2607,5708,0,0,5,0,0,25,13,1203,26,33,0,0
2745,7505,0,0,5,0,8003584,25,13,1203,26,33,0,0
2800,8274,0,0,5,0,0,25,13,1203,26,33,0,0
2553,5844,0,0,5,0,0,25,13,1203,26,33,0,0
2740,6827,0,0,5,0,991232,25,13,1203,26,33,0,0
2680,6417,0,0,5,0,671744,25,13,1203,26,33,0,0
2955,8178,0,0,5,0,8699904,25,13,1203,26,33,0,0
2721,7054,0,0,5,0,0,25,13,1203,26,33,0,0
2799,6210,0,0,5,0,860160,25,13,1203,26,33,0,0
2758,7354,0,0,5,0,0,25,13,1203,26,33,0,0
2457,5770,0,0,5,0,0,25,13,1203,26,33,0,0
2885,7783,0,0,5,0,4407296,25,13,1203,26,33,0,0
2666,7377,0,0,5,0,0,25,13,1203,26,33,0,0
2578,5833,0,0,5,0,753664,25,13,1203,26,33,0,0
2471,5743,0,0,5,0,0,25,13,1203,26,33,0,0
2449,5622,0,0,5,0,0,25,13,1203,26,33,0,0
2715,7302,0,0,5,0,8110080,25,13,1203,26,33,0,0
2962,9400,0,0,5,0,0,25,13,1203,26,33,0,0
2594,5783,0,0,5,0,540672,25,13,1203,26,33,0,0
2503,5723,0,0,5,0,0,25,13,1203,26,33,0,0
2675,6333,0,0,5,0,0,25,13,1203,26,33,0,0
2555,5937,0,0,5,0,7921664,25,13,1203,26,33,0,0
2774,8569,0,0,5,0,0,25,14,1204,26,33,0,0
2780,7106,0,0,5,0,892928,25,14,1204,26,33,0,0
2598,6304,0,0,5,0,557056,25,14,1204,26,33,0,0
2573,5869,0,0,5,0,0,25,14,1204,26,33,0,0
2682,5882,0,0,5,0,4947968,25,14,1204,26,33,0,0
2794,8538,0,0,5,0,1720320,25,14,1204,26,33,0,0
2612,6734,0,0,5,0,0,25,14,1204,26,33,0,0
2586,5826,0,0,5,0,0,25,14,1204,26,33,0,0
2632,6708,0,0,5,0,0,25,14,1204,26,33,0,0
2725,6999,0,0,5,0,4538368,25,14,1204,26,33,0,0
3765,11409,0,0,5,0,11583488,25,14,1204,26,33,0,0
2926,6051,0,0,5,0,548864,25,14,1204,26,33,0,0
2517,5803,0,0,5,0,0,25,14,1204,26,33,0,0
3618,37859,0,0,5,0,0,25,14,1204,26,33,0,0
2580,6000,0,0,5,0,0,25,14,1204,26,33,0,0
2930,9363,0,0,5,0,11698176,25,14,1204,26,33,0,0
2633,7181,0,0,5,32768,0,25,14,1204,26,33,0,0
2495,5814,0,0,5,0,0,25,14,1204,26,33,0,0
2527,5671,0,0,5,0,0,25,14,1204,26,33,0,0
2562,5838,0,0,5,0,0,25,14,1204,26,33,0,0
2822,8583,0,0,5,0,6053888,25,14,1204,26,33,0,0
2516,5751,0,0,5,0,0,25,14,1204,26,33,0,0
2736,6775,0,0,5,0,0,25,14,1204,26,33,0,0
2371,6166,0,0,5,0,0,25,14,1204,26,33,0,0
2520,5977,0,0,5,0,409600,25,14,1204,26,33,0,0
3014,9934,0,0,5,0,12181504,25,14,1204,26,33,0,0
2615,5772,0,0,5,0,0,25,14,1204,26,33,0,0
2679,6898,0,0,5,0,0,25,14,1204,26,33,0,0
2549,6485,0,0,5,8192,0,25,14,1204,26,33,0,0
2581,6608,0,0,5,0,811008,25,13,1203,26,33,0,0
2745,8445,0,0,5,0,4235264,25,13,1203,26,33,0,0
2752,6337,0,0,5,0,0,25,13,1203,26,33,0,0
2662,6894,0,0,5,0,0,25,13,1204,27,33,0,0
2533,5786,0,0,5,0,0,25,13,1204,27,33,0,0
2587,5813,0,0,5,0,0,25,13,1204,27,33,0,0
2920,7589,0,0,5,0,5406720,25,13,1204,27,33,0,0
2694,7548,0,0,5,0,0,25,13,1204,27,33,0,0
2716,6589,0,0,5,0,0,25,13,1204,27,33,0,0
2577,6515,0,0,5,0,0,25,13,1204,27,33,0,0
2585,5800,0,0,5,0,0,25,13,1204,27,33,0,0
2788,7454,0,0,5,0,8642560,25,13,1204,27,33,0,0
2595,6906,0,0,5,0,0,25,13,1204,27,33,0,0
2579,5792,0,0,5,0,0,25,13,1204,27,33,0,0
2841,8131,0,0,5,0,2269184,25,13,1204,27,33,0,0
2629,6486,0,0,5,0,0,25,13,1204,27,33,0,0
4272,12589,0,0,5,0,13287424,25,13,1204,27,33,0,0
2605,6907,0,0,5,0,0,25,13,1204,27,33,0,0
2437,5799,0,0,5,0,0,25,13,1204,27,33,0,0
2558,5703,0,0,5,0,1368064,25,13,1204,27,33,0,0
2635,6651,0,0,5,0,0,25,13,1204,27,33,0,0
4565,37305,0,0,5,0,9117696,25,13,1204,27,33,0,0
2729,7671,0,0,5,0,0,25,13,1204,27,33,0,0
2531,5868,0,0,5,0,0,25,13,1204,27,33,0,0
2574,5856,0,0,5,0,2834432,25,13,1204,27,33,0,0
2755,6239,0,0,5,0,0,25,13,1204,27,33,0,0
2756,7039,0,0,5,0,368640,25,13,1203,27,33,0,0
2630,7060,0,0,5,0,5185536,25,13,1203,27,33,0,0
2598,6405,0,0,5,0,0,25,13,1203,27,33,0,0
2850,7086,0,0,5,0,0,25,13,1203,27,33,0,0
2536,5832,0,0,5,0,0,25,13,1203,27,33,0,0
2753,7899,0,0,5,0,696320,25,13,1203,27,33,0,0
3202,11045,0,0,5,1372160,11911168,25,13,1203,27,33,0,0
3161,10534,0,0,5,2048000,49152,25,13,1203,27,33,0,0
2889,9493,0,0,5,1710080,851968,25,13,1203,27,33,0,0
3309,10860,0,0,5,2052096,49152,25,13,1203,27,33,0,0
3498,16282,0,0,5,3762176,90112,25,13,1203,27,33,0,0
3061,10547,0,0,5,1368064,3276800,25,13,1203,27,33,0,0
3269,11625,0,0,5,1026048,24576,25,13,1203,27,33,0,0
2868,8606,0,0,5,1372160,991232,25,13,1203,27,33,0,0
2857,9345,0,0,5,1363968,32768,25,13,1203,27,33,0,0
3065,12508,0,0,5,684032,16384,25,13,1204,28,33,0,0
3034,9988,0,0,5,1030144,4964352,28,13,1207,28,36,0,0
3143,14063,0,0,5,3416064,81920,28,13,1207,28,36,0,0
3374,12783,0,0,5,2052096,720896,28,13,1207,28,36,0,0
3072,10319,0,0,5,2052096,49152,28,13,1209,28,36,0,0
2674,8055,0,0,5,0,0,28,13,1207,28,36,0,0
2864,7778,0,0,5,0,8052736,25,13,1204,28,33,0,0
2635,6467,0,0,5,8192,0,25,13,1204,28,33,0,0
2539,6663,0,0,5,0,1024000,25,13,1204,28,33,0,0
2708,6958,0,0,5,0,0,25,13,1204,28,33,0,0
2796,7431,0,0,5,0,1818624,25,13,1204,28,33,0,0
4308,14541,0,0,5,0,18382848,25,13,1204,28,33,0,0
2973,9266,0,0,5,1371136,1769472,25,13,1204,28,33,0,0
2499,5780,0,0,5,0,0,25,13,1204,28,33,0,0
2746,6207,0,0,5,0,0,25,13,1204,28,33,0,0
2817,7538,0,0,5,0,0,25,13,1204,28,33,0,0
2892,9281,0,0,5,0,1597440,25,13,1204,28,33,0,0
2695,5998,0,0,5,0,532480,25,13,1204,28,33,0,0
3566,36101,0,0,5,0,0,25,13,1204,28,33,0,0
2560,5795,0,0,5,0,0,25,13,1204,28,33,0,0
2607,6558,0,0,5,0,0,25,13,1204,28,33,0,0
2746,7497,0,0,5,0,8404992,25,13,1204,28,33,0,0
2600,6376,0,0,5,0,3694592,25,13,1204,28,33,0,0
2464,6610,0,0,5,0,0,25,13,1204,28,33,0,0
2488,5857,0,0,5,0,0,25,13,1204,28,33,0,0
2590,6209,0,0,5,0,0,25,13,1204,28,33,0,0
2767,8910,0,0,5,0,0,25,13,1204,28,33,0,0
2926,7282,0,0,5,0,12591104,25,13,1203,27,33,0,0
2541,5812,0,0,5,0,0,25,13,1203,27,33,0,0
2733,6473,0,0,5,0,409600,25,13,1203,26,33,0,0
2636,6986,0,0,5,0,0,25,13,1203,26,33,0,0
2905,8003,0,0,5,0,0,25,13,1203,26,33,0,0
2509,5879,0,0,5,0,835584,25,13,1203,26,33,0,0
2958,7086,0,0,5,0,0,25,13,1204,27,33,0,0
2466,5887,0,0,5,0,0,25,13,1203,26,33,0,0
2511,5710,0,0,5,0,696320,25,13,1203,26,33,0,0
2720,8443,0,0,5,0,0,25,13,1203,26,33,0,0
2725,7206,0,0,5,0,8609792,25,13,1203,26,33,0,0
2585,6676,0,0,5,0,0,25,13,1203,26,33,0,0
2575,5805,0,0,5,0,0,25,13,1203,26,33,0,0
2603,6353,0,0,5,0,1228800,25,13,1203,26,33,0,0
2619,8091,0,0,5,0,0,25,13,1203,26,33,0,0
2604,5991,0,0,5,0,8028160,25,13,1203,26,33,0,0
2602,6080,0,0,5,0,0,25,13,1203,26,33,0,0
2739,7098,0,0,5,40960,1056768,25,13,1203,26,33,0,0
2592,6069,0,0,5,0,180224,25,13,1203,26,33,0,0
2681,8012,0,0,5,0,0,25,13,1203,26,33,0,0
2585,5938,0,0,5,0,5537792,25,13,1203,26,33,0,0
2700,6942,0,0,5,0,0,25,13,1203,26,33,0,0
2545,5830,0,0,5,0,0,25,13,1203,26,33,0,0
2433,5955,0,0,5,0,1720320,25,13,1203,26,33,0,0
2892,9129,0,0,5,0,0,25,13,1203,26,33,0,0
4235,11692,0,0,5,0,14581760,25,13,1203,26,33,0,0
2479,5691,0,0,5,0,0,25,13,1203,26,33,0,0
2567,5856,0,0,5,0,0,25,13,1203,26,33,0,0
2591,6265,0,0,5,0,1794048,25,13,1203,26,33,0,0
3652,36627,0,0,5,0,0,25,13,1203,26,33,0,0
2935,7508,0,0,5,0,8151040,25,13,1203,26,33,0,0
2539,6948,0,0,5,0,0,25,13,1203,26,33,0,0
2720,6744,0,0,5,0,0,25,13,1203,26,33,0,0
2567,6033,0,0,5,0,2301952,25,13,1203,26,33,0,0
2632,6952,0,0,5,0,0,25,13,1203,26,33,0,0
2772,7636,0,0,5,0,9027584,25,13,1203,26,33,0,0
2760,9087,0,0,5,0,0,25,13,1203,26,33,0,0
2622,6077,0,0,5,0,0,25,13,1203,26,33,0,0
2614,6968,0,0,5,0,663552,25,13,1203,26,33,0,0
2613,6967,0,0,5,0,0,25,13,1203,26,33,0,0
2671,7050,0,0,5,0,5398528,25,13,1203,26,33,0,0
2454,5724,0,0,5,139264,2670592,25,13,1203,26,33,0,0
2553,5864,0,0,5,0,0,25,13,1203,26,33,0,0
2879,7585,0,0,5,0,729088,25,13,1203,26,33,0,0
2711,7091,0,0,5,0,0,25,14,1204,26,34,0,0
2731,8225,0,0,5,0,0,25,13,1206,27,33,0,0
2397,5718,0,0,5,0,3203072,25,13,1206,27,33,0,0
2540,5919,0,0,5,0,0,25,13,1206,27,33,0,0
2710,6197,0,0,5,0,819200,25,13,1206,27,33,0,0
2776,7497,0,0,5,0,0,25,13,1206,27,33,0,0
2805,7122,0,0,5,0,0,25,13,1206,27,33,0,0
2710,6558,0,0,5,0,4923392,25,13,1206,27,33,0,0
2622,7309,0,0,5,0,0,25,13,1206,27,33,0,0
2701,6573,0,0,5,0,778240,25,13,1206,27,33,0,0
2691,7192,0,0,5,0,0,25,13,1206,27,33,0,0
2645,7044,0,0,5,0,0,25,13,1206,27,33,0,0
2722,6165,0,0,5,0,8749056,25,13,1207,28,33,0,0
2627,5993,0,0,5,0,0,25,13,1206,27,33,0,0
2673,6214,0,0,5,0,2129920,25,13,1206,27,33,0,0
2822,8389,0,0,5,0,0,25,13,1206,27,33,0,0
2765,7119,0,0,5,0,0,25,13,1206,27,33,0,0
3928,11288,0,0,5,0,19308544,25,13,1206,27,33,0,0
2624,5918,0,0,5,0,0,25,13,1206,27,33,0,0
2584,5927,0,0,5,0,1662976,25,13,1206,27,33,0,0
2705,8714,0,0,5,0,0,25,13,1206,27,33,0,0
2662,7125,0,0,5,0,245760,25,13,1203,26,33,0,0
3717,36149,0,0,5,0,3694592,25,13,1203,26,33,0,0
2596,6655,0,0,5,0,0,25,13,1203,26,33,0,0
2641,5844,0,0,5,0,0,25,13,1203,26,33,0,0
