"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/sys_lock_vm-adv_vm_socket_page_disk.csv --sys --lock --vm-adv --vm --socket --page --disk 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"system",,"file locks",,,,"advanced virtual memory",,,,,"virtual memory",,,,"sockets",,,,,"paging",,"dsk/total",
"int","csw","pos","lck","rea","wri","steal","scanK","scanD","pgoru","astll","majpf","minpf","alloc","free","tot","tcp","udp","raw","frg","in","out","read","writ"
1449.137,6016.425,83,12,13,82,37.423,0,0,0.009,0,0.235,4925.462,5437.635,5507.966,1204,26,33,0,0,2.442,715.314,120636.663,1055496.646
2802,8745,83,12,13,82,0,0,0,0,0,0,7219,11054,5488,1204,26,33,0,0,0,0,0,0
2578,6014,83,12,13,82,0,0,0,0,0,0,203,876,741,1204,26,33,0,0,0,0,0,0
2624,6736,83,12,13,82,0,0,0,0,0,0,884,1510,1953,1204,26,33,0,0,0,0,0,745472
2558,5894,83,12,13,82,0,0,0,0,0,0,239,1730,2764,1204,26,33,0,0,0,0,0,8003584
2799,7053,83,12,13,82,0,0,0,0,0,0,1653,2164,2677,1204,26,33,0,0,0,0,0,0
2599,6968,83,12,13,82,0,0,0,0,0,0,1521,2276,9187,1204,26,33,0,0,0,0,0,0
2570,7117,83,12,13,82,0,0,0,0,0,0,960,2156,7615,1204,26,33,0,0,0,0,0,0
2564,6094,83,12,13,82,0,0,0,0,0,0,845,1600,3458,1206,26,33,0,0,0,0,0,1859584
3449,9735,83,12,13,82,0,0,0,0,0,0,1636,4500,4917,1204,26,33,0,0,0,0,0,11026432
2731,7599,83,12,13,82,0,0,0,0,0,0,1619,3271,3859,1204,26,33,0,0,0,0,0,7069696
2611,6971,83,12,13,82,0,0,0,0,0,0,1575,2136,2499,1204,26,33,0,0,0,0,0,0
2514,5811,83,12,13,82,0,0,0,0,0,0,260,1050,4037,1204,26,33,0,0,0,0,0,1892352
2597,6031,83,12,13,82,0,0,0,0,0,0,1340,2860,2091,1204,26,33,0,0,0,0,0,0
2728,7760,83,12,13,82,0,0,0,0,0,0,3317,4378,4704,1203,26,33,0,0,0,0,0,0
2793,7368,83,12,13,82,0,0,0,0,0,0,1677,2907,2564,1203,26,33,0,0,0,0,0,1024000
3626,36619,83,12,13,82,0,0,0,0,0,0,43229,65898,26871,1203,26,33,0,0,0,0,0,0
2668,5798,83,12,13,82,0,0,0,0,0,0,525,1277,1831,1203,26,33,0,0,0,0,0,2613248
2552,5894,83,12,13,82,0,0,0,0,0,0,758,1348,1873,1203,26,33,0,0,0,0,0,0
2605,5732,83,12,13,82,0,0,0,0,0,0,249,733,1248,1203,26,33,0,0,0,0,0,0
2739,7502,83,12,13,82,0,0,0,0,0,1,1928,3167,3286,1203,26,33,0,0,0,0,0,8003584
2798,8300,83,12,13,82,0,0,0,0,0,0,2584,4012,3419,1203,26,33,0,0,0,0,0,0
2599,5934,83,12,13,82,0,0,0,0,0,0,189,744,767,1203,26,33,0,0,0,0,0,606208
2722,6734,83,12,13,82,0,0,0,0,0,0,297,909,1000,1203,26,33,0,0,0,0,0,385024
2653,6338,83,12,13,82,0,0,0,0,0,0,6398,8150,4965,1203,26,33,0,0,0,0,0,671744
2961,8209,83,12,13,82,0,0,0,0,0,0,2176,3907,3777,1203,26,33,0,0,0,0,0,8699904
2716,7064,83,12,13,82,0,0,0,0,0,0,2397,3026,8022,1203,26,33,0,0,0,0,0,0
2795,6189,83,12,13,82,0,0,0,0,0,0,1309,2445,2822,1203,26,33,0,0,0,0,0,860160
2763,7443,83,12,13,82,0,0,0,0,0,0,1681,3175,2318,1203,26,33,0,0,0,0,0,0
2497,5715,83,12,13,82,0,0,0,0,0,0,371,1176,782,1203,26,33,0,0,0,0,0,0
2851,7743,83,12,13,82,0,0,0,0,0,0,1666,2797,2645,1203,26,33,0,0,0,0,0,4407296
2663,7384,83,12,13,82,0,0,0,0,0,0,2911,4648,4389,1203,26,33,0,0,0,0,0,0
2570,5806,83,12,13,82,0,0,0,0,0,0,446,852,868,1203,26,33,0,0,0,0,0,753664
2471,5722,83,12,13,82,0,0,0,0,0,0,378,891,784,1203,26,33,0,0,0,0,0,0
2451,5658,83,12,13,82,0,0,0,0,0,0,238,996,725,1203,26,33,0,0,0,0,0,0
2869,8442,83,12,13,82,0,0,0,0,0,0,2471,4546,14299,1203,26,33,0,0,0,0,0,8110080
2806,8249,83,12,13,82,0,0,0,0,0,0,1636,3059,2912,1203,26,33,0,0,0,0,0,0
2598,5832,83,12,13,82,0,0,0,0,0,0,518,1120,1344,1203,26,33,0,0,0,0,0,540672
2504,5740,83,12,13,82,0,0,0,0,0,0,368,830,1369,1203,26,33,0,0,0,0,0,0
2680,6332,83,12,13,82,0,0,0,0,0,0,5697,7268,2330,1203,26,33,0,0,0,0,0,0
2623,6903,83,12,13,82,0,0,0,0,0,0,1539,3142,3104,1203,26,33,0,0,0,0,0,7921664
2773,7723,83,12,13,82,0,0,0,0,0,0,5336,6425,3371,1206,26,33,0,0,0,0,0,0
2717,7058,83,12,13,82,0,0,0,0,0,0,1661,2876,14826,1204,26,33,0,0,0,0,0,892928
2596,6220,83,12,13,82,0,0,0,0,0,0,905,1784,6002,1204,26,33,0,0,0,0,0,557056
2576,5847,83,12,13,82,0,0,0,0,0,0,520,856,948,1204,26,33,0,0,0,0,0,0
2677,5872,83,12,13,82,0,0,0,0,0,0,1660,2679,4833,1204,26,33,0,0,0,0,0,4947968
2802,8576,83,12,13,82,0,0,0,0,0,0,8185,10374,5630,1204,26,33,0,0,0,0,0,1720320
2686,6796,83,12,13,82,0,0,0,0,0,0,231,738,1432,1204,26,33,0,0,0,0,0,0
2498,5724,83,12,13,82,0,0,0,0,0,0,755,1256,1134,1204,26,33,0,0,0,0,0,0
2634,6781,83,12,13,82,0,0,0,0,0,0,591,1959,14608,1204,26,33,0,0,0,0,0,0
3752,10172,83,12,13,82,0,0,0,0,0,0,220,2836,2839,1204,26,33,0,0,0,0,0,14221312
2750,8200,83,12,13,82,0,0,0,0,0,0,3034,4071,4703,1204,26,33,0,0,0,0,0,2449408
2924,6099,83,12,13,82,0,0,0,0,0,0,1880,2498,3538,1204,26,33,0,0,0,0,0,0
2558,5777,83,12,13,82,0,0,0,0,0,0,439,1209,981,1204,26,33,0,0,0,0,0,0
3560,37787,83,12,13,82,0,0,0,0,0,0,42697,65130,27119,1204,26,33,0,0,0,0,0,0
2583,5973,83,12,13,82,0,0,0,0,0,0,741,1735,2847,1204,26,33,0,0,0,0,0,0
2934,9505,83,12,13,82,0,0,0,0,0,1,4434,6811,7241,1204,26,33,0,0,0,0,32768,11698176
2627,7063,83,12,13,82,0,0,0,0,0,0,333,1232,1161,1204,26,33,0,0,0,0,0,0
2492,5822,83,12,13,82,0,0,0,0,0,0,759,1280,846,1204,26,33,0,0,0,0,0,0
