"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/tpc.csv --time --tcp 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","tcp sockets",,,,
"time","lis","act","syn","tim","clo"
Mar-22 21:22:03,7,12,0,9,1
Mar-22 21:22:04,7,12,0,9,1
Mar-22 21:22:05,7,12,0,9,1
Mar-22 21:22:06,7,12,0,8,1
Mar-22 21:22:07,7,12,0,9,1
Mar-22 21:22:08,7,12,0,9,1
Mar-22 21:22:09,7,12,0,9,1
Mar-22 21:22:10,7,12,0,9,1
Mar-22 21:22:11,7,12,0,9,1
Mar-22 21:22:12,7,12,0,9,1
Mar-22 21:22:13,7,12,0,9,1
Mar-22 21:22:14,7,12,0,8,1
Mar-22 21:22:15,7,12,0,8,1
Mar-22 21:22:16,7,12,0,8,1
Mar-22 21:22:17,7,12,0,8,1
Mar-22 21:22:18,7,12,0,9,1
Mar-22 21:22:19,7,12,0,9,1
Mar-22 21:22:20,7,12,0,9,1
Mar-22 21:22:21,7,12,0,9,1
Mar-22 21:22:22,7,12,0,9,1
Mar-22 21:22:23,7,14,0,9,0
Mar-22 21:22:24,7,14,0,8,0
Mar-22 21:22:25,7,14,0,8,0
Mar-22 21:22:26,7,14,0,7,0
Mar-22 21:22:27,7,14,0,7,0
Mar-22 21:22:28,7,14,0,7,0
Mar-22 21:22:29,7,14,0,8,0
Mar-22 21:22:30,7,14,0,8,0
Mar-22 21:22:31,7,14,0,8,0
Mar-22 21:22:32,7,12,0,8,1
Mar-22 21:22:33,7,12,0,8,1
Mar-22 21:22:34,7,12,0,8,1
Mar-22 21:22:35,7,12,0,7,1
Mar-22 21:22:36,7,12,0,7,1
Mar-22 21:22:37,7,12,0,7,1
Mar-22 21:22:38,7,12,0,7,1
Mar-22 21:22:39,7,12,0,6,1
Mar-22 21:22:40,7,12,1,7,1
Mar-22 21:22:41,7,12,1,7,1
Mar-22 21:22:42,7,12,1,7,1
Mar-22 21:22:43,7,12,1,7,1
Mar-22 21:22:44,7,12,1,7,1
Mar-22 21:22:45,7,12,1,7,1
Mar-22 21:22:46,7,12,1,7,1
Mar-22 21:22:47,7,12,1,6,1
Mar-22 21:22:48,7,12,1,6,1
Mar-22 21:22:49,7,12,1,6,1
Mar-22 21:22:50,7,12,1,6,1
Mar-22 21:22:51,7,12,1,7,1
Mar-22 21:22:52,7,12,1,7,1
Mar-22 21:22:53,7,12,1,7,1
Mar-22 21:22:54,7,12,1,7,1
Mar-22 21:22:55,7,12,1,7,1
Mar-22 21:22:56,7,12,1,7,1
Mar-22 21:22:57,7,12,1,6,1
Mar-22 21:22:58,7,12,1,6,1
Mar-22 21:22:59,7,12,1,6,1
Mar-22 21:23:00,7,12,0,6,1
Mar-22 21:23:01,7,12,0,6,1
Mar-22 21:23:02,7,12,0,7,1
Mar-22 21:23:03,7,12,0,7,1
Mar-22 21:23:04,7,12,0,7,1
Mar-22 21:23:05,7,12,0,7,1
Mar-22 21:23:06,7,12,0,7,1
Mar-22 21:23:07,7,12,0,7,1
Mar-22 21:23:08,7,12,0,7,1
Mar-22 21:23:09,7,12,0,6,1
Mar-22 21:23:10,7,12,0,6,1
Mar-22 21:23:11,7,12,0,6,1
Mar-22 21:23:12,7,12,0,6,1
Mar-22 21:23:13,7,12,1,7,1
Mar-22 21:23:14,7,13,0,7,1
Mar-22 21:23:15,7,13,0,7,1
Mar-22 21:23:16,7,13,0,7,1
Mar-22 21:23:17,7,13,0,7,1
Mar-22 21:23:18,7,13,0,7,1
Mar-22 21:23:19,7,13,0,7,1
Mar-22 21:23:20,7,13,0,6,1
Mar-22 21:23:21,7,13,0,6,1
Mar-22 21:23:22,7,13,0,6,1
Mar-22 21:23:23,7,13,0,6,1
Mar-22 21:23:24,7,13,0,7,1
Mar-22 21:23:25,7,12,0,8,1
Mar-22 21:23:26,7,12,0,8,1
Mar-22 21:23:27,7,12,0,8,1
Mar-22 21:23:28,7,12,0,8,1
Mar-22 21:23:29,7,10,0,8,2
Mar-22 21:23:30,7,10,0,7,2
Mar-22 21:23:31,7,10,0,8,2
Mar-22 21:23:32,7,10,0,7,2
Mar-22 21:23:33,7,10,0,7,2
Mar-22 21:23:34,7,10,0,7,2
Mar-22 21:23:35,7,10,0,8,2
Mar-22 21:23:36,7,10,0,8,2
Mar-22 21:23:37,7,10,0,8,2
Mar-22 21:23:38,7,10,0,8,2
Mar-22 21:23:39,7,10,0,8,2
Mar-22 21:23:40,7,10,0,8,2
Mar-22 21:23:41,7,10,0,8,2
Mar-22 21:23:42,7,10,0,7,2
Mar-22 21:23:43,7,10,0,7,2
Mar-22 21:23:44,7,10,0,7,2
Mar-22 21:23:45,7,9,1,7,3
