"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/udp.csv --time --udp 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","udp",
"time","lis","act"
Mar-22 21:22:03,17,6
Mar-22 21:22:04,17,6
Mar-22 21:22:05,17,6
Mar-22 21:22:06,17,6
Mar-22 21:22:07,17,6
Mar-22 21:22:08,17,6
Mar-22 21:22:09,17,6
Mar-22 21:22:10,17,6
Mar-22 21:22:11,17,6
Mar-22 21:22:12,17,6
Mar-22 21:22:13,17,6
Mar-22 21:22:14,17,6
Mar-22 21:22:15,20,6
Mar-22 21:22:16,20,6
Mar-22 21:22:17,20,6
Mar-22 21:22:18,20,6
Mar-22 21:22:19,20,6
Mar-22 21:22:20,17,6
Mar-22 21:22:21,17,6
Mar-22 21:22:22,17,6
Mar-22 21:22:23,17,6
Mar-22 21:22:24,17,6
Mar-22 21:22:25,17,6
Mar-22 21:22:26,17,6
Mar-22 21:22:27,17,6
Mar-22 21:22:28,17,6
Mar-22 21:22:29,17,6
Mar-22 21:22:30,17,6
Mar-22 21:22:31,17,6
Mar-22 21:22:32,17,6
Mar-22 21:22:33,17,6
Mar-22 21:22:34,17,6
Mar-22 21:22:35,17,6
Mar-22 21:22:36,17,6
Mar-22 21:22:37,17,6
Mar-22 21:22:38,17,6
Mar-22 21:22:39,17,6
Mar-22 21:22:40,17,6
Mar-22 21:22:41,17,6
Mar-22 21:22:42,17,6
Mar-22 21:22:43,17,6
Mar-22 21:22:44,17,6
Mar-22 21:22:45,17,6
Mar-22 21:22:46,17,6
Mar-22 21:22:47,17,6
Mar-22 21:22:48,17,6
Mar-22 21:22:49,17,6
Mar-22 21:22:50,17,6
Mar-22 21:22:51,17,6
Mar-22 21:22:52,17,6
Mar-22 21:22:53,17,6
Mar-22 21:22:54,17,6
Mar-22 21:22:55,17,6
Mar-22 21:22:56,17,6
Mar-22 21:22:57,17,6
Mar-22 21:22:58,17,6
Mar-22 21:22:59,17,6
Mar-22 21:23:00,17,6
Mar-22 21:23:01,17,6
Mar-22 21:23:02,17,6
Mar-22 21:23:03,17,6
Mar-22 21:23:04,17,6
Mar-22 21:23:05,17,6
Mar-22 21:23:06,17,6
Mar-22 21:23:07,17,6
Mar-22 21:23:08,17,6
Mar-22 21:23:09,17,6
Mar-22 21:23:10,17,6
Mar-22 21:23:11,17,6
Mar-22 21:23:12,17,6
Mar-22 21:23:13,17,6
Mar-22 21:23:14,17,6
Mar-22 21:23:15,17,6
Mar-22 21:23:16,17,6
Mar-22 21:23:17,17,6
Mar-22 21:23:18,17,6
Mar-22 21:23:19,17,6
Mar-22 21:23:20,17,6
Mar-22 21:23:21,17,6
Mar-22 21:23:22,17,6
Mar-22 21:23:23,17,6
Mar-22 21:23:24,17,6
Mar-22 21:23:25,17,6
Mar-22 21:23:26,17,6
Mar-22 21:23:27,17,6
Mar-22 21:23:28,17,6
Mar-22 21:23:29,17,6
Mar-22 21:23:30,17,6
Mar-22 21:23:31,17,6
Mar-22 21:23:32,17,6
Mar-22 21:23:33,17,6
Mar-22 21:23:34,17,6
Mar-22 21:23:35,17,6
Mar-22 21:23:36,17,6
Mar-22 21:23:37,17,6
Mar-22 21:23:38,17,6
Mar-22 21:23:39,17,6
Mar-22 21:23:40,17,6
Mar-22 21:23:41,17,6
Mar-22 21:23:42,17,6
Mar-22 21:23:43,17,6
Mar-22 21:23:44,17,6
Mar-22 21:23:45,17,6
Mar-22 21:23:46,17,6
Mar-22 21:23:47,17,6
Mar-22 21:23:48,17,6
Mar-22 21:23:49,17,6
Mar-22 21:23:50,17,6
Mar-22 21:23:51,17,6
Mar-22 21:23:52,17,6
Mar-22 21:23:53,17,6
Mar-22 21:23:54,17,6
Mar-22 21:23:55,17,6
Mar-22 21:23:56,17,6
Mar-22 21:23:57,17,6
Mar-22 21:23:58,17,6
Mar-22 21:23:59,17,6
Mar-22 21:24:00,17,6
Mar-22 21:24:01,17,6
Mar-22 21:24:02,17,6
Mar-22 21:24:03,17,6
Mar-22 21:24:04,17,6
Mar-22 21:24:05,17,6
Mar-22 21:24:06,17,6
Mar-22 21:24:07,17,6
Mar-22 21:24:08,17,6
Mar-22 21:24:09,17,6
Mar-22 21:24:10,17,6
Mar-22 21:24:11,17,6
Mar-22 21:24:12,17,6
Mar-22 21:24:13,17,6
Mar-22 21:24:14,17,6
Mar-22 21:24:15,20,6
Mar-22 21:24:16,20,6
Mar-22 21:24:17,20,6
Mar-22 21:24:18,20,6
Mar-22 21:24:19,20,6
Mar-22 21:24:20,17,6
Mar-22 21:24:21,17,6
Mar-22 21:24:22,17,6
Mar-22 21:24:23,17,6
Mar-22 21:24:24,17,6
Mar-22 21:24:25,17,6
Mar-22 21:24:26,17,6
Mar-22 21:24:27,17,6
Mar-22 21:24:28,17,6
Mar-22 21:24:29,17,9
Mar-22 21:24:30,17,6
Mar-22 21:24:31,17,6
Mar-22 21:24:32,17,6
Mar-22 21:24:33,17,6
Mar-22 21:24:34,17,6
Mar-22 21:24:35,17,6
Mar-22 21:24:36,17,6
Mar-22 21:24:37,17,6
Mar-22 21:24:38,17,6
Mar-22 21:24:39,17,6
Mar-22 21:24:40,17,6
Mar-22 21:24:41,17,6
Mar-22 21:24:42,17,6
Mar-22 21:24:43,17,6
Mar-22 21:24:44,17,6
Mar-22 21:24:45,17,6
Mar-22 21:24:46,17,6
Mar-22 21:24:47,17,6
Mar-22 21:24:48,17,6
Mar-22 21:24:49,17,6
Mar-22 21:24:50,17,6
Mar-22 21:24:51,17,6
Mar-22 21:24:52,17,6
Mar-22 21:24:53,17,6
Mar-22 21:24:54,17,6
Mar-22 21:24:55,17,6
Mar-22 21:24:56,17,6
Mar-22 21:24:57,17,6
Mar-22 21:24:58,17,6
Mar-22 21:24:59,17,6
Mar-22 21:25:00,17,6
Mar-22 21:25:01,17,6
Mar-22 21:25:02,17,6
Mar-22 21:25:03,17,6
