"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/udp_io_page.csv --udp --io --page 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"udp",,"io/total",,"paging",
"lis","act","read","writ","in","out"
17,6,5.339,35.602,0.477,15.003
17,6,0,0,0,0
17,6,0,0,0,0
17,6,194,4,0,0
17,6,188,4,0,0
17,6,0,0,0,0
17,6,0,44,0,0
20,6,0,0,0,0
20,6,0,0,0,0
20,6,0,0,0,0
20,6,0,0,0,0
20,6,0,24,0,0
17,6,0,0,0,0
17,6,0,1424,0,0
17,6,0,290,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,44,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,36,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,28,0,0
17,6,0,42,0,0
17,6,0,532,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,40,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,36,0,0
17,6,0,390,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,20,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,250,0,0
17,6,0,46,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,26,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,1512,0,0
17,6,0,0,0,0
17,6,0,44,0,0
17,6,0,36,0,0
17,6,0,14,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,24,0,0
17,6,0,10,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,26,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,42,0,0
17,6,0,0,0,0
17,6,0,510,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,8,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,20,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,2,1986,0,0
17,6,0,30,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,22,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,42,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,40,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,570,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,18,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
20,6,0,38,0,0
20,6,0,358,0,0
20,6,0,0,0,0
20,6,0,0,0,0
20,6,0,0,0,0
17,6,0,40,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,22,0,0
17,6,0,0,0,0
17,6,0,330,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,40,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,66,0,0
17,6,0,2112,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,44,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,12,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,36,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,450,0,0
17,6,0,18,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,16,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,326,0,0
17,6,0,0,0,0
17,6,0,22,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,24,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,32,0,0
17,6,2,2424,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,16,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,18,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,24,0,0
17,6,0,416,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,12,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,42,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,410,0,0
17,6,0,16,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,8,0,54,0,0
17,8,0,0,0,0
17,8,0,62,0,0
17,8,0,0,0,0
17,8,0,0,0,0
17,8,0,0,0,0
17,8,0,0,0,0
17,8,0,46,0,0
17,8,0,0,0,0
17,8,0,0,0,0
17,8,0,42,0,0
17,8,0,0,0,0
17,8,0,0,0,0
17,8,0,0,0,0
17,8,0,0,0,0
17,9,0,2790,0,0
17,11,0,150,0,0
17,11,0,116,0,0
17,11,0,0,0,0
20,11,0,146,0,0
20,11,0,2,0,0
20,11,0,0,0,0
20,11,0,0,0,0
20,14,0,0,0,0
17,11,0,32,0,0
17,11,0,0,0,0
17,11,0,0,0,0
17,11,0,0,0,0
17,11,0,0,0,0
17,11,0,36,0,0
17,11,0,60,0,0
17,11,0,0,0,0
17,10,0,0,0,0
17,10,0,82,0,0
17,10,0,0,0,0
17,10,0,754,0,0
17,10,0,0,0,0
17,10,0,0,0,0
17,10,0,0,0,0
17,10,0,26,0,0
17,10,0,0,0,0
17,10,0,0,0,0
17,10,0,0,0,0
17,10,0,0,0,0
17,9,0,28,0,0
17,8,0,24,0,0
17,8,0,0,0,0
17,8,0,0,0,0
17,7,0,0,0,0
17,7,0,18,0,0
17,7,0,0,0,0
17,7,0,0,0,0
17,7,0,0,0,0
17,7,0,0,0,0
17,6,0,0,0,0
17,6,0,20,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,20,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,32,0,0
17,6,0,0,0,0
17,6,0,1646,0,0
17,6,0,0,0,0
17,6,0,66,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,28,0,0
17,6,0,0,0,0
17,6,0,0,0,0
17,6,0,0,0,0
