"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/udp_proc_unix_disk.csv --udp --proc --unix --disk 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"udp",,"procs",,,"unix sockets",,,,"dsk/total",
"lis","act","run","blk","new","dgm","str","lis","act","read","writ"
25,14,22,0,13.822,56,975,55,920,120636.766,1055497.544
25,14,1,0,8,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,0
25,17,1,0,0,56,975,55,920,0,745472
25,14,3,1,0,56,975,55,920,0,3809280
25,14,1,0,8,56,975,55,920,0,4194304
25,14,1,0,8,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,0
25,14,1,0,1,56,975,55,920,0,1859584
25,14,1,0,0,56,975,55,920,0,0
25,14,1,0,8,56,975,55,920,0,18096128
25,14,2,0,8,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,1892352
25,13,1,0,0,56,975,55,920,0,0
25,13,1,0,8,56,975,55,920,0,1024000
25,13,2,0,8,56,975,55,920,0,0
25,13,8,0,0,56,975,55,920,0,0
25,13,0,0,0,56,975,55,920,0,2613248
25,13,1,0,0,56,975,55,920,0,0
25,13,0,0,9,56,975,55,920,0,8003584
25,13,3,0,8,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,991232
25,13,2,0,0,56,975,55,920,0,671744
25,13,5,0,5,56,975,55,920,0,8699904
25,13,2,0,12,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,860160
25,13,2,0,0,56,975,55,920,0,0
25,13,3,0,0,56,975,55,920,0,0
25,13,3,0,0,56,975,55,920,0,4407296
25,13,2,0,16,56,975,55,920,0,0
25,13,2,0,1,56,975,55,920,0,753664
25,13,1,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,8110080
25,13,2,0,16,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,540672
25,13,3,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,7921664
25,14,4,0,17,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,1449984
25,14,2,0,1,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,4947968
25,14,5,0,16,56,975,55,920,0,1720320
25,14,1,0,0,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,65536
25,14,0,0,16,56,975,55,920,0,16056320
25,14,0,0,0,56,975,55,920,0,548864
25,14,1,0,0,56,975,55,920,0,0
25,14,1,0,8,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,0
25,14,1,0,16,56,975,55,920,0,11698176
25,14,0,0,1,56,975,55,920,32768,0
25,14,2,0,0,56,975,55,920,0,0
25,14,0,0,0,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,4,0,12,56,975,55,920,0,6053888
25,14,1,0,4,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,409600
25,14,1,0,8,56,975,55,920,0,12181504
25,14,1,0,8,56,975,55,920,0,0
25,14,4,0,0,56,975,55,920,0,0
25,14,3,0,1,56,975,55,920,8192,0
25,13,1,0,0,56,975,55,920,0,811008
25,13,2,0,8,56,975,55,920,0,4235264
25,13,2,0,8,56,975,55,920,0,0
25,13,1,0,1,56,975,55,920,0,0
25,13,3,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,2,0,8,56,975,55,920,0,5406720
25,13,1,0,8,56,975,55,920,0,0
25,13,0,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,1,0,9,56,975,55,920,0,8642560
25,13,2,0,8,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,2269184
25,13,1,0,0,56,975,55,920,0,0
25,13,0,0,8,56,975,55,920,0,13287424
25,13,2,0,8,56,975,55,920,0,0
25,13,0,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,1368064
25,13,4,0,0,56,975,55,920,0,0
25,13,4,0,8,56,975,55,920,0,0
25,13,5,0,8,56,975,55,920,0,9117696
25,13,3,0,1,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,2834432
25,13,1,0,8,56,975,55,920,0,368640
25,13,1,0,8,56,975,55,920,0,5185536
25,13,1,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,8,56,975,55,920,0,696320
25,13,1,0,8,56,975,55,920,1026048,11902976
25,13,2,0,0,56,975,55,920,2052096,49152
25,13,1,0,0,56,975,55,920,1710080,851968
25,13,1,0,0,56,975,55,920,1710080,40960
25,13,2,0,9,56,975,55,920,4108288,98304
25,13,1,0,8,56,975,55,920,1705984,3284992
25,13,0,0,0,56,975,55,920,684032,16384
25,13,0,0,0,56,975,55,920,1589248,991232
25,13,1,0,0,56,975,55,920,1423360,32768
25,13,0,0,8,56,975,55,920,749568,24576
28,13,1,0,9,56,975,55,920,602112,4947968
28,13,1,0,0,56,975,55,920,3844096,98304
28,13,1,0,8,56,975,55,920,1710080,712704
28,13,1,0,0,56,975,55,920,2052096,49152
28,13,0,0,10,56,975,55,920,342016,8192
25,13,3,0,8,56,975,55,920,0,8052736
25,13,0,0,2,56,975,55,920,8192,0
25,13,1,0,0,56,975,55,920,0,1024000
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,4,56,975,55,920,0,1818624
25,13,1,0,12,56,975,55,920,0,18382848
25,13,2,0,2,56,975,55,920,1029120,32768
25,13,1,0,0,56,975,55,920,342016,1736704
25,13,0,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,1,0,16,56,975,55,920,0,1597440
25,13,1,0,0,56,975,55,920,0,532480
25,13,2,0,0,56,975,55,920,0,0
25,13,1,0,1,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,6,1,16,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,10977280
25,13,1,0,0,56,975,55,920,0,1122304
25,13,1,0,0,56,975,55,920,0,0
25,13,0,0,0,56,975,55,920,0,0
25,13,3,0,16,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,11698176
25,13,2,0,0,56,975,55,920,0,892928
25,13,1,1,0,56,975,55,920,0,139264
25,13,0,0,0,56,975,55,920,0,270336
25,13,1,0,17,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,835584
25,13,2,0,0,56,975,55,920,0,0
25,13,3,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,696320
25,13,3,0,16,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,8609792
25,13,1,0,0,56,975,55,920,0,0
25,13,4,0,0,56,975,55,920,0,0
25,13,0,0,0,56,975,55,920,0,1228800
25,13,1,0,16,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,8028160
25,13,3,0,0,56,975,55,920,0,0
25,13,1,0,1,56,975,55,920,40960,1056768
25,13,2,0,0,56,975,55,920,0,180224
25,13,3,0,12,56,975,55,920,0,0
25,13,1,0,4,56,975,55,920,0,5537792
25,13,3,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,3,0,0,56,975,55,920,0,1720320
25,13,1,0,8,56,975,55,920,0,0
25,13,3,0,8,56,975,55,920,0,14581760
25,13,1,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,1794048
25,13,1,0,9,56,975,55,920,0,0
25,13,4,0,8,56,975,55,920,0,8151040
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,2301952
25,13,2,0,8,56,975,55,920,0,0
25,13,3,0,8,56,975,55,920,0,9027584
25,13,3,0,11,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,663552
25,13,2,0,8,56,975,55,920,0,0
25,13,2,0,8,56,975,55,920,0,0
25,13,1,0,1,56,975,55,920,139264,8069120
25,13,3,0,0,56,975,55,920,0,0
25,13,0,0,1,56,975,55,920,0,0
25,14,2,0,8,56,975,55,920,0,729088
25,13,3,0,8,56,977,55,922,0,0
25,13,2,0,0,56,977,55,922,0,3203072
25,13,2,0,0,56,977,55,922,0,0
25,13,2,0,0,56,977,55,922,0,819200
25,13,1,0,8,56,977,55,922,0,0
25,13,2,0,8,56,977,55,922,0,0
25,13,0,0,0,56,977,55,922,0,4923392
25,13,1,0,0,56,977,55,922,0,0
25,13,3,0,1,56,977,55,922,0,778240
25,13,2,0,8,56,977,55,922,0,0
25,13,1,0,8,56,977,55,922,0,0
25,13,1,0,0,56,977,55,922,0,8749056
25,13,4,0,0,56,977,55,922,0,0
