"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/udp_time_proc_unix_mem_tcp.csv --udp --time --proc --unix --mem --tcp 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"udp",,"system","procs",,,"unix sockets",,,,"memory usage",,,,"tcp sockets",,,,
"lis","act","time","run","blk","new","dgm","str","lis","act","used","free","cach","avai","lis","act","syn","tim","clo"
25,14,Mar-23 13:42:08,28,0,13.822,56,975,55,920,5248401408,2780291072,7946199040,11167313920,7,22,0,7,3
25,14,Mar-23 13:42:09,1,0,8,56,975,55,920,5294190592,2728775680,7951925248,11120730112,7,22,0,6,3
25,14,Mar-23 13:42:10,2,0,0,56,975,55,920,5297205248,2726060032,7951626240,11118186496,7,22,0,6,3
25,14,Mar-23 13:42:11,1,0,0,56,975,55,920,5296754688,2725998592,7952138240,11114942464,7,22,0,6,3
25,14,Mar-23 13:42:12,1,0,0,56,975,55,920,5300056064,2724282368,7950553088,11113099264,7,22,0,7,3
25,14,Mar-23 13:42:13,4,0,8,56,975,55,920,5301800960,2725769216,7947321344,11112251392,7,22,0,7,3
25,14,Mar-23 13:42:14,1,0,8,56,975,55,920,5275607040,2757234688,7942045696,11157401600,7,22,0,7,3
25,14,Mar-23 13:42:15,1,0,0,56,975,55,920,5253738496,2777509888,7943639040,11163566080,7,22,0,7,3
25,14,Mar-23 13:42:16,1,0,1,56,975,55,920,5245702144,2785796096,7943389184,11164389376,7,22,0,7,3
25,14,Mar-23 13:42:17,1,0,0,56,975,55,920,5236523008,2793783296,7944581120,11180290048,7,22,0,7,3
25,14,Mar-23 13:42:18,1,0,8,56,975,55,920,5240922112,2788720640,7945228288,11175260160,7,22,0,7,3
25,14,Mar-23 13:42:19,1,0,8,56,975,55,920,5241372672,2790674432,7942823936,11174875136,7,22,0,6,3
25,14,Mar-23 13:42:20,1,0,0,56,975,55,920,5231169536,2801401856,7942299648,11173806080,7,22,0,6,3
25,14,Mar-23 13:42:21,2,0,0,56,975,55,920,5237612544,2794958848,7942299648,11167375360,7,22,0,6,3
25,14,Mar-23 13:42:22,2,0,0,56,975,55,920,5229555712,2801537024,7943778304,11169431552,7,22,0,7,3
25,13,Mar-23 13:42:23,3,0,8,56,975,55,920,5228994560,2800824320,7945052160,11169931264,7,22,0,7,3
25,13,Mar-23 13:42:24,1,0,8,56,975,55,920,5360795648,2662985728,7951089664,11033317376,7,22,0,7,3
25,13,Mar-23 13:42:25,2,0,0,56,975,55,920,5363769344,2661031936,7950069760,11031191552,7,22,0,7,3
25,13,Mar-23 13:42:26,1,0,0,56,975,55,920,5365985280,2660466688,7948423168,11027177472,7,22,0,7,3
25,13,Mar-23 13:42:27,2,0,0,56,975,55,920,5366493184,2660245504,7948136448,11025416192,7,22,0,7,3
25,13,Mar-23 13:42:28,2,0,5,56,975,55,920,5368745984,2658512896,7947616256,11023691776,7,22,0,7,3
25,13,Mar-23 13:42:29,1,0,12,56,975,55,920,5370044416,2656075776,7948754944,11032408064,7,22,0,6,3
25,13,Mar-23 13:42:30,1,0,0,56,975,55,920,5371019264,2653151232,7950704640,11030835200,7,22,0,6,3
25,13,Mar-23 13:42:31,1,0,0,56,975,55,920,5371404288,2653319168,7950151680,11031072768,7,22,0,6,3
25,13,Mar-23 13:42:32,1,0,0,56,975,55,920,5380317184,2643984384,7950573568,11022675968,7,22,0,6,3
25,13,Mar-23 13:42:33,2,0,1,56,975,55,920,5381267456,2642735104,7950872576,11021164544,7,22,0,7,3
25,13,Mar-23 13:42:34,2,0,16,56,975,55,920,5361377280,2664747008,7948750848,11023495168,7,22,0,7,3
25,13,Mar-23 13:42:35,1,0,0,56,975,55,920,5362360320,2664513536,7948001280,11022897152,7,22,0,7,3
25,13,Mar-23 13:42:36,1,0,0,56,975,55,920,5364658176,2661142528,7949074432,11064000512,7,22,0,7,3
25,13,Mar-23 13:42:37,1,0,0,56,975,55,920,5361934336,2661974016,7950966784,11066105856,7,22,0,7,3
25,13,Mar-23 13:42:38,1,0,0,56,975,55,920,5364355072,2659553280,7950966784,11063709696,7,22,0,7,3
25,13,Mar-23 13:42:39,1,0,16,56,975,55,920,5371490304,2652450816,7950934016,11078139904,7,22,0,7,3
25,13,Mar-23 13:42:40,2,0,1,56,975,55,920,5373255680,2653151232,7948468224,11100160000,7,22,0,6,3
25,13,Mar-23 13:42:41,1,0,0,56,975,55,920,5372497920,2653900800,7948484608,11100835840,7,22,0,6,3
25,13,Mar-23 13:42:42,1,0,0,56,975,55,920,5372702720,2653237248,7948943360,11100168192,7,22,0,6,3
