"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/unix.csv --time --unix 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","unix sockets",,,
"time","dgm","str","lis","act"
Mar-22 21:22:03,56,868,54,814
Mar-22 21:22:04,56,868,54,814
Mar-22 21:22:05,56,868,54,814
Mar-22 21:22:06,56,868,54,814
Mar-22 21:22:07,56,868,54,814
Mar-22 21:22:08,56,868,54,814
Mar-22 21:22:09,56,868,54,814
Mar-22 21:22:10,56,868,54,814
Mar-22 21:22:11,56,868,54,814
Mar-22 21:22:12,56,868,54,814
Mar-22 21:22:13,56,868,54,814
Mar-22 21:22:14,56,868,54,814
Mar-22 21:22:15,56,868,54,814
Mar-22 21:22:16,56,868,54,814
Mar-22 21:22:17,56,868,54,814
Mar-22 21:22:18,56,868,54,814
Mar-22 21:22:19,56,868,54,814
Mar-22 21:22:20,56,868,54,814
Mar-22 21:22:21,56,868,54,814
Mar-22 21:22:22,56,868,54,814
Mar-22 21:22:23,56,868,54,814
Mar-22 21:22:24,56,868,54,814
Mar-22 21:22:25,56,868,54,814
Mar-22 21:22:26,56,868,54,814
Mar-22 21:22:27,56,868,54,814
Mar-22 21:22:28,56,868,54,814
Mar-22 21:22:29,56,868,54,814
Mar-22 21:22:30,56,868,54,814
Mar-22 21:22:31,56,868,54,814
Mar-22 21:22:32,56,868,54,814
Mar-22 21:22:33,56,868,54,814
Mar-22 21:22:34,56,868,54,814
Mar-22 21:22:35,56,868,54,814
Mar-22 21:22:36,56,868,54,814
Mar-22 21:22:37,56,868,54,814
Mar-22 21:22:38,56,868,54,814
Mar-22 21:22:39,56,868,54,814
Mar-22 21:22:40,56,870,54,816
Mar-22 21:22:41,56,870,54,816
Mar-22 21:22:42,56,870,54,816
Mar-22 21:22:43,56,870,54,816
Mar-22 21:22:44,56,870,54,816
Mar-22 21:22:45,56,870,54,816
Mar-22 21:22:46,56,870,54,816
Mar-22 21:22:47,56,870,54,816
Mar-22 21:22:48,56,870,54,816
Mar-22 21:22:49,56,870,54,816
Mar-22 21:22:50,56,870,54,816
Mar-22 21:22:51,56,870,54,816
Mar-22 21:22:52,56,870,54,816
Mar-22 21:22:53,56,870,54,816
Mar-22 21:22:54,56,870,54,816
Mar-22 21:22:55,56,870,54,816
Mar-22 21:22:56,56,870,54,816
Mar-22 21:22:57,56,870,54,816
Mar-22 21:22:58,56,870,54,816
Mar-22 21:22:59,56,870,54,816
Mar-22 21:23:00,56,868,54,814
Mar-22 21:23:01,56,868,54,814
Mar-22 21:23:02,56,868,54,814
Mar-22 21:23:03,56,868,54,814
Mar-22 21:23:04,56,868,54,814
Mar-22 21:23:05,56,868,54,814
Mar-22 21:23:06,56,868,54,814
Mar-22 21:23:07,56,868,54,814
Mar-22 21:23:08,56,868,54,814
Mar-22 21:23:09,56,868,54,814
Mar-22 21:23:10,56,868,54,814
Mar-22 21:23:11,56,868,54,814
Mar-22 21:23:12,56,868,54,814
Mar-22 21:23:13,56,870,54,816
Mar-22 21:23:14,56,870,54,816
Mar-22 21:23:15,56,870,54,816
Mar-22 21:23:16,56,870,54,816
Mar-22 21:23:17,56,870,54,816
Mar-22 21:23:18,56,870,54,816
Mar-22 21:23:19,56,870,54,816
Mar-22 21:23:20,56,870,54,816
Mar-22 21:23:21,56,870,54,816
Mar-22 21:23:22,56,870,54,816
Mar-22 21:23:23,56,870,54,816
Mar-22 21:23:24,56,870,54,816
Mar-22 21:23:25,56,868,54,814
Mar-22 21:23:26,56,868,54,814
Mar-22 21:23:27,56,868,54,814
Mar-22 21:23:28,56,868,54,814
Mar-22 21:23:29,56,868,54,814
Mar-22 21:23:30,56,868,54,814
Mar-22 21:23:31,56,868,54,814
Mar-22 21:23:32,56,868,54,814
Mar-22 21:23:33,56,868,54,814
Mar-22 21:23:34,56,868,54,814
Mar-22 21:23:35,56,868,54,814
Mar-22 21:23:36,56,868,54,814
Mar-22 21:23:37,56,868,54,814
Mar-22 21:23:38,56,868,54,814
Mar-22 21:23:39,56,868,54,814
Mar-22 21:23:40,56,868,54,814
Mar-22 21:23:41,56,868,54,814
Mar-22 21:23:42,56,868,54,814
Mar-22 21:23:43,56,868,54,814
Mar-22 21:23:44,56,868,54,814
Mar-22 21:23:45,56,868,54,814
Mar-22 21:23:46,56,868,54,814
Mar-22 21:23:47,56,868,54,814
Mar-22 21:23:48,56,868,54,814
Mar-22 21:23:49,56,868,54,814
Mar-22 21:23:50,56,868,54,814
Mar-22 21:23:51,56,868,54,814
Mar-22 21:23:52,56,868,54,814
Mar-22 21:23:53,56,868,54,814
Mar-22 21:23:54,56,868,54,814
Mar-22 21:23:55,56,868,54,814
Mar-22 21:23:56,56,868,54,814
Mar-22 21:23:57,56,868,54,814
Mar-22 21:23:58,56,868,54,814
Mar-22 21:23:59,56,868,54,814
Mar-22 21:24:00,56,868,54,814
Mar-22 21:24:01,56,868,54,814
Mar-22 21:24:02,56,868,54,814
Mar-22 21:24:03,56,868,54,814
Mar-22 21:24:04,56,868,54,814
Mar-22 21:24:05,56,868,54,814
Mar-22 21:24:06,56,868,54,814
Mar-22 21:24:07,56,868,54,814
Mar-22 21:24:08,56,868,54,814
Mar-22 21:24:09,56,868,54,814
Mar-22 21:24:10,56,868,54,814
Mar-22 21:24:11,56,868,54,814
Mar-22 21:24:12,56,868,54,814
Mar-22 21:24:13,56,868,54,814
Mar-22 21:24:14,56,868,54,814
Mar-22 21:24:15,56,868,54,814
Mar-22 21:24:16,56,868,54,814
Mar-22 21:24:17,56,868,54,814
Mar-22 21:24:18,56,868,54,814
Mar-22 21:24:19,56,868,54,814
Mar-22 21:24:20,56,868,54,814
Mar-22 21:24:21,56,868,54,814
Mar-22 21:24:22,56,868,54,814
Mar-22 21:24:23,56,868,54,814
Mar-22 21:24:24,56,868,54,814
Mar-22 21:24:25,56,868,54,814
Mar-22 21:24:26,56,868,54,814
Mar-22 21:24:27,56,868,54,814
Mar-22 21:24:28,56,868,54,814
Mar-22 21:24:29,56,868,54,814
Mar-22 21:24:30,56,868,54,814
Mar-22 21:24:31,56,868,54,814
Mar-22 21:24:32,56,868,54,814
Mar-22 21:24:33,56,868,54,814
Mar-22 21:24:34,56,868,54,814
Mar-22 21:24:35,56,868,54,814
Mar-22 21:24:36,56,868,54,814
Mar-22 21:24:37,56,868,54,814
Mar-22 21:24:38,56,868,54,814
Mar-22 21:24:39,56,868,54,814
Mar-22 21:24:40,56,868,54,814
Mar-22 21:24:41,56,868,54,814
Mar-22 21:24:42,56,868,54,814
Mar-22 21:24:43,56,868,54,814
Mar-22 21:24:44,56,868,54,814
Mar-22 21:24:45,56,868,54,814
Mar-22 21:24:46,56,868,54,814
Mar-22 21:24:47,56,868,54,814
Mar-22 21:24:48,56,868,54,814
Mar-22 21:24:49,56,868,54,814
Mar-22 21:24:50,56,868,54,814
Mar-22 21:24:51,56,868,54,814
Mar-22 21:24:52,56,868,54,814
Mar-22 21:24:53,56,868,54,814
Mar-22 21:24:54,56,868,54,814
Mar-22 21:24:55,56,868,54,814
Mar-22 21:24:56,56,868,54,814
Mar-22 21:24:57,56,868,54,814
Mar-22 21:24:58,56,868,54,814
Mar-22 21:24:59,56,868,54,814
Mar-22 21:25:00,56,868,54,814
Mar-22 21:25:01,56,868,54,814
Mar-22 21:25:02,56,868,54,814
Mar-22 21:25:03,56,868,54,814
Mar-22 21:25:04,56,868,54,814
Mar-22 21:25:05,56,868,54,814
Mar-22 21:25:06,56,868,54,814
Mar-22 21:25:07,56,868,54,814
Mar-22 21:25:08,56,868,54,814
Mar-22 21:25:09,56,868,54,814
Mar-22 21:25:10,56,868,54,814
Mar-22 21:25:11,56,868,54,814
Mar-22 21:25:12,56,868,54,814
Mar-22 21:25:13,56,868,54,814
Mar-22 21:25:14,56,868,54,814
Mar-22 21:25:15,56,868,54,814
Mar-22 21:25:16,56,868,54,814
Mar-22 21:25:17,56,868,54,814
Mar-22 21:25:18,56,868,54,814
Mar-22 21:25:19,56,868,54,814
Mar-22 21:25:20,56,868,54,814
Mar-22 21:25:21,56,868,54,814
Mar-22 21:25:22,56,868,54,814
Mar-22 21:25:23,56,868,54,814
Mar-22 21:25:24,56,868,54,814
Mar-22 21:25:25,56,868,54,814
Mar-22 21:25:26,56,868,54,814
Mar-22 21:25:27,56,868,54,814
Mar-22 21:25:28,56,868,54,814
Mar-22 21:25:29,56,868,54,814
Mar-22 21:25:30,56,868,54,814
Mar-22 21:25:31,56,868,54,814
Mar-22 21:25:32,56,868,54,814
Mar-22 21:25:33,56,868,54,814
Mar-22 21:25:34,56,870,54,816
Mar-22 21:25:35,56,868,54,814
Mar-22 21:25:36,56,868,54,814
Mar-22 21:25:37,56,868,54,814
Mar-22 21:25:38,56,868,54,814
Mar-22 21:25:39,56,868,54,814
Mar-22 21:25:40,56,868,54,814
Mar-22 21:25:41,56,868,54,814
Mar-22 21:25:42,56,868,54,814
Mar-22 21:25:43,56,868,54,814
Mar-22 21:25:44,56,868,54,814
Mar-22 21:25:45,56,868,54,814
Mar-22 21:25:46,56,868,54,814
Mar-22 21:25:47,56,868,54,814
Mar-22 21:25:48,56,868,54,814
Mar-22 21:25:49,56,868,54,814
Mar-22 21:25:50,56,868,54,814
Mar-22 21:25:51,56,868,54,814
