"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/unix_int_io_disk_lock_vm-adv_socket_raw.csv --unix --int --io --disk --lock --vm-adv --socket --raw 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"unix sockets",,,,"interrupts",,,"io/total",,"dsk/total",,"file locks",,,,"advanced virtual memory",,,,,"sockets",,,,,"raw"
"dgm","str","lis","act","138","139","140","read","writ","read","writ","pos","lck","rea","wri","steal","scanK","scanD","pgoru","astll","tot","tcp","udp","raw","frg","raw"
56,975,55,920,0.000,43.279,0.018,5.467,48.227,120636.655,1055496.576,83,12,13,82,37.423,0,0,0.009,0,1204,26,33,0,0,0
56,975,55,920,0,123,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,975,55,920,0,125,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,975,55,920,0,128,0,0,34,0,745472,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,975,55,920,0,140,0,0,86,0,8003584,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,975,55,920,0,148,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,975,55,920,0,127,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,975,55,920,0,118,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,977,55,922,0,127,0,0,40,0,1859584,83,12,13,82,0,0,0,0,0,1206,26,33,0,0,0
56,975,55,920,0,122,0,0,1090,0,18096128,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,975,55,920,0,119,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,975,55,920,0,156,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,975,55,920,0,122,0,0,22,0,1892352,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,975,55,920,0,132,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1204,26,33,0,0,0
56,975,55,920,0,144,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,125,0,0,226,0,1024000,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,118,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,156,0,0,48,0,2613248,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,124,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,115,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,134,0,0,64,0,8003584,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,117,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,124,0,0,30,0,606208,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,166,0,0,52,0,385024,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,122,0,0,28,0,671744,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,144,0,0,214,0,8699904,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,128,0,0,0,0,0,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
56,975,55,920,0,133,0,0,36,0,860160,83,12,13,82,0,0,0,0,0,1203,26,33,0,0,0
