"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/unix_swap_io_raw_page_disk_vm-adv_int.csv --unix --swap --io --raw --page --disk --vm-adv --int 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"unix sockets",,,,"swap",,"io/total",,"raw","paging",,"dsk/total",,"advanced virtual memory",,,,,"interrupts",,
"dgm","str","lis","act","used","free","read","writ","raw","in","out","read","writ","steal","scanK","scanD","pgoru","astll","138","139","140"
56,868,54,814,1835008,1021571072,5.340,35.602,0,0.477,15.003,145421.546,772264.705,11.224,0,0,0.004,0,0.000,43.578,0.023
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,20,0,0,0,0,110592,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,362,8,0,0,0,1260544,32768,0,0,0,0,0,0,31,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
56,868,54,814,1835008,1021571072,0,44,0,0,0,0,2572288,0,0,0,0,0,0,20,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
56,868,54,814,1835008,1021571072,0,24,0,0,0,0,139264,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,1714,0,0,0,0,17063936,0,0,0,0,0,0,13,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
