"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/unix_vm-adv_raw_fs_mem_load_lock_page_int_disk_time_io.csv --unix --vm-adv --raw --fs --mem --load --lock --page --int --disk --time --io 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"unix sockets",,,,"advanced virtual memory",,,,,"raw","filesystem",,"memory usage",,,,"load avg",,,"file locks",,,,"paging",,"interrupts",,,"dsk/total",,"system","io/total",
"dgm","str","lis","act","steal","scanK","scanD","pgoru","astll","raw","files","inodes","used","free","cach","avai","1m","5m","15m","pos","lck","rea","wri","in","out","138","139","140","read","writ","time","read","writ"
56,868,54,814,11.224,0,0,0.004,0,0,13024,348205,3150028800,2204258304,10532171776,12842823680,1.200,2.950,4,56,12,10,58,0.477,15.003,0.000,43.578,0.023,145421.361,772263.724,Mar-22 21:32:08,5.339,35.602
56,870,54,816,0,0,0,0,0,0,13088,348259,3153154048,2200834048,10532470784,12839432192,1.180,2.920,3.980,56,12,10,58,0,0,0,20,0,0,0,Mar-22 21:32:09,0,0
56,868,54,814,0,0,0,0,0,0,13088,348591,3154071552,2190790656,10541596672,12829396992,1.180,2.920,3.980,56,12,10,58,0,0,0,16,0,0,0,Mar-22 21:32:10,0,0
56,868,54,814,0,0,0,0,0,0,13088,348590,3154792448,2190057472,10541608960,12828491776,1.180,2.920,3.980,56,12,10,58,0,0,0,21,0,687104,16384,Mar-22 21:32:11,194,4
56,868,54,814,0,0,0,0,0,0,13120,348584,3156070400,2189037568,10541350912,12827480064,1.180,2.920,3.980,56,12,10,58,0,0,0,28,0,684032,16384,Mar-22 21:32:12,188,4
56,868,54,814,0,0,0,0,0,0,13120,349802,3352264704,1985974272,10548219904,12630581248,1.180,2.920,3.980,56,12,10,58,0,0,0,65,0,0,0,Mar-22 21:32:13,0,0
56,868,54,814,0,0,0,0,0,0,13120,349788,3351191552,1987284992,10547982336,12631900160,1.170,2.890,3.970,56,12,10,58,0,0,0,20,0,0,2572288,Mar-22 21:32:14,0,44
56,868,54,814,0,0,0,0,0,0,13120,349791,3353993216,1985003520,10547462144,12629630976,1.170,2.890,3.970,56,12,10,58,0,0,0,25,0,0,0,Mar-22 21:32:15,0,0
56,868,54,814,0,0,0,0,0,0,13120,349792,3354718208,1984012288,10547728384,12628643840,1.170,2.890,3.970,56,12,10,58,0,0,0,100,0,0,0,Mar-22 21:32:16,0,0
