"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/unix_zones_fs_vm_tcp_lock_ipc.csv --unix --zones --fs --vm --tcp --lock --ipc 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"unix sockets",,,,"zones memory",,,,"filesystem",,"virtual memory",,,,"tcp sockets",,,,,"file locks",,,,"sysv ipc",,
"dgm","str","lis","act","d32F","d32H","normF","normH","files","inodes","majpf","minpf","alloc","free","lis","act","syn","tim","clo","pos","lck","rea","wri","msg","sem","shm"
56,975,55,920,159503,3141,506189,22688,13984,182321,0.235,4925.426,5437.591,5507.918,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,502986,22688,14528,182889,0,12952,17897,12862,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,502711,22688,14560,182889,0,223,894,865,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,502696,22688,14528,182878,0,907,1556,2004,7,21,1,6,4,83,12,13,82,0,0,5
56,975,55,920,159503,3141,502662,22688,14336,182579,0,220,1701,2725,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,502528,22688,14144,182382,0,1650,2127,2661,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,510259,22688,14080,181274,0,1522,2319,9210,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,515272,22688,14080,181297,0,685,1721,7490,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,517245,22688,14080,181255,0,989,1855,3533,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,519245,22688,14080,181311,0,1779,3322,3808,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,518349,22688,14080,181283,0,1564,4569,4966,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,518368,22688,14080,181283,0,1581,2126,2484,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,521118,22688,14048,181282,0,257,819,3814,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,519532,22688,14048,181283,0,1337,2967,2323,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,521138,22688,14080,181307,0,3223,4419,4548,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,520852,22688,14112,181310,0,1835,2828,2835,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,487190,22688,14016,182381,0,43200,66106,26796,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,486835,22688,14048,182380,0,526,928,1496,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,486697,22688,14048,182353,0,755,1701,2204,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,486643,22688,14016,182352,0,244,727,1249,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,485844,22688,14048,182351,1,1930,3173,3290,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,485384,22688,14080,182376,0,2583,3679,3395,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,484911,22688,14080,182381,0,224,1050,765,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,484952,22688,14048,182381,0,287,972,1100,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,482481,22688,14080,182391,0,6375,8103,4877,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,482368,22688,14016,182393,0,2166,3900,3773,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,487600,22688,14048,182365,0,2436,3095,8123,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,487482,22688,14016,182364,0,1273,2375,2717,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,487710,22688,14048,182387,0,1709,3217,2363,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,486943,22688,14016,182393,0,380,1201,839,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,486349,22688,14048,182395,0,1249,2282,2070,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159503,3141,484740,22688,14048,182402,0,3294,5050,4249,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159748,3141,484911,22688,14048,182376,0,481,968,1552,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,484592,22688,14048,182376,0,341,833,727,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,484423,22688,14048,182377,0,237,988,716,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,494350,22688,14080,182399,0,1180,3151,12924,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,494017,22688,14080,182403,0,2929,4465,4301,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,493849,22688,14048,182403,0,519,1104,1324,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,493670,22688,14048,182403,0,370,844,1033,7,22,0,7,3,83,12,13,82,0,0,5
