"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/vm.csv --time --vm 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","virtual memory",,,
"time","majpf","minpf","alloc","free"
Mar-22 21:22:03,0.303,3851.748,4294.914,4341.194
Mar-22 21:22:04,0,505336,386717,385941
Mar-22 21:22:05,0,548495,432032,411390
Mar-22 21:22:06,0,586215,452032,460839
Mar-22 21:22:07,0,553151,422238,426845
Mar-22 21:22:08,0,520838,382584,405339
Mar-22 21:22:09,0,484572,361689,360786
Mar-22 21:22:10,0,259583,252411,234785
Mar-22 21:22:11,0,168270,180125,185846
Mar-22 21:22:12,0,191109,192684,212608
Mar-22 21:22:13,0,170381,153090,192046
Mar-22 21:22:14,0,2007,16328,71973
Mar-22 21:22:15,0,78,241,222
Mar-22 21:22:16,0,1396,1579,1524
Mar-22 21:22:17,0,1102,1125,1099
Mar-22 21:22:18,0,1811,2757,3075
Mar-22 21:22:19,0,58,396,368
Mar-22 21:22:20,0,33,228,511
Mar-22 21:22:21,0,1624,1478,1469
Mar-22 21:22:22,0,146,295,282
Mar-22 21:22:23,0,1313,1544,1501
Mar-22 21:22:24,0,239,1158,1127
Mar-22 21:22:25,0,51113,72619,23535
Mar-22 21:22:26,0,1413,1490,1513
Mar-22 21:22:27,0,39,206,216
Mar-22 21:22:28,0,1380,1908,1972
Mar-22 21:22:29,0,343,1833,1827
Mar-22 21:22:30,0,424,400,438
Mar-22 21:22:31,0,1577,1782,7763
Mar-22 21:22:32,0,502,853,787
Mar-22 21:22:33,0,1608,1503,1490
Mar-22 21:22:34,0,149,908,894
Mar-22 21:22:35,0,103,405,16033
Mar-22 21:22:36,0,1331,1472,1467
Mar-22 21:22:37,0,334,204,197
Mar-22 21:22:38,0,1398,1651,1709
Mar-22 21:22:39,0,35,2173,26955
Mar-22 21:22:40,0,530,1043,856
Mar-22 21:22:41,0,1581,2323,2350
Mar-22 21:22:42,0,632,1209,1213
Mar-22 21:22:43,0,1329,2666,8208
Mar-22 21:22:44,0,40,3183,3184
Mar-22 21:22:45,0,917,1832,1235
Mar-22 21:22:46,0,147,1057,1049
Mar-22 21:22:47,0,1328,2370,13047
Mar-22 21:22:48,0,2416,3466,2328
Mar-22 21:22:49,0,329,1130,1134
Mar-22 21:22:50,0,3280,4873,34782
Mar-22 21:22:51,0,39,1111,2172
Mar-22 21:22:52,0,1570,2613,2473
Mar-22 21:22:53,0,1607,2371,4306
Mar-22 21:22:54,0,428,1231,1257
Mar-22 21:22:55,0,251,1292,1048
Mar-22 21:22:56,0,42,1291,1277
Mar-22 21:22:57,0,1629,2408,2748
Mar-22 21:22:58,0,1418,2486,3737
Mar-22 21:22:59,0,45,2646,2617
Mar-22 21:23:00,0,37,670,678
Mar-22 21:23:01,0,454,403,382
Mar-22 21:23:02,0,2887,2909,3063
Mar-22 21:23:03,0,1458,1654,1495
Mar-22 21:23:04,0,62,369,372
Mar-22 21:23:05,0,331,659,657
Mar-22 21:23:06,0,570,412,414
Mar-22 21:23:07,0,1370,1506,1467
Mar-22 21:23:08,0,538,573,458
Mar-22 21:23:09,0,1102,1122,1249
Mar-22 21:23:10,0,50673,72857,23504
Mar-22 21:23:11,0,39,196,191
Mar-22 21:23:12,0,1340,1482,1472
Mar-22 21:23:13,0,567,1013,823
Mar-22 21:23:14,0,1392,2341,2368
Mar-22 21:23:15,0,37,1168,1174
Mar-22 21:23:16,0,68,1414,1590
Mar-22 21:23:17,0,1635,2339,2319
Mar-22 21:23:18,0,431,1415,1399
Mar-22 21:23:19,0,1775,2495,2478
Mar-22 21:23:20,0,961,4444,14152
Mar-22 21:23:21,0,353,1061,1039
