"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/vm_disk_cpu_sys_raw_int_swap_udp_io_lock_page_socket.csv --vm --disk --cpu --sys --raw --int --swap --udp --io --lock --page --socket 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"virtual memory",,,,"dsk/total",,"total cpu usage",,,,,"system",,"raw","interrupts",,,"swap",,"udp",,"io/total",,"file locks",,,,"paging",,"sockets",,,,
"majpf","minpf","alloc","free","read","writ","usr","sys","idl","wai","stl","int","csw","raw","138","139","140","used","free","lis","act","read","writ","pos","lck","rea","wri","in","out","tot","tcp","udp","raw","frg"
0.301,3884.706,4321.807,4372.407,145421.392,772263.887,4.263,1.469,94.211,0.057,0,1363.789,4997.301,0,0.000,43.578,0.023,1835008,1021571072,17,6,5.339,35.602,56,12,10,58,0.477,15.003,1072,18,19,0,0
0,2914,3287,2465,0,0,4.146,3.141,92.588,0.126,0,1406,6295,0,0,19,0,1835008,1021571072,17,6,0,0,56,12,10,58,0,0,1074,18,19,0,0
0,578,6442,4101,0,0,3.652,2.393,93.955,0,0,1165,3066,0,0,17,0,1835008,1021571072,17,6,0,0,56,12,10,58,0,0,1072,18,19,0,0
0,531,834,899,556032,8192,3.409,1.768,94.571,0.253,0,1233,4523,0,0,20,0,1835008,1021571072,17,6,173,2,56,12,10,58,0,0,1072,18,19,0,0
0,1821,2004,1440,815104,24576,4.899,2.387,92.462,0.251,0,1399,5926,0,0,29,0,1835008,1021571072,17,6,209,6,56,12,10,58,0,0,1073,19,19,0,0
0,52629,75916,24313,0,0,7.519,3.258,89.098,0.125,0,2588,35532,0,0,64,0,1835008,1021571072,17,6,0,0,56,12,10,58,0,0,1073,19,19,0,0
0,1362,2992,2739,0,2572288,4.899,1.759,93.216,0.126,0,1299,3102,0,0,21,0,1835008,1021571072,17,6,0,44,56,12,10,58,0,0,1073,19,19,0,0
0,118,981,1127,0,0,4.654,1.006,94.340,0,0,949,2242,0,0,25,0,1835008,1021571072,20,6,0,0,56,12,10,58,0,0,1076,19,22,0,0
0,135,307,192,0,0,3.008,0.877,95.990,0.125,0,889,1504,0,0,89,0,1835008,1021571072,20,6,0,0,56,12,10,58,0,0,1076,19,22,0,0
0,335,154,162,0,0,2.253,0.876,96.871,0,0,707,1190,0,0,47,0,1835008,1021571072,20,6,0,0,56,12,10,58,0,0,1076,19,22,0,0
0,1840,1864,1944,0,0,2.138,1.132,96.478,0.252,0,958,2397,0,0,15,0,1835008,1021571072,20,6,0,0,56,12,10,58,0,0,1076,19,22,0,0
0,1348,1601,1493,0,139264,2.250,1.250,95.875,0.625,0,847,2413,0,0,36,0,1835008,1021571072,20,6,0,24,56,12,10,58,0,0,1076,19,22,0,0
0,327,616,402,0,0,2.886,1.004,96.110,0,0,702,1191,0,0,15,0,1835008,1021571072,17,6,0,0,56,12,10,58,0,0,1073,19,19,0,0
0,790,1043,1352,0,3923968,2.897,1.008,95.718,0.378,0,936,1834,0,0,19,0,1835008,1021571072,17,6,0,587,56,12,10,58,0,0,1073,19,19,0,0
0,63,2036,1909,0,13139968,1.757,1.129,97.114,0,0,1512,4746,0,0,13,0,1835008,1021571072,17,6,0,1127,56,12,10,58,0,0,1073,19,19,0,0
0,1374,1417,1679,0,0,1.887,1.384,96.604,0.126,0,945,2405,0,0,14,0,1835008,1021571072,17,6,0,0,56,12,10,58,0,0,1073,19,19,0,0
0,1429,1730,1566,0,0,2.146,0.884,96.843,0.126,0,803,2451,0,0,20,0,1835008,1021571072,17,6,0,0,56,12,10,58,0,0,1073,19,19,0,0
0,349,796,665,0,1785856,2.638,0.879,96.357,0.126,0,847,2268,0,0,68,0,1835008,1021571072,17,6,0,44,56,12,10,58,0,0,1074,20,19,0,0
0,62,137,258,0,0,2.503,1.001,96.370,0.125,0,706,1239,0,0,14,0,1835008,1021571072,17,6,0,0,56,12,10,58,0,0,1074,20,19,0,0
