"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/vm_page_aio_unix.csv --vm --page --aio --unix 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"virtual memory",,,,"paging",,"async","unix sockets",,,
"majpf","minpf","alloc","free","in","out","#aio","dgm","str","lis","act"
0.301,3884.685,4321.786,4372.405,0.477,15.003,0,56,868,54,814
0,4936,5110,2690,0,0,0,56,868,54,814
0,467,6415,3917,0,0,0,56,868,54,814
0,583,974,1110,0,0,0,56,868,54,814
0,758,1083,646,0,0,0,56,868,54,814
0,53761,76763,25093,0,0,0,56,868,54,814
0,1351,3106,2726,0,0,0,56,868,54,814
0,133,1022,1163,0,0,0,56,868,54,814
0,132,310,198,0,0,0,56,868,54,814
0,337,151,157,0,0,0,56,868,54,814
0,1838,1604,1939,0,0,0,56,868,54,814
0,1350,1860,1497,0,0,0,56,868,54,814
0,328,621,406,0,0,0,56,868,54,814
0,789,668,969,0,0,0,56,868,54,814
0,60,2406,2288,0,0,0,56,868,54,814
0,1377,1422,1685,0,0,0,56,868,54,814
0,1268,1442,1094,0,0,0,56,868,54,814
0,508,1078,1130,0,0,0,56,868,54,814
0,62,144,265,0,0,0,56,868,54,814
0,108,217,239,0,0,0,56,868,54,814
0,1622,1779,1685,0,0,0,56,868,54,814
0,343,433,296,0,0,0,56,868,54,814
0,1822,1867,1833,0,0,0,56,868,54,814
0,76,308,192,0,0,0,56,868,54,814
0,154,154,338,0,0,0,56,868,54,814
0,1652,1456,1679,0,0,0,56,868,54,814
0,63,560,544,0,0,0,56,868,54,814
0,1399,1832,1970,0,0,0,56,868,54,814
0,265,360,211,0,0,0,56,868,54,814
0,334,748,610,0,0,0,56,868,54,814
0,1845,2249,4001,0,0,0,56,868,54,814
0,79,159,218,0,0,0,56,868,54,814
0,1395,1568,1417,0,0,0,56,870,54,816
0,1086,1769,5857,0,0,0,56,870,54,816
0,561,1426,1153,0,0,0,56,870,54,816
0,1440,2823,4568,0,0,0,56,870,54,816
0,136,985,1109,0,0,0,56,872,54,818
0,1626,2413,2251,0,0,0,56,870,54,816
0,59,942,1190,0,0,0,56,870,54,816
0,67,1351,1235,0,0,0,56,870,54,816
0,1561,3216,3457,0,0,0,56,870,54,816
0,324,1034,1024,0,0,0,56,870,54,816
0,1326,2232,2349,0,0,0,56,870,54,816
0,77,1121,986,0,0,0,56,870,54,816
0,123,933,928,0,0,0,56,870,54,816
0,1665,2611,2623,0,0,0,56,870,54,816
