"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/vm_time_zones_swap_mem_vm-adv.csv --vm --time --zones --swap --mem --vm-adv 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"virtual memory",,,,"system","zones memory",,,,"swap",,"memory usage",,,,"advanced virtual memory",,,,
"majpf","minpf","alloc","free","time","d32F","d32H","normF","normH","used","free","used","free","cach","avai","steal","scanK","scanD","pgoru","astll"
0.301,3884.690,4321.792,4372.405,Mar-22 21:32:08,305914,3141,229615,22176,1835008,1021571072,3147128832,2207158272,10532171776,12845723648,11.224,0,0,0.004,0
0,4404,4718,2639,Mar-22 21:32:09,305914,3141,228071,22176,1835008,1021571072,3153154048,2200834048,10532470784,12839432192,0,0,0,0,0
0,511,6312,4022,Mar-22 21:32:10,305914,3141,225619,22176,1835008,1021571072,3154071552,2190790656,10541596672,12829396992,0,0,0,0,0
0,605,997,988,Mar-22 21:32:11,305914,3141,225440,22176,1835008,1021571072,3154792448,2190057472,10541608960,12828491776,0,0,0,0,0
0,1161,1359,902,Mar-22 21:32:12,305914,3141,225191,22176,1835008,1021571072,3156070400,2189037568,10541350912,12827480064,0,0,0,0,0
0,53291,76555,24842,Mar-22 21:32:13,305914,3141,175867,22176,1835008,1021571072,3352539136,1987006464,10546913280,12631539712,0,0,0,0,0
0,1360,2979,2727,Mar-22 21:32:14,305914,3141,176057,22176,1835008,1021571072,3350691840,1987784704,10547982336,12632399872,0,0,0,0,0
0,123,1011,1155,Mar-22 21:32:15,305914,3141,175378,22176,1835008,1021571072,3353751552,1985003520,10547703808,12629630976,0,0,0,0,0
0,133,312,199,Mar-22 21:32:16,305914,3141,175136,22176,1835008,1021571072,3354718208,1984012288,10547728384,12628643840,0,0,0,0,0
0,337,150,155,Mar-22 21:32:17,305914,3141,175076,22176,1835008,1021571072,3354705920,1983766528,10547986432,12628398080,0,0,0,0,0
0,1838,1871,1951,Mar-22 21:32:18,305914,3141,174635,22176,1835008,1021571072,3357032448,1981960192,10547466240,12626604032,0,0,0,0,0
0,1349,1602,1495,Mar-22 21:32:19,305914,3141,174327,22176,1835008,1021571072,3358027776,1980698624,10547732480,12625342464,0,0,0,0,0
