"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/zones.csv --time --zones 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","zones memory",,,
"time","d32F","d32H","normF","normH"
Mar-22 21:22:03,281041,3141,123070,22176
Mar-22 21:22:04,279144,3141,124046,22176
Mar-22 21:22:05,263106,3141,122096,22176
Mar-22 21:22:06,270093,3141,125225,22176
Mar-22 21:22:07,271075,3141,123564,22176
Mar-22 21:22:08,280165,3141,139967,22176
Mar-22 21:22:09,296539,3141,125965,22176
Mar-22 21:22:10,275108,3141,126530,22176
Mar-22 21:22:11,267525,3141,139374,22176
Mar-22 21:22:12,289246,3141,137247,22176
Mar-22 21:22:13,307451,3141,156586,22176
Mar-22 21:22:14,307537,3141,182031,22176
Mar-22 21:22:15,307537,3141,181809,22176
Mar-22 21:22:16,307537,3141,181874,22176
Mar-22 21:22:17,307537,3141,181567,22176
Mar-22 21:22:18,307801,3141,180881,22176
Mar-22 21:22:19,307801,3141,180633,22176
Mar-22 21:22:20,308065,3141,180708,22176
Mar-22 21:22:21,308065,3141,180778,22176
Mar-22 21:22:22,308065,3141,180715,22176
Mar-22 21:22:23,308065,3141,180592,22176
Mar-22 21:22:24,308065,3141,180478,22176
Mar-22 21:22:25,308065,3141,134122,22176
Mar-22 21:22:26,308065,3141,133880,22176
Mar-22 21:22:27,308065,3141,133512,22176
Mar-22 21:22:28,308065,3141,133393,22176
Mar-22 21:22:29,308065,3141,133612,22176
Mar-22 21:22:30,308065,3141,133490,22176
Mar-22 21:22:31,308065,3141,139584,22176
Mar-22 21:22:32,308065,3141,139090,22176
Mar-22 21:22:33,308065,3141,139027,22176
Mar-22 21:22:34,308065,3141,138527,22176
Mar-22 21:22:35,308065,3141,153884,22176
Mar-22 21:22:36,308065,3141,153769,22176
Mar-22 21:22:37,308065,3141,153672,22176
Mar-22 21:22:38,308065,3141,153748,22176
Mar-22 21:22:39,308065,3141,178988,22176
Mar-22 21:22:40,308065,3141,178799,22176
Mar-22 21:22:41,308065,3141,178499,22176
Mar-22 21:22:42,308065,3141,178383,22176
Mar-22 21:22:43,308065,3141,182062,22176
Mar-22 21:22:44,308065,3141,182162,22176
Mar-22 21:22:45,308065,3141,181989,22176
Mar-22 21:22:46,308065,3141,181873,22176
Mar-22 21:22:47,308065,3141,181743,22176
Mar-22 21:22:48,308065,3141,181688,22176
Mar-22 21:22:49,308065,3141,181543,22176
Mar-22 21:22:50,308065,3141,211479,22176
Mar-22 21:22:51,308065,3141,211625,22176
Mar-22 21:22:52,308065,3141,211331,22176
Mar-22 21:22:53,308065,3141,214063,22176
Mar-22 21:22:54,308065,3141,213829,22176
Mar-22 21:22:55,308065,3141,213844,22176
Mar-22 21:22:56,308065,3141,213980,22176
Mar-22 21:22:57,308065,3141,214071,22176
Mar-22 21:22:58,308065,3141,214185,22176
Mar-22 21:22:59,308065,3141,213032,22176
Mar-22 21:23:00,308065,3141,212984,22176
Mar-22 21:23:01,308065,3141,212984,22176
Mar-22 21:23:02,308065,3141,213009,22176
Mar-22 21:23:03,308065,3141,213077,22176
Mar-22 21:23:04,308065,3141,212961,22176
Mar-22 21:23:05,308065,3141,212716,22176
Mar-22 21:23:06,308065,3141,212788,22176
Mar-22 21:23:07,308065,3141,212807,22176
Mar-22 21:23:08,308065,3141,212807,22176
Mar-22 21:23:09,308065,3141,212807,22176
Mar-22 21:23:10,308065,3141,170136,22176
Mar-22 21:23:11,308065,3141,169882,22176
Mar-22 21:23:12,308065,3141,169454,22176
Mar-22 21:23:13,308065,3141,169083,22176
Mar-22 21:23:14,308065,3141,168957,22176
Mar-22 21:23:15,308065,3141,168835,22176
Mar-22 21:23:16,308065,3141,168709,22176
Mar-22 21:23:17,308065,3141,168460,22176
Mar-22 21:23:18,308065,3141,168344,22176
Mar-22 21:23:19,308065,3141,168099,22176
Mar-22 21:23:20,308065,3141,168379,22176
Mar-22 21:23:21,308065,3141,168071,22176
Mar-22 21:23:22,308065,3141,167699,22176
Mar-22 21:23:23,308065,3141,167517,22176
Mar-22 21:23:24,308065,3141,167339,22176
Mar-22 21:23:25,308065,3141,167090,22176
Mar-22 21:23:26,308065,3141,166908,22176
Mar-22 21:23:27,308065,3141,166807,22176
Mar-22 21:23:28,308065,3141,166949,22176
Mar-22 21:23:29,308065,3141,166827,22176
Mar-22 21:23:30,308065,3141,166705,22176
Mar-22 21:23:31,308065,3141,166713,22176
Mar-22 21:23:32,308065,3141,166713,22176
Mar-22 21:23:33,308065,3141,166650,22176
Mar-22 21:23:34,308065,3141,166527,22176
Mar-22 21:23:35,308065,3141,166467,22176
Mar-22 21:23:36,308065,3141,166407,22176
Mar-22 21:23:37,308191,3141,166427,22176
Mar-22 21:23:38,309465,3141,170983,22176
Mar-22 21:23:39,309511,3141,170986,22176
Mar-22 21:23:40,309511,3141,171184,22176
Mar-22 21:23:41,309511,3141,170818,22176
Mar-22 21:23:42,309511,3141,170635,22176
Mar-22 21:23:43,309511,3141,170778,22176
Mar-22 21:23:44,309511,3141,170718,22176
Mar-22 21:23:45,309511,3141,170668,22176
Mar-22 21:23:46,309511,3141,170479,22176
Mar-22 21:23:47,309511,3141,170307,22176
Mar-22 21:23:48,309511,3141,170628,22176
Mar-22 21:23:49,309511,3141,170568,22176
Mar-22 21:23:50,309511,3141,170508,22176
Mar-22 21:23:51,309511,3141,170263,22176
Mar-22 21:23:52,309511,3141,170263,22176
Mar-22 21:23:53,309511,3141,171059,22176
Mar-22 21:23:54,309511,3141,170996,22176
Mar-22 21:23:55,309511,3141,155064,22176
Mar-22 21:23:56,304534,3141,124991,22176
Mar-22 21:23:57,304471,3141,124302,22176
Mar-22 21:23:58,302014,3141,124179,22176
Mar-22 21:23:59,301762,3141,124116,22176
Mar-22 21:24:00,301762,3141,123938,22176
Mar-22 21:24:01,301762,3141,123878,22176
Mar-22 21:24:02,301762,3141,124601,22176
Mar-22 21:24:03,301762,3141,124571,22176
Mar-22 21:24:04,301762,3141,124754,22176
Mar-22 21:24:05,301951,3141,124886,22176
Mar-22 21:24:06,301951,3141,125151,22176
Mar-22 21:24:07,301951,3141,124999,22176
Mar-22 21:24:08,301951,3141,124820,22176
Mar-22 21:24:09,301951,3141,124760,22176
Mar-22 21:24:10,301951,3141,124700,22176
Mar-22 21:24:11,304240,3141,125657,22176
Mar-22 21:24:12,304240,3141,125356,22176
Mar-22 21:24:13,304240,3141,125247,22176
Mar-22 21:24:14,304240,3141,124878,22176
Mar-22 21:24:15,304240,3141,124916,22176
Mar-22 21:24:16,304240,3141,125062,22176
Mar-22 21:24:17,304240,3141,124722,22176
Mar-22 21:24:18,304240,3141,124577,22176
Mar-22 21:24:19,304240,3141,125005,22176
Mar-22 21:24:20,304240,3141,125077,22176
Mar-22 21:24:21,304240,3141,125153,22176
Mar-22 21:24:22,304240,3141,124988,22176
Mar-22 21:24:23,305171,3141,171236,22176
Mar-22 21:24:24,305209,3141,171397,22176
Mar-22 21:24:25,305209,3141,170428,22176
Mar-22 21:24:26,305209,3141,172167,22176
Mar-22 21:24:27,305209,3141,172111,22176
Mar-22 21:24:28,305209,3141,171810,22176
Mar-22 21:24:29,305209,3141,171508,22176
Mar-22 21:24:30,305209,3141,171525,22176
Mar-22 21:24:31,305209,3141,171465,22176
Mar-22 21:24:32,305209,3141,171531,22176
Mar-22 21:24:33,305209,3141,171167,22176
Mar-22 21:24:34,305209,3141,170674,22176
Mar-22 21:24:35,305209,3141,170614,22176
Mar-22 21:24:36,305209,3141,170684,22176
Mar-22 21:24:37,305209,3141,170684,22176
Mar-22 21:24:38,305209,3141,170561,22176
Mar-22 21:24:39,305209,3141,170383,22176
Mar-22 21:24:40,305209,3141,170263,22176
Mar-22 21:24:41,299476,3141,124797,22176
Mar-22 21:24:42,299476,3141,124923,22176
Mar-22 21:24:43,299476,3141,124198,22176
Mar-22 21:24:44,299476,3141,124135,22176
Mar-22 21:24:45,299476,3141,124026,22176
Mar-22 21:24:46,299476,3141,123715,22176
Mar-22 21:24:47,299476,3141,123857,22176
Mar-22 21:24:48,299476,3141,123829,22176
Mar-22 21:24:49,299476,3141,123727,22176
Mar-22 21:24:50,299476,3141,123933,22176
Mar-22 21:24:51,299476,3141,124014,22176
Mar-22 21:24:52,299476,3141,123960,22176
Mar-22 21:24:53,299476,3141,124095,22176
Mar-22 21:24:54,299476,3141,124004,22176
Mar-22 21:24:55,299476,3141,123971,22176
Mar-22 21:24:56,299476,3141,123862,22176
Mar-22 21:24:57,299476,3141,123877,22176
Mar-22 21:24:58,299476,3141,123859,22176
Mar-22 21:24:59,299476,3141,123657,22176
Mar-22 21:25:00,299476,3141,123604,22176
Mar-22 21:25:01,299476,3141,123488,22176
Mar-22 21:25:02,299476,3141,123519,22176
Mar-22 21:25:03,299476,3141,122862,22176
Mar-22 21:25:04,299476,3141,122806,22176
Mar-22 21:25:05,299476,3141,122780,22176
Mar-22 21:25:06,299476,3141,122726,22176
Mar-22 21:25:07,299476,3141,122680,22176
Mar-22 21:25:08,299413,3141,124434,22176
Mar-22 21:25:09,299413,3141,124504,22176
Mar-22 21:25:10,299413,3141,124379,22176
Mar-22 21:25:11,299413,3141,124106,22176
Mar-22 21:25:12,299413,3141,124165,22176
Mar-22 21:25:13,299413,3141,126418,22176
Mar-22 21:25:14,299413,3141,126431,22176
Mar-22 21:25:15,299602,3141,127641,22176
Mar-22 21:25:16,299602,3141,127654,22176
Mar-22 21:25:17,299602,3141,127359,22176
Mar-22 21:25:18,299602,3141,127434,22176
Mar-22 21:25:19,299602,3141,127388,22176
Mar-22 21:25:20,299602,3141,127208,22176
Mar-22 21:25:21,299602,3141,127102,22176
Mar-22 21:25:22,299602,3141,126814,22176
Mar-22 21:25:23,299602,3141,126825,22176
Mar-22 21:25:24,299602,3141,126787,22176
Mar-22 21:25:25,299602,3141,126799,22176
Mar-22 21:25:26,299707,3141,124915,22176
Mar-22 21:25:27,299707,3141,124799,22176
Mar-22 21:25:28,299581,3141,124974,22176
Mar-22 21:25:29,299581,3141,124604,22176
Mar-22 21:25:30,299581,3141,124469,22176
Mar-22 21:25:31,299581,3141,124363,22176
Mar-22 21:25:32,299581,3141,124056,22176
