"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/zones_sys_proc_fs_tcp_time_ipc_socket_net_lock.csv --zones --sys --proc --fs --tcp --time --ipc --socket --net --lock 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"zones memory",,,,"system",,"procs",,,"filesystem",,"tcp sockets",,,,,"system","sysv ipc",,,"sockets",,,,,"net/total",,"file locks",,,
"d32F","d32H","normF","normH","int","csw","run","blk","new","files","inodes","lis","act","syn","tim","clo","time","msg","sem","shm","tot","tcp","udp","raw","frg","recv","send","pos","lck","rea","wri"
305914,3141,230702,22176,1363.777,4997.251,18,0,11.390,12832,348104,7,11,0,6,2,Mar-22 21:32:08,0,0,6,1072,18,19,0,0,0,0,56,12,10,58
305914,3141,228317,22176,2351,10489,3,0,8,13056,348256,7,11,0,6,2,Mar-22 21:32:09,0,0,6,1072,18,19,0,0,515,187,56,12,10,58
305914,3141,227947,22176,1234,3265,1,0,0,13088,348588,7,11,0,6,2,Mar-22 21:32:10,0,0,6,1072,18,19,0,0,350,0,56,12,10,58
305914,3141,225440,22176,1185,4400,0,0,2,13088,348589,7,11,0,6,2,Mar-22 21:32:11,0,0,6,1072,18,19,0,0,152,102,56,12,10,58
305914,3141,225254,22176,1412,5285,1,0,0,13120,348590,7,13,0,6,1,Mar-22 21:32:12,0,0,6,1073,19,19,0,0,12437,4610,56,12,10,58
305914,3141,175993,22176,2632,36684,1,0,8,13120,349800,7,13,0,6,1,Mar-22 21:32:13,0,0,6,1073,19,19,0,0,4691,2129,56,12,10,58
305914,3141,176057,22176,1283,3082,1,0,8,13120,349788,7,13,0,6,1,Mar-22 21:32:14,0,0,6,1073,19,19,0,0,396,804,56,12,10,58
305914,3141,175630,22176,969,2142,1,0,0,13120,349792,7,13,0,6,1,Mar-22 21:32:15,0,0,6,1076,19,22,0,0,1249,4112,56,12,10,58
305914,3141,175262,22176,895,1593,1,0,0,13120,349791,7,13,0,6,1,Mar-22 21:32:16,0,0,6,1076,19,22,0,0,24232,660810,56,12,10,58
305914,3141,175076,22176,745,1189,2,0,0,13120,349792,7,13,0,6,1,Mar-22 21:32:17,0,0,6,1076,19,22,0,0,2980,7798,56,12,10,58
305914,3141,174887,22176,935,2359,1,0,9,13152,349786,7,13,0,6,1,Mar-22 21:32:18,0,0,6,1076,19,22,0,0,0,920,56,12,10,58
