"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/aio_page_raw_lock_load_fs_int.csv --aio --page --raw --lock --load --fs --int 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"async","paging",,"raw","file locks",,,,"load avg",,,"filesystem",,"interrupts",,
"#aio","in","out","raw","pos","lck","rea","wri","1m","5m","15m","files","inodes","138","139","140"
0,2.473,709.031,0,83,12,13,82,1.860,1.150,1.110,13824,181462,0.000,44.063,0.018
0,0,0,0,83,12,13,82,1.710,1.130,1.100,13952,181616,0,127,0
0,0,0,0,83,12,13,82,1.710,1.130,1.100,13984,181613,0,127,0
0,0,0,0,83,12,13,82,1.710,1.130,1.100,14016,181615,0,154,0
0,0,0,0,83,12,13,82,1.710,1.130,1.100,13984,181613,0,117,0
0,0,0,0,83,12,13,82,1.710,1.130,1.100,13984,181624,0,118,0
0,0,0,0,83,12,13,82,1.740,1.150,1.110,13952,181578,0,115,0
0,0,0,0,83,12,13,82,1.740,1.150,1.110,13984,181623,0,113,0
0,0,0,0,83,12,13,82,1.740,1.150,1.110,13952,181643,0,122,0
0,0,0,0,83,12,13,82,1.740,1.150,1.110,13984,181644,0,148,0
0,0,0,0,83,12,13,82,1.740,1.150,1.110,13952,180534,0,155,0
0,0,0,0,83,12,13,82,1.600,1.130,1.100,13952,180535,0,170,0
0,0,0,0,83,12,13,82,1.600,1.130,1.100,13952,180533,0,122,0
0,0,0,0,83,12,13,82,1.600,1.130,1.100,13920,180544,0,117,0
0,0,0,0,83,12,13,82,1.600,1.130,1.100,13920,180544,0,119,0
0,0,0,0,83,12,13,82,1.600,1.130,1.100,13952,180557,0,160,0
0,0,0,0,83,12,13,82,1.550,1.120,1.100,14016,180556,0,119,0
0,0,0,0,83,12,13,82,1.550,1.120,1.100,14016,180557,0,121,0
0,0,0,0,83,12,13,82,1.550,1.120,1.100,14016,180561,0,124,0
0,0,0,0,83,12,13,82,1.550,1.120,1.100,14016,180560,0,154,0
0,0,0,0,83,12,13,82,1.550,1.120,1.100,13952,181630,0,113,0
0,0,0,0,83,12,13,82,1.430,1.110,1.090,13984,181631,0,176,0
0,0,0,0,83,12,13,82,1.430,1.110,1.090,14016,181686,0,119,0
0,0,0,0,83,12,13,82,1.430,1.110,1.090,14048,181640,0,120,0
0,0,0,0,83,12,13,82,1.430,1.110,1.090,14048,181640,0,119,0
0,0,0,0,83,12,13,82,1.430,1.110,1.090,14016,181640,0,122,0
