"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --time --cpu --disk --page --int --load --mem --net --proc --io --swap --sys --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --output dstat/data/csv/dstat/all.csv 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","total cpu usage",,,,,"dsk/total",,"paging",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"io/total",,"swap",,"system",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,
"time","usr","sys","idl","wai","stl","read","writ","in","out","138","139","140","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","int","csw","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH"
22-03 22:03:09,4.246,1.489,94.206,0.059,0,142637.150,778106.038,0.468,14.713,0.000,43.219,0.023,41.850,10.510,4.240,3942739968,1404170240,192892928,10581499904,0,0,125,0,12.305,5.242,36.338,1835008,1021571072,1374.772,5051.892,0,19584,350800,0,0,6,56,12,10,58,0,1076,18,20,0,0,7,12,0,6,0,17,7,56,874,54,820,0.295,4091.469,4484.543,4535.313,11.007,0,0,0.004,0,224181,3141,119225,22176,
22-03 22:03:10,42.748,56.997,0.254,0,0,0,221184,0,0,0,23,0,41.850,10.510,4.240,3947159552,1399394304,192892928,10581614592,645,511,160,0,2411,0,2,1835008,1021571072,32775,140654,0,18976,350838,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,503806,394934,389007,0,0,0,0,0,217498,3141,121254,22176,
22-03 22:03:11,48.564,51.436,0,0,0,0,0,0,0,0,26,0,47.470,12.190,4.820,3933511680,1412751360,192892928,10582511616,653,187,131,0,2405,0,0,1835008,1021571072,35070,140401,0,18752,350818,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,540412,421828,425109,0,0,0,0,0,219799,3141,122044,22176,
22-03 22:03:12,47.250,52.375,0.375,0,0,0,7413760,0,0,0,19,0,47.470,12.190,4.820,3893067776,1452769280,192892928,10582642688,0,358,106,0,2623,0,138,1835008,1021571072,23295,113429,0,17920,350806,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,556669,423214,431819,0,0,0,0,0,226935,3141,124279,22176,
22-03 22:03:13,51.870,48.130,0,0,0,0,1359872,0,0,0,58,0,47.470,12.190,4.820,3884081152,1460510720,192905216,10585190400,641,487,109,0,2478,0,16,1835008,1021571072,20032,95793,0,17568,350742,0,0,6,56,12,10,58,0,1077,18,20,0,0,7,10,1,6,1,17,7,56,876,54,822,0,556940,423630,422124,0,0,0,0,0,226907,3141,125453,22176,
22-03 22:03:14,47.051,52.698,0.251,0,0,0,0,0,0,0,49,0,47.470,12.190,4.820,3945578496,1397342208,192905216,10585530368,17680,6285,117,0,2291,0,0,1835008,1021571072,34947,140679,0,20384,350848,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,505841,395721,379825,0,0,0,0,0,214556,3141,122886,22176,
22-03 22:03:15,54.887,44.987,0.125,0,0,0,0,0,0,0,19,0,47.470,12.190,4.820,3930886144,1410945024,192905216,10586918912,0,0,91,0,1823,0,0,1835008,1021571072,54477,184101,0,19840,350762,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,418686,341232,348706,0,0,0,0,0,217250,3141,124468,22176,
22-03 22:03:16,59.324,40.551,0.125,0,0,0,0,0,0,0,18,0,51.190,13.550,5.300,3860369408,1481105408,192905216,10587275264,0,0,69,0,1656,0,0,1835008,1021571072,64845,196473,0,20544,350592,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,383832,313591,327865,0,0,0,0,0,226194,3141,126068,22176,
22-03 22:03:17,57.215,42.409,0.376,0,0,0,3891200,0,0,0,19,0,51.190,13.550,5.300,3739774976,1602818048,192905216,10586161152,0,358,39,0,1606,0,40,1835008,1021571072,87458,234780,0,15968,350304,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,375846,314564,347272,0,0,0,0,0,248767,3141,135564,22176,
22-03 22:03:18,59.548,38.945,1.508,0,0,0,1335296,0,0,0,17,0,51.190,13.550,5.300,3791482880,1551679488,192917504,10585579520,0,0,17,0,1059,0,10,1835008,1021571072,81356,250320,0,17664,350218,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,275416,261527,246016,0,0,0,0,0,245368,3141,129902,22176,
