"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --cpu --disk --page --int --load --mem --net --proc --io --swap --sys --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --output dstat/data/csv/dstat/all_with_default_time.csv 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"total cpu usage",,,,,"dsk/total",,"paging",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"io/total",,"swap",,"system",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,
"usr","sys","idl","wai","stl","read","writ","in","out","138","139","140","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","int","csw","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH"
4.245,1.489,94.206,0.059,0,142637.253,778106.603,0.468,14.713,0.000,43.219,0.023,41.850,10.510,4.240,3941195776,1406062592,192892928,10581204992,0,0,140,0,12.305,5.242,36.338,1835008,1021571072,1374.763,5051.849,0,19616,350786,0,0,6,56,12,10,58,0,1076,18,20,0,0,7,12,0,6,0,17,7,56,874,54,820,0.295,4091.187,4484.321,4535.020,11.007,0,0,0.004,0,225303,3141,117968,22176,
42.018,57.727,0.255,0,0,0,221184,0,0,0,23,0,41.850,10.510,4.240,3955027968,1391882240,192892928,10581307392,563,511,128,0,2237,0,2,1835008,1021571072,31847,137307,0,19200,350886,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,523432,410800,409798,0,0,0,0,0,217554,3141,120669,22176,
48.194,51.806,0,0,0,0,0,0,0,0,27,0,47.470,12.190,4.820,3944714240,1401782272,192892928,10581950464,735,187,111,0,2435,0,0,1835008,1021571072,35814,142929,0,19040,350837,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,539757,421188,425545,0,0,0,0,0,219925,3141,122044,22176,
47.132,52.494,0.374,0,0,0,7413760,0,0,0,19,0,47.470,12.190,4.820,3892469760,1453531136,192892928,10582761472,0,358,115,0,2632,0,138,1835008,1021571072,23699,114261,0,17984,350823,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,547723,416948,426660,0,0,0,0,0,226998,3141,124352,22176,
52.882,47.118,0,0,0,0,1359872,0,0,0,20,0,47.470,12.190,4.820,3887800320,1456898048,192905216,10584817664,167,187,95,0,2466,0,16,1835008,1021571072,19290,93319,0,17920,350793,0,0,6,56,12,10,58,0,1077,18,20,0,0,7,10,1,6,1,17,7,56,876,54,822,0,570843,433671,433020,0,0,0,0,0,227159,3141,125453,22176,
46.424,53.325,0.251,0,0,0,0,0,0,0,85,0,47.470,12.190,4.820,3941883904,1401634816,192905216,10586263552,17278,6459,129,0,2331,0,0,1835008,1021571072,35317,142130,0,20192,350826,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,496016,388581,372954,0,0,0,0,0,214929,3141,122886,22176,
54.511,45.363,0.125,0,0,0,0,0,0,0,21,0,47.470,12.190,4.820,3959431168,1382502400,192905216,10586296320,876,126,87,0,1838,0,0,1835008,1021571072,52054,178204,0,20928,350771,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,418034,339902,343707,0,0,0,0,0,216106,3141,123038,22176,
57.980,41.895,0.125,0,0,0,0,0,0,0,18,0,51.190,13.550,5.300,3863760896,1477709824,192905216,10587279360,0,0,56,0,1692,0,0,1835008,1021571072,63318,195679,0,21152,350627,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,381074,309342,328791,0,0,0,0,0,236281,3141,126021,22176,
58.690,40.932,0.378,0,0,0,0,0,0,0,20,0,51.190,13.550,5.300,3789365248,1551880192,192905216,10587508736,0,358,34,0,1556,0,0,1835008,1021571072,87604,232006,0,17152,350381,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,374039,313994,346847,0,0,0,0,0,248722,3141,139393,22176,
58.271,40.226,1.504,0,0,0,5226496,0,0,0,17,0,51.190,13.550,5.300,3792519168,1550831616,192917504,10585391104,0,0,25,0,1160,0,50,1835008,1021571072,81254,250562,0,17440,350232,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,291617,275158,256824,0,0,0,0,0,245606,3141,129957,22176,
