"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/cpu.csv --time --cpu 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","total cpu usage",,,,
"time","usr","sys","idl","wai","stl"
22-03 22:03:09,4.246,1.489,94.206,0.059,0
22-03 22:03:10,42.804,56.946,0.250,0,0
22-03 22:03:11,49.313,50.562,0.125,0,0
22-03 22:03:12,48.814,50.936,0.250,0,0
22-03 22:03:13,49.373,50.627,0,0,0
22-03 22:03:14,48,51.750,0.250,0,0
22-03 22:03:15,56.446,43.304,0.250,0,0
22-03 22:03:16,58.647,41.353,0,0,0
22-03 22:03:17,57.215,42.033,0.753,0,0
22-03 22:03:18,63.728,35.013,1.259,0,0
22-03 22:03:19,77.226,17.176,5.598,0,0
22-03 22:03:20,26.898,6.821,66.281,0,0
22-03 22:03:21,2.764,1.131,95.980,0.126,0
22-03 22:03:22,3.899,2.264,93.585,0.252,0
22-03 22:03:23,3.165,1.266,95.443,0.127,0
22-03 22:03:24,3.643,1.508,94.724,0.126,0
22-03 22:03:25,4.430,1.772,93.797,0,0
22-03 22:03:26,3.774,1.132,94.969,0.126,0
22-03 22:03:27,3.909,1.892,94.199,0,0
22-03 22:03:28,3.526,1.259,95.088,0.126,0
22-03 22:03:29,4.030,1.134,94.710,0.126,0
22-03 22:03:30,4.020,1.884,93.970,0.126,0
22-03 22:03:31,3.774,1.509,94.717,0,0
22-03 22:03:32,4.040,2.020,93.813,0.126,0
22-03 22:03:33,3.522,1.887,94.465,0.126,0
22-03 22:03:34,3.266,1.633,95.101,0,0
22-03 22:03:35,4.810,2.278,92.785,0.127,0
22-03 22:03:36,4.010,1.880,93.985,0.125,0
22-03 22:03:37,4.397,2.136,93.467,0,0
22-03 22:03:38,4.046,2.276,93.426,0.253,0
22-03 22:03:39,4.397,1.005,94.598,0,0
22-03 22:03:40,3.666,1.391,94.817,0.126,0
22-03 22:03:41,3.885,1.378,94.612,0.125,0
22-03 22:03:42,3.657,1.765,94.578,0,0
22-03 22:03:43,4.528,1.761,93.585,0.126,0
22-03 22:03:44,3.899,1.132,94.843,0.126,0
22-03 22:03:45,4.151,1.635,94.214,0,0
22-03 22:03:46,4.167,1.389,94.318,0.126,0
22-03 22:03:47,3.929,1.648,94.170,0.253,0
22-03 22:03:48,3.266,1.759,94.849,0.126,0
22-03 22:03:49,3.522,1.509,94.843,0.126,0
22-03 22:03:50,4.040,1.894,94.066,0,0
22-03 22:03:51,3.161,2.528,93.932,0.379,0
22-03 22:03:52,5.183,3.413,91.403,0,0
22-03 22:03:53,3.531,1.765,94.578,0.126,0
22-03 22:03:54,3.396,1.006,95.472,0.126,0
22-03 22:03:55,3.522,1.761,94.717,0,0
22-03 22:03:56,3.405,1.513,94.956,0.126,0
22-03 22:03:57,4.156,2.267,93.451,0.126,0
22-03 22:03:58,3.783,1.387,94.830,0,0
22-03 22:03:59,4.261,1.378,94.236,0.125,0
22-03 22:04:00,4.161,1.639,94.073,0.126,0
22-03 22:04:01,3.750,1.625,94.625,0,0
22-03 22:04:02,4.436,2.408,92.902,0.253,0
22-03 22:04:03,3.413,0.885,95.575,0.126,0
22-03 22:04:04,2.781,1.011,96.207,0,0
22-03 22:04:05,3.526,1.637,94.710,0.126,0
22-03 22:04:06,3.019,1.132,95.849,0,0
22-03 22:04:07,4.030,1.008,94.836,0.126,0
22-03 22:04:08,4.506,1.877,93.116,0.501,0
22-03 22:04:09,4.277,1.509,94.088,0.126,0
22-03 22:04:10,3.169,1.141,95.691,0,0
22-03 22:04:11,4.151,1.258,94.465,0.126,0
22-03 22:04:12,3.149,1.385,95.466,0,0
22-03 22:04:13,4.035,0.883,94.830,0.252,0
22-03 22:04:14,5.157,1.006,93.208,0.629,0
22-03 22:04:15,4.135,1.880,93.985,0,0
22-03 22:04:16,3.648,1.132,95.094,0.126,0
22-03 22:04:17,3.924,1.139,94.937,0,0
22-03 22:04:18,3.648,1.006,95.094,0.252,0
22-03 22:04:19,4.172,1.264,94.185,0.379,0
22-03 22:04:20,4.277,2.138,93.585,0,0
22-03 22:04:21,4.282,1.637,94.081,0,0
22-03 22:04:22,3.518,1.633,94.724,0.126,0
22-03 22:04:23,3.026,0.757,96.091,0.126,0
22-03 22:04:24,3.149,2.771,94.081,0,0
22-03 22:04:25,5.031,2.264,92.579,0.126,0
22-03 22:04:26,2.919,1.015,96.066,0,0
22-03 22:04:27,3.904,1.511,94.458,0.126,0
22-03 22:04:28,3.535,1.136,95.328,0,0
22-03 22:04:29,3.914,1.389,93.813,0.884,0
22-03 22:04:30,4.666,1.513,93.821,0,0
22-03 22:04:31,4.046,1.264,94.564,0.126,0
22-03 22:04:32,3.401,1.763,94.836,0,0
22-03 22:04:33,3.676,0.760,95.437,0.127,0
22-03 22:04:34,3.409,0.758,95.581,0.253,0
22-03 22:04:35,4.035,1.009,94.704,0.252,0
22-03 22:04:36,3.914,1.641,94.444,0,0
22-03 22:04:37,6.281,2.764,90.829,0.126,0
22-03 22:04:38,3.764,1.255,94.981,0,0
