"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/disk.csv --time --disk 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","dsk/total",
"time","read","writ"
23-03 13:54:36,120466.934,1060019.675
23-03 13:54:37,0,991232
23-03 13:54:38,0,0
23-03 13:54:39,0,0
23-03 13:54:40,0,6004736
23-03 13:54:41,0,1032192
23-03 13:54:42,0,0
23-03 13:54:43,0,0
23-03 13:54:44,0,0
23-03 13:54:45,0,5324800
23-03 13:54:46,0,524288
23-03 13:54:47,0,0
23-03 13:54:48,0,0
23-03 13:54:49,0,0
23-03 13:54:50,0,21561344
23-03 13:54:51,0,2719744
23-03 13:54:52,0,0
23-03 13:54:53,0,0
23-03 13:54:54,0,0
23-03 13:54:55,0,6021120
23-03 13:54:56,0,860160
23-03 13:54:57,0,0
23-03 13:54:58,0,0
23-03 13:54:59,0,0
23-03 13:55:00,0,4489216
23-03 13:55:01,0,2260992
23-03 13:55:02,0,0
23-03 13:55:03,0,0
23-03 13:55:04,0,851968
23-03 13:55:05,0,6406144
23-03 13:55:06,0,0
23-03 13:55:07,0,0
23-03 13:55:08,0,0
23-03 13:55:09,0,786432
23-03 13:55:10,0,4579328
23-03 13:55:11,0,0
23-03 13:55:12,0,0
23-03 13:55:13,0,0
23-03 13:55:14,0,688128
23-03 13:55:15,0,3522560
23-03 13:55:16,0,56860672
23-03 13:55:17,0,0
23-03 13:55:18,0,0
23-03 13:55:19,0,991232
23-03 13:55:20,0,0
23-03 13:55:21,0,3547136
23-03 13:55:22,0,0
23-03 13:55:23,0,0
23-03 13:55:24,0,1441792
23-03 13:55:25,0,0
23-03 13:55:26,0,3399680
23-03 13:55:27,0,0
23-03 13:55:28,0,0
23-03 13:55:29,0,1581056
23-03 13:55:30,0,0
23-03 13:55:31,0,10805248
23-03 13:55:32,0,0
23-03 13:55:33,0,0
23-03 13:55:34,0,0
23-03 13:55:35,0,0
23-03 13:55:36,0,11730944
23-03 13:55:37,0,0
23-03 13:55:38,0,0
23-03 13:55:39,0,1040384
23-03 13:55:40,0,0
23-03 13:55:41,0,3653632
23-03 13:55:42,0,974848
23-03 13:55:43,0,0
23-03 13:55:44,0,0
23-03 13:55:45,0,0
23-03 13:55:46,0,352256
23-03 13:55:47,0,425984
23-03 13:55:48,0,0
23-03 13:55:49,0,0
23-03 13:55:50,0,884736
23-03 13:55:51,0,5021696
23-03 13:55:52,0,0
23-03 13:55:53,0,0
23-03 13:55:54,0,0
23-03 13:55:55,0,0
23-03 13:55:56,32768,4399104
23-03 13:55:57,0,466944
23-03 13:55:58,0,0
23-03 13:55:59,0,335872
23-03 13:56:00,0,0
23-03 13:56:01,0,0
23-03 13:56:02,0,319488
23-03 13:56:03,0,0
23-03 13:56:04,0,1712128
23-03 13:56:05,0,0
23-03 13:56:06,0,737280
23-03 13:56:07,0,14802944
23-03 13:56:08,0,0
23-03 13:56:09,0,0
23-03 13:56:10,0,0
23-03 13:56:11,0,1826816
23-03 13:56:12,0,7823360
23-03 13:56:13,0,0
23-03 13:56:14,0,0
23-03 13:56:15,0,0
23-03 13:56:16,0,2416640
23-03 13:56:17,0,344064
23-03 13:56:18,0,0
23-03 13:56:19,0,1851392
23-03 13:56:20,98304,0
23-03 13:56:21,0,0
23-03 13:56:22,0,3530752
23-03 13:56:23,0,0
23-03 13:56:24,0,655360
23-03 13:56:25,0,286720
23-03 13:56:26,0,778240
23-03 13:56:27,0,4628480
23-03 13:56:28,0,0
23-03 13:56:29,0,0
23-03 13:56:30,0,737280
23-03 13:56:31,0,0
23-03 13:56:32,0,4055040
23-03 13:56:33,0,0
23-03 13:56:34,0,0
23-03 13:56:35,0,0
23-03 13:56:36,0,843776
23-03 13:56:37,0,1130496
23-03 13:56:38,0,0
23-03 13:56:39,0,0
23-03 13:56:40,0,0
23-03 13:56:41,0,1843200
23-03 13:56:42,0,3620864
23-03 13:56:43,0,0
23-03 13:56:44,0,794624
23-03 13:56:45,0,0
23-03 13:56:46,0,0
23-03 13:56:47,0,0
23-03 13:56:48,0,17465344
23-03 13:56:49,0,1785856
23-03 13:56:50,0,0
23-03 13:56:51,0,2023424
23-03 13:56:52,0,0
23-03 13:56:53,0,180224
23-03 13:56:54,0,0
23-03 13:56:55,0,0
23-03 13:56:56,0,884736
23-03 13:56:57,0,0
23-03 13:56:58,0,3637248
23-03 13:56:59,0,0
23-03 13:57:00,0,696320
23-03 13:57:01,0,565248
23-03 13:57:02,0,1449984
23-03 13:57:03,0,3465216
23-03 13:57:04,0,0
23-03 13:57:05,0,0
23-03 13:57:06,0,1024000
23-03 13:57:07,0,0
23-03 13:57:08,0,843776
23-03 13:57:09,16384,647168
23-03 13:57:10,0,0
23-03 13:57:11,0,0
23-03 13:57:12,0,0
23-03 13:57:13,0,4284416
23-03 13:57:14,0,647168
23-03 13:57:15,0,0
23-03 13:57:16,0,0
23-03 13:57:17,0,0
23-03 13:57:18,0,3710976
23-03 13:57:19,0,884736
23-03 13:57:20,0,1376256
23-03 13:57:21,0,0
23-03 13:57:22,0,0
23-03 13:57:23,0,15122432
23-03 13:57:24,0,0
23-03 13:57:25,0,1589248
23-03 13:57:26,0,278528
23-03 13:57:27,0,0
23-03 13:57:28,0,0
23-03 13:57:29,0,3702784
23-03 13:57:30,0,696320
23-03 13:57:31,0,2473984
23-03 13:57:32,0,0
23-03 13:57:33,0,753664
23-03 13:57:34,0,4038656
23-03 13:57:35,0,0
23-03 13:57:36,0,0
23-03 13:57:37,0,0
23-03 13:57:38,0,0
23-03 13:57:39,0,1081344
23-03 13:57:40,0,0
23-03 13:57:41,0,0
23-03 13:57:42,0,0
23-03 13:57:43,0,0
23-03 13:57:44,0,5505024
23-03 13:57:45,0,204800
23-03 13:57:46,0,0
23-03 13:57:47,0,0
23-03 13:57:48,0,0
23-03 13:57:49,0,3948544
23-03 13:57:50,0,884736
23-03 13:57:51,0,0
23-03 13:57:52,0,0
23-03 13:57:53,0,0
23-03 13:57:54,0,532480
23-03 13:57:55,0,712704
23-03 13:57:56,0,327680
23-03 13:57:57,0,1318912
23-03 13:57:58,49152,65536
23-03 13:57:59,0,18030592
23-03 13:58:00,0,1630208
23-03 13:58:01,0,335872
23-03 13:58:02,0,0
23-03 13:58:03,0,32768
23-03 13:58:04,0,4333568
23-03 13:58:05,0,0
23-03 13:58:06,0,0
23-03 13:58:07,0,0
23-03 13:58:08,0,0
23-03 13:58:09,0,2392064
23-03 13:58:10,0,3678208
23-03 13:58:11,0,0
23-03 13:58:12,0,0
23-03 13:58:13,0,0
23-03 13:58:14,0,950272
23-03 13:58:15,0,262144
23-03 13:58:16,0,0
23-03 13:58:17,0,0
23-03 13:58:18,0,0
23-03 13:58:19,0,589824
23-03 13:58:20,0,5644288
23-03 13:58:21,0,0
23-03 13:58:22,0,0
23-03 13:58:23,0,0
23-03 13:58:24,0,0
23-03 13:58:25,0,5103616
23-03 13:58:26,0,0
23-03 13:58:27,0,0
23-03 13:58:28,0,0
23-03 13:58:29,0,0
23-03 13:58:30,0,3547136
23-03 13:58:31,0,294912
23-03 13:58:32,0,0
23-03 13:58:33,0,745472
23-03 13:58:34,0,0
23-03 13:58:35,0,7192576
23-03 13:58:36,0,0
23-03 13:58:37,0,0
23-03 13:58:38,0,1597440
23-03 13:58:39,0,311296
23-03 13:58:40,0,14778368
23-03 13:58:41,0,0
23-03 13:58:42,0,0
23-03 13:58:43,0,0
23-03 13:58:44,0,0
23-03 13:58:45,0,2506752
23-03 13:58:46,0,0
23-03 13:58:47,0,0
23-03 13:58:48,0,925696
23-03 13:58:49,0,0
23-03 13:58:50,0,4202496
23-03 13:58:51,0,0
23-03 13:58:52,0,0
23-03 13:58:53,0,0
23-03 13:58:54,0,0
23-03 13:58:55,0,843776
23-03 13:58:56,0,5365760
23-03 13:58:57,0,0
23-03 13:58:58,0,729088
23-03 13:58:59,0,0
23-03 13:59:00,0,1138688
23-03 13:59:01,0,1114112
23-03 13:59:02,8192,0
23-03 13:59:03,0,0
23-03 13:59:04,0,884736
23-03 13:59:05,0,0
23-03 13:59:06,0,3440640
23-03 13:59:07,0,0
23-03 13:59:08,0,0
23-03 13:59:09,0,802816
23-03 13:59:10,0,0
23-03 13:59:11,0,7348224
23-03 13:59:12,16384,0
23-03 13:59:13,0,0
23-03 13:59:14,0,1884160
23-03 13:59:15,0,0
23-03 13:59:16,0,10346496
23-03 13:59:17,0,0
23-03 13:59:18,0,2007040
23-03 13:59:19,0,0
23-03 13:59:20,0,0
23-03 13:59:21,0,3768320
23-03 13:59:22,0,0
23-03 13:59:23,0,2359296
23-03 13:59:24,0,0
23-03 13:59:25,0,0
23-03 13:59:26,0,3489792
23-03 13:59:27,0,0
23-03 13:59:28,0,0
23-03 13:59:29,0,753664
23-03 13:59:30,0,434176
23-03 13:59:31,0,2293760
23-03 13:59:32,0,0
23-03 13:59:33,0,0
23-03 13:59:34,0,0
23-03 13:59:35,0,786432
23-03 13:59:36,0,0
23-03 13:59:37,0,4177920
23-03 13:59:38,0,0
23-03 13:59:39,0,0
23-03 13:59:40,0,1024000
23-03 13:59:41,0,0
23-03 13:59:42,0,3555328
23-03 13:59:43,0,0
23-03 13:59:44,0,0
23-03 13:59:45,0,0
23-03 13:59:46,0,507904
23-03 13:59:47,0,4096000
23-03 13:59:48,0,0
23-03 13:59:49,0,704512
23-03 13:59:50,0,0
23-03 13:59:51,0,1384448
23-03 13:59:52,0,13811712
23-03 13:59:53,0,0
23-03 13:59:54,0,1884160
23-03 13:59:55,0,0
23-03 13:59:56,0,557056
23-03 13:59:57,0,3637248
23-03 13:59:58,0,0
23-03 13:59:59,0,696320
23-03 14:00:00,0,0
23-03 14:00:01,0,2490368
23-03 14:00:02,0,4087808
23-03 14:00:03,0,0
23-03 14:00:04,0,0
23-03 14:00:05,0,0
23-03 14:00:06,0,1064960
23-03 14:00:07,0,1966080
23-03 14:00:08,0,0
23-03 14:00:09,0,0
23-03 14:00:10,0,0
23-03 14:00:11,0,655360
23-03 14:00:12,0,4194304
23-03 14:00:13,0,0
23-03 14:00:14,0,0
23-03 14:00:15,0,0
23-03 14:00:16,0,606208
23-03 14:00:17,0,0
23-03 14:00:18,0,3768320
23-03 14:00:19,0,901120
23-03 14:00:20,0,0
23-03 14:00:21,0,270336
23-03 14:00:22,0,0
23-03 14:00:23,0,4300800
23-03 14:00:24,0,0
23-03 14:00:25,0,0
23-03 14:00:26,0,663552
23-03 14:00:27,0,0
23-03 14:00:28,0,3612672
23-03 14:00:29,0,3948544
23-03 14:00:30,0,155648
23-03 14:00:31,0,303104
23-03 14:00:32,0,0
23-03 14:00:33,0,14172160
23-03 14:00:34,0,0
23-03 14:00:35,0,0
23-03 14:00:36,0,1695744
23-03 14:00:37,0,0
23-03 14:00:38,0,860160
23-03 14:00:39,0,0
23-03 14:00:40,0,0
23-03 14:00:41,0,2695168
23-03 14:00:42,0,0
23-03 14:00:43,0,3530752
23-03 14:00:44,0,679936
23-03 14:00:45,0,0
23-03 14:00:46,0,0
23-03 14:00:47,0,0
23-03 14:00:48,0,4947968
23-03 14:00:49,0,1007616
23-03 14:00:50,0,0
23-03 14:00:51,0,573440
23-03 14:00:52,0,0
23-03 14:00:53,0,425984
23-03 14:00:54,0,0
23-03 14:00:55,0,0
23-03 14:00:56,0,917504
23-03 14:00:57,0,0
23-03 14:00:58,0,7626752
23-03 14:00:59,0,0
23-03 14:01:00,0,0
23-03 14:01:01,0,737280
23-03 14:01:02,0,0
23-03 14:01:03,0,0
23-03 14:01:04,0,4046848
23-03 14:01:05,0,0
23-03 14:01:06,0,2506752
23-03 14:01:07,0,0
23-03 14:01:08,0,802816
23-03 14:01:09,0,11411456
23-03 14:01:10,0,0
23-03 14:01:11,0,0
23-03 14:01:12,0,0
23-03 14:01:13,0,1540096
23-03 14:01:14,0,8847360
23-03 14:01:15,0,0
23-03 14:01:16,0,0
23-03 14:01:17,0,0
23-03 14:01:18,0,2727936
23-03 14:01:19,0,5193728
23-03 14:01:20,0,0
23-03 14:01:21,0,0
23-03 14:01:22,0,0
23-03 14:01:23,0,0
