"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/disk_aio_swap_fs_raw_vm.csv --disk --aio --swap --fs --raw --vm 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"dsk/total",,"async","swap",,"filesystem",,"raw","virtual memory",,,
"read","writ","#aio","used","free","files","inodes","raw","majpf","minpf","alloc","free"
141751.127,778091.348,0,1835008,1021571072,12928,346074,0,0.293,4123.076,4509.117,4562.804
0,0,0,1835008,1021571072,13056,346156,0,0,6155,7360,2334
0,737280,0,1835008,1021571072,13056,346157,0,0,20,312,166
0,0,0,1835008,1021571072,13056,346204,0,0,1308,1629,1509
0,0,0,1835008,1021571072,13088,346214,0,0,1980,1741,1399
0,0,0,1835008,1021571072,13088,346214,0,0,30,151,379
0,0,0,1835008,1021571072,13088,346217,0,0,6,109,106
0,196608,0,1835008,1021571072,13088,346245,0,0,1759,1876,1028
0,0,0,1835008,1021571072,13088,346290,0,0,6583,7334,2224
0,0,0,1835008,1021571072,13088,346290,0,0,1285,1367,1343
0,8208384,0,1835008,1021571072,13088,345102,0,0,27,1140,3311
0,0,0,1835008,1021571072,13088,345099,0,0,51,116,218
0,0,0,1835008,1021571072,13088,345110,0,0,382,284,79
0,1875968,0,1835008,1021571072,13088,345109,0,0,1288,1591,1709
0,0,0,1835008,1021571072,13184,345137,0,0,1702,2136,3090
0,0,0,1835008,1021571072,13184,345138,0,0,24,142,418
0,0,0,1835008,1021571072,13216,345187,0,0,5198,5993,1258
0,0,0,1835008,1021571072,13216,345184,0,0,38,90,101
0,0,0,1835008,1021571072,13216,345184,0,0,1304,1384,1373
0,409600,0,1835008,1021571072,13184,345192,0,0,2002,1836,1805
0,0,0,1835008,1021571072,13184,345192,0,0,324,73,114
0,0,0,1835008,1021571072,13184,345220,0,0,1112,1506,420
0,0,0,1835008,1021571072,13184,345221,0,0,7,213,79
0,598016,0,1835008,1021571072,13184,345261,0,0,6521,7405,2327
0,0,0,1835008,1021571072,13216,345266,0,0,1733,1791,3773
0,9617408,0,1835008,1021571072,13216,345266,0,0,4,1284,1630
0,0,0,1835008,1021571072,13216,345267,0,0,7,193,1382
0,0,0,1835008,1021571072,13216,345277,0,0,130,195,178
0,0,0,1835008,1021571072,13216,345304,0,0,2328,2405,1602
0,745472,0,1835008,1021571072,13216,345304,0,0,1271,1457,1584
0,0,0,1835008,1021571072,13216,345304,0,0,31,102,249
0,0,0,1835008,1021571072,13184,345350,0,0,3392,4111,2995
0,0,0,1835008,1021571072,13184,345352,0,0,326,260,124
0,0,0,1835008,1021571072,13184,345352,0,0,1321,1658,1496
0,409600,0,1835008,1021571072,13184,345370,0,0,3222,4900,4564
0,0,0,1835008,1021571072,13184,345398,0,0,482,868,842
0,0,0,1835008,1021571072,13184,345398,0,0,347,116,85
0,0,0,1835008,1021571072,13184,345399,0,0,22,161,355
0,0,0,1835008,1021571072,13184,345438,0,0,2047,2885,5065
0,0,0,1835008,1021571072,13184,345443,0,0,1299,1701,2444
0,540672,0,1835008,1021571072,13184,345443,0,0,321,91,150
0,0,0,1835008,1021571072,13184,345443,0,0,3,74,70
0,0,0,1835008,1021571072,13184,345482,0,0,2250,2859,1906
0,0,0,1835008,1021571072,13184,345481,0,0,1624,1514,1648
0,0,0,1835008,1021571072,13184,345481,0,0,1594,1348,1342
0,245760,0,1835008,1021571072,13184,345412,0,0,28,125,266
32768,12394496,0,1835008,1021571072,13184,345459,0,0,5010,7656,2696
0,0,0,1835008,1021571072,13184,345459,0,0,25,140,1360
0,0,0,1835008,1021571072,13216,345459,0,0,1747,1450,1402
0,1048576,0,1835008,1021571072,13184,345504,0,0,4664,5046,2623
0,0,0,1835008,1021571072,13184,345498,0,0,168,227,446
0,0,0,1835008,1021571072,13184,345498,0,0,23,78,99
0,0,0,1835008,1021571072,13184,345499,0,0,252,217,99
0,0,0,1835008,1021571072,13216,345538,0,0,3227,3855,2111
0,368640,0,1835008,1021571072,13184,344423,0,0,1825,2356,8055
0,0,0,1835008,1021571072,13184,344423,0,0,1298,1382,1423
0,1417216,0,1835008,1021571072,13184,344451,0,0,1206,1235,2986
0,344064,0,1835008,1021571072,13184,344461,0,0,302,362,128
0,0,0,1835008,1021571072,13184,344461,0,0,1297,1372,1366
0,0,0,1835008,1021571072,13184,344461,0,0,21,77,96
0,0,0,1835008,1021571072,13152,344461,0,0,1564,1383,1349
0,0,0,1835008,1021571072,13184,344509,0,0,5337,6567,3393
0,327680,0,1835008,1021571072,13152,344510,0,0,10,394,134
0,0,0,1835008,1021571072,13120,344536,0,0,1949,2327,2675
0,0,0,1835008,1021571072,13120,344544,0,0,451,295,342
0,0,0,1835008,1021571072,13120,344545,0,0,1342,1390,1363
0,0,0,1835008,1021571072,13120,344545,0,0,30,118,87
0,0,0,1835008,1021571072,13120,344545,0,0,24,81,95
0,278528,0,1835008,1021571072,13120,344555,0,0,1859,1637,11528
0,0,0,1835008,1021571072,13120,344591,0,0,4690,5671,811
0,0,0,1835008,1021571072,13120,344619,0,0,1626,2041,2032
0,0,0,1835008,1021571072,13120,344621,0,0,25,238,1770
0,0,0,1835008,1021571072,13120,344640,0,0,691,2080,1739
0,524288,0,1835008,1021571072,13120,344639,0,0,1367,1430,2178
0,0,0,1835008,1021571072,13120,344638,0,0,4,61,78
0,196608,0,1835008,1021571072,13120,344640,0,0,1301,2887,1761
0,0,0,1835008,1021571072,13152,344698,0,0,5459,8796,1527
0,98304,0,1835008,1021571072,13152,344728,0,0,1071,1852,441
0,540672,0,1835008,1021571072,13152,344728,0,0,1322,1474,2485
0,0,0,1835008,1021571072,13184,344736,0,0,4315,3644,3943
0,0,0,1835008,1021571072,13184,344668,0,0,1985,1673,1719
0,0,0,1835008,1021571072,13184,344668,0,0,96,95,85
8192,5210112,0,1835008,1021571072,13184,344668,0,0,631,1196,1176
0,0,0,1835008,1021571072,13184,344592,0,0,2953,2493,2702
0,770048,0,1835008,1021571072,13152,344667,0,0,5311,6787,8431
0,0,0,1835008,1021571072,13152,344668,0,0,2385,1981,1982
0,0,0,1835008,1021571072,13152,344668,0,0,2624,2126,2128
0,0,0,1835008,1021571072,13152,344677,0,0,63,246,762
0,3383296,0,1835008,1021571072,13152,344676,0,0,1547,1829,2787
0,557056,0,1835008,1021571072,13152,344676,0,0,80,444,4475
0,0,0,1835008,1021571072,13152,344675,0,0,1505,1593,2059
0,0,0,1835008,1021571072,13152,344749,0,0,7554,8465,4868
0,0,0,1835008,1021571072,13152,344751,0,0,1315,1041,584
0,2048000,0,1835008,1021571072,13152,344750,0,0,1974,2306,2251
0,0,0,1835008,1021571072,13152,344764,0,0,3326,2771,2781
0,622592,0,1835008,1021571072,13152,344762,0,0,1293,1512,2103
