"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/disk_tcp_ipc_aio_swap_io_sys_proc_raw_unix.csv --disk --tcp --ipc --aio --swap --io --sys --proc --raw --unix 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"dsk/total",,"tcp sockets",,,,,"sysv ipc",,,"async","swap",,"io/total",,"system",,"procs",,,"raw","unix sockets",,,
"read","writ","lis","act","syn","tim","clo","msg","sem","shm","#aio","used","free","read","writ","int","csw","run","blk","new","raw","dgm","str","lis","act"
119995.781,1061308.923,7,18,0,7,2,0,0,5,0,108527616,914878464,5.479,48.513,1469.257,6205.150,17,0,14.518,0,56,981,55,926
0,0,7,18,0,7,2,0,0,5,0,108527616,914878464,0,0,4102,13302,0,0,8,0,56,981,55,926
122880,0,7,18,0,7,2,0,0,5,0,108527616,914878464,6,0,2683,7179,2,0,9,0,56,981,55,926
0,4743168,7,18,0,7,2,0,0,5,0,108527616,914878464,0,114,2655,6039,0,0,0,0,56,981,55,926
0,0,7,18,0,7,2,0,0,5,0,108527616,914878464,0,0,2583,5606,0,0,0,0,56,981,55,926
0,0,7,18,0,7,2,0,0,5,0,108527616,914878464,0,0,2432,5598,0,0,0,0,56,981,55,926
0,0,7,18,0,6,2,0,0,5,0,108527616,914878464,0,0,2561,6917,0,0,8,0,56,981,55,926
0,0,7,18,0,6,2,0,0,5,0,108527616,914878464,0,0,2562,7244,0,0,8,0,56,981,55,926
0,5120000,7,18,0,6,2,0,0,5,0,108527616,914878464,0,124,2553,6154,0,0,0,0,56,981,55,926
0,0,7,18,0,6,2,0,0,5,0,108527616,914878464,0,0,2648,5744,1,0,0,0,56,981,55,926
0,1777664,7,17,1,6,3,0,0,5,0,108527616,914878464,0,34,2771,6745,4,0,0,0,56,981,55,926
0,0,7,18,0,8,2,0,0,5,0,108527616,914878464,0,0,2822,8078,0,0,8,0,56,981,55,926
0,0,7,18,0,7,2,0,0,5,0,108527616,914878464,0,0,2511,6830,0,0,8,0,56,981,55,926
0,0,7,18,0,7,2,0,0,5,0,108527616,914878464,0,0,2577,5654,1,0,0,0,56,981,55,926
0,10387456,7,18,0,7,2,0,0,5,0,108527616,914878464,0,1686,3905,10650,0,0,1,0,56,981,55,926
0,0,7,18,0,7,2,0,0,5,0,108527616,914878464,0,0,2452,5712,0,1,0,0,56,981,55,926
0,1556480,7,18,0,6,2,0,0,5,0,108527616,914878464,0,14,2704,7048,0,0,8,0,56,981,55,926
0,204800,7,18,0,6,2,0,0,5,0,108527616,914878464,0,30,2657,6892,0,0,8,0,56,981,55,926
0,1097728,7,18,0,6,2,0,0,5,0,108527616,914878464,0,60,2558,5953,0,0,1,0,56,981,55,926
0,4194304,7,18,0,7,2,0,0,5,0,108527616,914878464,0,152,2671,6106,0,0,0,0,56,981,55,926
0,425984,7,18,0,7,2,0,0,5,0,108527616,914878464,0,22,3461,35868,0,0,0,0,56,981,55,926
98304,0,7,18,0,8,2,0,0,5,0,108527616,914878464,10,0,2896,11187,0,0,19,0,56,981,55,926
0,0,7,18,0,8,2,0,0,5,0,108527616,914878464,0,0,2725,7511,2,0,8,0,56,981,55,926
0,0,7,18,0,8,2,0,0,5,0,108527616,914878464,0,0,2482,5664,0,0,0,0,56,981,55,926
0,5136384,7,18,0,8,2,0,0,5,0,108527616,914878464,0,306,2673,6144,1,0,0,0,56,981,55,926
0,0,7,18,0,8,2,0,0,5,0,108527616,914878464,0,0,2618,5772,5,1,0,0,56,981,55,926
0,2719744,7,18,0,8,2,0,0,5,0,108527616,914878464,0,22,2638,6898,0,0,8,0,56,981,55,926
0,0,7,18,0,8,2,0,0,5,0,108527616,914878464,0,0,2541,6786,1,0,9,0,56,981,55,926
0,0,7,18,0,7,2,0,0,5,0,108527616,914878464,0,0,2460,5642,0,0,0,0,56,981,55,926
